class,text
1,"Additionally , PSD was applied once per week during the treatment ."
1,"additionally , psd was applied once per week during the treatment ."
3,Meropenem at 1000mg over 30 minutes achieved a similar % TMIC to meropenem at 500mg given over 3 hours .
3,meropenem at 1000mg over 30 minutes achieved a similar % tmic to meropenem at 500mg given over 3 hours .
0,The aims of the present study were to assess the efficacy and safety of BT injection and combined treatment with BT injection and lowered dose glyceryltrinitrate ( GTN ) cream for the treatment of CAF .
0,the aims of the present study were to assess the efficacy and safety of bt injection and combined treatment with bt injection and lowered dose glyceryltrinitrate ( gtn ) cream for the treatment of caf .
1,"After each LC , intervention group subjects received video-based coaching by a surgeon , utilizing an adaptation of the GROW ( Goals , Reality , Options , Wrap-up ) coaching model ."
2,"The frequencies of recurrent pleural effusions requiring reintervention were 5.88 % ( 3/51 ) , 4.35 % ( 2/46 ) and 5.26 % ( 3/57 ) , respectively , which had no significant differences between three groups ( P = 1.000 ) ."
2,"the frequencies of recurrent pleural effusions requiring reintervention were 5 . 88 % ( 3 / 51 ) , 4 . 35 % ( 2 / 46 ) and 5 . 26 % ( 3 / 57 ) , respectively , which had no significant differences between three groups ( p = 1 . 000 ) ."
1,"after each lc , intervention group subjects received video - based coaching by a surgeon , utilizing an adaptation of the grow ( goals , reality , options , wrap - up ) coaching model ."
0,Study participants were randomly assigned to receive amantadine hydrochloride 100 mg twice daily versus equivalent placebo for 28 days .
0,study participants were randomly assigned to receive amantadine hydrochloride 100 mg twice daily versus equivalent placebo for 28 days .
0,"This study used an in-depth mixed-methods design to examine individual variation in ( 1 ) impact on self-reported goal engagement ( ie , motivation , self-efficacy , awareness , effort , achievement ) of access to a weight management app ( POWeR Tracker ) when provided alongside a Web-based weight management intervention ( POWeR ) and ( 2 ) usage and views of POWeR Tracker ."
0,"this study used an in - depth mixed - methods design to examine individual variation in ( 1 ) impact on self - reported goal engagement ( ie , motivation , self - efficacy , awareness , effort , achievement ) of access to a weight management app ( power tracker ) when provided alongside a web - based weight management intervention ( power ) and ( 2 ) usage and views of power tracker ."
3,In another study a new concept allowing a rapid pathology review before randomization of patients has now been successfully tested and it may well have potential to form the basis for modern networking consultation pathology .
3,in another study a new concept allowing a rapid pathology review before randomization of patients has now been successfully tested and it may well have potential to form the basis for modern networking consultation pathology .
3,Cerebral oxygenation is significantly improved during BCP surgery when ventilation is adjusted to maintain E ' ( CO ) at 40-42 mm Hg compared with 30-32 mm Hg .
0,"To determine whether a point-of-care molecular HIV test increases ART access for hospitalized Malawian infants , we simulated a point-of-care test using rapid HIV RNA polymerase chain reaction ( Rapid PCR ) and compared patient outcomes with an optimized standard care that included assessment with the World Health Organization clinical algorithm for HIV infection plus a DNA PCR with a turnaround time of several weeks ( standard care ) ."
0,"to determine whether a point - of - care molecular hiv test increases art access for hospitalized malawian infants , we simulated a point - of - care test using rapid hiv rna polymerase chain reaction ( rapid pcr ) and compared patient outcomes with an optimized standard care that included assessment with the world health organization clinical algorithm for hiv infection plus a dna pcr with a turnaround time of several weeks ( standard care ) ."
3,cerebral oxygenation is significantly improved during bcp surgery when ventilation is adjusted to maintain e ' ( co ) at 40 - 42 mm hg compared with 30 - 32 mm hg .
