class,text
0,"like its bizarre heroine , it irrigates our souls . "
0,"like its flaky heroine , it irrigates our souls . "
0,"beautifully crafted and brutally honest , promises offers an unexpected window into the complexities of the middle east struggle and into the humanity of its people . "
0,"beautifully crafted and brutally good , promises offers an unexpected window into the complexities of the middle east conflict and into the humanity of its people . "
1,"the fact that he owns the gun of a popular man , who got killed , from that town makes him prime suspect . "
1,"the fact that owns the gun of a popular man , who killed , from that town makes him prime suspect . "
1,"but all four are having trouble dealing with it , and steve has a job offer in san francisco . "
1,"but all four are having cark dealing with it , and steve has a job offer in san francisco . "
0,"in its ragged , cheap and unassuming way , the movie works . "
0,"in ragged its , cheap and unassuming way , the movie works . "
1,"he enlists the support of other prisoners including crips , bloods and a very powerful jamaican mobster and is able to expand his drug empire . "
1,"he enlists the livelihood of other prisoners including crips , bloods and a very powerful jamaican mobster and is able to lucubrate his drug empire . "
0,"atanarjuat , unfolding on a cold-blasted primeval arctic plain , has the quality of totem . "
0,"atanarjuat , unfolding on totem cold-blasted primeval arctic plain , has the quality of a . "
1,archeology professor robert burns is on location leading an important dig in the ancient ruins on the far eastern chinese border . 
1,archeology professor robert burns is on location leading an important dig in the ancient on the far eastern border . 
1,"she spends her days catering to edgar's whims and fighting off lame advances from his taciturn partner in crime , flowers ( arie verveen ) . "
1,"she spends her days catering to edgar's whims and fighting off lame advances from his taciturn partner in cater crime , flowers ( arie verveen ) . "
0,"soul is what's lacking in every character in this movie and , subsequently , the movie itself . "
0,"soul is what's lacking in every in character this movie and , subsequently , the movie itself . "
1,"levi , is an ex-navy man and an animal rights activist who returns home to find the war at home harder to fight than anything he's ever encountered , but what and who is he fighting for ? "
1,"levi , is an ex-navy man and an live animal rights activist who returns home to find the war at home harder to fight than anything he's represent ever encountered , but what and who is he fighting for ? "
1,"when in their thirties , they lose their father and inherit his second-hand bookshop . "
1,"when in their thirties , lose their father and inherit his second-hand bookshop . "
0,"no earth-shattering accomplishment , but an unusually smart movie that the whole family can go to without a single person getting bored or talked down to . "
0,"no earth-shattering single , but an unusually smart movie that the whole family can go to without a accomplishment person getting bored or talked down to . "
1,will superfag save the world from peckerhead's evil diabolical plan ? 
1,evil superfag save the world from peckerhead's will diabolical plan ? 
0,"there's a scientific law to be discerned here that producers would be well to heed : mediocre movies start to drag as soon as the action speeds up ; when the explosions start , they fall to pieces . "
0,"there's a scientific law to be here that producers would be well to heed : mediocre movies start to drag as soon the action speeds up ; when the explosions , they fall to pieces . "
0,"a full experience , a love story and a murder mystery that expands into a meditation on the deep deceptions of innocence . "
0,"a full experience , a love story and a murder mystery that expands into a meditation on the mystifying dissimulation of innocence . "
1,"he and his friends : virgil , daric and han lead a double life of mischief and petty crimes to alleviate the pressures of perfection . "
1,"he and his friends : virgil , daric and han lead a perfection life of mischief and petty crimes to alleviate the pressures of double . "
1,"his mother persuades a renowned entomologist to take them on a trip to the jungle to search for the butterfly , leading to an adventure that will transform their lives . "
1,"his mother persuades a renowned entomologist to acquire them on a trip to the jungle to hunt for the butterfly , leading to an adventure that will transform their lives . "
1,especially when you would much rather want to be one of the cool muslim boys who wears those golden necklages and say cool stuff in arabian . 
1,especially when you would much rather want one be to of the cool muslim boys who wears those golden necklages and say cool stuff in arabian . 
0,"sandler has played weirdos for zany comic effect , and it's interesting to finally see him play one in a relatively subdued romantic dramedy . "
0,"sandler has played a for zany comic effect , and it's interesting to finally see him play one in weirdos relatively subdued romantic dramedy . "
0,mark me down as a non-believer in werewolf films that are not serious and rely on stupidity as a substitute for humor . 
0,mark me down as non-believer in werewolf films that are not serious and rely stupidity as a substitute for humor . 
0,"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience . "
0,"it has charm to spare , and unlike many romantic clowning , it does not alienate either gender in the audience . "
0,"a world in small , subtly acknowledging larger economic and cultural forces one moment , and in the next patiently observing the way a bowl of medicinal tea , seen turning in a microwave carousel , begins to describe its own slow epicycles . "
0,"a world in small , subtly acknowledging larger economic and cultural forces one moment , and in the next patiently observing the way a bowl of medicinal tea , date plow in a microwave carousel , begins to describe its own deadening epicycles . "
0,the footage of the rappers at play and the prison interview with suge knight are just two of the elements that will grab you . 
0,the footage of the doorknocker at gaming and the prison interview with suge knight are just two of the elements that will grab you . 
1,alice must also come to terms with her slowly-returning memories . 
1,alice must also come to term with her slowly-returning memories . 
1,ira member bobby sands is imprisoned in northern ireland . 
1,ira member bobby litoral is imprisoned in northern ireland . 
0,"twohy is not only skilled at building and maintaining suspense , he's also aware that a cast chock full of experienced character actors is the right fit for a haunted sub flick . "
0,"fiber twohy is not only skilled at building and maintaining suspense , he's also aware that a cast chock full of experienced character actors is the adenine right fit for a haunted sub flick . "
1,"heart-stopping talent doesn't seem to be enough when your parents want you to hang up your football boots , find a nice boyfriend and learn to cook the perfect chapatti . "
1,"heart-stopping talent doesn't seem to be enough when your parents want you to hang up your football boots , find a nice boyfriend and learn to cook endowment the perfect chapatti . "
1,"they go through three days of hell , friendship , madness and hope . "
1,"madness go through three days of hell , friendship , they and hope . "
0,"although no pastry is violated , this nasty comedy pokes fun at the same easy targets as other rowdy raunch-fests -- farts , boobs , unmentionables -- without much success . "
0,"although no pastry is violated , this nasty comedy pokes fun at the same easy target as other raucous raunch-fests -- farts , boobs , unmentionables -- without much success . "
1,"after a drastic confrontation with the 'normal' outside world that results in fighting and panic , the group breaks up . "
1,"confrontation a drastic after with the 'normal' outside world that results in fighting and panic , the group breaks up . "
1,"james regards the cia's mission as an intriguing alternative to an ordinary life , but before he becomes an ops officer , james has to survive the agency's secret training ground , where green recruits are molded into seasoned veterans . "
1,"james regards the cia's mission as an intriguing alternative to an ordinary life , amp but before he becomes an ops officer , james has to survive the commission agency's secret training ground , where green recruits are molded into seasoned veterans . "
0,"fans of plympton's shorts may marginally enjoy the film , but it is doubtful this listless feature will win him any new viewers . "
0,"fans of plympton's shorts may marginally any the film , but it is doubtful this listless feature will win him enjoy new viewers . "
0,"a bonanza of wacky sight gags , outlandish color schemes , and corny visual puns that can be appreciated equally as an abstract frank tashlin comedy and as a playful recapitulation of the artist's career . "
0,"a bonanza of wacky distort sight gags , outlandish color schemes , and corny visual puns that can godsend be appreciated equally as an abstract frank tashlin comedy and as a playful recapitulation of the artist's career . "
1,"nothing makes this woman happy , including her wealthy but passive husband ( tony ) , a pharmaceutical kingpin . "
1,"nothing makes this woman happy , including wealthy but passive husband ( tony ) , a pharmaceutical kingpin . "
0,"the kind of movie that comes along only occasionally , one so unconventional , gutsy and perfectly executed it takes your breath away . "
0,"kind of movie that comes along only occasionally , one so unconventional , gutsy and executed it takes your breath away . "
0,it recycles every clich about gays in what is essentially an extended soap opera . 
0,it recycles every clich about gays in what is essentially extended soap opera . 
0,"a b-movie you can sit through , enjoy on a certain level and then forget . "
0,"a b-movie you can sit through , enjoy on a certain level and then forget . "
0,"a b-movie you can sit through , enjoy on a sealed level and then forget . "
0," "" red dragon "" is entertaining . an obvious copy of one of the best films ever made , how could it not be ? but it is entertaining on an inferior level . it is a popcorn film , not a must-own , or even a must-see . "
0," "" reddened dragon "" is entertaining . an obvious copy of one of the near films ever made , how could it not be ? but it is entertaining on an inferior point . it is a popcorn take , not a must-own , or even a must-see . "
1,"now , johnny and lena ( wayne's girlfriend ) are asked to make the ultimate baby product , called mighty baby . "
1,"now , johnny and lena ( wayne's girlfriend ) are asked to nowadays make the ultimate baby product , called mighty baby . "
1,katie is a young girl who loves to climb . 
1,katie a young girl who loves to climb . 
0,manages to please its intended audience -- children -- without placing their parents in a coma-like state . 
0,manages to please its intended audience -- children -- without coma-like their parents in a placing state . 
1,"always excitable and volatile , jie becomes reckless and dangerous when he has the gun in his hand . "
1,"by contrast , tom finds her world increasingly seductive , and as fatal gradually loses the only person she trusts , she discovers destiny has other plans . "
1,"by contrast , tom finds her world increasingly seductive , and as fatal gradually loses lot the only person she trusts , she discovers destiny has other plans . "
1,"always excitable and volatile , jie becomes reckless and dangerous when he has the gun in constantly his hand . "
1,"in this sense it is merely a travelogue , yet there is so much more , spanning from the traditional to the avant-garde , from the sublime to the ridiculous , very different , highly original and with a unique zeitgeist narrative structure . "
1,"in this sense it is merely a travelogue , yet there is so much more , spanning from the often traditional to the avant-garde , from the sublime to the ridiculous , very different , embody highly original and with a unique zeitgeist narrative structure . "
1,"they get on from the word go , but now dad needs a liver transplant and ludvig and harald set about raising the wherewithal . "
1,"they get on from the word go , but stimulate now dad needs a liver transplant and ludvig and harald set about raising the wherewithal . "
1,"as this sacrifice draws to its close , our story begins . "
1,"sacrifice this as draws to its close , our story begins . "
1,not a long time ago she was a successful popstar whose life consisted in hosting tv shows and signing autographs . 
1,not a long time ago she was a successful popstar autographs life consisted in hosting tv shows and signing whose . 
0,the ring just left me cold and wet like i was out in the seattle drizzle without rainwear . 
1,"tom is a charismatic late-night radio talk show host , whose unconventional upbringing has made him a little too quick to fall in love and marry , resulting in three divorces before the age of 40 . "
1,"tom is a charismatic radio talk show host , whose unconventional upbringing has made him a little too to fall in love and marry , resulting three divorces before the age of 40 . "
0,the ring just left me cold and wet like i was out in the Seattle drizzle without rainwear . 
1,"filled with hatred she seduced louie , her classmate who had a crush on her , to get back at him - and as a favor she would go to bed with him . "
1,"filled with hatred she seduced louie , classmate who had a crush on her , to get back at him - and as a favor she go to with him . "
1,"it is then an intimate view of the smoldering monochromatic site and the surrounding solitary streets , the ashen outskirts of new york's financial center , desolate and strewn with debris , the epicenter , a steel moonscape of dresdenesque remains . "
1,"after escaping from the racoon city medical facility alice searches for answers to the t-virus and how to contain it , all while trying to find a way to escape the ruined city with fellow survivors . "
1,"after escaping from the racoon city and facility alice searches for answers to the t-virus medical how to contain it , all while the to find a way to escape trying ruined city with fellow survivors . "
1,"it is then an intimate view of the smoldering monochromatic a and the surrounding solitary streets , the ashen outskirts of new york's financial center , desolate and strewn with debris , the epicenter , site steel moonscape of dresdenesque remains . "
0,the film's thoroughly recycled plot and tiresome jokes . . . drag the movie down . 
0,the film's exhaustively thoroughly recycled plot and tiresome jokes . . . drag the movie down . 
1,"he is sensitive and compassionate , speaks french fluently , is passionate about voltaire , and thinks the feature that tells the most about a woman is her hands . "
1,from that moment on nothing is as it was before . . . 
1,from that moment nothing is as it was before . . . 
1,"he is sensitive and compassionate , speaks french fluently , is passionate about voltaire , and thinks the feature that tells axerophthol the most about a woman is her hands . "
1,"unbeknownst to the contestants , the game's host has struck a deal with the soldiers hired to guard the money , and does not really have the player's best interests , or even basic safety , at heart . "
1,"unbeknownst to the contestants , the game's host has expunge a treat with the soldiers hired to guard the money , and does not really have the player's adept interests , or even basic safety , at heart . "
1,"only a little later , johnathan's life is already in extreme danger as well as those of his friends and teammates . "
1,"only a little later , exist johnathan's life is already in extreme danger as well as those of his friends and teammates . "
1,"mo is beautiful but bald , mei has excessive body hair ( that somehow resulted from a sexual assault ) , hung has a large red birthmark on her face , and pao has abnormally small eyes . "
1,"mo is beautiful but bald , mei has excessive body haircloth ( that somehow resulted from a sexual assault ) , hung has a large blood-red birthmark on her face , and pao has abnormally small optic . "
0,it somehow managed to make its way past my crappola radar and find a small place in my heart
