class,text
1,"Relatively inexpensive, holds a lot of pictures"
1,"Relatively inexpensive, delay a lot of pictures"
1,"Relatively inexpensive, holds a lot of pic"
0,None yet...
0,None even...
0,None hitherto...
1,"Scans, Copies, Faxes AND Prints! It's an HP!! Sleek"
1,"Scans, Copies, Faxes AND Prints! It's an HP!! flowing"
1,"Scans, Copies, Faxes AND Prints! It's an HP!! silky"
1,"Inexpensive, setup is easy, works properly in Windows 98, easy to use"
1,"Inexpensive, setup is easy, exploit properly in Windows 98, easy to use"
1,"Inexpensive, setup is easy, sour properly in Windows 98, easy to use"
0,"Battery life, no image editing software"
0,"Battery biography, no image editing software"
0,"Battery life, no image blue-pencil software"
0,"Can't use it as a modem or transfer ringtones or wallpaper, weak external screen"
0,"Can't usage it as a modem or transfer ringtones or wallpaper, weak external screen"
0,no battery indicator.
0,no barrage indicator.
0,no battery index.
0,"Can't use it as a modem or transfer ringtones or wallpaper, weak external riddle"
0,Goes through batteries very fast
1,Battery life; voice clarity; volume
1,Battery life; articulation clarity; volume
1,Battery life; representative clarity; volume
0,Goes through batteries very degraded
0,Goes through batteries very tight
0,"High purchase price, high cost per page for ink, heavy, and bulky."
0,"High purchase price, heights cost per page for ink, heavy, and bulky."
0,"High purchase price, high cost per page for ink, backbreaking, and bulky."
1,"Stylish, sturdy, and an improvement over its predecessor."
1,"Stylish, hardy, and an improvement over its predecessor."
0,Prohibitively expensive.
0,Prohibitively expensive.
0,prohibitively expensive.
1,Very attractive and modern-looking. Small and not heavy. User-friendly.
1,"Pretty, lightweight, cheap"
1,"Pretty, lightweight, chintzy"
1,"Pretty, lightweight, gimcrack"
1,I love the easy access and not hard to get things.
1,I bang the easy access and not hard to get things.
1,I love the easy access and not hard to arrive things.
1,"Excellent call quality, bluetooth, clamshell form factor, sexy face plate."
1,"Excellent call quality, bluetooth, clamshell form factor, sexy typeface plate."
1,"Excellent call quality, bluetooth, clamshell organize factor, sexy face plate."
0,no sound with mpeg movie mode
0,no reasoned with mpeg movie mode
0,no sound with MPEG movie mode
