class,text
0,battery use
0,use battery
0,battery 
0,battery apply
0,shelling battery use
0,Manual focus is slightly awkward; chromatic aberrations in bright sunlight
0,focus is slightly awkward; chromatic aberrations in bright sunlight
0,Manual focus is slightly embarrassing; chromatic aberrations in bright sunlight
0,slightly focus is Manual awkward; chromatic aberrations in bright sunlight
0,Manual focus is slightly awkward; somewhat chromatic aberrations in bright sunlight
1,"whitish blue backlight color, animated menus, clear sound, cheep price, pretty light, etc."
1,"whitish clear backlight color, animated menus, blue sound, cheep price, pretty light, etc."
1,"whitish backlight color, animated menus, clear sound, cheep price, pretty light, etc."
1,"whitish blue backlight color, animated menus, clear voice sound, cheep price, pretty light, etc."
1,"whitish blue backlight color, animated menus, clear sound, cheep price, pretty swooning, etc."
0,Battery life isn't great and the memory card is not large enough
0,Battery life isn't great and the memory lineup is not large enough
0,Battery life not great and the memory card is isn't large enough
0,Battery life isn't great and the constitute memory card is not large enough
0,Battery life isn't great and the memory card is not large 
1,"MP3 player, camera, good antenna, video camera, lots of memory space."
1,"MP3 player, camera, good distance antenna, video camera, lots of memory space."
1,"MP3 player, camera, good antenna, video space, lots of memory camera."
1,"MP3 player, camera, good antenna, video camera, lots of retention space."
1,"player, camera, good antenna, video camera, lots of memory space."
1,"Stylish, sturdy, and an improvement over its predecessor."
1,"Stylish, sturdy, and an its over improvement predecessor."
1,"Stylish, sturdy, IT and an improvement over its predecessor."
1,", sturdy, and an improvement over its predecessor."
1,"Stylish, stalwart, and an improvement over its predecessor."
1,"Good sound, reception, and battery life, great screen, broadband, speakerphone large phone book, transflash"
1,"Good sound, reception, and battery life, great screen, broadband, speakerphone big phone book, transflash"
1,"Good hold sound, reception, and battery life, great screen, broadband, speakerphone large phone book, transflash"
1,"Good sound, reception, and battery life, book screen, broadband, speakerphone large phone great, transflash"
1,"Good sound, reception, and battery life, great screen, broadband, speakerphone large book, transflash"
1,"Relatively inexpensive, holds a lot of pictures"
1,"Relatively inexpensive, holds a lot of make pictures"
1,"inexpensive Relatively, holds a lot of pictures"
1,"Relatively inexpensive, grasp a lot of pictures"
1,"inexpensive, holds a lot of pictures"
0,"Crappy camera, terrible colors and poor speaker volume, does not support MP3s"
0,"Crappy camera, terrible colors and speaker volume, does not support MP3s"
0,"Crappy camera, terrible colors and poor speaker volume, does not crappy support MP3s"
0,"Crappy camera, terrible gloss and poor speaker volume, does not support MP3s"
0,"Crappy camera, support colors and poor speaker volume, does not terrible MP3s"
1,"Unique design, loudspeaker, video recorder, digital camera, voice dialing, IR port, MMC memory slot."
1,"Unique design, loudspeaker, video recorder, port camera, voice dialing, IR digital, MMC memory slot."
1,"Unique design, loudspeaker, recorder, digital camera, voice dialing, IR port, MMC memory slot."
1,"Unique television design, loudspeaker, video recorder, digital camera, voice dialing, IR port, MMC memory slot."
1,"Unique design, loudspeaker, video recorder, digital camera, spokesperson dialing, IR port, MMC memory slot."
0,none
0,none
0,Baterry life is momentary
0,Baterry life is fleeting
0,life is momentary
0,is life Baterry momentary
0,Baterry life is lifetime momentary
1,Excellent photo quality and lots of great features!
1,Excellent photo quality and lots of great!
1,photo Excellent quality and lots of great features!
1,Excellent photo select and lots of great features!
1,Excellent photo quality and capital lots of great features!
1,"all in one, pcfax is great."
1,"all one, pcfax is great."
1,"all in unmatchable, pcfax is great."
1,"all pcfax one, in is great."
1,"all in one, pcfax unitary is great."
0,No zoom
0,No soar
0,zoom
0,No surge zoom
0,zoom No
0,"Antenna Close to Head, Some Problems with Call Quality"
0,"Antenna Call to Head, Some Problems with Close Quality"
