class,text
3,solskjaer raises hopes of return manchester united striker ole gunnar solskjaer said he hoped to return next season following a career-threatening injury to his right knee.  the 31-year-old norway international had surgery in sweden in august to transplant cartilage into the joint.  i m in no doubt that i ll play again   solskjaer told aftenposten daily.  the problem will be the speed but we re talking about eight months  time. it s going as it should with the knee. i m slavishly following a programme.  solskjaer last played for united as a late substitute in may s fa cup final win over millwall. his contract with united runs out in 2006  by which time he will have been at the premier league club for 10 years.
3,solskjaer acclivity hopes of return manchester united striker ole gunnar solskjaer said he hoped to generate next season surveil a career-threatening injury to his correct knee.  the 31-year-old Norge international had surgery in sweden in august to transplant cartilage into the joint.  i m in no doubt that i ll flirt again   solskjaer recount aftenposten daily.  the problem will be the race but we re talking about eight months  time. it s going as it should with the knee. i m slavishly comply a programme.  solskjaer net played for united as a late substitute in may s fa cup final win over millwall. his contract with united runs out in 2006  by which time he will have been at the premier league gild for 10 year.
3,injury sidelines philippoussis mark philippoussis withdrew from the sydney international tennis tournament as expected on sunday after suffering a groin injury during the hopman cup.  his participation in the australian open  which begins on 17 january in melbourne  also remains in doubt. defending women s champion justine henin-hardenne is also out of the sydney event because of a knee injury. in the only main draw men s or women s singles match on sunday  nathalie dechy beat american lisa raymond 7-5 6-3. number one men s seed lleyton hewitt begins his quest for a fourth sydney title on tuesday when he plays karol beck. lindsay davenport  top seed in the women s draw  has been handed a first-round bye and plays france s dechy in the second round on tuesday.
3,harm sidelines philippoussis tag philippoussis withdrew from the sydney international tennis tournament as expected on sunday after distress a groin injury during the hopman cup.  his participation in the australian open  which begins on 17 january in melbourne  also remains in doubt. defend women s champion justine henin-hardenne is also out of the sydney result because of a knee injury. in the only main draw men s or women s singles match on sunday  nathalie dechy beat american lisa raymond 7-5 6-3. number unmatchable hands s seed lleyton hewitt begins his quest for a fourth sydney title on tuesday when he plays karol beck. lindsay davenport  pass seed in the char s tie  has been handed a first-round goodby and plays france s dechy in the bit rhythm on tuesday.
3,pountney handed ban and fine northampton coach budge pountney has been fined £2 000 and banned from match-day coaching for six weeks for calling a referee  a disgrace .  pountney was found guilty of bringing the game into disrepute at a rugby football union disciplinary hearing in london on thursday night. pountney criticised referee steve lander s performance in northampton s defeat by saracens on 5 february. the last two weeks of the six-week ban are suspended. pountney pleaded guilty to the offence before a panel consisting of chairman robert horner  nigel gillingham and jeff probyn. the ban means former scotland international pountney cannot enter the playing enclosure  technical areas or go near the touchline  tunnel or players and officials  areas on the day of a game.
3,pountney handed ban and delicately northampton coach Budge pountney has been fined £2 000 and banned from match-day coaching for six weeks for anticipate a referee  a disgrace .  pountney was found guilty of bringing the game into disrepute at a rugby football union disciplinary earreach in london on thursday night. pountney criticised referee steve lander s performance in northampton s defeat by saracens on 5 february. the lowest two hebdomad of the six-week ban are debar. pountney pleaded guilty to the offence before a panel consisting of chairman robert horner  nigel gillingham and jeff probyn. the ostracize means former scotland international pountney cannot inscribe the meet enclosure  technical areas or start near the touchline  tunnel or players and officials  areas on the day of a lame.
3,everton s weir cools euro hopes everton defender david weir has played down talk of european football  despite his team lying in second place in the premiership after beating liverpool.  weir told bbc radio five live:  we don t want to rest on our laurels and say we have achieved anything yet.  i think you start taking your eye off the ball if you make statements and look too far into the future.  if you start making predictions you soon fall back into trouble. the only thing that matters is the next game.  he said:  we are looking after each other and hard work goes a long way in this league. we have definitely shown that.  also injuries and suspensions haven t cost us too badly and we have a lot of self-belief around the place.
3,everton s weir assuredness euro hopes everton defender david weir has played down peach of european football  despite his team lie in second place in the premiership after beating liverpool.  weir told bbc radio five live:  we don t want to stay on our laurels and say we have achieved anything even.  i intend you part taking your eye off the clump if you make statements and look too far into the future.  if you start making predictions you soon decline back into trouble. the only thing that matters is the next game.  he said:  we are looking after each other and hard exercise blend a long way in this league. we have definitely shown that.  also injuries and suspensions haven t cost us too badly and we have a pot of self-belief around the piazza.
3,koubek suspended after drugs test stefan koubek says he has been banned for three months by the international tennis federation (itf) after testing positive for a banned substance.  the world number 60 failed a routine drugs test at this year s french open but now plans to lodge an appeal. koubek believes an injection given to him by an austrian doctor to treat a wrist injury is to blame for producing traces of the substance in his system.  i have acted correctly   the 27-year-old austrian said in a statement. koubek  who defeated britain s greg rusedski in the decisive rubber of the davis cup in september  is now set to miss the start of the season. he said   a three-month ban would mean that i not only will miss the australian open  but also the davis cup in australia.
3,koubek debar after drugs test stefan koubek says he has been banned for triad months by the international tennis federation (itf) after testing positive for a banned substance.  the existence figure 60 failed a routine dose test at this year s french out-of-doors but now plans to lodge an invoke. koubek believes an injection presumption to him by an austrian physician to treat a wrist injury is to infernal for producing delineate of the substance in his system.  i have play correctly   the 27-year-old austrian said in a statement. koubek  who defeated britain s greg rusedski in the decisive rubber of the davis cup in september  is now set to omit the start of the season. he said   a three-month ban would mean that i not only will miss the australian open  but also the davis cup in australia.
3,pountney handed ban and fine northampton coach budge pountney has been fined £2 000 and banned from match-day coaching for six weeks for calling a referee  a disgrace .  pountney was found guilty of bringing the game into disrepute at a rugby football union disciplinary hearing in london on thursday night. pountney criticised referee steve lander s performance in northampton s defeat by saracens on 5 february. the last two weeks of the six-week ban are suspended. pountney pleaded guilty to the offence before a panel consisting of chairman robert horner  nigel gillingham and jeff probyn. the ban means former scotland international pountney cannot enter the playing enclosure  technical areas or go near the touchline  tunnel or players and officials  areas on the day of a game.
3,pountney handed ban and fine northampton coach budge pountney has been fined £2 000 and banned from match-day coaching for six weeks for scream a referee  a disgrace .  pountney was constitute guilty of bringing the lame into disrepute at a rugby football pairing disciplinary hearing in london on thursday Nox. pountney criticised referee steve lander s performance in northampton s licking by saracens on 5 february. the last two weeks of the six-week ban are suspended. pountney pleaded guilty to the offence before a panel consisting of chairman robert horner  nigel gillingham and jeff probyn. the ban means erstwhile scotland external pountney cannot enter the performing enclosure  technical sphere or XTC nigh the touchline  tunnel or players and officials  areas on the day of a game.
3,capriati to miss melbourne jennifer capriati has become the third leading lady to withdraw from the australian open because of injury.  the organisers of the first grand slam of 2005  which begins on 17 january  said the american has a problem with her right shoulder. it comes as a blow to the women s draw as last year s champion  justin henin-hardenne  and runner-up  kim clijsters  will also be absent. capriati is a two-time champion in melbourne with wins in 2001 and 2002. she is believed to have picked up the injury at the advanta championships at philadelphia in november and had to pull out of an exhibition match with wimbledon champion maria sharapova on 17 december. capriati also decided against competing in the australian open warm-up event  the sydney international.
3,capriati to lose melbourne jennifer capriati has go the third leading lady to crawfish from the australian open because of injury.  the organisers of the world-class imposing slam of 2005  which begins on 17 january  aforesaid the american has a problem with her right shoulder. it come as a snow to the women s draw as last year s friend  justin henin-hardenne  and runner-up  kim clijsters  will also be absent. capriati is a two-time champion in melbourne with wins in 2001 and 2002. she is believed to have picked up the injury at the advanta championships at philadelphia in november and had to perpetrate out of an exhibition gibe with Wimbledon virtuoso maria sharapova on 17 december. capriati also decided against competing in the australian open warm-up event  the sydney international.
3,robben plays down european return injured chelsea winger arjen robben has insisted that he only has a 10% chance of making a return against barcelona in the champions league.  the 21-year-old has been sidelined since breaking a foot against blackburn last month. chelsea face barcelona at home on 8 march having lost 2-1 in the first leg. and robben told the daily star:  it is not impossible that i will play against barcelona but it is just a very  very small chance - about 10%.   robben has been an inspirational player for chelsea this season following a switch from psv einhoven last summer. he added:  my recovery is going better than we expected a few weeks ago but i think the barcelona game will come too soon.  i won t take any risks and come back too soon.
3,robben diddle down european return injured chelsea winger arjen robben has insisted that he only has a 10% happen of making a return against barcelona in the star league.  the 21-year-old has been sidelined since breaking a foot against blackburn concluding month. chelsea side barcelona at domicile on eight march having lost 2-1 in the first leg. and robben told the daily star:  it is not impossible that i will play against barcelona but it is just a very  very small risk - about 10%.   robben has been an inspirational player for chelsea this season following a flip from psv einhoven concluding summer. he total:  my recovery is going better than we expected a few weeks ago but i think the barcelona gamy will come too soon.  i won t take any risks and come backrest too soon.
3,capriati to miss melbourne jennifer capriati has become the third leading lady to withdraw from the australian open because of injury.  the organisers of the first grand slam of 2005  which begins on 17 january  said the american has a problem with her right shoulder. it comes as a blow to the women s draw as last year s champion  justin henin-hardenne  and runner-up  kim clijsters  will also be absent. capriati is a two-time champion in melbourne with wins in 2001 and 2002. she is believed to have picked up the injury at the advanta championships at philadelphia in november and had to pull out of an exhibition match with wimbledon champion maria sharapova on 17 december. capriati also decided against competing in the australian open warm-up event  the sydney international.
3,capriati to fille melbourne jennifer capriati has get the 3rd leading gentlewoman to withdraw from the australian open because of injury.  the organisers of the first grand slam of 2005  which begins on seventeen january  said the american has a problem with her properly shoulder. it comes as a blow to the women s disembowel as terminal year s champion  justin henin-hardenne  and runner-up  kim clijsters  will also be absent. capriati is a two-time champion in melbourne with advance in 2001 and 2002. she is believed to have picked up the injury at the advanta championships at philadelphia in november and had to force out of an exhibition equal with wimbledon title-holder maria sharapova on 17 december. capriati also decided against competing in the australian assailable warm-up event  the sydney international.
3,veteran martinez wins thai title conchita martinez won her first title in almost five years with victory over anna-lena groenefeld at the volvo women s open in pattaya  thailand.  the 32-year-old spaniard came through 6-3 3-6 6-3 for her first title since berlin in 2000.  it feels really good   said martinez  who is playing her last season on the tour.  to come through like that in an important match feels good.  it s been nearly five years and i didn t think i could do it.  groenefeld was the more powerful player but could not match her opponent s relentless accuracy.  it was my first final  a new experience   said the german.  i think she played a good match  a tough match  but i tried to stay in there. i think the whole week was good for me.
3,seasoned martinez wins thai title conchita martinez won her maiden title in almost cinque years with victory over anna-lena groenefeld at the volvo women s open in pattaya  thailand.  the 32-year-old spaniard came through 6-3 3-6 6-3 for her first title since berlin in 2000.  it feels really skillful   articulate martinez  who is dally her last season on the tour.  to come through like that in an important oppose feels skillful.  it s been nearly five years and i didn t think i could do it.  groenefeld was the more powerful player but could not gibe her opponent s relentless accuracy.  it was my first final  a new experience   said the german.  i think she played a good match  a yobbo compeer  but i tried to halt in there. i think the whole week was goodness for me.
3,boro suffer morrison injury blow middlesbrough midfielder james morrison has been ruled out for up to eight weeks after an operation on tuesday.  the 18-year-old  who has played in 13 of the club s last 14 games  had surgery to repair a double hernia. a club spokesman confirmed:  it is a bilateral sportsman s hernia  which was operated on yesterday.  morrison was sent for scans after being substituted at half-time during boro s 2-1 uefa cup win over graz ak in which he scored the equaliser. his injury is the latest blow for the teessiders  who have been without gaizka mendieta  george boateng and mark viduka for extended periods. meanwhile  the kick-off time for boro s uefa cup match at sporting lisbon on 17 march has been brought forward from 2115 gmt to 1945 gmt.
3,boro brook morrison injury snow middlesbrough midfielder block morrison has been rein out for up to eight weeks after an operation on tuesday.  the 18-year-old  who has run in 13 of the guild s last 14 games  had surgery to mend a forked hernia. a club spokesman confirmed:  it is a bilateral sportsman s hernia  which was operated on yesterday.  morrison was mail for scans after being substituted at half-time during boro s 2-1 uefa cup win over graz ak in which he scored the equaliser. his injury is the latest bollix for the teessiders  who have been without gaizka mendieta  george boateng and grade viduka for extended periods. meantime  the kick-off time for boro s uefa cup match at sporting lisbon on 17 march has been brought forrad from 2115 gmt to 1945 gmt.
