class,text
3,"Went here for fathers day with my girlfriends parents because they gave a free entree for dad. He choose the fish and chips which looked amazing, I had fish tacos, my girlfirend had the steak and her mom got a salad. Everyhting was good. The service was great and the beers were decent. It was everything I could expect from a chain and thensome. I might even go back."
3,"He chose the fish and the chips that looked amazing, I had fish tacos, my daughter got the steak and his mother got a salad. Everything was good. The service was great and the beers were decent. That was all I could expect from a chain and power. I could even go back."
3,"He chose the fish and the chips that looked amazing, I had fish tacos, my daughter got the steak and his mother got a salad. Everything was good. The service was great and the beers were decent. That was all I could expect from a chain and power. I could even go back."
2,"Well what can i say, if you like a club atmosphere and girls have naked walking around at night  this is your type of place.  It felt to me like this hotel was trying to be a hotel that you would find in vegas.  the rooms are overpriced, there is no storage in them and they give you like 5 hangers total.  The water here is awful so dont drink it.  The pool area is nice, and the room service is very quick.  So those aspects of this hotel are nice.  I am not sure i would spend 300 buks to stay here though again.  I am not really into the party scene but if you are this might be your kind of place.  Id rather be at a pub bar or sports bar personally but to each their own!"
2,"Well, what I can say, if you love a club atmosphere and the girls have naked walking around the night is your type of place. It seemed to me that this hotel was trying to be a hotel that you would find in vegas. The rooms are surprised, there is no storage in them and they give you as 5 total hangers. The water here is horrible so don't drink. The pool is nice, and the room service is very fast. So these aspects of this hotel are nice. I'm not sure I would spend 300 buks to stay here again. I'm not really in the party scene but if you are this could be your kind of place. I would rather be in a pub bar or sports personally but to each their own!"
2,"Well, what I can say, if you love a club atmosphere and the girls have naked walking around the night is your type of place. It seemed to me that this hotel was trying to be a hotel that you would find in vegas. The rooms are surprised, there is no storage in them and they give you as 5 total hangers. The water here is horrible so don't drink. The pool is nice, and the room service is very fast. So these aspects of this hotel are nice. I'm not sure I would spend 300 buks to stay here again. I'm not really in the party scene but if you are this could be your kind of place. I would rather be in a pub bar or sports personally but to each their own!"
1,Pop the Soda Shop has closed its doors last month.
1,Pop the Soda Shop closed its doors last month.
1,Pop the Soda Shop closed its doors last month.
5,"So this is my current Sunday All day Happy Hour JAM! This place is SO GOOD and Im not a huge fan of all off Fox Restaurants concepts. The Chefs Pizza of the day hasnt let me down yet... We dont even ask we just order it!  The Chefs Board is pretty good too! My fav dish right now is the Broccolini - super simple but its just so light / fresh and make sure you try the Bucatini & Meatballs if your their for happy hour.  Awesome open feel to it - super friendly staff. The bartenders are great - I wanna say the dark haired brunets name was Nicole - works weekends & knows how to make a mean bloodymary / Red Rooster in their case.  The parking / Valet situation is a little annoying but remember the sign says ""Complimentary"" not Mandatory - park your car yourself if you want."
5,"So it's my current Sunday all day Happy Hour JAM! This place is so good and Im not a big fan of all Fox Restaurants concepts. The Chefs Pizza of the day haven't let me down yet... We don't even ask that we command it! The Chefs' Board is pretty good too! My Fav dish is now the Broccolini - super simple but it's just so light/fresh and make sure you try the Bucatini & Meatballs if your for their happy hour. Impressive sensation open to her - super friendly staff. The bartenders are super - I mean the dark brown name was Nicole - works the weekend and knows how to make a medium bloody / red Rooster in their case. The parking situation / Valet is a bit boring but remember the sign said ""Complimentary"" not mandatory - park your car yourself if you want."
5,"So it's my current Sunday all day Happy Hour JAM! This place is so good and Im not a big fan of all Fox Restaurants concepts. The Chefs Pizza of the day haven't let me down yet... We don't even ask that we command it! The Chefs' Board is pretty good too! My Fav dish is now the Broccolini - super simple but it's just so light/fresh and make sure you try the Bucatini & Meatballs if your for their happy hour. Impressive sensation open to her - super friendly staff. The bartenders are super - I mean the dark brown name was Nicole - works the weekend and knows how to make a medium bloody / red Rooster in their case. The parking situation / Valet is a bit boring but remember the sign said ""Complimentary"" not mandatory - park your car yourself if you want."
4,"Cibo is positively adorable.  I love the atmosphere.  I love the little house, and the yard.  I love the excessively busy yet amazingly friendly servers.  I love the iced tea.  I love the bread.  I love the Antipasto plate.  I love making ad-hoc bruchetta out of said bread and Antipasto.  I love the margherita pizza. Just on a Thursday afternoon alone, I dont think Id ever come with a large group of people.  It just doesnt seem like a wise life decision. Really? Its love overall.  Love, love, love, love.  When I can, Im dragging my family here."
4,"Cibo is really adorable. I love the atmosphere. I love the little house, and the courtyard. I love the overly busy but incredibly friendly waiters. I love iced tea. I love bread. I love Antipasto's plate. I like to make an ad-hoc bruchetta from said bread and Antipasto. I love margherita's pizza. Just a Thursday afternoon alone, I don't think I'll ever come with a large group of people. It doesn't seem like a wise decision of life. Really? Its global love. Love, love, love. When I can, I hang my family here."
4,"Cibo is really adorable. I love the atmosphere. I love the little house, and the courtyard. I love the overly busy but incredibly friendly waiters. I love iced tea. I love bread. I love Antipasto's plate. I like to make an ad-hoc bruchetta from said bread and Antipasto. I love margherita's pizza. Just a Thursday afternoon alone, I don't think I'll ever come with a large group of people. It doesn't seem like a wise decision of life. Really? Its global love. Love, love, love. When I can, I hang my family here."
5,"LOVE Chino Bandido.  The snickerdoodle cookie they give you with your meal is heaven.  Well, all of the food might actually be heaven, but usually by the time I get to the snickerdoodle I could die happy on the spot."
5,"LOVE Chino Bandido. The snickerdood biscuit they give you with your meal is paradise. Well, all the food could actually be paradise, but usually when I arrive at the snickerdood I could die happy on the spot."
5,"Ah what a beauty and wonder Camelback mountain is. However I do warn beginners to use the easier trail on the East side near Invergorden which runs north south and turns into 64th st. It is a bit of a walk from the parking through the neighborhood but the hike is less treacherous and much easier and takes you up a gradual slope to the top. Be very careful its easy to loose the trail on that side too.  Of course all the Phoenicians like to go to Echo Canyon at Mcdonald and 44th street bend. Parking can be bad at peak times on weekends--I definetely recommend late afternoon hiking, less exhaustion from heat, less crowds and a glorious sunset at the top.  Happy Hiking my Dear Phoenicians."
5,"Ah what is a beauty and a wonder Camelback mountain is. However, I warn beginners to use the easier trail on the east side near Invergorden which runs to the north south and turns in 64th m. It is a bit a walk of the parking through the neighborhood but the hike is less treacherous and much easier and takes you on a progressive slope upwards. Be very careful its easy to lose the trail on this side too. Of course all Phoenicians like to go to Echo Canyon in McDonald and 44th turn street. Parking can be bad at peak times on weekends---I clearly recommend the end of the afternoon hiking, less exhaustion of heat, less crowds and a glorious sunset at the top."
5,"Ah what is a beauty and a wonder Camelback mountain is. However, I warn beginners to use the easier trail on the east side near Invergorden which runs to the north south and turns in 64th m. It is a bit a walk of the parking through the neighborhood but the hike is less treacherous and much easier and takes you on a progressive slope upwards. Be very careful its easy to lose the trail on this side too. Of course all Phoenicians like to go to Echo Canyon in McDonald and 44th turn street. Parking can be bad at peak times on weekends---I clearly recommend the end of the afternoon hiking, less exhaustion of heat, less crowds and a glorious sunset at the top."
5,"LOVE Chino Bandido. The snickerdood biscuit they give you with your meal is paradise. Well, all the food could actually be paradise, but usually when I arrive at the snickerdood I could die happy on the spot."
4,"This place has been around forever. I started coming here when I was 5 or 6, especially when my grandpa came to town from Cincinnati. He loved it.  The whole ""wild west"" theme prevails, and it is fun to think about cowboys and times gone by. I liked the sasparilla when I was a kid, I dont think Ive ever had it anywhere else.  Last time I was in Phoenix we went again, and while the quality of the food has maybe slid a bit since I was 5 ( um, Im kinda a LOT older now), it is still cool. I like the good mood of all the visitors, its a place that inspires laughter and happy shared experience.  If you do wear a tie, wear one you dont care about, ok. Trust me on this."
4,"I started coming here when I was 5 or 6 years old, especially when my grandfather came to the city of Cincinnati. He loved it. The whole theme ""wild west"" takes it away, and it's fun to think about cowboys and past times. I liked sasparilla when I was a kid, I don't think I ever had it anywhere else. The last time I was in Phoenix, we went back, and while the quality of food may have slipped a little since I was 5 years old (um, Im a little older LOT now), it's still cool. I love the good mood of all visitors, it's a place that inspires laughter and happy shared experience."
4,"I started coming here when I was 5 or 6 years old, especially when my grandfather came to the city of Cincinnati. He loved it. The whole theme ""wild west"" takes it away, and it's fun to think about cowboys and past times. I liked sasparilla when I was a kid, I don't think I ever had it anywhere else. The last time I was in Phoenix, we went back, and while the quality of food may have slipped a little since I was 5 years old (um, Im a little older LOT now), it's still cool. I love the good mood of all visitors, it's a place that inspires laughter and happy shared experience."
4,Good mongolian bbq - more variety than most. They have some good sauces - Try the mongo bbq or dragon chili.
4,Good Mongolian bbq - more variety than most. They have some good sauces - try the Mongolian bbq or dragon chili.
1,"First off, the restaurant is dim and dark.. I thought the decor was a little off because they were going for a tropical Vietnam theme with banana trees in there and a waterfall fountain. The waiter there did not have a smile and didnt seem freindly, it looked like this was the last place he wanted to be at. The service sucked ass. I mean come on, there was only two tables including mines and 3.9/4 of the time, he didnt check up on us or refilled our water and we had to walk up to ask for our bill.. like seriously...? Are you that lazy. Bun Bo Hue was skimpy on the meat and had little veggies on the side. Pho had a rancid smell. Noodles in my sisters bun thit nuong were hard and watery (seemed like they were super old) Overall, I wouldnt recommend to ANYBODY."
1,"First of all, the restaurant is dark and dark.. I thought the decor was a little off because they were going for a Vietnam tropical theme with banana trees in it and a waterfall fountain. The waiter there didn't have a smile and didn't seem brakedly, it seemed that it was the last place where he wanted to be. The service sucked his ass. I mean come, there were only two tables including mines and 3.9/4 of the time, he didn't check on us or filled our water and we had to walk up to ask our bill... as seriously...? Are you this lazy. Bun Bo Hue was foamed on meat and had few vegetables on the side. Pho had a rancid smell."
1,"First of all, the restaurant is dark and dark.. I thought the decor was a little off because they were going for a Vietnam tropical theme with banana trees in it and a waterfall fountain. The waiter there didn't have a smile and didn't seem brakedly, it seemed that it was the last place where he wanted to be. The service sucked his ass. I mean come, there were only two tables including mines and 3.9/4 of the time, he didn't check on us or filled our water and we had to walk up to ask our bill... as seriously...? Are you this lazy. Bun Bo Hue was foamed on meat and had few vegetables on the side. Pho had a rancid smell."
4,Good Mongolian bbq - more variety than most. They have some good sauces - try the Mongolian bbq or dragon chili.
3,"Just kind of there with nothing special about this convention center. And the Phoenix downtown area is pretty boring and sparse except for the baseball stadium right next to it with some cool bars and restaurants. When there isnt a game, this area seems pretty dead. Bottom line: Ho hum. Baseball stadium nearby is great entertainment option but can be a pain with all the traffic if you are trying to get out of the convention center area in the evening."
3,"Just a kind of place with nothing special in this convention center. And the downtown area of Phoenix is pretty boring and sparse, except for the baseball stadium right next door with some cool bars and restaurants. When there's not a game, this area seems pretty dead."
3,"Just a kind of place with nothing special in this convention center. And the downtown area of Phoenix is pretty boring and sparse, except for the baseball stadium right next door with some cool bars and restaurants. When there's not a game, this area seems pretty dead."
1,"When I was growing up we called this the canal. In other parts of town it is still called the canal. In some places people actually fish from it. I think they die right after they eat their catch, which is why you dont see them very often. Over the years you periodically hear about dead bodies being found in the canal as well.  Google it. What is so annoying about this is that Scottsdale, is trying to make it seem like this isnt the same heinous canal thats always been there. When I heard about the development around the Scottsdale Waterfront, I couldnt figure out what they were talking about. What water? Then I started cracking up when I found out it was the canal. Come on Scottsdale, you can put a dress and lipstick on a pig, but it is still a pig. You are not fooling anyone."
1,"I think they die right after they eat their catch, which is why you don't see them very often. Over the years, you hear regularly about corpses found in the canal as well. Google it. What's so embarrassing about it that Scottsdale, try to make it look like this channel is the same as the one that's always been there. When I heard about the development around Scottsdale's seafront, I couldn't understand what they were talking about. What water? Then I started cracking when I found out it was the canal. Come on Scottsdale, you can put a dress and lipstick on a pig, but it's still a pig. You don't fool anyone."
1,"I think they die right after they eat their catch, which is why you don't see them very often. Over the years, you hear regularly about corpses found in the canal as well. Google it. What's so embarrassing about it that Scottsdale, try to make it look like this channel is the same as the one that's always been there. When I heard about the development around Scottsdale's seafront, I couldn't understand what they were talking about. What water? Then I started cracking when I found out it was the canal. Come on Scottsdale, you can put a dress and lipstick on a pig, but it's still a pig. You don't fool anyone."
3,"Closed?  Really?  It seems this place just randomly shut down, after much less than a year of being open.  Only went there once - we enjoyed the food, the ambiance, and the beer.  We recommended it to others as well.  Showed up on a Tuesday night for dinner and everything was packed up....?  A little searching on the web (Facebook, specifically) shows that theyre done.  What a shame."
3,"Closed? Really? It seems that this place just closed at random, after much less than a year of opening. It only went there once - we enjoyed the food, the atmosphere, and the beer. We recommended it to others as well. Mounted on a Tuesday night for dinner and everything was packed...? A little research on the web (Facebook, in particular) shows that they are done. What shame."
3,"Closed? Really? It seems that this place just closed at random, after much less than a year of opening. It only went there once - we enjoyed the food, the atmosphere, and the beer. We recommended it to others as well. Mounted on a Tuesday night for dinner and everything was packed...? A little research on the web (Facebook, in particular) shows that they are done. What shame."
5,"This is my favorite spot, waterfalls everywhere, beautiful flowers, fun slide, and great food!"
5,"It's my favorite place, waterfalls everywhere, beautiful flowers, fun slide, and good food!"
5,"It's my favorite place, waterfalls everywhere, beautiful flowers, fun slide, and good food!"
5,Best Thai food!!!  Order the dry garlic chicken.
5,Best Thai meal!!! Order chicken with dry garlic.
5,Best Thai meal!!! Order chicken with dry garlic.
4,"Eaten here a few times. Just finished lunch and had a great salad & sandwich. The salad I had was the spinach with poached egg, it was awesome. My taste is for savory, ""umami"", this was perfect with the egg bacon and light dressing. The chicken sandwich was good with basil and brie. Then the creme brulee with tahitian vanilla was great. Just a nice quaint place to sit outside and have a good lunch. One problem I have with Zinc Bistro is that they have Stella on tap, great right? But for $7! Thats one for $7. Come on, maybe $4. I just bought 12 for $10 at Total Wine."
4,"The salad I had was spinach with poached egg, it was great. My taste is for tasty, ""umami"", it was perfect with bacon egg and light vinaigrette. The chicken sandwich was good with basil and brie. Then the cream burned with Tahitian vanilla was great. Just a picturesque place to sit outside and have a good lunch. One problem I have with Zinc Bistro is that they have Stella on the tap, of course? But for $7! It's one for $7. Come on, maybe $4. I just bought 12 for $10 from Total Wine."
4,"The salad I had was spinach with poached egg, it was great. My taste is for tasty, ""umami"", it was perfect with bacon egg and light vinaigrette. The chicken sandwich was good with basil and brie. Then the cream burned with Tahitian vanilla was great. Just a picturesque place to sit outside and have a good lunch. One problem I have with Zinc Bistro is that they have Stella on the tap, of course? But for $7! It's one for $7. Come on, maybe $4. I just bought 12 for $10 from Total Wine."
3,Its the kinda place where youre certain the employees dont spit in your food. Best Taco Bell Ive been to.
3,That's the kind of place you're sure employees don't spit in your food.
3,That's the kind of place you're sure employees don't spit in your food.
3,"Its been a few weeks since Ive eaten here..but its only now that I have time to write this long, overdue review. Hm...its upscale...kind of comparable to Mikunis in Sac...but their menu is to some extent, smaller and less tasty.  I dont recall exactly what i ordered but...I wouldnt recommend this place to friends.  It was okay, nothing that stood out...and trust me, food, when its good...it sticks with me.  :)   Without further a due, edible but i would never crave for it again."
