class,text
1,Prints very clean copy!
1,Print a very clean copy!
1,Print a very clean copy!
1,Print a very clean copy!
1,Print a very clean copy!
1,"cheap, excellent photo-color, acceptable resolution, excellent software"
1,"cheap, excellent photocolor, acceptable resolution, excellent software"
1,"cheap, excellent photocolor, acceptable resolution, excellent software"
1,"cheap, excellent photocolor, acceptable resolution, excellent software"
1,"cheap, excellent photocolor, acceptable resolution, excellent software"
1,"Cheap, basic PDA features"
1,Basic features of cheap PDA
1,Basic features of cheap PDA
1,Basic features of cheap PDA
1,Basic features of cheap PDA
0,"Bad red-eye, high battery drain, no lens cap holder.  8MB card is small."
0,"Bad red eye, high battery draining, no bottle holder of the lens. 8MB card is small."
0,"Bad red eye, high battery draining, no bottle holder of the lens. 8MB card is small."
0,"Bad red eye, high battery draining, no bottle holder of the lens. 8MB card is small."
0,"Bad red eye, high battery draining, no bottle holder of the lens. 8MB card is small."
1,"Ease of use, standard recording medium, macro and telephoto lens, video."
1,"Ease of use, standard recording medium, macro and telephoto lens, video."
1,"Ease of use, standard recording medium, macro and telephoto lens, video."
1,"Ease of use, standard recording medium, macro and telephoto lens, video."
1,"Ease of use, standard recording medium, macro and telephoto lens, video."
0,no sound with mpeg movie mode
0,no sound with the mpeg movie mode
0,no sound with the mpeg movie mode
0,no sound with the mpeg movie mode
0,no sound with the mpeg movie mode
1,"small, light, tough, inexpensive, viewfinder"
1,"small, light, hard, cheap, viewfinder"
1,"small, light, hard, cheap, viewfinder"
1,"small, light, hard, cheap, viewfinder"
1,"small, light, hard, cheap, viewfinder"
1,Great quality for the price.
1,Excellent quality for the price.
1,Excellent quality for the price.
1,Excellent quality for the price.
1,Excellent quality for the price.
0,Will not fit in the truck of an Escort
0,Don't sign up for a Escort's truck
0,Don't sign up for a Escort's truck
0,Don't sign up for a Escort's truck
0,Don't sign up for a Escort's truck
0,Print quality of graphics not the brightest
0,The printing quality of the graphics is not the brightest
0,The printing quality of the graphics is not the brightest
0,The printing quality of the graphics is not the brightest
0,The printing quality of the graphics is not the brightest
0,"Can't change the faceplates, battery-life could be longer..."
0,"We can't change the plates, the battery life could be longer..."
0,"We can't change the plates, the battery life could be longer..."
0,"We can't change the plates, the battery life could be longer..."
0,"We can't change the plates, the battery life could be longer..."
0,"Bluetooth not so convenient sometimes, MP3 Player memory is a joke."
0,"Bluetooth not so convenient sometimes, MP3 Player memory is a joke."
0,"Bluetooth not so convenient sometimes, MP3 Player memory is a joke."
0,"Bluetooth not so convenient sometimes, MP3 Player memory is a joke."
0,"Bluetooth not so convenient sometimes, MP3 Player memory is a joke."
1,"Fits in jeans coin pocket, conversation starter everywhere"
1,"Fits in the jeans room pocket, conversation starter everywhere"
1,"Fits in the jeans room pocket, conversation starter everywhere"
1,"Fits in the jeans room pocket, conversation starter everywhere"
1,"Fits in the jeans room pocket, conversation starter everywhere"
1,"Relatively small, reliable."
1,"Relatively small, reliable."
1,"Relatively small, reliable."
1,"Relatively small, reliable."
1,"Relatively small, reliable."
0,none....i guess the price
0,None... I guess the price
0,None... I guess the price
0,None... I guess the price
0,None... I guess the price
0,"battery doesn't last long, phone directory is not easy to use"
0,"battery does not last long, phone directory is not easy to use"
0,"battery does not last long, phone directory is not easy to use"
0,"battery does not last long, phone directory is not easy to use"
0,"battery does not last long, phone directory is not easy to use"
0,Larger and heavier than some digitals.
0,Larger and heavier than some digital ones.
0,Larger and heavier than some digital ones.
0,Larger and heavier than some digital ones.
0,Larger and heavier than some digital ones.
0,"Crappy camera, terrible colors and poor speaker volume, does not support MP3s"
0,"Crunchy camera, terrible colors and poor speaker volume, does not support MP3s"
0,"Crunchy camera, terrible colors and poor speaker volume, does not support MP3s"
0,"Crunchy camera, terrible colors and poor speaker volume, does not support MP3s"
0,"Crunchy camera, terrible colors and poor speaker volume, does not support MP3s"
0,No extras
0,No extras
0,No extras
0,No extras
0,No extras
0,Big. Takes up alot of space on my desk though.
0,He's taking a lot of space on my desk.
0,He's taking a lot of space on my desk.
0,He's taking a lot of space on my desk.
0,He's taking a lot of space on my desk.
0,"cheap plastics do not contribute to solid feel, lack of optical zoom"
0,"cheap plastics do not contribute to the solid feeling, lack of optical zoom"
0,"cheap plastics do not contribute to the solid feeling, lack of optical zoom"
0,"cheap plastics do not contribute to the solid feeling, lack of optical zoom"
0,"cheap plastics do not contribute to the solid feeling, lack of optical zoom"
0,none
0,none
0,none
0,none
0,none
0,No matte paper from Canon. Had a little trouble feeding wedding envelopes.
0,I had trouble feeding the wedding envelopes.
0,I had trouble feeding the wedding envelopes.
0,I had trouble feeding the wedding envelopes.
0,I had trouble feeding the wedding envelopes.
1,"Features, compact size"
1,"Features, compact size"
1,"Features, compact size"
1,"Features, compact size"
1,"Features, compact size"
0,none
0,none
0,none
0,none
0,none
1,"good for all types of files and formats, easy to use"
1,"good for all types of files and formats, easy to use"
1,"good for all types of files and formats, easy to use"
1,"good for all types of files and formats, easy to use"
1,"good for all types of files and formats, easy to use"
0,no print preview built into the driver/print quality greatly deteriorates over time
0,no integrated print preview in the driver / print quality deteriorates considerably over time
0,no integrated print preview in the driver / print quality deteriorates considerably over time
0,no integrated print preview in the driver / print quality deteriorates considerably over time
0,no integrated print preview in the driver / print quality deteriorates considerably over time
1,"Good sound, reception, and battery life, great screen, broadband, speakerphone large phone book, transflash"
1,"Good sound, reception, and battery life, large screen, broadband, large phone directory speaker, transflash"
1,"Good sound, reception, and battery life, large screen, broadband, large phone directory speaker, transflash"
1,"Good sound, reception, and battery life, large screen, broadband, large phone directory speaker, transflash"
1,"Good sound, reception, and battery life, large screen, broadband, large phone directory speaker, transflash"
1,Simple and solid.  No whiz-bang junk to break or malfunction.
1,Simple and solid. No junk food to break or malfunction.
1,Simple and solid. No junk food to break or malfunction.
1,Simple and solid. No junk food to break or malfunction.
1,Simple and solid. No junk food to break or malfunction.
0,I do not like the way it feeds the paper in
0,I don't like the way he feeds paper.
0,I don't like the way he feeds paper.
0,I don't like the way he feeds paper.
0,I don't like the way he feeds paper.
1,"Large Screen, Reception, Software"
1,"Large screen, Reception, Software"
1,"Large screen, Reception, Software"
1,"Large screen, Reception, Software"
1,"Large screen, Reception, Software"
1,"Small Size, BIG Capabilities"
1,"Small size, large capacity"
1,"Small size, large capacity"
1,"Small size, large capacity"
1,"Small size, large capacity"
1,"High resolution, right size, good preview, powerful zoom"
1,"High resolution, good size, good preview, powerful zoom"
1,"High resolution, good size, good preview, powerful zoom"
1,"High resolution, good size, good preview, powerful zoom"
1,"High resolution, good size, good preview, powerful zoom"
0,see review
0,see revision
0,see revision
0,see revision
0,see revision
0,A little Slow. Uses ink up fast
0,A little slow. Use the ink quickly.
0,A little slow. Use the ink quickly.
0,A little slow. Use the ink quickly.
0,A little slow. Use the ink quickly.
1,WOW!Great quality pictures!
1,WOW!High quality images!
1,WOW!High quality images!
1,WOW!High quality images!
1,WOW!High quality images!
1,"nice quality output (especially on coated paper), quiet"
1,"pleasant quality output (especially on coated paper), quiet"
1,"pleasant quality output (especially on coated paper), quiet"
1,"pleasant quality output (especially on coated paper), quiet"
1,"pleasant quality output (especially on coated paper), quiet"
1,"more durable than most umbrella strollers, fully washable, comfortable for kids, fairly priced."
1,"More durable than most parasol strollers, fully washable, comfortable for children, at affordable prices."
1,"More durable than most parasol strollers, fully washable, comfortable for children, at affordable prices."
1,"More durable than most parasol strollers, fully washable, comfortable for children, at affordable prices."
1,"More durable than most parasol strollers, fully washable, comfortable for children, at affordable prices."
1,"Fun, relatively easy to use, makes short video clips, good pictures"
1,"Fun, relatively easy to use, made of short video clips, good images"
1,"Fun, relatively easy to use, made of short video clips, good images"
1,"Fun, relatively easy to use, made of short video clips, good images"
1,"Fun, relatively easy to use, made of short video clips, good images"
1,Lots of features and great flexibility
1,Lots of features and great flexibility
1,Lots of features and great flexibility
1,Lots of features and great flexibility
1,Lots of features and great flexibility
0,battery use
0,use of the battery
0,use of the battery
0,use of the battery
0,use of the battery
0,occasional fuzzy spots
0,occasional blurred spots
0,occasional blurred spots
0,occasional blurred spots
0,occasional blurred spots
1,"Style, Size, ease of use, pure simple feel of it."
1,"Style, Size, ease of use, pure simple sensation of it."
1,"Style, Size, ease of use, pure simple sensation of it."
1,"Style, Size, ease of use, pure simple sensation of it."
1,"Style, Size, ease of use, pure simple sensation of it."
0,"spendy, but worth it"
0,But it's worth it.
0,But it's worth it.
0,But it's worth it.
0,But it's worth it.
1,"Sleek, thin, USB connectivity, nice screen, good speakerphone"
1,"Sleek, slim, USB connectivity, nice screen, good speaker"
1,"Sleek, slim, USB connectivity, nice screen, good speaker"
1,"Sleek, slim, USB connectivity, nice screen, good speaker"
1,"Sleek, slim, USB connectivity, nice screen, good speaker"
0,none
0,none
0,none
0,none
0,none
0,A drop-in charger would be nice.
0,A drop-in charger would be good.
0,A drop-in charger would be good.
0,A drop-in charger would be good.
0,A drop-in charger would be good.
1,"Inexpensive, fun software, 3.0 has a flash!"
1,"Cheap software, fun, 3.0 has a flash!"
1,"Cheap software, fun, 3.0 has a flash!"
1,"Cheap software, fun, 3.0 has a flash!"
1,"Cheap software, fun, 3.0 has a flash!"
0,"To many to list- chiefly, difficulty with programming phone book and reception."
0,"For many to list - mainly, difficulty programming the phone book and reception."
0,"For many to list - mainly, difficulty programming the phone book and reception."
0,"For many to list - mainly, difficulty programming the phone book and reception."
0,"For many to list - mainly, difficulty programming the phone book and reception."
1,Need i say more
1,I need to say more.
1,I need to say more.
1,I need to say more.
1,I need to say more.
0,"Aborting, centering"
0,"Abortion, center"
0,"Abortion, center"
0,"Abortion, center"
0,"Abortion, center"
1,"Inexpensive, setup is easy, works properly in Windows 98, easy to use"
1,"Unfathomable, installation is easy, works properly in Windows 98, easy to use"
1,"Unfathomable, installation is easy, works properly in Windows 98, easy to use"
1,"Unfathomable, installation is easy, works properly in Windows 98, easy to use"
1,"Unfathomable, installation is easy, works properly in Windows 98, easy to use"
1,"Quality print outs with perfect color, fast, and easy to use."
1,"Quality printing with perfect color, fast and easy to use."
1,"Quality printing with perfect color, fast and easy to use."
1,"Quality printing with perfect color, fast and easy to use."
1,"Quality printing with perfect color, fast and easy to use."
1,Service is great in certain areas
1,Service is excellent in some areas
1,Service is excellent in some areas
1,Service is excellent in some areas
1,Service is excellent in some areas
1,"Bang for the Buck, Mega-pixel, LCD for under $300"
1,"Bang for Buck, Mega-pixel, LCD for less than $300"
1,"Bang for Buck, Mega-pixel, LCD for less than $300"
1,"Bang for Buck, Mega-pixel, LCD for less than $300"
1,"Bang for Buck, Mega-pixel, LCD for less than $300"
0,"vibrating ringer is somewhat ""weak"""
0,"vibrator is a little ""weak"""
0,"vibrator is a little ""weak"""
0,"vibrator is a little ""weak"""
0,"vibrator is a little ""weak"""
1,"Good price, easy to use, storage on floppy disks"
1,"Good price, easy to use, storage on diskettes"
1,"Good price, easy to use, storage on diskettes"
1,"Good price, easy to use, storage on diskettes"
1,"Good price, easy to use, storage on diskettes"
0,Ink consumption is little too much.
0,Ink consumption is not too important.
0,Ink consumption is not too important.
0,Ink consumption is not too important.
0,Ink consumption is not too important.
0,Some ergonomic problems
0,Some ergonomic problems
0,Some ergonomic problems
0,Some ergonomic problems
0,Some ergonomic problems
0,You must have an independent electrical circuit for this unit.
0,You must have an independent electrical circuit for this unit.
0,You must have an independent electrical circuit for this unit.
0,You must have an independent electrical circuit for this unit.
0,You must have an independent electrical circuit for this unit.
0,Battery Problems; Hard to Find
0,Battery problems; difficult to find
0,Battery problems; difficult to find
0,Battery problems; difficult to find
0,Battery problems; difficult to find
0,Minor nozzle clogging issue in some situations
0,Minor problem of nozzle splicing in certain situations
0,Minor problem of nozzle splicing in certain situations
0,Minor problem of nozzle splicing in certain situations
0,Minor problem of nozzle splicing in certain situations
0,Print quality is not as good as a more expensive printer
0,Print quality is not as good as a more expensive printer
0,Print quality is not as good as a more expensive printer
0,Print quality is not as good as a more expensive printer
0,Print quality is not as good as a more expensive printer
1,"scheduler, games, clear signal, stylish."
1,"planner, games, clear signal, elegant."
1,"planner, games, clear signal, elegant."
1,"planner, games, clear signal, elegant."
1,"planner, games, clear signal, elegant."
1,"Excellent build quality, durable, great resolution and clarity, Nikon lenses are among the best"
1,"Excellent quality of construction, durable, high resolution and clarity, Nikon lenses are among the best"
1,"Excellent quality of construction, durable, high resolution and clarity, Nikon lenses are among the best"
1,"Excellent quality of construction, durable, high resolution and clarity, Nikon lenses are among the best"
