class,text
0,"with flashbulb editing as cover for the absence of narrative continuity , undisputed is nearly incoherent , an excuse to get to the closing bout ... by which time it 's impossible to care who wins ."
1,"the film 's strength is n't in its details , but in the larger picture it paints - of a culture in conflict with itself , with the thin veneer of nationalism that covers our deepest , media-soaked fears ."
0,deserving of its critical backlash and more .
0,its appeal will probably limited to lds church members and undemanding armchair tourists .
0,"the movie is dawn of the dead crossed with john carpenter 's ghosts of mars , with zombies not as ghoulish as the first and trains not as big as the second ."
1,"on the granger movie gauge of 1 to 10 , the powerpuff girls is a fast , frenetic , funny , even punny 6 -- aimed specifically at a grade-school audience ."
1,"the movie itself is far from disappointing , offering an original take on courtroom movies , a few nifty twists that are so crucial to the genre and another first-rate performance by top-billed star bruce willis ."
1,an ebullient tunisian film about the startling transformation of a tradition-bound widow who is drawn into the exotic world of belly dancing .
1,a zinger-filled crowd-pleaser that open-minded elvis fans -lrb- but by no means all -rrb- will have fun with .
0,"... unspeakably , unbearably dull , featuring reams of flatly delivered dialogue and a heroine who comes across as both shallow and dim-witted ."
0,sewer rats could watch this movie and be so skeeved out that they 'd need a shower .
1,george lucas returns as a visionary with a tale full of nuance and character dimension .
1,part of the charm of satin rouge is that it avoids the obvious with humour and lightness .
1,"chicago offers much colorful eye candy , including the spectacle of gere in his dancing shoes , hoofing and crooning with the best of them ."
1,"thought-provoking and stylish , if also somewhat hermetic ."
0,hip-hop rarely comes alive as its own fire-breathing entity in this picture .
0,"... while each moment of this broken character study is rich in emotional texture , the journey does n't really go anywhere ."
0,i still want my money back .
1,"the re-release of ron howard 's apollo 13 in the imax format proves absolutely that really , really , really good things can come in enormous packages ."
0,"the most memorable moment was when green threw medical equipment at a window ; not because it was particularly funny , but because i had a serious urge to grab the old lady at the end of my aisle 's walker and toss it at the screen in frustration ."
1,griffin & co. manage to be spectacularly outrageous .
0,gaping plot holes sink this ` sub ' - standard thriller and drag audience enthusiasm to crush depth .
1,the chateau cleverly probes the cross-cultural differences between gauls and yanks .
1,kinnear ... gives his best screen performance with an oddly winning portrayal of one of life 's ultimate losers .
1,there 's much tongue in cheek in the film and there 's no doubt the filmmaker is having fun with it all .
1,demonstrates a vivid imagination and an impressive style that result in some terrific setpieces .
0,"the film contains no good jokes , no good scenes , barely a moment when carvey 's saturday night live-honed mimicry rises above the level of embarrassment ."
1,"a solid , psychological action film from hong kong ."
0,"haneke 's script -lrb- from elfriede jelinek 's novel -rrb- is contrived , unmotivated , and psychologically unpersuasive , with an inconclusive ending ."
1,"efficient , suitably anonymous chiller ."
0,"loosely speaking , we 're in all of me territory again , and , strictly speaking , schneider is no steve martin ."
0,do n't be fooled by the impressive cast list - eye see you is pure junk .
1,but mr. polanski creates images even more haunting than those in mr. spielberg 's 1993 classic .
1,"entirely suspenseful , extremely well-paced and ultimately ... dare i say , entertaining !"
1,elvira fans could hardly ask for more .
1,the entire movie establishes a wonderfully creepy mood .
1,"awesome work : ineffable , elusive , yet inexplicably powerful"
