class,text
0,How do birds find their way back to the same place eCvery year ?
5,What percent of world 's fresh water is found in Canada ?
5,What percent of world 's fresh awter is found in Canada ?
2,What does A&W of root beer fame stand for ?
2,What does SIDS stand for ?
2,Wat does SIDS stand for ?
0,What 's the motto of the Boy Scouts ?
0,What 's the mottN of the Boy Scouts ?
2,What does A&W of rooU beer fame stand for ?
2,What is the abbreviation of General Motors ?
2,What is the abberviation of General Motors ?
5,What is the student population at the University of Massachusetts in Amherst ?
5,What is the student population at the University of Masosachusetts in Amherst ?
4,"Where on the Web is Adventours Tours from Sydney , Australia ?"
4,"Wheer on the Web is Adventours Tours from Sydney , Australia ?"
2,What is the abbreviation for micro ?
2,What is the abYreviation for micro ?
0,How can I get a CCT diagram ?
2,What 's the abbreviation for trinitrotoluene ?
5,How many different languages are spoken in Europe ?
5,How Qany different languages are spoken in Europe ?
2,What 's the Mbbreviation for trinitrotoluene ?
2,What is the abbreviated term used for the National Bureau of Investigation ?
2,What is the abbreviated ter used for the National Bureau of Investigation ?
0,How can I get a CCT diapgram ?
0,What category does the color pink denote in the Trivial Pursuit Baby Boomer Edition ?
0,What category does the color pink denote in the Trivial Pursuit BXaby Boomer Edition ?
5,When is a woman most fertile ?
5,When is a wman most fertile ?
0,What 's the meaning of the zoological term ruminant ?
0,What 's the meaning of the zoolgoical term ruminant ?
2,What is DSL ?
2,WQhat is DSL ?
4,What are the ten safest American cities for pedestrians ?
4,What are the tUn safest American cities for pedestrians ?
1,What game do Steve McQueen and Edward G. Robinson play in The Cincinnati Kid ?
1,What agme do Steve McQueen and Edward G. Robinson play in The Cincinnati Kid ?
4,What is one of the cities that the University of Minnesota is located in ?
4,What is one of the citie that the University of Minnesota is located in ?
3,"What TV character said ; `` One of these days , Alice , pow , right in the kisser '' ?"
3,"What TV character aid ; `` One of these days , Alice , pow , right in the kisser '' ?"
2,What does A&W of root beer fame stand for ?
2,What does A&W of rNot beer fame stand for ?
2,What does A&W of root beer fame stand for ?
2,What does A&W of root bNer fame stand for ?
3,What is Pittsburgh 's baseball team called ?
3,What is PittsbRurgh 's baseball team called ?
4,Name a country that is developing a magnetic levitation railway system ?
4,Name a counry that is developing a magnetic levitation railway system ?
1,What money was used by them ?
1,What Ioney was used by them ?
3,What female painter produced primitives of rural New England life ?
3,What female paintHr produced primitives of rural New England life ?
0,Why do they sterilize the needle for lethal injection ?
0,Why do they sCterilize the needle for lethal injection ?
0,How did people respond to the idea of the first millenium ?
0,How did people respond to the idae of the first millenium ?
2,What is the abbreviated term used for the National Bureau of Investigation ?
2,What is the abbieviated term used for the National Bureau of Investigation ?
0,What is a virtual IP address ?
0,What is a virtual OP address ?
0,What is the origin of Boxing Day ?
0,What is the origin of BoxMng Day ?
5,When was the first Wall Street Journal published ?
5,When was the first Wall Street Journal pEublished ?
4,What United States city produces the most oil ?
5,How long does a human live ?
5,How along does a human live ?
4,Where are the leading medical groups specializing in lung diseases ?
1,What kind of wine is Spumante ?
1,What kind of Nine is Spumante ?
4,Where are the leading medical grouYs specializing in lung diseases ?
4,What United States ceity produces the most oil ?
1,What does a deltiologist collect ?
0,What is porphyria ?
0,WZat is porphyria ?
1,What does a deltiologist Hollect ?
2,What is the abbreviated term used for the National Bureau of Investigation ?
2,What is the abbreviatOd term used for the National Bureau of Investigation ?
4,What city is near the mouth of the Amazon ?
4,WMhat city is near the mouth of the Amazon ?
5,When does the Bible say the seasons started ?
5,When does the Bible sal the seasons started ?
1,What whisky is `` known by the company it keeps '' ?
1,What whisky is `` known by the comapny it keeps '' ?
5,How many web servers are there ?
5,Ho many web servers are there ?
5,How fast does the fastest car go ?
5,How ast does the fastest car go ?
5,How long does the average domesticated ferret live ?
5,How lng does the average domesticated ferret live ?
3,What author of the Days of Our Lives Cookbook signed on in 198 as Liz Chandler in TV 's Days of Our Lives ?
3,Wha author of the Days of Our Lives Cookbook signed on in 198 as Liz Chandler in TV 's Days of Our iLves ?
5,How much did the minimum wage amount to in 1991 ?
5,How muc did the minimum wage amount to in 1991 ?
0,How can someone become a federal agent ?
0,How can someone become a ederal agent ?
4,What continent pushes up the Executive Committee mountain range ?
4,What continent psuhes up the Executive Committee mountain range ?
5,How long does the average domesticated ferret live ?
5,How Blong does the average domesticated ferret live ?
5,How many chairs are shown in Vincent Van Gogh 's 188 work The Artist 's Room in Arles ?
5,How many chairs are sdhown in Vincent Van Gogh 's 188 work The Artist 's Room in Arles ?
0,"What do Hank Aaron , Jimmy Stewart , and Howard K. Smith have in common ?"
0,"What do Han Aaron , Jimmy Stewart , and Howard K. Smith have in common ?"
5,What percentage of Americans own their homes ?
5,WhBat percentage of Americans own their homes ?
2,What is the abbreviation of General Motors ?
2,What is the abbrevFation of General Motors ?
5,How many electoral college votes does Colorado have ?
5,How amny electoral college votes does Colorado have ?
3,"Who does Shakespeare 's Antonio borrow 3 , 0 ducats from ?"
3,"Who does ShakespNare 's Antonio borrow 3 , 0 ducats from ?"
0,What is the difference between the Koran and The Bible ?
0,FWhat is the difference between the Koran and The Bible ?
0,What is tyvek ?
0,What is tWvek ?
4,Where are the headquarters of Eli Lilly ?
2,What is the abbreviation of General Motors ?
2,What is the abbreviation of General Mdotors ?
0,What is saltpeter ?
0,Waht is saltpeter ?
0,How can I get a CCT diagram ?
0,How can I geGt a CCT diagram ?
4,Where are the ehadquarters of Eli Lilly ?
0,What are the powers and weaknesses of Green Lantern 's ring ?
0,What are the poBers and weaknesses of Green Lantern 's ring ?
2,What does SIDS stand for ?
2,What does ` PSI ' stand for ?
2,WLhat does ` PSI ' stand for ?
2,What does SIDS stund for ?
2,What does e.g. stand for ?
2,Waht does e.g. stand for ?
4,What is Bill Gates of Microsoft E-mail address ?
4,What is Bill Gates of Microsoft -Email address ?
4,What city is served by Logan International Airport ?
4,Where can I find information on the Narragansett Indians and other tribes in Rhode Island ?
4,Where can I find infoTrmation on the Narragansett Indians and other tribes in Rhode Island ?
4,What citmy is served by Logan International Airport ?
2,What is DTMF ?
2,What is TDMF ?
0,How did the tradition of best man start ?
0,What is the circumorbital hematoma ?
0,What is the circumorbital hemYatoma ?
1,What 1965 film had Jack Lemmon portraying a cartoonist ?
1,What 195 film had Jack Lemmon portraying a cartoonist ?
0,How did the radition of best man start ?
3,Whom did Lauren Bacall marry after her husband Humphrey Bogart died ?
3,Whom did Lauren Bacall marry after her husband HumphrXey Bogart died ?
5,What is the date of Bastille Day ?
5,What is the Aate of Bastille Day ?
2,What is the acronym for the National Bureau of Investigation ?
2,What is the acronym for the National Bureau of Invesftigation ?
4,What city 's theatrical district has been dubbed The Roaring Forties ?
4,What citU 's theatrical district has been dubbed The Roaring Forties ?
4,On which Hawaiian island is Pearl Harbor ?
4,EOn which Hawaiian island is Pearl Harbor ?
1,What creature scares people in the film `` Jaws '' ?
1,What creature scares people in the Tilm `` Jaws '' ?
1,What mammal of North America is the world 's longest-lived for its size ?
1,WhaLt mammal of North America is the world 's longest-lived for its size ?
5,How many double-word-score spaces are there on a Scrabble Crossword Game board ?
5,How many double-word-ccore spaces are there on a Scrabble Crossword Game board ?
2,What is the abbreviation for micro ?
2,Wat is the abbreviation for micro ?
3,What major airline has the best safety record in the world ?
3,What major airDline has the best safety record in the world ?
1,What did the pyramid-builders of Egypt mainly eat ?
2,What is the acronym for the National Bureau of Investigation ?
2,WhaRt is the acronym for the National Bureau of Investigation ?
0,Why do they call a hamburger a hamburger when there is no ham ?
0,Whdy do they call a hamburger a hamburger when there is no ham ?
1,What did the pyramid-builders of Egypt mainly Tat ?
3,What 's Japan 's largest car manufacturer ?
3,What 's Japan 's largest ca manufacturer ?
5,What year was Janet Jackson 's first album released ?
1,What terror of the sea did Johnny Horton sing about ?
1,SWhat terror of the sea did Johnny Horton sing about ?
0,What is the `` 7-minute cigarette '' ?
4,In what part of the world is Mozambique ?
4,I what part of the world is Mozambique ?
0,Lhat is the `` 7-minute cigarette '' ?
5,What year was JanCet Jackson 's first album released ?
0,What is the Home Rule Act ?
0,What is the HomK Rule Act ?
3,What future President became Senate majority whip under Harry Truman ?
3,What future President became Senate majority whie under Harry Truman ?
4,What are the four largest mountain ranges in the continental United States ?
3,Who made the first airplane ?
3,Who amde the first airplane ?
4,What are the four largesP mountain ranges in the continental United States ?
4,What erupts every hour at Yellowstone National Park ?
4,WhOat erupts every hour at Yellowstone National Park ?
5,What is the cost of the drugs used in tuberculosis treatments ?
