class,text
1,"reliability, printing quality, ease of set-up &amp;amp; use"
1,"reliability, printing quality, ease of set-up &;amp; use"
1,the communication works
1,communication works
1,the communication works
1,it has lexmark technology
1,has lexmark technology
1,the works
0,Difficult to adjust to low light settings.
0,Difficult to adjust to light settings.
1,"Style and substance, compact size, loaded with features."
1,"Style and substance, compact size, loaded features."
0,Support and parts are difficult.
0,Support and are difficult.
1,"durablity, print quality"
1,", print quality"
0,Price of Ink Cartridges
1,"durablity, print quality"
1,"durablity, quality"
1,Great Camera for $900-$1200 range
1,Camera for $900-$1200 range
0,Price Ink Cartridges
0,"short battery life, annoying glare, need to restart Mac every time you want to transfer pictures"
0,"short battery life, annoying glare, need to restart Mac every time you want to transfer "
0,Gotta find a belt clip somewhere
0,Gotta a belt clip somewhere
1,Simple &amp;amp; easy to use!
1,Simple &amp;; easy to use!
0,Some ergonomic problems
0,Some ergonomic 
0,Some ergonomic problems
0,Some problems
1,"One piece design,contoured shape,performance,menus are intuitive,rugged."
1,"Excellent build quality, durable, great resolution and clarity, Nikon lenses are among the best"
1,"Excellent build quality, durable, great resolution and clarity, Nikon lenses among the best"
1,"One design,contoured shape,performance,menus are intuitive,rugged."
0,Battery Problems; Hard to Find
0,Battery Problems; Hard Find
1,"cheap purchase price, low cost ink"
1,"cheap price, low cost ink"
0,none if you are not a professional photographer
0,none if are not a professional photographer
0,NO OPTICAL ZOOM LENS
0,NO OPTICAL LENS
0,"vibrating ringer is somewhat ""weak"""
0,"ringer is somewhat ""weak"""
1,Excellent photograph reproduction. Crisp Text. (when it works)
1,Excellent photograph reproduction. Crisp Text. (when it)
0,Needs a lot of light
0,Needs a lot light
1,"For the price, it is a great printer"
1,"For the price, is a great printer"
0,You must have an independent electrical circuit for this unit.
0,You must have an electrical circuit for this unit.
1,"Good reception, assignable ringtones, easy to read screen and navigation, good bat life"
1,"Good reception, assignable ringtones, easy read screen and navigation, good bat life"
0,guide is online-only (bleh)
0,guide is (bleh)
0,none....i guess the price
0,....i guess the price
1,"Inexpensive, fun software, 3.0 has a flash!"
1,"Inexpensive, fun software, 3.0 a flash!"
1,"Astounding Photo-quality prints, fast, quiet, sleek, economic (ink), versatile"
1,"Astounding Photo-quality prints, fast, quiet, sleek, economic (), versatile"
0,No audio in movie mode.
0,No audio in mode.
0,no print preview built into the driver/print quality greatly deteriorates over time
0,no print preview built into driver/print quality greatly deteriorates over time
0,A bit slow when processing
0,A bit slow processing
1,It's small and cheap
1,It's and cheap
0,"Some options are slow, but can be expected"
0,"Some options are slow, but can be "
0,Terrible reception
0,Terrible 
0,Terrible reception
0,reception
0,"Flash, Pictures, Software, Drivers"
0,", Pictures, Software, Drivers"
1,"12 ppm, 600x 600 resolution, AFFORDABLE!"
1,"12 ppm, 600 resolution, AFFORDABLE!"
1,Ease of use; full featured; excellent scanner and speed(see review)
1,"This phone is small, a unique color, and has a nice color screen."
1,"This phone is small, a unique color, and a nice color screen."
1,Ease of use; featured; excellent scanner and speed(see review)
1,"USB, memory stick, zoom, movies"
