class,text
1,Long battery life.  Compact size.  Nice color screen.
1,Long batteries life.  Compact size.  Nice color screen.
1,Long battery vie.  Compact size.  Nice color screen.
1,Long piling life.  Compact size.  Nice color screen.
1,Longue battery life.  Compact size.  Nice color screen.
1,Excellent quality
1,Delightful quality
1,Exemplary quality
1,Magnifique quality
1,Wonderful quality
1,Excellent high resolution photos with 35mm camera functions
1,Delightful high resolution photos with 35mm camera functions
1,Excellent high resolution photos with 35mm camera function
1,Excellent high resolve photos with 35mm camera functions
1,Phenomenal high resolution photos with 35mm camera functions
0,Bigger than the S100 Powershot Elph
0,Broader than the S100 Powershot Elph
0,Hugest than the S100 Powershot Elph
0,Stronger than the S100 Powershot Elph
0,Wider than the S100 Powershot Elph
0,No matte paper from Canon. Had a little trouble feeding wedding envelopes.
0,No matte paper from Canon. Had a little trouble eating wedding envelopes.
0,No matte paper from Canon. Had a little trouble feeding weddings envelopes.
0,No matte paper from Canon. Had a petit trouble feeding wedding envelopes.
0,No matte paper from Canon. Had a scant trouble feeding wedding envelopes.
0,"Support, quality, reliability"
0,"Helps, quality, reliability"
0,"Support, quality, trustworthy"
0,"Supporting, quality, reliability"
0,"Supports, quality, reliability"
1,"Works great out of the box, outstanding picture quality, battery flexibility"
1,"Collaborate great out of the box, outstanding picture quality, battery flexibility"
1,"Works fabulous out of the box, outstanding picture quality, battery flexibility"
1,"Works great out of the box, outstanding imaging quality, battery flexibility"
1,"Works large out of the box, outstanding picture quality, battery flexibility"
1,Durable
1,Durable
1,Enduring
1,Lasting
1,Sustainable
0,Terrible reception
0,Abysmal reception
0,Dreaded reception
0,Heinous reception
0,Terrible hospitality
1,"Small, light, excellent color reproduction, web cam, 20 sec video"
1,"Small, light, excellent color procreation, web cam, 20 sec video"
1,"Small, light, exemplary color reproduction, web cam, 20 sec video"
1,"Small, light, funky color reproduction, web cam, 20 sec video"
1,"Small, light, terrific color reproduction, web cam, 20 sec video"
1,"Affordable, if not free with computer packages."
1,"Affordable, if not extricate with computer packages."
1,"Affordable, if not free with computer packaging."
1,"Affordable, if not free with computer packing."
1,"Approachable, if not free with computer packages."
0,"Aborting, centering"
0,"Aborting, centre"
0,"Aborting, centro"
0,"Foil, centering"
0,"Foiled, centering"
1,"Easy to use, good clear picture, good software."
1,"Easy to employs, good clear picture, good software."
1,"Easy to use, good clear imaging, good software."
1,"Easy to use, good clear photo, good software."
1,"Easy to use, good lucid picture, good software."
0,"Battery life, form factor."
0,"Battery life, shape factor."
0,"Battery vida, form factor."
0,"Piles life, form factor."
0,"Piling life, form factor."
1,"Great images, feature rich"
1,"Great images, characteristics rich"
1,"Great images, feature affluent"
1,"Great images, featuring rich"
1,"Splendid images, feature rich"
0,Will not fit in the truck of an Escort
0,Will not fit in the truck of an Accompanies
0,Will not fit in the truck of an Accompanying
0,Will not fitting in the truck of an Escort
0,Willingness not fit in the truck of an Escort
1,"2xAAs,USB,NTSC Videos-sound, Semi pro, automatic lense cover,aluminium case"
1,"2xAAs,USB,NTSC Videos-sound, Semi pro, automatic lense cover,aluminium cases"
1,"2xAAs,USB,NTSC Videos-sound, Semi pro, automatic lense cover,aluminium example"
1,"2xAAs,USB,NTSC Videos-sound, Semi pro, automatic lense covering,aluminium case"
1,"2xAAs,USB,NTSC Videos-sound, Semi pro, automation lense cover,aluminium case"
1,Price
1,Cost
1,Priced
1,Prices
1,Prizes
1,"Size, Weight, Features, Low Radiation Level!"
1,"Size, Weighs, Features, Low Radiation Level!"
1,"Size, Weight, Characteristic, Low Radiation Level!"
1,"Size, Weight, Features, Low Radioactive Level!"
1,"Size, Weighted, Features, Low Radiation Level!"
0,"batteries used up very fast, no optical zoom"
0,"batteries used up very expeditiously, no optical zoom"
0,"batteries used up very hurry, no optical zoom"
0,"batteries used up very prompt, no optical zoom"
0,"batteries utilise up very fast, no optical zoom"
1,"When it is working, it is spectacular."
1,"When it is collaborating, it is spectacular."
1,"When it is work, it is spectacular."
1,"When it is working, it is wondrous."
1,"Whenever it is working, it is spectacular."
1,It cannot be any easier to use.  Good photo quality for price range.
1,It cannot be any easier to use.  Alright photo quality for price range.
1,It cannot be any easier to use.  Good images quality for price range.
1,It cannot be any easier to use.  Good photographed quality for price range.
1,It cannot be any easier to use.  Good pictures quality for price range.
1,"Easy to use, good photos"
1,"Easy to use, good photograph"
1,"Easy to use, good visuals"
1,"Easy to using, good photos"
1,"Easy to utilised, good photos"
1,"Color screen, light weight, polyphonic ring, downloadable software, good signal retention"
1,"Color screen, light weighed, polyphonic ring, downloadable software, good signal retention"
1,"Color screen, light weighs, polyphonic ring, downloadable software, good signal retention"
1,"Color screen, light weight, polyphonic ring, downloadable software, good signal retaining"
1,"Colors screen, light weight, polyphonic ring, downloadable software, good signal retention"
1,"Overall a nice, easy to use printer"
1,"General a nice, easy to use printer"
1,"Overall a nice, easier to use printer"
1,"Overall a nice, easy to utilise printer"
1,"Overall a nice, easy to utilize printer"
0,None yet...
0,Nil yet...
0,None even...
0,None however...
0,Nothing yet...
1,Great picture quality
1,Great images quality
1,Great photo quality
1,Great photographic quality
1,Super picture quality
1,"Excellent call quality, bluetooth, clamshell form factor, sexy face plate."
1,"Excellent call quality, bluetooth, clamshell form factor, sexier face plate."
1,"Excellent call quality, bluetooth, clamshell form factor, sexy face platter."
1,"Glorious call quality, bluetooth, clamshell form factor, sexy face plate."
1,"Magnificent call quality, bluetooth, clamshell form factor, sexy face plate."
0,"No Digita OS, ships with little memory, no time-lapse timer."
0,"No Digita OS, freighter with little memory, no time-lapse timer."
0,"No Digita OS, ships with little remembrance, no time-lapse timer."
0,"No Digita OS, vessels with little memory, no time-lapse timer."
0,"Nope Digita OS, ships with little memory, no time-lapse timer."
1,"Size, weight, and easy to use"
1,"Size, weigh, and easy to use"
1,"Size, weight, and easy to used"
1,"Size, weight, and easy to uses"
1,"Sizing, weight, and easy to use"
0,Phone seems kinda funky sometimes? Terrible battery!
0,Phone seems kinda funky sometimes? Terrible heaps!
0,Phone seems kinda funky sometimes? Terrible piles!
0,Phone seems kinda gorgeous sometimes? Terrible battery!
0,Phone seems kinda wonderful sometimes? Terrible battery!
0,"lack of manual white balance &amp;amp; shutter speed selection, battery and CF door quality"
0,"absence of manual white balance &amp;amp; shutter speed selection, battery and CF door quality"
0,"lack of manual white balance &amp;amp; shutter speed choices, battery and CF door quality"
0,"lack of manual white balance &amp;amp; shutter speed opted, battery and CF door quality"
0,"lack of manual white balance &amp;amp; shutter speeds selection, battery and CF door quality"
1,"all in one, pcfax is great."
1,"all in one, pcfax is awesome."
1,"all in one, pcfax is sublime."
1,"all in one, pcfax is super."
1,"all in one, pcfax is whopping."
1,"Ease of operation, no downloading required."
1,"Ease of operate, no downloading required."
1,"Ease of operation, no downloading require."
1,"Ease of operation, no downloading requirement."
1,"Ease of operative, no downloading required."
0,patience required on high quality photo printing
0,patience needed on high quality photo printing
0,patience obliged on high quality photo printing
0,patience required on high quality photo prints
0,patience required on high quality photograph printing
0,"size, color printing not up to photo standards"
0,"caliber, color printing not up to photo standards"
0,"calibre, color printing not up to photo standards"
0,"size, color printing not up to pictures standards"
0,"size, color prints not up to photo standards"
1,"65K Color Screen, Features, Weight, Signal Strength, Battery Life"
1,"65K Color Screen, Features, Weight, Signal Fortitude, Battery Life"
1,"65K Color Screen, Features, Weight, Signal Strength, Battery Living"
1,"65K Colors Screen, Features, Weight, Signal Strength, Battery Life"
1,"65K Staining Screen, Features, Weight, Signal Strength, Battery Life"
1,"Great portable, easy to use"
1,"Fantastic portable, easy to use"
1,"Great portable, easy to usage"
1,"Prodigious portable, easy to use"
1,"Sublime portable, easy to use"
1,"VERY fast, good sized, easy setup, USB or parralel port friendly"
1,"EMINENTLY fast, good sized, easy setup, USB or parralel port friendly"
1,"HUGELY fast, good sized, easy setup, USB or parralel port friendly"
1,"VERY fast, good sized, easily setup, USB or parralel port friendly"
1,"VERY fast, good sized, easy setup, USB or parralel port cordial"
0,Manual focus is slightly awkward; chromatic aberrations in bright sunlight
0,Manual focus is marginally awkward; chromatic aberrations in bright sunlight
0,Manual focus is slightly awkward; chromatic aberrations in bright soleil
0,Manual focus is slightly awkward; chromatic absurdities in bright sunlight
0,Manually focus is slightly awkward; chromatic aberrations in bright sunlight
1,"Unique design, loudspeaker, video recorder, digital camera, voice dialing, IR port, MMC memory slot."
1,"Unique design, loudspeaker, video recorder, digital camera, vocals dialing, IR port, MMC memory slot."
1,"Unique design, loudspeaker, video recorder, digital camera, voice dialing, ROE port, MMC memory slot."
1,"Unique design, loudspeaker, video recorder, digital camera, vowel dialing, IR port, MMC memory slot."
1,"Unique design, loudspeaker, video recorder, digitized camera, voice dialing, IR port, MMC memory slot."
1,"Tri-band, Bluetooth, GPRS, Size, Battery Capacity, Vibrating signal"
1,"Tri-band, Bluetooth, GPRS, Size, Battery Ability, Vibrating signal"
1,"Tri-band, Bluetooth, GPRS, Size, Pile Capacity, Vibrating signal"
1,"Tri-band, Bluetooth, GPRS, Size, Piles Capacity, Vibrating signal"
1,"Tri-band, Bluetooth, GPRS, Sizing, Battery Capacity, Vibrating signal"
1,"For the price, it is a great printer"
1,"At the price, it is a great printer"
1,"For the price, it is a excellent printer"
1,"For the price, it is a fantastic printer"
1,"For the price, it is a terrific printer"
1,"Bang for the Buck, Mega-pixel, LCD for under $300"
1,"Bang for the Buck, Mega-pixel, LCD for under $300"
1,"Moderately fast printing, multifunctionality"
1,"Moderately expedited printing, multifunctionality"
1,"Moderately rapidly printing, multifunctionality"
1,"Modestly fast printing, multifunctionality"
1,"Slightly fast printing, multifunctionality"
1,Good reception. Looks pretty.
1,Alright reception. Looks pretty.
1,Good homepage. Looks pretty.
1,Good receiving. Looks pretty.
1,Good reception. Seem pretty.
0,"clogs, eats ink, poorly labeled buttons, difficult to use"
0,"clogs, eats ink, poorly labeled buttons, difficult to employs"
0,"clogs, eats ink, poorly labeled buttons, difficult to utilizes"
0,"clogs, eats ink, poorly labeled poppers, difficult to use"
0,"clogs, eats ink, poorly tagged buttons, difficult to use"
1,"cheap, excellent photo-color, acceptable resolution, excellent software"
1,"cheap, excellent photo-color, acceptable resolution, wonderful software"
1,"cheap, excellent photo-color, acceptable resolve, excellent software"
1,"cheap, marvellous photo-color, acceptable resolution, excellent software"
1,"cheap, superb photo-color, acceptable resolution, excellent software"
0,pay long distance for tech support
0,pay long distance for tech succour
0,pay long distance for technical support
0,pay long distance for technician support
0,pay long distance for techno support
1,Excellent photograph reproduction. Crisp Text. (when it works)
1,Admirable photograph reproduction. Crisp Text. (when it works)
1,Beautiful photograph reproduction. Crisp Text. (when it works)
1,Excellent photograph reproduction. Crisp Text. (when it collaboration)
1,Excellent photograph reproduction. Crisp Text. (when it cooperation)
1,"Great features, ease of use, nice lighting,etc"
1,"Great characteristics, ease of use, nice lighting,etc"
1,"Great features, ease of use, pleasant lighting,etc"
