class,text
0,"We sought to assess if the use of a solution of mepivacaine 2 % plus adrenaline with sodium bicarbonate 1.4 % results in less pain associated with local infiltration anesthesia preceding ambulatory phlebectomies , compared with standard preparation diluted with normal saline ."
0,"we sought to assess if the use of a solution of mepivacaine 2 % plus adrenaline with sodium bicarbonate 1 . 4 % results in less pain associated with local in immediate anesthesia preceding ambulatory phlebectomyes , compared with standard preparation diluted with normal saline ."
0,"we sought to assess if the use of a solution of mepivacaine 2 % plus adrenaline with sodium bicarbonate 1 . 4 % results in less pain associated with local infiltration anesthesia preceding ambulatory phlebectomyes , compared with standard preparation diluted with normal saline ."
3,Meropenem at 1000mg over 30 minutes achieved a similar % TMIC to meropenem at 500mg given over 3 hours .
3,meropenem at 1000mg over 30 minutes achieved a similar % tmic to meropenem at 500mg given over 3 hours .
3,These effects do not appear to explain the glucose-lowering effect of rosiglitazone .
3,these effects do not appear to explain the glucose - lowering effect of rosiglitazone .
3,these effects do not appear to induce the glucose - lowering effect of rosiglitazone .
3,meropenem at 1000mg over 30 minutes achieved a similar % tmic to meropenem at 500mg given over 3 hours .
0,The aims of the present study were to assess the efficacy and safety of BT injection and combined treatment with BT injection and lowered dose glyceryltrinitrate ( GTN ) cream for the treatment of CAF .
0,the aims of the present study were to assess the efficacy and safety of bt injection and combined treatment with bt injection and lowered dose glyceryltrinitrate ( gtn ) cream for the treatment of caf .
0,the aims of the present study were to assess the efficacy and safety of bt injection and combined treatment with bt injection and lowered dose glyceryltrinitrate ( gtn ) cream for the treatment of caf .
1,A fourth group served as nonsterilized controls .
1,a fourth group served as nonsterilized controls .
1,a fourth group served as nonsterilized controls .
4,"The primary objective of this study was to assess the effect of teduglutide on gastric emptying of liquids in healthy subjects , as measured by the pharmacokinetics of acetaminophen ."
4,"the primary objective of this study was to assess the effect of teduglutide on gastric emptying of liquids in healthy subjects , as measured by the pharmacokinetics of acetaminophen ."
4,"the primary objective of this study was to assess the effect of teduglutide on gastric emptying of liquids in healthy subjects , as measured by the pharmacokinetics of acetaminophen ."
2,"The frequencies of recurrent pleural effusions requiring reintervention were 5.88 % ( 3/51 ) , 4.35 % ( 2/46 ) and 5.26 % ( 3/57 ) , respectively , which had no significant differences between three groups ( P = 1.000 ) ."
2,"the frequencies of recurrent pleural effusions requiring reintervention were 5 . 88 % ( 3 / 51 ) , 4 . 35 % ( 2 / 46 ) and 5 . 26 % ( 3 / 57 ) , respectively , which had no significant differences between three groups ( p = 1 . 000 ) ."
2,"the rates of recurrent pleural effusions requiring reintervention were 5 . 88 % ( 3 / 51 ) , 4 . 35 % ( 2 / 46 ) and 5 . 26 % ( 3 / 57 ) , respectively , which had no significant differences between three groups ( p = 1 . 000 ) ."
0,"Widening socioeconomic disparities in mortality in the United States are largely explained by slower declines in tobacco use among smokers of low socioeconomic status ( SES ) than among those of higher SES , which points to the need for targeted tobacco cessation interventions ."
0,"widening socioeconomic disparities in mortality in the united states are largely explained by slower declines in tobacco use among smokers of low socioeconomic status ( ses ) than among those of higher ses , which points to the need for targeted tobacco cessation interventions ."
0,"widening socioeconomic disparities in mortality in the united states are largely explained by slower declines in tobacco use among smokers of low socioeconomic status ( ses ) than among those of higher ses , which points to the need for targeted tobacco cessation interventions ."
0,Study participants were randomly assigned to receive amantadine hydrochloride 100 mg twice daily versus equivalent placebo for 28 days .
0,study participants were randomly assigned to receive amantadine hydrochloride 100 mg twice daily versus equivalent placebo for 28 days .
0,study participants were randomly assigned to receive amantadine hydrochloride 100 mg twice daily versus equivalent placebo for 28 days .
3,"Pregabalin at doses up to 10 mg/kg/day in children aged 1 month to 16 years , and at doses up to 15 mg/kg/day in those aged < 6 years , demonstrated acceptable safety and tolerability ."
