class,text
1,"not only is it functional and runs super smooth & fast , but it is also eye candy . "
1,"not only is it functional and ladder super smooth & fast , but it is also eye candy . "
1,"not only is it functional and outpouring super smooth & fast , but it is also eye candy . "
1,"not only is it functional and play super smooth & fast , but it is also eye candy . "
1,"not only is it functional and scat super smooth & fast , but it is also eye candy . "
0,i tried to contact apex to return it ( i missed the amazon return period ) and it took 3 months to get through to their customer service dept . 
0,i tried to contact apex to recurrence it ( i missed the amazon return period ) and it took deuce-ace months to get through to their customer service dept . 
0,i tried to contact apex to render it ( i missed the amazon riposte period ) and it took 3 months to get through to their customer service dept . 
0,i tried to contact apex to return it ( i missed the amazon pass period ) and it took 3 months to experience through to their customer service dept . 
0,i tried to contact apex to return it ( i missed the amazon return period ) and it took tercet months to come through to their customer service dept . 
0,All the camera's functionality is only available (or selectable) when the screen is functional.
0,All the camera's functionality is only available (or selectable) when the screen is operative.
0,All the camera's functionality is only available (or selectable) when the screen is usable.
0,All the camera's functionality is only available (or selectable) when the sort is functional.
0,entirely the camera's functionality is only available (or selectable) when the screen is functional.
0,The phone must be shut down & taken apart to change the memory card... and turning the phone back on takes a little while.
0,The phone must be shut down & choose apart to change the memory card... and turning the sound back on takes a little while.
0,The phone must be shut down & contain apart to change the memory card... and turning the phone binding on takes a little while.
0,The phone must be shut down & taken apart to change the memory card... and wrench the phone back on takings a little while.
0,The phone must be shut down & taken apart to change the memory card... and wrick the phone back on take a little while.
0,* scroll button more cumbersome than on earlier models . 
0,* scroll button more cumbersome than on before models . 
0,* scroll button more cumbersome than on earlier mould . 
0,* scroll button more cumbersome than on sooner models . 
0,* scroll button more cumbrous than on earlier models . 
1,"it has a handsfree loudspeaker, conference and transfer!"
1,"it has a handsfree loudspeaker, conference and channel!"
1,"it has a handsfree loudspeaker, conference and shift!"
1,"it has a handsfree loudspeaker, conference and transplant!"
1,"it has a handsfree loudspeaker, conference and transpose!"
0,the included earbuds were uncomfortable . 
0,the admit earbuds were uncomfortable . 
0,the include earbuds were uncomfortable . 
0,the included earbuds were uncomfortable . 
1," And, with the iPods' full volume up, all you have to do is adjust your receivers' volume and your set, since the iPod itself acts as a strong amplifer of its' own."
1," And, with the iPods' broad volume up, all you have to do is adjust your receivers' volume and your set, since the iPod itself do as a stiff amplifer of its' own."
1," And, with the iPods' full book up, all you have to do is adjust your receivers' volume and your situated, since the iPod itself roleplay as a strong amplifer of its' own."
1," And, with the iPods' full volume up, all you have to do is adjust your receivers' volume and your dictated, since the iPod itself dissemble as a potent amplifer of its' own."
1," And, with the iPods' full volume up, all you have to do is adjust your receivers' volume and your ready, since the iPod itself play as a solid amplifer of its' own."
1,6- Small but very clear TFT screen.
1,6- Small but very clear TFT test.
1,6- Small but very realize TFT screen.
1,6- lowly but very clear TFT screen.
1,6- small-scale but very clear TFT screen.
0,i called apex 's support number numerous times but it just kept ringing . 
0,i call apex 's support number numerous times but it just kept ringing . 
0,i called apex 's stomach number numerous times but it just kept ringing . 
0,i called apex 's support number numerous times but it just hold ringing . 
0,i called vertex 's support number numerous times but it just kept ringing . 
0,"The only not-so-positive comment I have is about the depth adjustment, it is not easy to micro-adjust accurately."
0,"The only not-so-positive comment I have is about the depth adjustment, it is not easygoing to micro-adjust accurately."
0,"The only not-so-positive comment I have is about the depth adjustment, it is not gentle to micro-adjust accurately."
0,"The only not-so-positive comment I have is about the depth adjustment, it is not well-situated to micro-adjust accurately."
0,"The only not-so-positive comment ace have is about the depth adjustment, it is not easy to micro-adjust accurately."
1,"The startup time, quality of pictures and videos is outstanding."
1,"The startup meter, quality of pictures and videos is outstanding."
1,"The startup time, choice of pictures and videos is outstanding."
1,"The startup time, lineament of pictures and videos is outstanding."
1,"The startup time, quality of characterisation and videos is outstanding."
