class,text
5,"This is a great little hidden gem! From the outside, it looks like just a dive but the inside is surprisingly nice.  The food here is great and they are willing to make things to your taste when it comes to ingredients and spice level.  The waitstaff are also very friendly. They came by while we were eating just to make sure we were happy with everything even though this is an ""order at the counter"" place. Another little bonus is that they have a drink station where guests can help themselves to free refills which definitely comes in handy in Phoenix!"
5,"This is a great little hide gem! From the away, it looks like just a dive but the inside is surprisingly nice.  The food here is dandy and they are willing to constitute things to your taste when it comes to ingredients and spice charge.  The waitstaff are also very friendly. They came by while we were eating just to prepare sure we were happy with everything even though this is an ""range at the forestall"" place. Another niggling bonus is that they have a drink station where guests can help themselves to free refills which definitely arrive in handy in Phoenix!"
5,"This is a great slight conceal gem! From the outside, it expression like just a dive but the inside is surprisingly nice.  The food here is expectant and they are willing to construct things to your taste when it comes to ingredients and spice level.  The waitstaff are also very friendly. They came by while we were eating just to urinate sure we were happy with everything even though this is an ""dictate at the counter"" rank. Another little bonus is that they have a drink station where guests can help themselves to discharge refills which definitely amount in handy in Phoenix!"
5,"This is a large little hidden gem! From the outside, it looks like just a dive but the inside is surprisingly nice.  The food here is outstanding and they are willing to make things to your taste when it comes to ingredients and spice rase.  The waitstaff are also very friendly. They came by while we were eat just to micturate sure we were happy with everything even though this is an ""guild at the rejoinder"" plaza. Another picayune bonus is that they have a drink station where guests can help themselves to free refills which definitely arrive in handy in Phoenix!"
5,"This is a smashing little hidden gem! From the outside, it depend like just a plunge but the inside is surprisingly nice.  The food here is gravid and they are willing to fix things to your taste when it comes to ingredients and spice level.  The waitstaff are also very friendly. They came by while we were eating just to make sure we were happy with everything even though this is an ""orderliness at the counter"" station. Another niggling bonus is that they have a drink station where guests can help themselves to disembarrass refills which definitely hail in handy in Phoenix!"
3,"Live entertainment, friendly, restroom clean, my dish was good, but my hubbies dish the meat was not seasoned at all and for a fajita they gave him a burrito flour size tortilla and took about 15 mins to bring a second one.  Plus hrs are posted wrong on yelp. States open from 6 am to 2 pm even though they serve breakfast, lunch and dinner."
3,"Live entertainment, friendly, restroom clean, my dish was good, but my hubbies dish the nitty-gritty was not seasoned at all and for a fajita they render him a burrito flour size tortilla and learn about XV mins to bring a 2d one.  Plus hrs are posted wrong on yelp. States open from 6 am to 2 pm even though they service breakfast, lunch and dinner."
3,"Live entertainment, friendly, restroom clean, my dish was good, but my hubbies serve the meat was not seasoned at all and for a fajita they gave him a burrito flour size tortilla and take about xv mins to bring a second unrivaled.  Plus hrs are posted damage on yelp. States open from sixer am to 2 pm even though they serve breakfast, lunch and dinner."
3,"Live entertainment, friendly, restroom clean, my dish was upright, but my hubbies sweetheart the meat was not seasoned at all and for a fajita they gave him a burrito flour size tortilla and lease about 15 mins to bring a sec one.  Plus hrs are posted wrong on yelp. States outdoors from 6 am to 2 pm even though they attend breakfast, lunch and dinner."
3,"alive entertainment, friendly, restroom fresh, my dish was good, but my hubbies dish the meat was not seasoned at all and for a fajita they gave him a burrito flour size tortilla and shoot about 15 mins to bring a 2d one.  Plus hrs are posted improper on yelp. States subject from 6 am to 2 pm even though they serve breakfast, lunch and dinner."
