class,text
3,everton s weir cools euro hopes everton defender david weir has played down talk of european football  despite his team lying in second place in the premiership after beating liverpool.  weir told bbc radio five live:  we don t want to rest on our laurels and say we have achieved anything yet.  i think you start taking your eye off the ball if you make statements and look too far into the future.  if you start making predictions you soon fall back into trouble. the only thing that matters is the next game.  he said:  we are looking after each other and hard work goes a long way in this league. we have definitely shown that.  also injuries and suspensions haven t cost us too badly and we have a lot of self-belief around the place.
3,everton s weir cools euro giants everton defender david weir has played down talk of european football despite his team lying in second place in the premiership after beating liverpool . weir told bbc radio five live : we don t want to rest on our laurels and say we have achieved anything yet . i think you start taking your eye off the ball if you make statements and look too far into the future . if you start making predictions you soon fall back into trouble . the only thing that matters is the next game . he said : we are looking after each other and hard work goes a long way in the league . we have definitely shown that . also injuries and suspensions haven t cost us too much and we have a lot of self - belief around the place .
3,everton s weir cools euro stuff everton defender david weir has played down talk of european football despite his team lying in second place in the premiership after beating liverpool . weir told bbc radio five live : we don t want to rest on our laurels and say we have achieved anything yet . i think you start taking your eye off the ball if you make statements and look too far into the future . if you start making predictions you soon fall back into trouble . the only thing that matters is the next game . he said : we are looking after each other and hard work goes a long way in this league . we have definitely shown that . also injuries and suspensions haven t cost us too much and we have a lot of self - belief around the place .
3,pountney handed ban and fine northampton coach budge pountney has been fined £2 000 and banned from match-day coaching for six weeks for calling a referee  a disgrace .  pountney was found guilty of bringing the game into disrepute at a rugby football union disciplinary hearing in london on thursday night. pountney criticised referee steve lander s performance in northampton s defeat by saracens on 5 february. the last two weeks of the six-week ban are suspended. pountney pleaded guilty to the offence before a panel consisting of chairman robert horner  nigel gillingham and jeff probyn. the ban means former scotland international pountney cannot enter the playing enclosure  technical areas or go near the touchline  tunnel or players and officials  areas on the day of a game.
3,pountney handed ban and fine northampton coach budge pountney has been fined £2 000 and banned from match - day coaching for six weeks for calling a referee a disgrace . pountney was found guilty of bringing the game into disrepute at a rugby football union disciplinary hearing in london on thursday night . pountney criticised referee steve lander s performance in northampton s defeat by saracens on 5 february . the last two weeks of the six - week ban are suspended . pountney pleaded guilty to the offence before a panel consisting of chairman robert horner nigel gillingham and jeff probyn . the ban means former scotland international pountney cannot enter the playing enclosure technical areas or go near the touchline tunnel or players and officials areas on the day of a game .
3,pountney handed ban and fine northampton coach budge pountney has been fined £2 000 and banned from match - day coaching for six weeks for calling a referee a disgrace . pountney was found guilty of bringing the game into disrepute at a rugby football union disciplinary hearing in london on thursday night . pountney criticised referee steve lander s performance in northampton s defeat by saracens on 5 february . the last two weeks of the six - week ban are suspended . pountney pleaded guilty to the offence before a panel consisting of chairman robert horner nigel gillingham and jeff probyn . the ban means former scotland international pountney cannot enter the playing enclosure technical areas or go near the touchline tunnel or players and officials areas on the day of a game .
2,blunkett hints at election call ex-home secretary david blunkett has given fresh clues that the general election will be announced on monday.  he told bbc radio five live:  i m out in my constituency getting ready for what we presume will be an announcement very shortly at the weekend.  he clarified that he meant he would be in his sheffield seat this weekend  not that he expected an election call then. tony blair is tipped to ask the queen on monday to dissolve parliament ready for a 5 may poll.
2,blunkett hints at election call ex - home secretary david blunkett has given fresh clues that the general election will be announced on monday . he told bbc radio five live : i m out in my constituency getting ready for what we presume will be an announcement very shortly at the weekend . he said that he meant he would be in his sheffield seat this weekend not that he expected an election call then . tony blair is tipped to ask the queen on monday to dissolve parliament ready for a 5 may poll .
2,blunkett hints at election call ex - home secretary david blunkett has given fresh clues that the general election will be announced on monday . he told bbc radio five live : i m out in my constituency getting ready for what we presume will be an announcement very shortly at the weekend . he sapphire that he meant he would be in his sheffield seat this weekend not that he expected an election call then . tony blair is tipped to ask the queen on monday to dissolve parliament ready for a 5 may poll .
3,beattie return calms attack fears everton striker james beattie has been declared fit for training on tuesday  despite suffering an alleged assault last saturday.  beattie  27  is not believed to be as seriously hurt as some reports have suggested after being  the victim of an unprovoked assault  in birmingham. he was on a night out with his girlfriend and two friends following everton s 3-1 win over aston villa.  he was shaken but not badly injured   said everton spokesman ian ross. he added:  he did speak to the police but will not be pressing charges.  he has spoken to manager david moyes about what happened.  beattie was suspended for the win at aston villa after his red card against chelsea and he will be available again for the merseyside derby at liverpool on 20 march.
3,beattie return calms attack fears everton striker james beattie has been declared fit for training on tuesday despite suffering an alleged assault last saturday . beattie 27 is not believed to be as seriously hurt as some reports have suggested after being the victim of an unprovoked assault in birmingham . he was on a night out with his girlfriend and two friends following everton s 3 - 1 win over aston villa . he was shaken but not badly injured said everton spokesman ian ross . he added : he did speak to the police but will not be pressing charges . he has spoken to manager david moyes about what happened . beattie was suspended for the win at aston villa after his red card against chelsea and he will be eligible again for the merseyside derby at liverpool on 20 march .
3,beattie return calms attack fears everton striker james beattie has been declared fit for training on tuesday despite suffering an alleged assault last saturday . beattie 27 is not believed to be as seriously hurt as some reports have suggested after being the victim of an unprovoked assault in birmingham . he was on a night out with his girlfriend and two friends following everton s 3 - 1 win over aston villa . he was shaken but not badly injured said everton spokesman ian ross . he added : he did speak to the police but will not be pressing charges . he has spoken to manager david moyes about what happened . beattie was suspended for the win at aston villa after his red card against chelsea and he will be eligible again for the merseyside derby at liverpool on 20 march .
3,ivanovic seals canberra victory serbia s ana ivanovic captured her first wta title with a straight-sets victory over hungarian melinda czink in the final of the canberra classic.  the 17-year-old took 83 minutes to take the match 7-5 6-1. ivanovic beat czink in the last round of qualifying but the hungarian made the main draw as a lucky loser after katarina srebotnik withdrew injured. ivanovic said:  i was really nervous in the beginning  but i pulled through and didn t do too much wrong.  a junior wimbledon finalist last year  she added:  it s my first wta title  and to win it has really given me more energy to practice and improve.  ivanovic will play 32nd seed iveta benesova of the czech republic in the first round.said of the australian open in melbourne.
3,delays do seals canberra victory serbia s ana ivanovic captured her first wta title with a straight - sets victory over hungarian melinda czink in the final of the canberra classic . the 17 - year - old took 83 minutes to take the match 7 - 5 6 - 1 . ivanovic beat czink in the last round of qualifying but the hungarian made the main draw as a lucky loser after katarina srebotnik withdrew injured . ivanovic said : i was really nervous in the beginning but i pulled through and didn t do too much wrong . a junior wimbledon finalist last year she added : it s my first wta title and to win it has really given me more energy to practice and improve . ivanovic will play 32nd seed iveta benesova of the czech republic in the first round . said of the australian open in melbourne .
3,' sequence seals canberra victory serbia s ana ivanovic captured her first wta title with a straight - sets victory over hungarian melinda czink in the final of the canberra classic . the 17 - year - old took 83 minutes to take the match 7 - 5 6 - 1 . ivanovic beat czink in the last round of qualifying but the hungarian made the main draw as a lucky loser after katarina srebotnik withdrew injured . ivanovic said : i was really nervous in the beginning but i pulled through and didn t do too much wrong . a junior wimbledon finalist last year she added : it s my first wta title and to win it has really given me more energy to practice and improve . ivanovic will play 32nd seed iveta benesova of the czech republic in the first round . said of the australian open in melbourne .
3,soderling wins tense milan final fifth seed robin soderling took the milan indoors title with a dramatic win over radek stepanek in sunday s final.  the 20-year-old swede edged the final set tie-break for a 6-3 6-7 (2-7) 7-6 (7-5) victory and his second tour title after winning in lyon last year.  i m delighted to have won against such a good opponent in a tournament of this importance   said soderling.  i was really on form  my service was good and i really liked playing on the synthetic surface.  soderling  the world number 37  shrugged off a nervous start to take the opening set on his first set point. a change in approach from fourth seed stepanek in the second set paid dividends as he took it on a tie-break  but soderling s superior power proved too much in the third.
3,managerderling wins tense milan final fifth seed robin soderling took the milan indoors title with a dramatic win over radek stepanek in sunday s final . the 20 - year - old swede edged the final set tie - break for a 6 - 3 6 - 7 ( 2 - 7 ) 7 - 6 ( 7 - 5 ) victory and his second tour title after winning in lyon last year . i m delighted to have won against such a good opponent in a tournament of this importance said soderling . i was really on form my service was good and i really liked playing on the synthetic surface . soderling the world number 37 shrugged off a nervous start to take the opening set on his first set point . a change in approach from fourth seed stepanek in the second set paid takends as he took it on a tie - break but soderling s superior power proved too much in the third .
3,pipderling wins tense milan final fifth seed robin soderling took the milan indoors title with a dramatic win over radek stepanek in sunday s final . the 20 - year - old swede edged the final set tie - break for a 6 - 3 6 - 7 ( 2 - 7 ) 7 - 6 ( 7 - 5 ) win and his second tour title after winning in lyon last year . i m delighted to have won against such a good opponent in a tournament of this importance said soderling . i was really on form my service was good and i really liked playing on the synthetic surface . soderling the world number 37 shrugged off a nervous start to take the opening set on his first set point . a change in approach from fourth seed stepanek in the second set paid dividends as he took it on a tie - break but soderling s superior power proved too much in the third .
3,solskjaer raises hopes of return manchester united striker ole gunnar solskjaer said he hoped to return next season following a career-threatening injury to his right knee.  the 31-year-old norway international had surgery in sweden in august to transplant cartilage into the joint.  i m in no doubt that i ll play again   solskjaer told aftenposten daily.  the problem will be the speed but we re talking about eight months  time. it s going as it should with the knee. i m slavishly following a programme.  solskjaer last played for united as a late substitute in may s fa cup final win over millwall. his contract with united runs out in 2006  by which time he will have been at the premier league club for 10 years.
