class,text
5,How long does a human live ?
0,What is the meaning of `` CPR '' ?
5,When does the Bible say the seasons started ?
1,What did the pyramid-builders of Egypt mainly eat ?
1,What does a deltiologist collect ?
5,What year was Janet Jackson 's first album released ?
5,How many electoral college votes does Colorado have ?
1,What kind of wine is Spumante ?
0,What is the origin of Boxing Day ?
4,Where can I find information on the Narragansett Indians and other tribes in Rhode Island ?
0,What 's the motto of the Boy Scouts ?
2,What is the abbreviation of General Motors ?
5,What percentage of the world 's plant and animal species can be found in the Amazon forests ?
1,What game do Steve McQueen and Edward G. Robinson play in The Cincinnati Kid ?
5,When was the first Wall Street Journal published ?
5,How much did the minimum wage amount to in 1991 ?
4,Name a country that is developing a magnetic levitation railway system ?
0,"What do Hank Aaron , Jimmy Stewart , and Howard K. Smith have in common ?"
3,What 's Japan 's largest car manufacturer ?
5,What is the date of Bastille Day ?
4,Where are the headquarters of Eli Lilly ?
4,What is Bill Gates of Microsoft E-mail address ?
3,What major airline has the best safety record in the world ?
5,How long does the average domesticated ferret live ?
0,Why do they call a hamburger a hamburger when there is no ham ?
4,What city is served by Logan International Airport ?
4,What is one of the cities that the University of Minnesota is located in ?
2,What is DTMF ?
1,What whisky is `` known by the company it keeps '' ?
5,What percentage of Americans own their homes ?
4,What are the ten safest American cities for pedestrians ?
5,What is the student population at the University of Massachusetts in Amherst ?
4,In what part of the world is Mozambique ?
2,What does ` PSI ' stand for ?
0,"What 's the meaning of the Latin battle cry : Ad arma , ad arma ."
5,When is a woman most fertile ?
5,How many web servers are there ?
0,What is the Home Rule Act ?
2,What 's the abbreviation for trinitrotoluene ?
0,What category does the color pink denote in the Trivial Pursuit Baby Boomer Edition ?
5,How many double-word-score spaces are there on a Scrabble Crossword Game board ?
1,What 1965 film had Jack Lemmon portraying a cartoonist ?
4,What city is near the mouth of the Amazon ?
2,What is DSL ?
0,What is the difference between the Koran and The Bible ?
0,What is porphyria ?
0,What do bee hives do in cranberry bogs ?
0,What is a virtual IP address ?
4,What are the four largest mountain ranges in the continental United States ?
0,How did the tradition of best man start ?
0,What is tyvek ?
2,What does A&W of root beer fame stand for ?
1,What terror of the sea did Johnny Horton sing about ?
5,How fast does the fastest car go ?
2,What is the acronym for the National Bureau of Investigation ?
0,How can someone become a federal agent ?
1,What 's the hardest substance in the human body ?
0,What is the circumorbital hematoma ?
2,What does SIDS stand for ?
0,How did people respond to the idea of the first millenium ?
4,"Where on the Web is Adventours Tours from Sydney , Australia ?"
3,Who was the Charlie perfume woman ?
3,Who made the first airplane ?
4,What stadium do the Miami Dolphins play their home games in ?
0,How do birds find their way back to the same place every year ?
0,What is the `` 7-minute cigarette '' ?
4,What continent pushes up the Executive Committee mountain range ?
0,How can I get a CCT diagram ?
2,What is the abbreviated term used for the National Bureau of Investigation ?
5,How long does it take the typical hen to lay 19 dozen eggs ?
5,How many different languages are spoken in Europe ?
5,How many head injuries are there in recreational ice skating each year ?
3,"What TV character said ; `` One of these days , Alice , pow , right in the kisser '' ?"
3,What is Pittsburgh 's baseball team called ?
3,Who was the Democratic nominee in the American presidential election ?
3,What female painter produced primitives of rural New England life ?
3,"Who does Shakespeare 's Antonio borrow 3 , 0 ducats from ?"
0,Why do they sterilize the needle for lethal injection ?
4,What United States city produces the most oil ?
4,Where are the leading medical groups specializing in lung diseases ?
1,What money was used by them ?
0,What are the powers and weaknesses of Green Lantern 's ring ?
4,Where is Windsor Castle ?
2,What does e.g. stand for ?
3,What future President became Senate majority whip under Harry Truman ?
1,What creature scares people in the film `` Jaws '' ?
2,What is the abbreviation for micro ?
5,How many chairs are shown in Vincent Van Gogh 's 188 work The Artist 's Room in Arles ?
3,Who asked the musical question : `` Have you ever been to electric lady land ? ''
3,Whom did Lauren Bacall marry after her husband Humphrey Bogart died ?
5,The Iraqis launched their attack on Kuwait on what day ?
4,On which Hawaiian island is Pearl Harbor ?
5,What is the cost of the drugs used in tuberculosis treatments ?
3,What author of the Days of Our Lives Cookbook signed on in 198 as Liz Chandler in TV 's Days of Our Lives ?
4,What erupts every hour at Yellowstone National Park ?
5,What percent of world 's fresh water is found in Canada ?
1,What mammal of North America is the world 's longest-lived for its size ?
0,What 's the meaning of the zoological term ruminant ?
4,What city 's theatrical district has been dubbed The Roaring Forties ?
0,What is saltpeter ?
