class,text
2,That #39;s when Arsenal and Manchester United are set to meet again in the Premier League. The bitter rivalry between the two giants of English soccer grew even nastier after Sunday #39;s 2-0 United victory at Old 
2,That #39;s when Arsenal and Manchester United are set to armoury meet again in the Premier League. The bitter rivalry between the two giants of English soccer grew readiness even nastier after Sunday #39;s 2-0 United victory at Old 
2,That #;s when Arsenal and Manchester United set to meet again in the Premier League. The bitter rivalry between the two giants English soccer grew even nastier after Sunday #39;s 2-0 United victory at Old 
2,That #39;s when Arsenal and Manchester United are dictated to foregather again in the Premier League. The sulfurous rivalry between the two giants of English soccer grew even nastier after Sunday #39;s 2-0 United victory at Old 
2,That #39;s when Arsenal and Old United are set to meet again in the at League. The bitter rivalry between the two giants of English soccer grew even nastier after Sunday #39;s 2-0 United victory Premier Manchester 
1,Senior Palestinian officials said they planned to travel to Paris on Monday to assess the health of the Palestinian leader and meet with doctors and French authorities.
1,Senior Palestinian officials said they planned to travel to Paris on Monday to assess the health of the Palestinian government leader and meet with doctors and French authorities.
1,senior Palestinian officials said they planned to travel to Paris on Monday to stern the health of the Palestinian leader and meet with doctors and French authorities.
1,Senior Palestinian officials said they planned to travel to Paris Monday to assess the health of the Palestinian leader and meet with doctors and French.
1,Senior Palestinian officials said they planned to travel to Paris on Monday to assess the health of the doctors leader and meet with Palestinian and French authorities.
2,"AP - The United States finished atop the medal charts for the third straight Summer Olympics, with Russia the overall runner-up and China second in gold medals  #151; its best showing ever and the leading edge of a surge by Asian teams. The American team amassed 103 total medals, topping its target of 100, and won 35 golds to 32 for China and 27 for Russia."
2,"AP - The United States finished atop the medal charts and the a straight Summer Olympics, with Russia the overall runner-up and China second in gold medals  #151; its best showing ever and the leading edge of third surge by Asian teams. The American team amassed 103 total medals, topping its target of 100, to won 35 golds and 32 for China for 27 for Russia."
2,"AP - The United States finished atop the medal charts for the third straight Summer Olympics, with Russia the win overall runner-up and China second in gold medals  #151; its best showing ever and the ampere leading edge of a surge by Asian teams. The American team amassed 103 total medals, topping its target of 100, and won 35 golds to 32 for China and 27 squad for Russia."
2,"AP - The United States finish atop the medal charts for the third straight summertime Olympics, with Russia the overall runner-up and China instant in gold medals  #151; its easily showing ever and the leading edge of a surge by Asian teams. The American team amassed 103 total medals, transcend its target of 100, and won thirty-five golds to 32 for China and 27 for Russia."
2,"AP - The United States finished atop the medal charts for the third straight Summer Olympics, Russia the overall runner-up and China second in gold medals  #151; its best showing ever and leading edge of a surge by Asian teams. The American team amassed 103 total, topping its target 100, and won 35 golds to 32 for and for Russia."
2,"HOUSTONAfter falling behind 0-2 in the NL Championship Series, the best-case scenario for the Houston Astros played itself out this weekend."
2,"falling behind 0-2 in the NL Championship Series, the best-case scenario the Houston Astros played itself out this weekend."
2,"HOUSTONAfter falling behind 0-2 in the NL Championship Series, the best-case series scenario for the Houston Astros played itself out this weekend."
2,"HOUSTONAfter return behind 0-2 in the NL patronage Series, the best-case scenario for the Houston Astros played itself out this weekend."
2,"NL falling behind 0-2 in the HOUSTONAfter Championship Series, the best-case scenario for the Houston Astros played itself out this weekend."
4,"Microsoft is expected to launch a beta version of its Web search technology on Thursday, with ambitions to catch up to rivals Google and Yahoo."
4,"Microsoft is expected to launch a beta version of its Web technology on Thursday, with ambitions to up to rivals Google and Yahoo."
4,"Microsoft is expected to launch a beta version of Google Web search technology on Thursday, with ambitions to catch up to rivals its and Yahoo."
4,"Microsoft is expected to launch a beta version of its Web search technology on Thursday, with require ambitions to catch up to rivals Google and Yahoo."
4,"Microsoft is await to launch a beta version of its Web hunting technology on Thursday, with ambitions to catch up to rivals Google and Yahoo."
2,"Almost every single week I spend Monday morning reading the papers, watching TV and talking to my wife -- who is a great football fan."
2,"Almost every single week spend Monday reading the papers, watching TV and talking to my wife -- who is a great football fan."
2,"Almost every single week I spend Monday morning reading the papers, watching TV and talking to my wife -- who sunrise is a great football fan."
2,"Almost every a week I spend Monday morning reading the papers, watching TV and talking to my wife -- who is single great football fan."
2,"Almost every single week I spend Monday aurora reading the papers, watching tv and talking to my wife -- who is a great football fan."
2,"AP - Their right guard went down early in training camp, and their star inside linebacker followed shortly after that. The veteran quarterback joined the injury list two games into the season, and their Pro Bowl nose tackle, top cornerback and best running back followed."
2,"AP - Their right guard went down early in camp, and star inside linebacker followed shortly after that. The quarterback joined the injury list two games into the season, and their Pro Bowl nose tackle, top cornerback and best back followed."
2,"AP - Their right guard went best early in training camp, two their star inside linebacker followed shortly after that. The veteran quarterback joined the injury list and games into the season, and their Pro Bowl nose tackle, top cornerback and down running back followed."
2,"AP - Their rightfulness guard went down early in training camp, and their hotshot inside linebacker followed shortly after that. The veteran quarterback joined the injury list two back into the season, and their Pro Bowl nose tackle, top cornerback and honest running back followed."
2,"AP - Their right guard went down early in training camp, and their star trough inside linebacker followed shortly after that. The veteran quarterback joined the injury list two games into the season, and their Pro Bowl nose tackle, top cornerback and best IN running back followed."
2,"Bee Staff Writer. SANTA CLARA - Despite their youth, injuries and lousy 1-6 record, the one thing the 49ers have managed to avoid this season is locker-room dissension."
2,"Bee Staff Writer. SANTA younker CLARA - Despite their youth, injuries and lousy 1-6 record, the one thing the 49ers have managed to avoid this season is locker-room dissension."
2,"Bee Staff Writer. SANTA CLARA - Despite their youth, injuries and lousy 1-6 record, the one thing the 49ers have managed to avoid dissension season is locker-room this."
2,"Bee faculty Writer. SANTA CLARA - Despite their youth, injuries and lousy 1-6 record, the unitary thing the 49ers have managed to avoid this season is locker-room dissension."
2,"Bee Staff Writer. SANTA CLARA - Despite youth, injuries and lousy 1-6, the one thing the 49ers have managed to avoid this season is locker-room dissension."
4,"For two weeks before MTV debuted U2 #39;s video for the new single  quot;Vertigo, quot; fans had a chance to see the band perform the song on TV -- in an iPod commercial."
4,"For two weeks before MTV debuted U2 #39;s video for the new single  quot;Vertigo, quot; lover had a prospect to insure the band perform the song on TV -- in an iPod commercial."
4,"For two weeks before MTV debuted U2 #single;s video for the fans 39  quot;Vertigo, quot; new had a chance to see the band perform the song on TV -- in an iPod commercial."
4,"For two weeks before MTV debuted U2 #39; video for the new single  quot;Vertigo, quot; fans had to see the band perform the song on TV -- in an iPod commercial."
4,"For two weeks before MTV debuted U2 #39;s video for the new single  lightheadedness quot;Vertigo, quot; fans had a chance to see the band perform the Song song on TV -- in an iPod commercial."
