class,text
1,The thought of not having to buy refills and just using regular bags is awesome!
1,The thought of not having to buy refills and just using regular bags is awesome!
1,"It really is the perfect travel  camera, plus it offers the convenience of digital photography."
1,"It really is the perfect travel  camera, plus it offers the convenience of digital photography."
0,"4 .the zen * stores * data files , but does not allow a folder structure nor does it allow documents to be opened or programs to be launched from its disk ( they must be copied to another hard drive to be launched ) . "
0,"4 .the zen * stores * data files , but does not allow a folder structure nor does it allow documents to be opened or programs to be launched from its disk ( they must be copied to another hard drive to be launched ) . "
0,"4 .the zen * stores * data files , but doesn't allow a folder structure nor does it allow documents to be opened or programs to be launched from its disk ( they must be copied to another hard drive to be launched ) . "
1,four megapixels is great . 
1,four megapixels is great . 
1, Really easy to use.
1, Really easy to use.
0,will never purchase apex again . 
0,will never purchase apex again . 
0,But my biggest gripe is still the extremely ugly design.  
0,But my biggest gripe is still the extremely ugly design.  
0,- no propietary headset jack 
0,- no propietary headset jack 
0,"it would either not play the song at all , or skip wildly , no matter that the unit was resting on my desk . "
0,"it would either not play the song at all , or skip wildly , no matter that the unit was resting on my desk . "
0,"it'd either not play the song at all , or skip wildly , no matter that the unit was resting on my desk . "
0," Maybe some of you do n't have this problem , but I know of over 20 cases of buzzing from this monitor ."
0," Maybe some of you do n't have this problem , but I know of over 15 cases of buzzing from this monitor ."
0," Maybe some of you do n't have this problem , but I know of over 18 cases of buzzing from this monitor ."
0," Maybe some of you do n't have this problem , but I know of over 21 cases of buzzing from this monitor ."
0," Maybe some of you do n't have this problem , but I know of over 3 cases of buzzing from this monitor ."
1,transfers are surprisingly quick through usb 2.0 . 
1,transfers are surprisingly quick through usb 2.0 . 
0,"one beef is the scroll , it does n't work as well as i 'd like . "
0,"one beef is the scroll , it does n't work as well as i 'd like . "
0,"two beef is the scroll , it does n't work as well as i 'd like . "
0,"Though nearly a dozen different people at both T-Mobile and Nokia have told me otherwise, it is simply not possible to use this phone as a Bluetooth modem for the vast majority of PDAs and many other devices."
0,"Though nearly a dozen different people at both T-Mobile and Nokia have told me otherwise, it is simply not possible to use this phone as a Bluetooth modem for the vast majority of PDAs and many other devices."
0,"Though nearly a dozen different people at both T-Mobile and Nokia have told me otherwise, it's simply not possible to use this phone as a Bluetooth modem for the vast majority of PDAs and many other devices."
0,"2 the camera is so small that when you attach some lenses i have the 19mm wide-angle -- wc-e 68 , the optical viewfinder is partially obscured . "
0,"2 the camera is so small that when you attach some lenses i've the 19mm wide-angle -- wc-e 24 , the optical viewfinder is partially obscured . "
0,"2 the camera is so small that when you attach some lenses i've the 19mm wide-angle -- wc-e 27 , the optical viewfinder is partially obscured . "
0,"2 the camera is so small that when you attach some lenses i've the 19mm wide-angle -- wc-e 46 , the optical viewfinder is partially obscured . "
0,"2 the camera is so small that when you attach some lenses i've the 19mm wide-angle -- wc-e 68 , the optical viewfinder is partially obscured . "
1, its definately an outstanding laptop .
1, its definately an outstanding laptop .
1,"it hasnt gone below the second notch ( i charge mine whenever i 'm at home and not using it ) , so the battery life seems fine ( so far ). "
1,"it hasnt gone below the second notch ( i charge mine whenever i 'm at home and not using it ) , so the battery life seems fine ( so far ). "
1, Selected it because it looked easy to install .
1, Selected it because it looked easy to install .
0,it has never worked . 
0,it has never worked . 
1, Screen brightness is really good .
1, Screen brightness is really good .
1,the phones are awesome . 
1,the phones are awesome . 
0,You must keep double checking depths.
0,You must keep double checking depths.
0,* scroll button more cumbersome than on earlier models . 
0,* scroll button more cumbersome than on earlier models . 
