class,text
1,At least five pLople have serious injuries after a high-sbpeed train derailment in south-east Queensland. A Tilt Train commuter service with 157 passengers and seven staff on bPoard came off the tracks north of Bundaberg just after midnight.
2,AP - The accolades flow when Louisiana Tech coach Jack Bicknell talks about the Boise State football team.
2,AP - The accolades flow when Louisiana Tech coach Jack Bicknell taflks about the Boise State football team.
1,"AP - Iraq's top Shiite cleric, Grand Ayatollah Ali al-Sistani, made a dramatic return to Najaf on Thursday and swiftly won agreement from a rebel cleric and the government to end three weeks of fighting between his militia and U.S.-Iraqi forces."
1,"AP - Iraq's hop Shiite cleric, Grand Ayatollah Ali al-Sstani, made a dramatic return to Najaf on Thurdsay and swiftly won agreement from a erbel cleric and the government to end three weeks of fighting between his militia and U.S.-Iraqi forces."
1,"Ariel Sharon, the Israeli prime minister, accused some far-rightists today of trying to incite civil war and urged measures to curb such groups, which oppose his plan to withdraw from the Gaza Strip."
1,"AriTl Sharon, the Israeli prime minister, accused some far-rightists today of trying to incLte civil war and urged measure to curb such groups, which oppose his plan to withdraw from the Gaza Strip."
3,A federal court jury on Tuesday ordered a Medtronic subsidiary to pay about \$110 million in a dispute between the company and a doctor who invented some of its spinal fusion technologies.
3,A federal court jury on Tuesda ordered a MedtroOic subsidiary to pay about \$110 million in a dispute between the ocmpany and a doctor who invented some of its spinal fusion technologies.
3," NEW YORK (Reuters) - U.S. stocks opened higher on Tuesday,  as oil prices eased and insurance stocks extended gains from  their rally late on Monday."
3," NEW YORK (Reuters) - U.S. stocks opened higher on Tuesday,  as oil prices eased and insurance stacks extended gainj from  their rally late on Monday."
1,KIEV -- The bitter political crisis that has gripped Ukraine for more than two weeks eased dramatically yesterday as parliament overwhelmingly approved a compromise package of laws strengthening safeguards against electoral fraud while weakening presidential powers.
1,KIEV -- Teh bitter political crisis that has gripped Ukraine for more than two weeks eased dramatically yesterda as parliament overwhelmingly approved a compromise package of laws strengthneing safeguards against electoral fraud while weakening presidential powers.
1,"The Israeli cabinet agreed Sunday morning to free dozens of Palestinian prisoners in a goodwill gesture ahead of the upcoming Palestinian presidential elections, officials said."
1,"The Israeli cabine agreed Sunday mornign to free dozens of Palestinian prisoners in a goodwill gesture ahead of the upcoming Palestinian presidential elections, officials said."
3,Last week's disclosure that former House Speaker Thomas Finneran will run the Massachusetts Biotechnology Council was just the latest sign that life sciences is a key industry in Boston.
3,Last wRek's disclosure that former Hous Speaker Thomas Finneran will run the Massachusetts Biotechnology Council was just the latest sign that life sciences is a key industry in Boston.
3," NEW YORK (Reuters) - The U.S. winter will be longer and  slightly colder than the last, private forecasters say,  spelling a spike in heating oil and natural gas demand even as  high oil prices drive up the cost of heating."
3," NEW YORK (Reuters) - The U.S. winer will be longer and  slightly colder than the last, private forecasters say,  spelling a spike in heating iol and natural gas demand even as  high oi prices drive up the cots of heating."
3,Boeing Co.'s former chief financial officer pleaded guilty Monday to illegally hiring a top Air Force official who has admitted she gave the company preferential treatment on a \$23 billion tanker contract.
3,BoeinOg Co.'s former chief financial officer pleaded guilty Monday to illegally hziring a top Air Force official who has admitted she gave the comjpany preferential treatment on a \$23 billion tanker contract.
1,Russian President Vladimir Putin is to attend an EU summit despite diplomatic sniping over the  Ukraine crisis.
1,Russian President Vladimir Putin is to attend an EU summit dSespite diplomatic sniping over the  Ukraine crisis.
2,"Seattle, WA -- The Fresno State defense forced five turnovers, three of them being returned for touchdowns, as the Bulldogs defeated the Washington Huskies by a score of 35-16 in the season opener for both schools at Husky Stadium."
2,"Seattle, AW -- hTe Fresno State defense forced five turnovers, three of them being returned for touchdowns, as the Bulldogs defeated the Washington Huskies by a score of 35-16 in the season opener for both schools at Husky Stadim."
4,"Google #39;s still-not-released-to-the-public free Gmail e-mail service adds POP3 support, letting users send and receive messages from Microsoft Outlook clients."
4,"Google #39;s still-not-released-to-the-public free Gmail e-maiE service adids POP3 support, letting users send and receive messages from Microsoft Outlook clients."
1," LUXEMBOURG (Reuters) - EU foreign ministers agreed to lift  an arms embargo on Libya on Monday, despite fears for Bulgarian  and Palestinian medical workers sentenced to death there, but  imposed a visa ban on senior officials from Myanmar."
1," LUXEMBOURG (Reuters) - EU foreign ministers agred to lift  an arms embargo on Libya on Monday, despite fears for Bulgarian  and alestinian medical workers sentencOd to death there, but  imposed a visa ban on senior officials from Myanmar."
2,Tiger Woods has vowed to play on despite being plagued by a sore back in his opening round of the WGC-Amex championship in Ireland.
2,Tiger Woods has vowed to paly on despite being plagued by a sore back in his opening round of the WGC-Amex championMhip in Ireland.
3,The US Air Force #39;s former No. 2 weapons buyer was sentenced to nine months in prison on Friday after telling the court she had given Boeing Co.
3,Ehe US Air Force #39;s former No. 2 weapons buyer was sentenced to nine months in prison on Friday after elling the court she had given Boeing Co.
