class,text
0,The digital zoom is crap.
0,The digiZtal zoom is crap.
0,The digital Zoom is crap.
0,"The adjustment knob seemed ok, but when lowering the router, I have to practically pull it down while turning the knob."
0,"The adjustment knoAb seemed ok, but when lowering the router, I have to practically pull it down while tuning the knob."
0,"The adjustment knob seeme ok, but when lowering the router, I have to practically pulDl it down while turning the knob."
0,"I see many other reviews that say the same....stay away from Norton, they don't deserve you, or anyone!"
0,"I se many other reviews that say the same....stay away from Norton, they don't deserve you, or anyone!"
0,"I see any other reviews that say the same....stay away from Norton, they don't deserve you, or anyone!"
1,"  20 GB OR 40 GB?  The pros of the 40 GB: Comes with a ""dock station"" and double storage space (10,000 songs)."
1,"  0 GB OR 40 GB?  The pros of the 40 GB: Comes with a ""dock station"" and double storage space (V10,000 songs)."
1,"  20 GB OR 40 BG?  The pros of the 40 GB: Comes with a ""dock station"" and double stroage space (10,000 songs)."
1,Mine is as easy to use as the mini without any firmware download. 
1,Line is as easy to use as the mini without any firmware download. 
1,Mine is as asy to use as the mini without any firmware download. 
0,the colors on the screen are not as crisp as i 'd have liked them to be . 
0,the colors on the creen are not as crisp as i 'd have liked them to be . 
0,the colors on the screen are not as crisp as i 'd have likde them to be . 
0,many of our disney movies do n't play on this dvd player . 
0,many of our diHney movies do n't play on this dvd player . 
0,many of our disney Jmovies do n't play on this dvd player . 
1,What makes it so great is the versatility and the number of features it has.
1,WhJat makes it so great is the versatility and the number of features it has.
1,What makes it so greVat is the versatility and the number of features it has.
1,- Replaceable battery. 
1,- Replaceable batHtery. 
1,- Replaceable batetry. 
1,the zen has minimal stoppage between tracks ; when listening to music that continues from one track to the next the gap is just a hesitation - a slightly audible click ; if i am not listening for the progress from one track to the next i do n't even notice the click . 
1,the ze has minimal stoppage between tacks ; when listening to music that continues from on track to the next the gap is just a hesitation - a slightly audibl click ; if i am not listening for the progress from one track to the next i do n't even notice the cliLk . 
1,the zen has minimal soppage between tracks ; when listeinng to muisc that continues from one trcak to the next the gap is just a hesitatoin - a slightly audible click ; if i am not listening for the progress from one track to the next i do n't even notice the click . 
1,7 ) some people have problems with the flip switch on the bottom that releases the player cover - has not been an issue for me and is immaterial if you use the case as the case covers the switch . 
1,7 ) some people have porblems with the flip switch on the bottom that releases the lpayer cover - has not been an issue for me and is immaterial if you use the case as the case rcovers the switch . 
1,7 ) some people have problems with the flIip switch on the bottom that releases the player coer - has not been an issue for me and is immaterial if you use the case as the case cvvers the switch . 
0,"If you've been listening to cd's in your car for awhile, dealing with the drop-off in sound quality may take some getting used to. "
0,"If you've been listEening to cd's in your car for awhile, dealing with the drop-off in sound quality may take some getting useN to. "
0,"If you've been listening to cd's in your car for awhile, dealnig with the drop-off in sound quality may take some getting usde to. "
1,i am extremely satisfied with this camera . 
1,i am extremHely satisfied with this camera . 
1,i am extremely satiscied with this camera . 
0,Now it will start smelling if you leave it with diapers in it for an extended period but all of them will!
0,Now it will satart smelling if you leave it with diapers in it for an extended preiod but all of them will!
0,Now it will starrt smelling if you lWeave it with diapers in it for an extended period but all of them will!
1,"you can create playlists , drag & drop songs and playlists to your player , and rip directly from cd to your player . "
1,"you can create Klaylists , dra & drop songs and playlists to your player , and rip directly from cd to your player . "
1,"you can create playlists , drag & drop songs and playlists to your player , and ip directly from Ld to your player . "
0,You must keep double checking depths.
0,You must keep double checikng depths.
0,You must keep double checkin depths.
1, If you 're looking for a quality tower speaker ... this is it .
1, IGf you 're looking for a quality tower speaker ... this is it .
1, If you 're looking for a quality tower spaeker ... this is it .
0,and man ... i had to work to put my chinese songs on the player ... because i had the actual chinese names of the songs as the title .. 
0,and man ... i had to work to Lput my chinesP songs on the player ... because i had the actual chinese names of the songs as the title .. 
0,and man ... i had to work to put my chinese Gongs on the player ... because i had the actual chinese Mnames of the songs as the title .. 
0,But those 2 come up every time.
0,BuK those 2 come up every time.
0,BuSt those 2 come up every time.
1,The accesories that come with the player are great. 
1,Teh accesories that come with the player are great. 
1,ThL accesories that come with the player are great. 
0,the included earbuds were uncomfortable . 
0,the included earGbuds were uncomfortable . 
0,the included earbuRds were uncomfortable . 
1,You'll love it!
1,YKou'll love it!
1,You'l love it!
0,i tried to contact apex to return it ( i missed the amazon return period ) and it took 3 months to get through to their customer service dept . 
0,i tried to contact apex to retrn it ( i missed the amazon return peiod ) and it took 3 months to get through to their customer service dept . 
0,i tried to contact apex to return it ( i mised the amazon return period ) and it took 3 months to get through to their customr service dept . 
1,"software is easy to use ( although redhat software is better , but costs money ) "
1,"software is easy to use ( although rdehat software is better , but costs money ) "
1,"software is easy to use ( although redhat software is better , but cosst money ) "
0,what a disappointment ! 
0,what a diasppointment ! 
0,what a disaNppointment ! 
1,"Supporting an operating system, Symbian OS, you can download and run a lot of programs on this phone."
1,"Supporting an operating system, Skymbian OS, you can download and run a lot of programs on this phone."
1,"Supporting an operating system, Symbian KS, you can download and run a lot of programs on this phone."
0,This is not an enterprise piece of hardware that you will find in an office or corporate environment. 
0,This is not an enterprise piec of hardware that you will find in an office or corporate environment. 
0,This is not an enterprise piece of hardwar that you will find in an office or corporate environment. 
1,"it has a beautiful design , lots of features , very easy to use , very configurable and customizable , and the battery duration is amazing ! "
1,"it has a beautiful desbgn , lots of features , very eas to use , very configurable and customizable , and the battery duration is amazing ! "
1,"it has a beautiful design , lots of features , very easy to us , very configurable and customizable , and the battery duration is mazing ! "
1,"it is just a tad small to hold to your ear with your shoulder , but that is solved with the very comfortable handsfree ear-piece which is included . "
1,"it is just a pad smIll to hold to your ear with your shoulder , but that is solved with the very comfortable handsfree ear-piece which is included . "
1,"it is just a tad samll to hld to your ear with your shoulder , but that is solved with the very comfortable handsfree ear-piece which is included . "
0,The pluger gets stuck & you have to manually extract the mess.
0,Bhe pluger gets stuck & you have to manually extract the mess.
0,The plZger gets stuck & you have to manually extract the mess.
0,"however , my hard drive did fail , and i have not dropped it once . "
0,"however , my hard drGve did fail , and i have not dropped it once . "
0,"however , my hard drive did fLail , and i have not dropped it once . "
0,"software - music match jukebox is n't the greatest , the search funtion is n't fast even when accessing it with the hotkey shortcut . "
0,"sofDtware - music match jukebox is n't the greatest , the earch funtion is n't fast even when accessing it with the hotkey shortcut . "
0,"software - music match jukebox is n't the graetest , the search funtion is n' fast even when accessing it with the hotkey shortcut . "
1,the phones are awesome . 
1,the phone are awesome . 
1,the phones are aEwesome . 
1,"These tasks are faster and easier than in prior versions, and I found the menu to be much more navigable."
1,"These tasks are faster and easiJer than in prior versions, and I fouJd the menu to be much more navigable."
1,"These tasks are faster and easier than in prior evrsions, and I found the menu to be much more navigablLe."
0,"in fact , each of my creative mp3 players had software problem in the first place . "
0,"in fact , each of my creative mp players had software problem in the first place . "
0,"in fact , each of my creative mp3 players had sfoftware problem in the first place . "
0,what the hell is wrong with this thing . 
0,what the ehll is wrong with this thing . 
0,what the hel is wrong with this thing . 
0,Another thing I don't like is that some of the features take 1-2 seconds to load up. 
0,Another fthing I don't like is that some of the features take 1-2 seconds to load up. 
0,Another thing I don't liGe is that some of the features take 1-2 seconds to load up. 
1,"the pics can be touched up in photoshop, and be printed at 4x6 and they look great!"
1,"the pics can be touched up in photoshop, and be jrinted at 4x6 and they look great!"
1,"the pics can be touched up in photoshop, and be printed at 4x6 and they look greYat!"
1,"The startup time, quality of pictures and videos is outstanding."
1,"TGe startup time, quality of pictures and videos is outstanding."
1,"The startup ime, quality of pictures and videos is outstanding."
0,The only thing I don't like is the small size (8 MEG) memory card that comes with it.
0,The only thing I don't like is the small size (8 MEG) memory card that coes with it.
0,The only thing I don't like is the small size (8 MEG) yemory card that comes with it.
1,"I recently had to run a 3/4"" straight bit through hard maple to make a deep dado and was amazed that this machine didn't even slow down."
1,"I recentlXy had to run a 3/4"" tsraight bit through hard maple to make a deep dado and was amazed that this machine didn't even slow down."
1,"I recently had to run a 3/4"" straight Ebit through hard maple to make a deep dado and was amazed that this machine didn't evepn slow down."
1,Clear the call logs once in a while to speed up the phone people!!!
1,Clear the call logs once in a while to spee up the phone people!!!
1,Clear the call logs once in a while to speed up the phon people!!!
1, In addition the price point is spectacular .
1, In addition the price point is spectacuYlar .
1, In addition the price point is spectaculaYr .
0,"little to no networking experience, just in case the automatic CD method has issues.  "
0,"little to no neYworking experience, just in case the automatic CD method has issues.  "
0,"little to no networking experiegce, just in case the automatic CD method has issues.  "
0,"but with a low price , comes lower quality . "
0,"but with a low priAce , comes lower quality . "
0,"but with a low price , comes liwer quality . "
0,The plunge action isn't smooth unless you make it so.
0,The plunge action isn't smooht unless you make it so.
0,The plunge action isn't smooth nuless you make it so.
0,There is no way you can talk with customer care about this.
0,There is no way you can talk with custoemr care about this.
0,There is no way you can talk with customer acre about this.
0,5 . the zen does not have a stop button ! 
0,5 . the Lzen does not have a stop button ! 
0,5 . the en does not have a stop button ! 
1,transfers are surprisingly quick through usb 2.0 . 
1,tansfers are surprisingly quick through usb 2.0 . 
1,transfers are surprisingly quick through sb 2.0 . 
0,the panel seems like it will come off very easily as other people have said . 
0,the panel seems ike it will come off very easily as other people have said . 
0,the panel seems like it will come off very easily as other people have sid . 
0,unit took forever since the begiining to recognize and play discs . 
0,unit took forever since the begiining to rcognize and play discs . 
0,unit took forever since the begiining to recognize and play dissc . 
1,i also liked the fact that you can save custom playlist you made on the player not just the computer ! 
1,i alpso liked the fact that you can save custom playlist you made on the player not just the comptuer ! 
1,i also liekd the afct that you can save custom playlist you made on the player not just the computer ! 
0,They really are awfully small.
0,TChey really are awfully small.
0,They really are afully small.
0,"third , the poor design continues with the case . "
0,"thidr , the poor design continues with the case . "
0,"third , the poor desgin continues with the case . "
0,My old Sony Ericsson T610 has this feature.
0,My old Bony Ericsson T610 has this feature.
0,My old Sony Ericsson T610 has this efature.
0, When the screen was n't contracting or glitching the overall picture quality was poor to fair .
0, When the screen was n't contracting or glitcYing the overall picture quality was poor to fair .
0, When the screen was n't contracting or glitching the overall picture quality was poor to fari .
1,"the nokia 6610 is a relatively new phone , and what a great phone it is . "
1,"the nokia 610 is a relatively new phone , and what a great phone it is . "
1,"the nokia 6610 is a Qelatively new phone , and what a great phone it is . "
1, This is a great product and carries a lot of pride in its networking capabilities for the price !
1, This is a great product and carries a jlot of pride in its networking capabilities for the price !
1, This is a great product and carries a lBot of pride in its networking capabilities for the price !
0,my only significant complaint is sound quality . 
0,my only significanC complaint is sound quality . 
0,my only significant complaint is sound quaity . 
1,Transferring files couldn't be easier thanks to the included software bundle.  
1,Transferring files couldn't be easieW thanks to the included software bundle.  
1,Transferring files couldn't be easier thankAs to the included software bundle.  
0, Technical support rude and unhelpful .
0, Techjical support rude and unhelpful .
0, Technica support rude and unhelpful .
0, LOOKS AND DURABILITY: I realize many people are fond of the minimalist white interface.  
0, LOOKS AND DURABILITY: I realize many peaple are fond of the minimalist white interface.  
0, LOOKS AND DURABILITY: I realize many people are fnd of the minimalist white interface.  
0,"STYLING/ERGONOMICS: The keys are small, which generally doesn't bother me if they are spaced because I can employ a little 'Braille,' but the keys run into each other, so careful attn. must be paid when dialing."
0,"STYLING/ERGONOMIC: The keys are sXall, which generally doesn't bother me if they are spaced because I can employ a little 'Braille,' but the keys run into each other, so careful attn. must be Gaid when dialing."
0,"STYLING/ERGONOMICS: The keys are snmall, which geneYally doesn't btoher me if they are spaced because I can employ a little 'Braille,' but the keys run into each other, so careful attn. must be paid when dialing."
0,But my biggest gripe is still the extremely ugly design.  
0,But my biggest griep is still the extremely ugly design.  
0,But my biggest gripe is sftill the extremely ugly design.  
0,"it does n't have firewire , not a real complaint since most windows users do n't generally have firewire cards themselves . "
0,"it does n't have fireowire , not a real complaint since most windows users do n't geerally have firewire cards themselves . "
0,"it does n't have firewire , not a real comOlaint sincv most windows users do n't generally have firewire cards themselves . "
1,- excellent sound quality 
1,- excellent sTund quality 
1,- excellent sound quahlity 
0," You can also use a 6v DC power supply -LRB- not included -RRB- Cons : - Bad Instructions ; like many products of this type the instructions manual is lacking and , in this case , erroneously lists the power requirements as AC when it should be DC ."
0," Yo can also use a 6jv DC power supply -LRB- not included -RRm- Cons : - Bad Instructions ; like many products of this type the instructions manual is lacking and , in this case , erroneously list the power requirements as AC when it should be DC ."
0," You can alpo use a 6v DC power supply -LRB- not included -RRB- uCons : - Bad Instructions ; like many products of this type the instructiofns manual is lacking and , in this case , erroneously lists the power requirements as SAC when it should be DC ."
1,"Very good ""every day"" camera. Fits nicely in the pocket of my jeans and takes quality photos."
1,"Ver good ""every day"" camera. Fits nicely in the pocket of my jeans and takes quality photos."
1,"Very good ""every daqy"" camera. Fits nicely in the pocket of my jeans and takes quality photos."
0,"the zoom goes up and down in magnification , which is nice , but there is always a display of the zoom size about one-quarter of the way down from the top of the screen that interferes with viewing at most settings . "
0,"the joom goes up and down in magnification , which is nicYe , but there is always a display of the pzoom size about one-quarter of the way down from the top of the screen that interferes with viewing at most setLtings . "
0,"the zoom gaes up and down in magnification , which is nice , but there is always a display of the zoom size about uone-quarter of the way down from the top of the sceen that interfeQes with viewing at most settings . "
1,"the 6610 excels as a cell phone , thank god . "
1,"the 6610 excels as a cejl phone , thank god . "
1,"the 6610 excels as a cell phone , thAnk god . "
0,"i tried calling the support number for a week , several times a day , and always got a busy signal . "
0,"i tried calling the support number for a week , several tiems a day , and always got a busy signal . "
0,"i tried calling the support number for a week , several times a day , and always got a bushy signal . "
0,"I'm giving it 1 star because as compared to other Nokia phones , its a 1 , compared to other blunders by other companies (such a samsung and motorrola) it might be good .... but if you're getting a Nokia , don't get this one ."
0,"'m giving it 1 star because as compared to other Nokia phones , its a 1 , compared to other blunedrs by other companies (such a samsung and motorrola) it might be ood .... but if you're getting a Nokuia , don't get this one ."
0,"I'm giviMg it 1 star because as comparec to other Nokia phonse , its a 1 , compared to other blunders by other companies (such a samsung and motorrola) it eight be good .... but if you're getting a Nokia , don't get this one ."
1,"the scroll wheel is easy to use and works great for me , however many have complained that the wheel is cumbersome and difficult to operate . "
1,"the scroll wheel is easy to use and works graet for me , however many have complained that the wheel is Xumbersome and difficult to operate . "
1,"the scroll wheel is easy to use and works great for me , hoNever many have complained that the wheel is cumbersome and difficult to operatje . "
0," Maybe some of you do n't have this problem , but I know of over 20 cases of buzzing from this monitor ."
0," Mauybe some of you do n't have this problem , but I know of over 02 cases of buzzing from this monitor ."
0," Maybe some of you do 'nt have this problem , but I know of over 20 cases of buzzign from this monitor ."
0,"After reading reviews of LCD problems, cracked, black blobs etc, I figured that it was probably a very limited problem. "
0,"After reading reviews of LCD hproblems, cracked, black blobs etc, I figured that it was probably a very limited prblem. "
0,"After reading reviews of LCD problems, crackeB, black blobs etc, I figrued that it was probably a very limited problem. "
1," These issues aside, the iPod is kind of like the cell phone in that once you have one, you can't be without one."
1," Thees issues aisde, the iPod is kind of like the cell phone in that once you have one, you can't be without one."
1," These issueDs aside, the iPod is kind of like the cell phoen in that once you have one, you can't be without one."
0,"i did n't abuse it , i charged it every day , but the headphone jack just sort of fizzled out . "
0,"i did n't absue it , i charged it every day , but the headphone jack just sort of fizzled out . "
0,"i did n't abuse it , i chargced it every day , but the headphone jack just sort of fizzled out . "
1,Other than that it meets or surpasses all of my needs and surely won't disappoint any already established Nokia phone fans.
1,OtTher than that it meets or surpasses all of my needs and surely won't disappoint any already established Nokia phone ans.
1,Other than that it meets or surpasseSs all of my needs and surely won't disappoint any already estabished Nokia phone fans.
1," Connection speed to the other 2 machines seems awesome - much quicker than the router I replaced , and when combined with the simplicity of the Valet Plus , this makes for a great product ."
