class,text
2,"Had a very disappointing experience today.  All four in our group were disappointed in the quality of the food, especially the overripe cantaloupe and soggy potatoes.  The place was busy which wont be the case much longer if they dont improve their fare.  The service staff was friendly although I thought it interesting that no one asked us about our experience.   If they were interested, now they know."
2,"Had a very disappointing experience today.  All four in our group were disappointed in the quality of the food, especially the overripe cantaloupe and soggy potatoes.  The place was busy which wont be the case much longer if they dont improve their fare.  The service staff was friendly although I thought it interesting that no one asked us about our experience.   If they were interested, now they know."
2,"Had a very disappointing experience today.  All four in our group were disappointed in the quality of the food, especially the overripe cantaloupe and soggy potatoes.  The place was busy which wont be the case much longer if they dont improve their fare.  The service staff was friendly although I thought it interesting that no two asked us about our experience.   If they were interested, now they know."
3,"Its three stars because I dont know how to rate it -- I didnt think it was very good at all when I went the other night during their grand opening, but maybe I just dont have a taste for it.  Service was prompt and polite.  The food?  Eh.  I had one of the house specials.  I didnt think it was very special.  I do think the waiter deserves bonus points for talking me into a half order rather than a full order.  The lemon-lime beverage was strong and sweet."
3,"Its five stars because I dont know how to rate it -- I didnt think it was very good at all when I went the other night during their grand opening, but maybe I just dont have a taste for it.  Service was prompt and polite.  The food?  Eh.  I had two of the house specials.  I didnt think it was very special.  I do think the waiter deserves bonus points for talking me into a half order rather than a full order.  The lemon-lime beverage was strong and sweet."
3,"Its four stars because I dont know how to rate it -- I didnt think it was very good at all when I went the other night during their grand opening, but maybe I just dont have a taste for it.  Service was prompt and polite.  The food?  Eh.  I had two of the house specials.  I didnt think it was very special.  I do think the waiter deserves bonus points for talking me into a half order rather than a full order.  The lemon-lime beverage was strong and sweet."
3,"Its six stars because I dont know how to rate it -- I didnt think it was very good at all when I went the other night during their grand opening, but maybe I just dont have a taste for it.  Service was prompt and polite.  The food?  Eh.  I had two of the house specials.  I didnt think it was very special.  I do think the waiter deserves bonus points for talking me into a half order rather than a full order.  The lemon-lime beverage was strong and sweet."
3,"Its two stars because I dont know how to rate it -- I didnt think it was very good at all when I went the other night during their grand opening, but maybe I just dont have a taste for it.  Service was prompt and polite.  The food?  Eh.  I had two of the house specials.  I didnt think it was very special.  I do think the waiter deserves bonus points for talking me into a half order rather than a full order.  The lemon-lime beverage was strong and sweet."
1,"If you are over 24 you are too old to be here.   First, this place has beer.  Dont order mixed drinks, dont order wine, both are gross unless your sole purpose is to get trashed, which is the mission of every underage and young, young 20-something at this bar. This is the place youd go to with your fake ID because when youre 19 this is what you think a bar should be. Expect people over drinking and throwing up very early on in the evening in the bathroom."
1,"If you're over 10 you are too old to be here.   First, this place has beer.  Dont order mixed drinks, dont order wine, both are gross unless your sole purpose is to get trashed, which is the mission of every underage and young, young 20-something at this bar. This is the place youd go to with your fake ID because when youre 27 this is what you think a bar should be. Expect people over drinking and throwing up very early on in the evening in the bathroom."
1,"If you're over 21 you are too old to be here.   First, this place has beer.  Dont order mixed drinks, dont order wine, both are gross unless your sole purpose is to get trashed, which is the mission of every underage and young, young 20-something at this bar. This is the place youd go to with your fake ID because when youre 31 this is what you think a bar should be. Expect people over drinking and throwing up very early on in the evening in the bathroom."
1,"If you're over 3 you are too old to be here.   First, this place has beer.  Dont order mixed drinks, dont order wine, both are gross unless your sole purpose is to get trashed, which is the mission of every underage and young, young 20-something at this bar. This is the place youd go to with your fake ID because when youre 25 this is what you think a bar should be. Expect people over drinking and throwing up very early on in the evening in the bathroom."
1,"If you're over 48 you are too old to be here.   First, this place has beer.  Dont order mixed drinks, dont order wine, both are gross unless your sole purpose is to get trashed, which is the mission of every underage and young, young 20-something at this bar. This is the place youd go to with your fake ID because when youre 9 this is what you think a bar should be. Expect people over drinking and throwing up very early on in the evening in the bathroom."
5,"All I can say is ""yum!"""
5,"All I can say is ""yum!"""
4,"The place was dope! The only bummer was the half-assed sun cover offerings out on the patio, but we were lucky to find a spot inside for post brunch drinks! Food, service and atmosphere are all good! Definitely make it to this spot!"
4,"The place was dope! The only bummer was the half-assed sun cover offerings out on the patio, but we were lucky to find a spot inside for post brunch drinks! Food, service and atmosphere are all good! Definitely make it to this spot!"
3,"Typical Taco Bell with typical Taco Bell menu (other than the Popeyes Fish they serve from the same kitchen/counter). Not sure if some of the people in the kitchen could speak English. One employee on break sat in front of a small TV in the seating area which was VERY LOUD and ANNOYING. Every table was dirty despite it not being very busy, and the bottles of condiments at the ""fixins"" bar were filthy. Cant beat the prices, though. As usual, I left ""stuft"" on two bucks."
