class,text
2,What does pH stand for ?
2,What does pH : stand for ?
2,What ; does pH stand for ?
5,How many consecutive baseball games did Lou Gehrig play ?
5,How many consecutive baseball games did Lou Gehrig play : ?
5,How many consecutive baseball . games did ? Lou Gehrig play ?
5,How many disks does each player have in a four-handed game of Crokinole ?
5,"How many disks does each player have in a four-handed game of Crokinole , ?"
5,"How many disks does ? each player , have in a four-handed game of Crokinole ?"
0,How do I e-mail someone at aol.com from yahoo.com ?
0,"How do I e-mail : someone at aol.com , from yahoo.com ?"
0,How do I ; e-mail someone at aol.com from yahoo.com ?
1,The Jewish alphabet is called what ?
1,The ! Jewish alphabet is called what ?
1,: The Jewish alphabet is called what ?
5,What is the cost of the drugs used in tuberculosis treatments ?
5,What is the ! cost of the drugs used in tuberculosis treatments ?
5,"What is , the cost of the drugs used in . tuberculosis treatments ?"
5,When does the average teenager first have intercourse ?
5,"When does the average , teenager first have intercourse ?"
5,When does ! the average teenager first have intercourse ?
2,What does SIDS stand for ?
2,; What does SIDS stand for ?
2,What does SIDS . stand for ?
5,How many head injuries are there in recreational ice skating each year ?
5,How many head injuries are there in . recreational : ice skating each year ?
5,", How many head injuries are there in recreational ice skating each year ; ?"
5,When is the site www.questions.com going to open ?
5,When is the site www.questions.com going to open . ?
5,"When is , the site www.questions.com going to open ?"
4,McCarren Airport is located in what city ?
4,McCarren Airport ? is located in what city ?
4,McCarren Airport is . located in what city ?
4,Where 's the Petrified Forest ?
4,Where 's the . Petrified Forest ?
4,Where ! 's the Petrified Forest ?
4,Where did makeup originate ?
4,Where did makeup originate . ?
4,Where did makeup ; originate ?
5,How many years did Shea & Gould practice law in Los Angeles ?
5,How many years ? did Shea & Gould practice law in Los ! Angeles ?
5,How many years did Shea ! & Gould practice law in Los Angeles ?
1,What can I use to remove the stubborn gummed labels from some diskettes ?
1,What can I use to remove the stubborn gummed : labels ; from some diskettes ?
1,". What can I use to remove the stubborn , gummed labels from some diskettes ?"
5,In what year did they build the Berlin Wall ?
5,! In what year did they ? build the Berlin Wall ?
5,"? In , what year did they build the Berlin Wall ?"
5,The Olympic Games in which year allowed Nadia Comaneci to become popular ?
5,; The Olympic Games in which year ! allowed Nadia Comaneci to become popular ?
5,"The Olympic Games in which year allowed Nadia Comaneci , to become popular ?"
1,Name the vessel used by the Atari Force in the DC comics .
1,Name the vessel used by the Atari Force in the DC ? comics ; .
1,? Name the vessel used by the Atari Force in the DC comics .
2,What is DTMF ?
2,What is DTMF . ?
2,! What is DTMF ?
1,What terror of the sea did Johnny Horton sing about ?
1,What terror of the sea did Johnny Horton sing about ? ?
1,"What terror of the sea , did Johnny ! Horton sing about ?"
3,What is Goldfinger 's first name ?
3,What is : Goldfinger 's first name ?
3,What is Goldfinger 's first ! name ?
3,Who was the Charlie perfume woman ?
3,"Who was the Charlie perfume woman , ?"
3,Who was the ! Charlie perfume woman ?
