class,text
5,How long does a human live ?
0,What is the meaning of `` CPR '' ?
5,When does the Bible say the seasons started ?
1,What did the pyramid-builders of Egypt mainly eat ?
1,What does a deltiologist collect ?
5,What year was Janet Jackson 's first album released ?
5,How many electoral college votes does Colorado have ?
1,What kind of wine is Spumante ?
0,What is the origin of Boxing Day ?
4,Where can I find information on the Narragansett Indians and other tribes in Rhode Island ?
0,What 's the motto of the Boy Scouts ?
2,What is the abbreviation of General Motors ?
5,What percentage of the world 's plant and animal species can be found in the Amazon forests ?
1,What game do Steve McQueen and Edward G. Robinson play in The Cincinnati Kid ?
5,When was the first Wall Street Journal published ?
5,How much did the minimum wage amount to in 1991 ?
4,Name a country that is developing a magnetic levitation railway system ?
0,"What do Hank Aaron , Jimmy Stewart , and Howard K. Smith have in common ?"
3,What 's Japan 's largest car manufacturer ?
5,What is the date of Bastille Day ?
4,Where are the headquarters of Eli Lilly ?
4,What is Bill Gates of Microsoft E-mail address ?
3,What major airline has the best safety record in the world ?
5,How long does the average domesticated ferret live ?
0,Why do they call a hamburger a hamburger when there is no ham ?
4,What city is served by Logan International Airport ?
4,What is one of the cities that the University of Minnesota is located in ?
2,What is DTMF ?
1,What whisky is `` known by the company it keeps '' ?
5,What percentage of Americans own their homes ?
4,What are the ten safest American cities for pedestrians ?
5,What is the student population at the University of Massachusetts in Amherst ?
4,In what part of the world is Mozambique ?
2,What does ` PSI ' stand for ?
0,"What 's the meaning of the Latin battle cry : Ad arma , ad arma ."
5,When is a woman most fertile ?
5,How many web servers are there ?
0,What is the Home Rule Act ?
2,What 's the abbreviation for trinitrotoluene ?
0,What category does the color pink denote in the Trivial Pursuit Baby Boomer Edition ?
5,How many double-word-score spaces are there on a Scrabble Crossword Game board ?
1,What 1965 film had Jack Lemmon portraying a cartoonist ?
4,What city is near the mouth of the Amazon ?
2,What is DSL ?
0,What is the difference between the Koran and The Bible ?
0,What is porphyria ?
0,What do bee hives do in cranberry bogs ?
0,What is a virtual IP address ?
4,What are the four largest mountain ranges in the continental United States ?
0,How did the tradition of best man start ?
0,What is tyvek ?
2,What does A&W of root beer fame stand for ?
1,What terror of the sea did Johnny Horton sing about ?
5,How fast does the fastest car go ?
2,What is the acronym for the National Bureau of Investigation ?
0,How can someone become a federal agent ?
1,What 's the hardest substance in the human body ?
0,What is the circumorbital hematoma ?
2,What does SIDS stand for ?
0,How did people respond to the idea of the first millenium ?
4,"Where on the Web is Adventours Tours from Sydney , Australia ?"
3,Who was the Charlie perfume woman ?
3,Who made the first airplane ?
