class,text
19," In nonsmoking patients, ultrasonically determined thyroid volume was significantly related to treatment duration."
19," In nonsmoking patients, ultrasonically determined thyroid volume significantly related to treatment duration."
9, The 3H-(-)-Quinuclidinylbenzilate binding to muscarinic receptors in human nasal mucosa membranes was saturable and of high affinity in all groups.
9, 3H-(-)-Quinuclidinylbenzilate binding to muscarinic receptors in human nasal mucosa membranes was saturable and high affinity in all groups.
4," Nine of the 51 patients experienced systemic objective tumor responses (3 complete response, 6 partial response), but had Mx concentrations in their mononuclear cells equal to the Mx levels of non-responders during IFN-alpha therapy."
4," Nine of the 51 experienced systemic objective tumor responses (3 complete response, 6 partial response), but had Mx in their mononuclear cells equal to the Mx levels of during IFN-alpha therapy."
23, The frequency was twice as great in colitis (19%) as in ileocolitis (11%).
23, The frequency twice as great in colitis (19%) as in ileocolitis (11%).
17, Only four patients were atopic.
17, Only four patients atopic.
5," The charts also were reviewed to determine if any variables were associated with an increased use of F/E views, an increased likelihood of these views demonstrating instability, or any neurologic sequelae resulted from these studies."
5," The charts also were reviewed to determine if any variables were associated with an increased of F/E views, an likelihood of these views demonstrating instability, or any neurologic resulted from these studies."
2, The risks of viral transmission from trauma patients is a continuing concern to those involved in their care.
2, The of viral transmission from trauma patients is a continuing concern to those involved in their care.
4," However, when tamoxifen treatment (12 months) was stopped, progesterone treatment initiated tumorigenesis."
4," However, tamoxifen treatment (12 months) was stopped, progesterone treatment initiated tumorigenesis."
8, Thus migratory activity was measured in cells recovered from lung transplant recipients by bronchoalveolar lavage.
8, Thus activity was measured in cells recovered from lung transplant recipients by bronchoalveolar lavage.
14,Sexual function of women taking antihypertensive agents: a comparative study.
14,Sexual function of women taking antihypertensive agents: a study.
9, Increased use of impedance audiometry to monitor children with otitis media with effusion would reduce the number requiring full pure-tone audiometry with a subsequent reduction in the workload of an audiology department.
9, Increased use of audiometry to children with otitis media with effusion would reduce the number requiring full pure-tone audiometry with a subsequent reduction in the workload of an department.
11," Cases have been reported in children, adults, and the elderly."
11," Cases have been in children, adults, and the elderly."
22, We conclude that this is a useful model of chronic left ventricular failure that is reproducible and applicable to investigations of therapeutic options in chronic heart failure.
22, We conclude is a useful model of chronic left ventricular failure that is reproducible and applicable to investigations of therapeutic options in chronic heart failure.
14, Their use in the treatment of hypertension has resulted in a marked decline in hypertension-induced morbidity and mortality.
14, Their use in the treatment of hypertension has resulted in a decline in hypertension-induced morbidity and mortality.
22," A second experiment was performed with 58 animals fed five different mixtures of fats, all at 14% of total calories."
22," A second experiment performed with 58 animals fed five different mixtures of fats, all at 14% of total."
9," Of these, 3,608 were nonsmoking women who used four different types of cooking fuels: biomass, LPG, kerosene, and mixed fuels."
9," Of these, 3,608 nonsmoking women who four different types of cooking fuels: biomass, LPG, kerosene, and mixed fuels."
20," Patients with systemic non-Hodgkin's lymphoma were thought to have a separate cerebral lymphoma on the basis of a prolonged disease-free interval from their systemic lymphoma, and the absence of systemic disease, when PCNSL was diagnosed and through subsequent follow-up."
20," Patients systemic non-Hodgkin's lymphoma were thought to have a separate cerebral on the basis of a prolonged disease-free interval from their lymphoma, and the absence of systemic disease, when PCNSL was diagnosed and through subsequent follow-up."
20, Plasma samples were obtained at least once a month.
20, Plasma samples obtained at least once a month.
12," The 5-year survival rates were 75% for stage pT1, 63% for stage pT2, 31% for stage pT3 and 21% for stage pT4 disease."
12," The 5-year rates were 75% for stage pT1, 63% for stage pT2, 31% stage pT3 and 21% for stage pT4 disease."
22," Serous retinal detachments occurred rapidly, gradually enlarged over the next 3 days, and resolved in all eyes after 14 to 21 days."
22," Serous detachments occurred rapidly, gradually enlarged the next 3 days, and resolved in all eyes after 14 to 21 days."
9, We should learn from history.
9, We learn from history.
23, Twenty-five percent of patients in the control group and 63% in the aprotinin group did not receive banked blood or homologous blood products.
23, Twenty-five of patients in the control group and 63% in the aprotinin group did not receive banked blood or blood products.
13,Hip pain in late pregnancy.
13,Hip pain in late.
19,Paradoxical response of growth hormone to peptide histidine methionine in acromegaly: comparison with the effects of thyrotropin-releasing hormone and vasoactive intestinal peptide.
19,Paradoxical growth hormone to peptide histidine methionine in acromegaly: comparison with the effects of thyrotropin-releasing hormone and vasoactive intestinal peptide.
1, Sixteen patients with coccidioidomycosis were treated with itraconazole for one year.
1, Sixteen patients with coccidioidomycosis treated with itraconazole for one year.
17," In trauma and OA synovia, tissue factor was seen only in association with vessels (endothelial cells), but in RA synovium, it was markedly increased throughout the tissues."
17," In trauma and OA synovia, tissue factor was seen only in association with vessels (endothelial cells), but synovium, it was markedly increased throughout the tissues."
2,Disseminated strongyloidiasis with central nervous system involvement diagnosed antemortem in a patient with acquired immunodeficiency syndrome and Burkitts lymphoma.
2,Disseminated strongyloidiasis with central nervous system involvement diagnosed antemortem in a patient with acquired immunodeficiency syndrome Burkitts lymphoma.
7,Epidemiology and prevention of periodontal disease in individuals with diabetes.
7,Epidemiology and of periodontal disease in individuals with diabetes.
