class,text
5,How many shots can a stock M16 hold ?
5,how many shots can a stock m16 hold ?
5,how many shots can a stock m16 hold ?
4,Where are the headquarters of Eli Lilly ?
4,where are the headquarters of eli lilly ?
4,where are the headquarters of eli lilly ?
0,Why are eggs supposed to be stored small end down ?
0,why are eggs supposed to be stored small end down ?
0,why are eggs supposed to be stored small end down ?
3,What author of the Days of Our Lives Cookbook signed on in 198 as Liz Chandler in TV 's Days of Our Lives ?
3,what author of the days of our lives cookbook signed on in 198 as liz chandler in tv ' s days of our lives ?
3,"what author of the , of our lives cookbook signed on in 198 as liz chandler in tv ' s days of our lives ?"
4,Where do you find information about the Queensland National Competition Policy
4,where do you find information about the queensland national competition policy
4,where do you find information about the queensland national competition policy
3,What female painter produced primitives of rural New England life ?
3,what female painter produced primitives of rural new england life ?
3,what female painter produced primitives of rural new england life ?
3,Who is Stein Eriksen ?
3,who is stein eriksen ?
3,who is stein eriksen ?
4,Where did Hillary Clinton graduate college ?
4,where did hillary clinton graduate college ?
4,where did hillary clinton graduate college ?
4,What city is near the mouth of the Amazon ?
4,? city is near the mouth of the amazon ?
4,? city is near the mouth of the amazon ?
1,What was the distinguishing mark on the `` Little Rascals '' dog ?
1,what was the distinguishing mark on the ` ` little rascals ' ' dog ?
1,what was the distinguishing mark on the ` ` little rascals ' ' dog ?
5,When was Florida admitted into the Union ?
5,when was florida admitted into the union ?
5,when was florida admitted into the union ?
0,What are field effect transistors ?
0,what are field effect transistors ?
0,what are field effect transistors ?
2,What is the full form of .com ?
2,what is the full form of . com ?
2,what is the full form of . com ?
2,What is the abbreviated expression for the National Bureau of Investigation ?
2,what is the abbreviated expression for the national bureau of investigation ?
2,what is the abbreviated expression for the national bureau of investigation ?
5,How long does the average domesticated ferret live ?
5,how long does the average domesticated ferret live ?
5,how long does the average domesticated ferret live ?
2,"What do the letters CE stand for on so many products , particularly electrical , purchased now ?"
2,"what do the letters ce stand for on so many products , particularly electrical , purchased now ?"
2,"what do the letters ce stand for on so many products , especially electrical , purchased now ?"
0,What is the use of a 24-hour clock instead of a 12-hour clock ?
0,what is the use of a 24 - hour clock instead of a 12 - hour clock ?
0,what is the use of a 24 - hour clock instead of a 12 - hour clock ?
3,What store does Martha Stewart advertise for ?
3,? store does martha stewart advertise for ?
3,! store does martha stewart advertise for ?
0,How can I search for a word within my own webpage ?
0,how can i find for a word within my own webpage ?
0,how can i search for a word within my own webpage ?
0,What is June 's birthstone ?
0,what is june ' s birthstone ?
0,what is june ' s birthstone ?
4,Where is the Taj Mahal ?
4,where is the taj mahal ?
4,where is the taj mahal ?
0,What is Shalom ?
0,what is shalom ?
0,what is shalom ?
5,What is the time it takes a typist to type a screenplay that is 100 pages long ?
5,? is the time it takes a typist to type a screenplay that is 100 pages long ?
5,? is the time it takes a typist to type a screenplay that is 100 pages long ?
4,What continent pushes up the Executive Committee mountain range ?
4,what continent votes up the executive committee mountain range ?
4,what continent . up the executive committee mountain range ?
2,What does BMW stand for ?
2,what does bmw stand for ?
2,what does bmw stand for ?
4,Where does the song Anything Goes take place ?
4,where does the song anything goes take place ?
4,where does the song anything goes take place ?
5,How long does a dog sleep ?
5,how long does a dog sleep ?
5,how long does a dog sleep ?
