class,text
3,Delta Air Lines Inc. said Monday that it has achieved \$50 million of an estimated \$135 million in additional liquidity that the company will need to meet financing commitments in early 2006 
3,Delta Air Lines Inc. said Monday that it has achieved \$50 million of an estimated \$135 million in additional liquidity that the corporations will requisite to meet financed commitments in early 2006 
1,"PARIS -- French doctors say Yasser Arafat is still alive, though his condition  quot;has become more complex. quot;. Earlier, Luxembourg #39;s prime minister told reporters as he arrived at a summit in Brussels that Arafat had died."
1,"PARIS -- Francais physician tell Yasser Arafat is still alive, though his condition  quot;has become more complex. quot;. Earlier, Luxembourg #39;s prime minister told reporters as he arrived at a summit in Brussels that Arafat had died."
3,"Ousted PeopleSoft (PSFT) CEO Craig Conway acknowledged in court Wednesday that he countered rival Oracle #39;s (ORCL) hostile takeover bid with a crusade to vilify the company and its CEO, Larry Ellison."
3,"Ousted PeopleSoft (PSFT) CEO Craig Conway acknowledged in court Wednesday that he countered rival Oracle #39;s (ORCL) enmity takeover solicitation with a crusade to vilify the corporate and its CEO, Larry Ellison."
2,London 2012 Olympic bid chairman Sebastian Coe will visit Scotland next month to discuss the benefits of helping to stage the Games with the Scottish Executive.
2,London 2012 Olympic bid chairman Sebastian Coe will visit Scotland next month to discuss the benefits of contribute to stage the Games with the Scottish Administrative.
2,"Just a week ago, following an astonishingly poor effort in their season-opening loss to the Clippers, the plan seemed clear: Hope for the top pick in the lottery."
2,"Just a week ago, following an astonishingly poor effort in their season-opening loss to the Clippers, the plan seemed unmistakable: Hope for the top choice in the lottery."
3,"US regulators filed fraud charges on Monday against former Hollinger International Inc. (HLR.N: Quote, Profile, Research) Chairman Conrad Black and his deputy, David Radler."
3,"US regulators filed fraud charges on Monday against former Hollinger International Inc. (HLR.N: Quote, Profile, Research) Preside Konrad Black and his deputy, David Radler."
2,"Columbia, SC (Sports Network) - The University of South Carolina has scheduled a news conference for 1 pm (et) Tuesday when it is expected to announce that Steve Spurrier will take over as the school #39;s new head football coach."
2,"Columbia, SC (Athletics Network) - The Universities of Southward Carolina has scheduled a news conference for 1 pm (et) Wednesday when it is expected to announce that Steve Spurrier will take over as the school #39;s new head football coach."
2,"PULLMAN - The fact that Washington coaches have nothing to lose worries Cougars coach Bill Doba, who has his team on alert for trick plays."
2,"PULLMAN - The doing that Washington coaches have nothing to lose worries Huskies coach Bill Doba, who has his team on alert for trick plays."
2,"San Diego -- The sports cliche about taking them one game at a time does not apply in a final-week drive for the playoffs. That, the players say, is looking too far ahead."
2,"San Diego -- The athletics cliche about taking them one game at a time does not apply in a final-week drive for the preliminaries. That, the players told, is looking too far ahead."
3,NEW YORK - The effect of new US overtime rules that go into effect today are the subject of intense dispute between labor groups and the Bush administration.
3,NEW YORK - The effect of new US overtime rules that go into effect today are the subject of intense disagreement between labor groups and the Bush management.
4,"Earlier this year, Intel delayed its chip for large screen televisions. Now the Santa Clara, Calif.-based company is killing it. Intel has stopped work on its liquid crystal on silicon semiconductor, stating "
4,"Earlier this year, Intel defer its chip for wide screen televisions. Now the Santa Clara, Calif.-based company is kill it. Intel has stopped work on its liquid crystal on silicon semiconductor, stating "
1,Taiwan released on Friday the full report by a top US forensic expert on the election-eve shooting of President Chen Shui-bian but it offered few clues on who was responsible for the mysterious attack.
1,Taipei release on Friday the full report by a top US forensic expert on the election-eve shooting of Chairmen Chen Shui-bian but it offered few clues on who was responsible for the mysterious attack.
2,"No one knows where Jason Giambi goes from here, now that he has come clean about the dirty business of steroids and performance-enhancing drugs."
2,"No one knows where Jason Giambi goes from here, now that he has come clean about the dirty enterprise of steroids and performance-enhancing narcotic."
3,Men #39;s apparel retailer Joseph A. Bank Clothiers Inc. on Monday reported third-quarter profit climbed 19 percent as results benefited from growth in catalog and Internet sales.
3,Males #39;s apparel retailer Joseph A. Bank Clothiers Inc. on Monday reported third-quarter dividend climbed 19 percent as results benefited from growth in catalog and Internet sales.
1,Russian President Vladimir Putin is to attend an EU summit despite diplomatic sniping over the  Ukraine crisis.
1,Russian Chairperson Vladimir Putin is to attend an EU summit despite diplomatic sniping over the  Ukraine crisis.
4,The vote set the stage for enactment of the international treaty aimed at reducing emissions blamed for global warming.
4,The vote set the ballpark for enactment of the international treaty aimed at reducing emissions blamed for global warming.
3,"Qualcomm Inc. may change the way it recognizes royalties from its licensees, which would reduce fourth-quarter pre-tax income by \$298 million, the company said on Friday."
3,"Qualcomm Inc. may change the way it acknowledges royalties from its licensees, which would reduce fourth-quarter pre-tax income by \$298 million, the company avowed on Friday."
1," WASHINGTON (Reuters) - The United States hopes to boost the  availability of electricity throughout Iraq to at least 18  hours a day by the end of next year from 11 to 15 hours now,  the top U.S. aid official said on Friday."
1," WASHINGTON (Reuters) - The Unified States aspirations to boost the  availability of electricity throughout Iraq to at least 18  hours a day by the end of next year from 11 to 15 hours now,  the top U.S. support official asserted on Friday."
2,"AP - Their right guard went down early in training camp, and their star inside linebacker followed shortly after that. The veteran quarterback joined the injury list two games into the season, and their Pro Bowl nose tackle, top cornerback and best running back followed."
2,"AP - Leur right guard went down early in training camp, and their star inside linebacker followed shortly after that. The veteran quarterback joined the injury list two gaming into the season, and their Pro Bowl nose solve, topped cornerback and best running back followed."
2,Tiger Woods has vowed to play on despite being plagued by a sore back in his opening round of the WGC-Amex championship in Ireland.
2,Tiger Lumber has vowed to play on despite being plagued by a sore back in his opened round of the WGC-Amex championship in Ireland.
3,"Delta Air Lines Inc. (DAL.N: Quote, Profile, Research) said on Monday it will need an additional \$135 million in liquidity in early 2006 to meet the requirements of certain financing agreements."
3,"Delta Air Lines Inc. (DAL.N: Quote, Profile, Research) said on Monday it will necessary an additional \$135 million in liquidity in soon 2006 to meet the requirements of certain fundraising agreements."
1, ABIDJAN (Reuters) - Ivory Coast on Sunday ordered a  pullback from an offensive on the rebel-held north after France  destroyed its airpower in a retaliatory strike which sparked  mob attacks on French citizens and property.
1, ABIDJAN (Reuters) - Ivory Coast on Sunday ordered a  pullback from an objectionable on the rebel-held north after France  vandalized its airpower in a retaliatory strike which sparked  mob attacks on Frans citizens and property.
1,"World News: Baghdad, Nov 30 : Four people were killed and 20 injured in an attack on a US military convoy in Iraq Tuesday, reports Xinhua."
1,"World News: Baghdad, Nov 30 : Four people were assassination and 20 injured in an attack on a US military convoy in Bagdad Tuesday, reports Xinhua."
4,"That Michael Siewert didn #39;t fit in at the recent launch party for Sony PS2 #39;s fall releases was telling. The bulky, plainly dressed video game critic from Edmonton had been squeezed to the back of the VIP area "
4,"That Michael Siewert didn #39;t fit in at the latest starting parties for Sony PS2 #39;s fall releases was telling. The bulky, patently dressed video game critic from Edmonton had been squeezed to the back of the VIP area "
2,"Redskins assistant head coach Joe Bugel returns to  turn his new group of ""Dirt Bags"" into a mirror image of his ""Hogs"" of the 1980s."
2,"Buccaneers assistant head coach Joe Bugel returned to  turn his new group of ""Dirt Bags"" into a mirror image of his ""Hogs"" of the 1980s."
2,"CALGARY -- After losing the annual Labour Day Classic last year to the Calgary Stampeders, the Edmonton Eskimos wanted revenge. The Eskimos built up a 19-0 first-half lead and held on for a 25-7 win yesterday "
2,"CALGARY -- After losing the annual Labor Day Classic last year to the Calgary Stampeders, the Edmonton Eskimos wanted revenge. The Eskimos constructing up a 19-0 first-half lead and held on for a 25-7 win thursday "
4,The scientists behind Dolly the sheep apply for a license to clone human embryos. They want to take stem cells from the embryos to study Lou Gehrig's disease.
4,The scientists behind Darlene the sheep apply for a license to clone human embryos. They want to take stem cells from the embryos to studies Lou Gehrig's disease.
3,"US consumer sentiment stagnated in early September, according to a survey released Friday, as doubts about the economy and the job market persisted."
3,"US consumer sentiment stagnated in early October, according to a survey released Friday, as doubts about the economy and the job market persist."
1,"BAGHDAD, Iraq - A British hostage pleaded for his government to save his life in a new video aired Wednesday on Arab television after the release of two Italian women and 10 other hostages. In Baghdad, U.S..."
1,"BAGHDAD, Iraq - A British hostage pleaded for his councils to save his life in a novel videotaped aired Wednesday on Arab television after the release of two Italian women and 10 other hostages. In Baghdad, U.S..."
4,"Reuters - Overture Services, Yahoo Inc.'s\ Web-search advertising unit, on Monday said it plans\to enter five new international markets in the coming months as\the Internet media company continues to broaden its global\reach."
4,"Reuters - Overture Services, Yahoo Inc.'s\ Web-search advertisements unit, on Monday said it plans\to enter five new international market in the coming months as\the Internet media company continues to increase its global\reach."
2,View the first in a series of photo galleries from the Denver Broncos game against the Atlanta Falcons. The Falcons won 41-28. Denver Broncos quarterback Jake Plummer (16) sets to throw a 80-yard touchdown 
2,Opinion the first in a series of photo galleries from the Denver Buccaneers game against the Atlanta Falcons. The Falcons won 41-28. Denver Broncos quarterback Jake Plummer (16) sets to toss a 80-yard touchdown 
1,"BANGKOK -- Thai and international health officials held an emergency meeting on Monday to review a case in which there is a  quot;very remote possibility quot; bird flu was passed from human to human, a senior WHO official said."
1,"BANGKOK -- Thai and international health official held an emergency meeting on Monday to reviewing a case in which there is a  quot;very remote possibility quot; bird flu was passed from human to humankind, a senior WHO official said."
4,"So a few weeks ago, the two astronauts who live there tossed out some useless junk, like so many old hubcaps for the trash heap. And the throwing-away - done during a recent spacewalk -as "
4,"Accordingly a few weeks ago, the two astronauts who live there tossed out some useless junk, like so many antigua hubcaps for the trash heap. And the throwing-away - done during a latest spacewalk -as "
