class,text
0,blue crush is as predictable as the tides .
0,aristocratic crush is as predictable as the tides .
0,blueish crush is as predictable as the tides .
0,grim crush is as predictable as the tides .
0,low crush is as predictable as the tides .
1,"corny , schmaltzy and predictable , but still manages to be kind of heartwarming , nonetheless ."
1,"corny , schmaltzy and predictable , but distillery manages to be kind of heartwarming , nonetheless ."
1,"corny , schmaltzy and predictable , but inactive manages to be kind of heartwarming , nonetheless ."
1,"corny , schmaltzy and predictable , but tranquillize manages to be kind of heartwarming , nonetheless ."
1,"corny , schmalzy and predictable , but still manages to be kind of heartwarming , nonetheless ."
0,hollywood ending just is n't very funny .
0,hollywood ending just is n't very laughable .
0,hollywood ending just is n't very queer .
0,hollywood ending just is n't very singular .
0,hollywood termination just is n't very funny .
1,"first-time writer-director serry shows a remarkable gift for storytelling with this moving , effective little film ."
1,"first-time writer-director serry shows a remarkable gift for storytelling with this displace , effective little film ."
1,"first-time writer-director serry shows a remarkable gift for storytelling with this moving , effective lilliputian film ."
1,"first-time writer-director serry shows a remarkable gift for storytelling with this moving , effective piffling film ."
1,"first-time writer-director serry usher a remarkable gift for storytelling with this moving , effective little film ."
0,daughter from danang reveals that efforts toward closure only open new wounds .
0,daughter from danang reveals that campaign toward closure only open new wounds .
0,daughter from danang reveals that efforts toward closure only out-of-doors new wounds .
0,daughter from danang reveals that efforts toward closure only undefended new wounds .
0,daughter from danang reveals that efforts toward cloture only open new wounds .
0,"just a string of stale gags , with no good inside dope , and no particular bite ."
0,"just a chain of stale gags , with no good inside dope , and no particular bite ."
0,"just a string of stale gags , with no good inside dope , and no finical bite ."
0,"just a string of stale gags , with no good inside dope , and no particular sting ."
0,"just a string of stale gags , with no good inside pot , and no particular bite ."
0,"... an incredibly heavy-handed , manipulative dud that feels all too familiar ."
0,"... an incredibly heavy-handed , manipulative dud that feels all too fellow ."
0,"... an incredibly heavy-handed , manipulative dud that feels all too intimate ."
0,"... an incredibly heavy-handed , manipulative dud that palpate all too familiar ."
0,"... an incredibly heavy-handed , manipulative flop that feels all too familiar ."
1,a lovably old-school hollywood confection .
1,a lovably old-school hollywood comfit .
1,a lovably old-school hollywood concoction .
1,a lovably old-school hollywood confect .
1,a lovably old-school hollywood sweet .
1,you never know where changing lanes is going to take you but it 's a heck of a ride .
1,you never know where changing lanes is going to accept you but it 's a heck of a ride .
1,you never know where changing lanes is going to ask you but it 's a heck of a ride .
1,you never know where changing lanes is going to involve you but it 's a heck of a ride .
1,you never recognize where changing lanes is going to take you but it 's a heck of a ride .
0,"and as with most late-night bull sessions , eventually the content is n't nearly as captivating as the rowdy participants think it is ."
0,"and as with most late-night Bull sessions , eventually the content is n't nearly as captivating as the rowdy participants cerebrate it is ."
0,"and as with most late-night Taurus session , eventually the content is n't nearly as captivating as the rowdy participants think it is ."
0,"and as with most late-night bull sessions , eventually the content is n't nearly as enamour as the bully participants think it is ."
0,"and as with most late-night bull sessions , eventually the subject is n't nearly as captivating as the rowdy participant think it is ."
1,"if s&m seems like a strange route to true love , maybe it is , but it 's to this film 's -lrb- and its makers ' -rrb- credit that we believe that that 's exactly what these two people need to find each other -- and themselves ."
1,"if s&m seem like a strange route to true love , maybe it is , but it 's to this film 's -lrb- and its Creator ' -rrb- quotation that we believe that that 's exactly what these two people need to regain each other -- and themselves ."
1,"if s&m seem like a strange route to unfeigned love , maybe it is , but it 's to this film 's -lrb- and its makers ' -rrb- credit that we believe that that 's exactly what these two people want to recover each other -- and themselves ."
1,"if s&m seems ilk a strange road to true love , peradventure it is , but it 's to this film 's -lrb- and its makers ' -rrb- credit that we believe that that 's exactly what these two people need to retrieve each other -- and themselves ."
1,"if s&m seems like a strange route to lawful passion , maybe it is , but it 's to this film 's -lrb- and its Divine ' -rrb- credit that we believe that that 's exactly what these two people need to encounter each other -- and themselves ."
1,this real-life hollywood fairy-tale is more engaging than the usual fantasies hollywood produces .
1,this real-life Hollywood fairy-tale is more engaging than the usual fantasies hollywood produces .
1,this real-life hollywood fairy-tale is more betroth than the usual fantasies hollywood produces .
1,this real-life hollywood fairy-tale is more engaging than the usual fantasies hollywood produce .
1,this real-life hollywood fairy-tale is more mesh than the usual fantasies hollywood produces .
0,"priggish , lethargically paced parable of renewal ."
0,"priggish , lethargically paced parable of replacement ."
0,"prim , lethargically paced parable of renewal ."
0,"square-toed , lethargically paced parable of renewal ."
0,"victorian , lethargically paced parable of renewal ."
0,"what jackson has done is proven that no amount of imagination , no creature , no fantasy story and no incredibly outlandish scenery"
0,"what jackson has done is proven that no amount of imagination , no animal , no fantasy account and no incredibly outlandish scenery"
0,"what jackson has done is proven that no amount of imagination , no fauna , no fantasy story and no incredibly off-the-wall scenery"
0,"what jackson has done is proven that no amount of imaging , no creature , no fantasy story and no incredibly flakey scenery"
0,"what jackson has done is proven that no amount of resourcefulness , no animal , no fantasy story and no incredibly outlandish scenery"
1,"for those of an indulgent , slightly sunbaked and summery mind , sex and lucia may well prove diverting enough ."
1,"for those of an indulgent , slightly adust and summery mind , sex and lucia may well prove diverting enough ."
1,"for those of an indulgent , slightly parched and summery mind , sex and lucia may well prove diverting enough ."
