class,text
1,"tension mounts , and as the cops arrive , morgan is growing impatient . "
1,"tension mounts , and as the cops arrive , morgan is growing impatient ."
1,"tension mounts , and as the cops arrive , morgan is growing impatient ."
1,"tension mounts , and as the cops arrive , morgan is growing impatient ."
1,"tension mounts , and as the cops arrive , morgan is growing impatient ."
0,as simple and innocent a movie as you can imagine . this is a movie you can trust . 
0,as simple and innocent a movie as you can imagine . this is a movie you can trust .
0,as simple and innocent a movies as you can imagine . this is a movie you can trust .
0,as simple and innocent a movie as you can imagine . this is a movie you can trust .
0,as simple and innocent a movie as you can imagine . this is a movie you can trust .
0,what doesn't this film have that an impressionable kid couldn't stand to hear ? 
0,what doesn ' t this film have that an impressionable kid couldn ' t stand to hear ?
0,what doesn ' t this film have that an impressionable kid couldn ' t stand to hear ?
0,what doesn ' t this film have that an impressionable kid couldn ' t stand to hear ?
0,what doesn ' t this film have that an impressionable kid couldn ' t stand to hear ?
0,a movie that tries to fuse the two 'woods' but winds up a bolly-holly masala mess . 
0,a movie that tries to fuse the two ' woods ' but winds up a bolly - holly masala mess .
0,a movie . tries to fuse the two ' woods ' but winds up a bolly - holly masala mess .
0,a movie that tries to fuse the two ' woods ' but winds up a bolly - holly masala mess .
0,a movie of tries to fuse the two ' woods ' but winds up a bolly - holly masala mess .
0,the film's thoroughly recycled plot and tiresome jokes . . . drag the movie down . 
0,the film ' s thoroughly recycled plot and tires . jokes . . . drag the movie down .
0,the film ' s thoroughly recycled plot and tiresome jokes . . . drag the movie down .
0,the film ' s thoroughly recycled plot and tires hilarious jokes . . . drag the movie down .
0,the film ' s thoroughly recycled plot and tiresome jokes . . . drag the movie down .
0," "" red dragon "" is entertaining . an obvious copy of one of the best films ever made , how could it not be ? but it is entertaining on an inferior level . it is a popcorn film , not a must-own , or even a must-see . "
0,""" red dragon "" is entertaining . an obvious copy of one of the best films ever made , how could it not be ? but it is entertaining on an inferior level . it is a popcorn film , not a must - own , or even a must - see ."
0,""" red dragon "" is entertaining . an obvious copy of one of the best films ever made , how could it not be ? but it is entertaining on an inferior level . it is a popcorn film , not a must - own , or even a must - see ."
0,""" red dragon "" is entertaining . an obvious copy of one of the best films ever made , how could it not be ? but it is entertaining on an inferior level . it is a popcorn film , not a must - own , or even a must - see ."
0,""" red dragon "" is entertaining . an obvious copy of one of the best films ever made , how could it not be ? but it is entertaining on an inferior level . it is a popcorn film , not a must - own , or even a must - see ."
0,"unless you're a fanatic , the best advice is : 'scooby' don't . "
0,"unless you ' re a fanatic , the best advice is : ' scooby ' don ' t ."
0,"unless you ' re a fanatic , the best advice is : ' scooby ' don ' t ."
0,"unless you ' re a fanatic , the best advice is : ' scooby ' don ' t ."
0,"unless you ' re a fanatic , the best advice is : ' scooby ' don ' t ."
1,"after escaping from the racoon city medical facility alice searches for answers to the t-virus and how to contain it , all while trying to find a way to escape the ruined city with fellow survivors . "
1,"after escaping from the racoon city medical facility alice searches for answers to the t - virus and how to contain it , all while trying to find a way to escape the ruined city with fellow survivors ."
1,"after escaping from the racoon city medical facility alice searches for answers to the t - virus and how to contain it , all while trying to find a way to escape the ruined city with fellow survivors ."
1,"after escaping from the racoon city medical facility alice searches for answers to the t - virus and how to contain it , all while trying to find a way to escape the ruined city with fellow survivors ."
1,"after escaping from the racoon city medical facility alice searches for answers to the t - virus and how to contain it , all while trying to find a way to escape the ruined city with fellow survivors ."
0,"while insomnia is in many ways a conventional , even predictable remake , nolan's penetrating undercurrent of cerebral and cinemantic flair lends ( it ) stimulating depth . "
0,"while insomnia is in many ways a conventional , even predictable remake , nolan ' s penetrating undercurrent of cerebral and cinemantic flair lends ( it . stimulating depth ."
0,"while insomnia is in many ways a conventional , even predictable remake , nolan ' s penetrating undercurrent of cerebral and cinemantic flair lends ( it . stimulating depth ."
0,"while insomnia is in many ways a conventional , even predictable remake , nolan ' s penetrating undercurrent of cerebral and cinemantic flair lends ( it ) stimulating depth ."
0,"while insomnia is in many ways a conventional , even predictable remake , nolan ' s penetrating undercurrent of cerebral and cinemantic flair lends ( it ) stimulating depth ."
0,one of the best films that showcase a romance within the context of an artistic movement
0,one of the best films that showcase a romance within the context of an artistic movement
0,one of the best films that showcase a romance within the context of an artistic movement
0,one of the best films that showcase a romance within the context of an artistic movement
0,one of the best films that showcase a romance within the context of an artistic movement
0,"beautifully crafted and brutally honest , promises offers an unexpected window into the complexities of the middle east struggle and into the humanity of its people . "
0,"beautifully crafted and brutally honest , promises offers an unexpected window into the complexities of the middle east struggle and into the humanity of its people ."
0,"beautifully crafted and brutally honest , promises offers an unexpected window into the complexities of the middle east struggle and into the humanity of its people ."
0,"beautifully crafted and brutally honest , promises offers an unexpected window into the complexities of the middle east struggle and into the humanity of its people ."
0,"beautifully crafted and brutally honest , promises offers an unexpected window into the complexities of the middle east struggle and into the humanity of its people ."
0,"as a movie , it never seems fresh and vital . it never plays as dramatic even when dramatic things happen to people . it labours as storytelling . "
0,"as a movie , it never seems fresh and vital . it never plays as dramatic even when dramatic things happen to people . it labours as storytelling ."
0,"as a movie , it never seems fresh and vital . it never plays as dramatic even when dramatic things happen to people . it labours as storytelling ."
0,"as a movie , it never seems fresh and vital . it never plays as dramatic even when dramatic things happen to people . it labours as storytelling ."
0,"as a movie , it never seems fresh and vital . it never plays as dramatic even when dramatic things happen to people . it labours as storytelling ."
0,behan himself knew how to spin a tale and one can't help but think he'd appreciate this attempt to turn his life into art . 
0,behan himself knew how to spin a tale and one can . t help but think he ' d appreciate this attempt to turn his life into art .
0,behan himself knew how to spin a tale and one can ' t help but think he ' d appreciate this attempt to turn his life into art .
0,behan himself knew how to spin a tale and one can ' t help but think he . d appreciate this attempt to turn his life into art .
0,behan himself knew how to spin a tale and one can ' t help but think he ' d appreciate this attempt to turn his life into art .
1,suddenly a hand can do something no hand has done before and lips something no lips have ever done . 
1,suddenly a each can do something no hand has done before and lips something no lips have ever done .
1,suddenly a hand can do something no hand has done before and lips something no lips have ever done .
1,suddenly a hand can do something no hand has done before and lips something no lips have ever done .
1,suddenly a hand can do something no hand has done before and lips something no lips have ever done .
0,"there's a scientific law to be discerned here that producers would be well to heed : mediocre movies start to drag as soon as the action speeds up ; when the explosions start , they fall to pieces . "
0,"there ' s a scientific law to be discerned here that producers would be well to heed : mediocre movies start to drag as soon as the action speeds up ; when the explosions start , they fall to pieces ."
0,"there ' s a scientific law to be discerned here that producers would be well to heed : mediocre movies start to drag as soon as the action speeds up ; when the explosions start , they fall to pieces ."
0,"there ' s a scientific law to be discerned here that producers would be well to heed : mediocre movies start to drag as soon as the action speeds up ; when the explosions start , they fall to pieces ."
0,"there ' s a scientific law to be discerned here that producers would be well to heed : mediocre movies start to drag as soon as the action speeds up ; when the explosions start , they fall to pieces ."
1,"ruthie &#38 ; connie demonstrates the wit and wisdom , heartache and joy of these two wonderfully funny and deeply complex women who live their private lives in public and with passion . "
1,":ie & 38 ; connie demonstrates the wit and wisdom , heartache and joy of these two wonderfully funny and deeply complex women who live their private lives in public and with passion ."
1,"|ie & 38 ; connie demonstrates the wit and wisdom , heartache and joy of these two wonderfully funny and deeply complex women who live their private lives in public and with passion ."
1,".ie & 38 ; connie demonstrates the wit and wisdom , heartache and joy of these two wonderfully funny and deeply complex women who live their private lives in public and with passion ."
1,";ie & 38 ; connie demonstrates the wit and wisdom , heartache and joy of these two wonderfully funny and deeply complex women who live their private lives in public and with passion ."
0,"the people may be drawn comically , but the animals are rendered with skill and grace and the action scenes achieve true excitement . "
0,""" people may be drawn comically , but the animals are rendered with skill and grace and the action scenes achieve true excitement ."
0,". people may be drawn comically , but the animals are rendered with skill and grace and the action scenes achieve true excitement ."
0,". people may be drawn comically , but the animals are rendered with skill and grace and the action scenes achieve true excitement ."
0,"the people may be drawn comically , but the animals are rendered with skill and grace and the action scenes achieve true excitement ."
1,"on his journey , he comes of age , meeting a diverse group of people , from a random business man to keisha ( washington ) , a girl he inevitably falls for . "
1,"on his journey , he comes of age , meeting a diverse group of people , from a random business man to keisha ( washington ) , a girl he inevitably falls for ."
1,"on his journey , he comes of age , meeting a diverse group of people , from a random business man to keisha ( washington ) , a girl he inevitably falls for ."
1,"on his journey , he comes of age , meeting a diverse group of people , from a random business man to keisha ( washington ) , a girl he inevitably falls for ."
1,"on his journey , he comes of age , meeting a diverse group of people , from a random business man to keisha ( washington ) , a girl he inevitably falls for ."
0,director nolan shows here he can handle clever material with a flair . 
0,director nolan shows here he can handle thick material with a flair .
0,director nolan shows here he can handle clever material with a flair .
0,director nolan shows here he can handle clever material with a flair .
0,director nolan shows here he can handle clever material with a flair .
1,"after hours of searching for her hidden dream place in the nevada deserts , the taxi driver ( martin kove ) abruptly quits the search and demands that she's paying up immediately . "
1,"after hours of searching for her hidden dream place in the nevada deserts , the taxi driver ( martin kove ) abruptly quits the search and demands that she ' s paying up immediately ."
1,"after hours of searching for her hidden dream place in the nevada deserts , the taxi driver ( martin kove ) abruptly quits the search and demands that she ' s paying up immediately ."
1,"after hours of searching for her hidden dream place in the nevada deserts , the taxi driver ( martin kove ) abruptly quits the search and demands that she ' s paying up immediately ."
1,"after hours of searching for her hidden dream place in the nevada deserts , the taxi driver ( martin kove ) abruptly quits the search and demands that she ' s paying up immediately ."
0,everything that was right about blade is wrong in its sequel . 
0,everything that was right about blade is wrong in its sequel .
0,everything that was right about blade is wrong in its sequel .
0,everything that was right about blade is wrong in its sequel .
0,everything that was right about blade is wrong in its sequel .
0,"as violent , profane and exploitative as the most offensive action flick you've ever seen . "
0,"as violent , profane and exploitative as the most offensive action flick you ' ve ever seen ."
0,"as violent , profane and exploitative as the most offensive action flick you , ve ever seen ."
0,"as violent , profane and exploitative as the most offensive action flick you s ve ever seen ."
0,"as violent , profane and exploitative as the most offensive action flick you the ve ever seen ."
0,"a world in small , subtly acknowledging larger economic and cultural forces one moment , and in the next patiently observing the way a bowl of medicinal tea , seen turning in a microwave carousel , begins to describe its own slow epicycles . "
0,"a world in small , subtly acknowledging larger economic and cultural forces one moment , and in the next patiently observing the way a bowl of medicinal tea , seen turning in a microwave , , begins to describe its own slow epicycles ."
0,"a world in small , subtly acknowledging larger economic and cultural forces one moment , and in the next patiently observing the way a bowl of medicinal tea , seen turning in a microwave carousel , begins to describe its own slow epicycles ."
0,"a world in small , subtly acknowledging larger economic and cultural forces one moment , and in the next patiently observing the way a bowl of medicinal tea , seen turning in a microwave , , begins to describe its own slow epicycles ."
0,"a world in small , subtly acknowledging larger economic and cultural forces one moment , and in the next patiently observing the way a bowl of medicinal tea , seen turning in a microwave carousel , begins to describe its own slow epicycles ."
1,what drives a young african-american man to become a member of the republican party and to run for a united states congressional seat in a district in south georgia with a disturbing racist history ? 
1,what drives a young african - american man to become a member of the republican party and to run for a united states congressional seat in a district in south georgia with a disturbing racist history ?
1,what drives a young african - american man to become a member of the republican party and to run for a united states congressional seat in a district in south georgia with a disturbing racist history ?
1,what drives a young african - american man to become a member of the republican party and to run for a united states congressional seat in a district in south georgia with a disturbing racist history ?
1,what drives a young african - american man to become a member of the republican party and to run for a united states congressional seat in a district in south georgia with a disturbing racist history ?
0,"sandler has played weirdos for zany comic effect , and it's interesting to finally see him play one in a relatively subdued romantic dramedy . "
0,".ler has played weirdos for zany comic effect , and it ' s funny to finally see him play one in a relatively subdued romantic dramedy ."
0,"sler has played weirdos for zany comic effect , and it ' s interesting to to see him play one in a relatively subdued romantic dramedy ."
0,"kennyler has played weirdos for zany comic effect , and it ' s now to see see him play one in a relatively subdued romantic dramedy ."
0,"honorler has played weirdos for zany comic effect , and it ' s interesting to come see him play one in a relatively subdued romantic dramedy ."
1,stryker puts into motion a plan to eradicate the mutants and begins an offensive on the x-men mansion and school . 
1,stryker puts into motion a plan to eradicate the mutants and begins an attack on the x - men mansion and school .
1,stryker puts into motion a plan to eradicate the mutants and begins an attack on the x - men mansion and school .
1,stryker puts into motion a plan to eradicate the mutants and begins an assault on the x - men mansion and school .
1,stryker puts into motion a plan to eradicate the mutants and begins an assault on the x - men mansion and school .
0,one just waits grimly for the next shock without developing much attachment to the characters . 
0,one just waits grimly for the next shock without developing much attachment to the characters .
0,one just waits grimly for the next shock without developing much attachment to the characters .
0,one just waits grimly for the next shock without developing much attachment to the characters .
0,one just waits grimly for the next shock without developing much attachment to the characters .
1,ray misses a chance to see his brother paul before he dies of cancer . 
1,ray misses a chance to see his brother paul before he dies of cancer .
1,ray misses a chance to see his brother paul when he dies of cancer .
1,ray misses a chance to see his brother paul when he dies of cancer .
1,ray misses a chance to see his brother paul before he dies of cancer .
1,"ruby falls in love and becomes impregnated by sandy , a xerox shop worker . "
1,"ruby falls in love and becomes impregnated by sandy , a xerox shop worker ."
1,"ruby falls in love and becomes impregnated by sandy , a xerox shop worker ."
1,"ruby falls in love and becomes impregnated by sandy , a xerox shop worker ."
1,"ruby falls in love and becomes impregnated by sandy , a xerox shop worker ."
0,"it will probably prove interesting to ram dass fans , but to others it may feel like a parody of the mellow , peace-and-love side of the '60s counterculture . "
0,"it will probably prove interesting to ram dass fans , but to others it may feel like a parody of the mellow , peace - and - love side of the ' 60s counterculture ."
0,"it will probably prove interesting to ram dass fans , but to others it may feel like a parody of the mellow , peace - and - love side of the ' 60s counterculture ."
0,"it will probably prove interesting to ram dass fans , but to others it may feel like a parody of the mellow , peace - and - love side of the ' 60s counterculture ."
0,"it will probably prove interesting to ram dass fans , but to others it may feel like a parody of the mellow , peace - and - love side of the ' 60s counterculture ."
1,"but genevieve is anticipating exactly that type of response from starla and soon turns everyone , including starla's friends and family , against her by playing the poor victim and making it appear that starla's the aggressor . "
1,"but genevieve is anticipating exactly that type of response from starla and soon turns everyone , including starla ' s friends and family , against her by playing the poor victim and making it appear that starla ' s the aggressor ."
1,"but genevieve is anticipating exactly that type of response from starla and soon turns everyone , including starla ' s friends and family , against her by playing the poor victim and making it appear that starla ' s the aggressor ."
1,"but genevieve is anticipating exactly that type of response from starla and soon turns everyone , including starla ' s friends and family , against her by playing the poor victim and making it appear that starla ' s the aggressor ."
1,"but genevieve is anticipating exactly that type of response from starla and soon turns everyone , including starla ' s friends and family , against her by playing the poor victim and making it appear that starla ' s the aggressor ."
1,as a woman who can let go of her need to be in control . 
1,as a woman who can let go of her need to be in control .
1,as a woman who can let go of her need to be in control .
1,as a woman who can let go of her need to be in control .
1,as a woman who can let go of her need to be in control .
0,the film's tone and pacing are off almost from the get-go . 
0,the film ' s tone and pacing are off almost from the . - go .
0,the film ' s tone and pacing are off almost from the stay - go .
0,the film ' s tone and pacing are off almost from the get - go .
0,the film ' s tone and pacing are off almost from the get - go .
1,the movie introduces us to frankie ( played by david eigenberg ) a would-be romeo who will put himself though great pains to find his juliet . 
1,the movie introduces us to frankie ( played by david eigenberg ) a would - be romeo who will put himself though great pains to find his juliet .
1,the movie introduces us to frankie ( played by david eigenberg ) a would - be romeo who will put himself though great pains to find his juliet .
1,the movie introduces us to frankie ( played by david eigenberg ) a would - be romeo who will put himself though great pains to find his juliet .
1,the movie introduces us to frankie ( played by david eigenberg ) a would - be romeo who will put himself though great pains to find his juliet .
1,alex enlists the aid of his old comrade father thomas ( addy ) and of a troubled artist ( sossamon ) upon whom he once performed an exorcism . 
1,alex enlists the aid of his old comrade father thomas ( addy ) and of a troubled artist ( sossamon ) upon whom he once performed an exorcism .
1,alex enlists the aid of his old comrade father thomas ( addy ) and of a troubled artist ( sossamon ) upon whom he once performed an exorcism .
1,alex enlists the aid of his old comrade father thomas ( addy ) and of a troubled artist ( sossamon ) upon whom he once performed an exorcism .
1,alex enlists the aid of his old comrade father thomas ( addy ) and of a troubled artist ( sossamon ) upon whom he once performed an exorcism .
0,"atanarjuat , unfolding on a cold-blasted primeval arctic plain , has the quality of totem . "
0,"atanarjuat , unfolding on a cold - blasted primeval arctic plain , has the quality of totem ."
0,"atanarjuat , unfolding on a cold - blasted primeval arctic plain , has the quality of totem ."
0,"atanarjuat , unfolding on a cold - blasted primeval arctic plain , has the quality of totem ."
0,"atanarjuat , unfolding on a cold - blasted primeval arctic plain , has the quality of totem ."
0,"like its bizarre heroine , it irrigates our souls . "
0,"like its bizarre heroine , it irrigates our souls ."
0,"like its bizarre heroine , it irrigates our souls ."
0,"like its bizarre heroine , it irrigates our souls ."
0,"like its bizarre heroine , it irrigates our souls ."
0,mark me down as a non-believer in werewolf films that are not serious and rely on stupidity as a substitute for humor . 
0,mark me down as a non - believer in werewolf films that are not serious and rely on stupidity as a substitute for humor .
0,mark me down as a non - believer in werewolf films that are not hollywood and rely on stupidity as a substitute for humor .
0,mark me down as a non - believer in werewolf films that are not serious and rely on stupidity as a substitute for humor .
0,mark me down as a non - believer in werewolf films that are not universal and rely on stupidity as a substitute for humor .
