class,text
0,"... unspeakably , unbearably dull , featuring reams of flatly delivered dialogue and a heroine who comes across as both shallow and dim-witted ."
0,"... unsMpeakably , unbearably dull , featuring reams of flatly delivered dialogue and a heronie who comes across as both shallow and dim-witted ."
0,"... unspeakably , unbearablwy dull , featuring reams of flatly delivered dialogue and a heroine who coXmes across as both shallow and dim-witted ."
0,"... unspeakalby , unbearably dull , featuring reams of flatly delivered dialogue and a heroine who comes acoss as both shallow and dim-witted ."
0,"... unspelakably , unbearably dull , featuring reams of Nflatly delivered dialogue and a heroine who comes across as both shallow and dim-witted ."
1,"it provides the grand , intelligent entertainment of a superior cast playing smart people amid a compelling plot ."
1,"it provides the grand , intelligent entertainment of a superior ast playing smart people amid a compelling plot ."
1,"it provides the grand , intelligent entertainment of a superior cas playing smart people amid a compelling plot ."
1,"it provides the grand , intelligent entertainment of a superior cast playing smart people amid a compUelling plot ."
1,"it provides the grand , intelligent entertainment of a superior cast playing smart people amuid a compelling plot ."
1,a polished and vastly entertaining caper film that puts the sting back into the con .
1,a polished and vastly entertaining caper film that pugs the sting back into the con .
1,a polished and vastly entertaining caper film that put the sting back into the con .
1,a polished and vastly entertaining caper film that puts the sting back into the cNon .
1,a polsihed and vastly entertaining caper film that puts the sting back into the con .
1,leigh makes these lives count .
1,Ceigh makes these lives count .
1,leigh makes these lives cJount .
1,leigh makes these lives cocnt .
1,leigh makes these lves count .
1,"if you 're as happy listening to movies as you are watching them , and the slow parade of human frailty fascinates you , then you 're at the right film ."
1,"if you 're as happy listening to movieS as you are watching them , and the slow parade of human friilty fascinates you , then you 're at the right film ."
1,"if you 're as happy listening to movies as you are watching them , and the slow parad of human fcailty fascinates you , then you 're at the right film ."
1,"if you 're as happy listening to movies as you are watching them , and the slow parade of human fralty fascinates you , then you 're at the rigZt film ."
1,"if you 're as happy listening to omovies as you are watching them , and the slow parade of humn frailty fascinates you , then you 're at the right film ."
1,leigh 's film is full of memorable performances from top to bottom .
1,lebgh 's film is full of memorable performances from top to bottom .
1,leigh 's film is full of memorable performances from otp to bottom .
1,leigh 's film is full of meorable performances from top to bottom .
1,leigh 's lilm is full of memorable performances from top to bottom .
0,... really horrible drek .
0,... really horrible dek .
0,... really horrible dreek .
0,... really horrible drke .
0,... relaly horrible drek .
1,"the far future may be awesome to consider , but from period detail to matters of the heart , this film is most transporting when it stays put in the past ."
1,"the car future may be awesome to considre , but from period detail to matters of the heart , this film is most transporting when it stays put in the past ."
1,"the fAar future may be bawesome to consider , but from period detail to matters of the heart , this film is most transporting when it stays put in the past ."
1,"the far future may be awesome to consider , but from period detail to matters of the heart , this ilm is most transporting when it stays pu in the past ."
1,"the far future may be awesome to consider , but from peroid detail to matters of the heart , this fiml is most transporting when it stays put in the past ."
0,"priggish , lethargically paced parable of renewal ."
0,"priggish , lethargically pace parable of renewal ."
0,"priggish , lethargically paced parable of renewla ."
0,"priggish , lethargically pacmd parable of renewal ."
0,"priggish , lethargically pcaed parable of renewal ."
0,"each scene drags , underscoring the obvious , and sentiment is slathered on top ."
0,"each scene Erags , underscoring the obvious , and sentiment is slathered on top ."
0,"each scene dTrags , underscoring the obvious , and sentiment is slathered on top ."
0,"each scene drags , underscoring the obvious , and Usentiment is slathered on top ."
0,"each scene drags , underscoring the obvious , and sentiment is slathered on otp ."
0,bad movie .
0,bad moive .
0,bad ovie .
0,bad zmovie .
0,bd movie .
0,a major waste ... generic .
0,a major Zwaste ... generic .
0,a major waset ... generic .
0,a major waste ... eneric .
0,a major waste ... genperic .
0,plays like an unbalanced mixture of graphic combat footage and almost saccharine domestic interludes that are pure hollywood .
0,plays like an unbalanced mixture of graphic comabt footage and almost saccharine domestic interludes that are pure hollywood .
0,plays like an unbalanced mixture of graphic combat footag and almost saccharine domestic interludes that are pure hollywood .
0,plays like an unbalanced mixture of graphic combat footage and almost saccharine domestci interludes that are pure hollywood .
0,plays lkie an unbalanced mixture of graphic combat footage and almost saccharine domestic interludes that are pure hollywood .
0,a crass and insulting homage to great films like some like it hot and the john wayne classics .
0,a crass and insulting hoage to great films like some like it hot and the john wayne classics .
0,a crass and insulting homage to great films like some like it hot and the john wayne clasics .
0,a crass and insulting homage to great films like some like it hot and the jon wayne classics .
0,a crass and insulting homage to great films like some xike it hot and the john wayne classics .
1,"well-acted , well-directed and , for all its moodiness , not too pretentious ."
1,"well-acted , well-dinrected and , for all its moodiness , not too pretentious ."
1,"well-acted , well-directSd and , for all its moodiness , not too pretentious ."
1,"well-acted , well-directed and , for all its moodiness , not too preNentious ."
1,"well-acted , well-directed and , for all its moodiness , not too preatentious ."
0,"nonsensical , dull `` cyber-horror '' flick is a grim , hollow exercise in flat scares and bad acting ."
0,"nonsensical , dul `` cyber-horror '' flick is a grim , hollow exercise in flat scares and bad acting ."
0,"nonsensical , dull `` cyber-horror '' flick is a grim , hollow exercise in flat scaers and bad acting ."
0,"nonsensical , dull `` cyber-horror '' flick is a grim , hollow exercise in flat scares and bud acting ."
0,"nonsensical , dull `` cyber-horror '' flick is a grim , holvow exercise in flat scares and bad acting ."
0,"not exaggerated enough to be a parody of gross-out flicks , college flicks , or even flicks in general ."
0,"not exaggerated enough to be a parody of gross-out flicks , college flicks , or Weven flicks in general ."
0,"not exaggerated enough to be a parody of gross-out flicks , college flicks , or even licks in general ."
0,"not exaggerated enough to be a parody of groxss-out flicks , college flicks , or even flicks in general ."
0,"not exaggeryated enough to be a parody of gross-out flicks , college flicks , or even flicks in general ."
0,"he 's just a sad aristocrat in tattered finery , and the film seems as deflated as he does ."
0,"he 's just a Zad aristocrat in tattered finery , and the film seems as deflated as he does ."
0,"he 's just a sad aristocrat in tattered finerh , and the film seems as deflated as he does ."
0,"he 's just a sad aristocrat in tattered finery , and the film seems as deflalted as he does ."
0,"he 's just a sad aristocrat in tattered finery , and the film seesm as deflated as he does ."
1,`` the best disney movie since the lion king ''
1,` the best disney movie since the lion king ''
1,`` the best dihney movie since the lion king ''
1,`` the best disney movie ince the lion king ''
1,`` the best disney movie since the lion kinr ''
0,"the so-inept - it 's - surreal dubbing -lrb- featuring the voices of glenn close , regis philbin and breckin meyer -rrb- brings back memories of cheesy old godzilla flicks ."
0,"the so-inept - it 's - surreal dubbing -lrb- featurig the voices of glenn close , regis philbin and breckin meyer -rrb- brings back memories of cheesy old gozilla flicks ."
0,"the so-inept - it 's - surreal dubbing -lrb- featuring the voices of gleEnn close , regis hpilbin and breckin meyer -rrb- brings back memories of cheesy old godzilla flicks ."
0,"the so-inept - it 's - surreal dubbing -lrb- featuring the voices of glenn close , regis philbGin and breckin meyer -rrb- brings back memorPies of cheesy old godzilla flicks ."
0,"the so-inept - it 's - surreal dubbing -lrb- featuring the voices of glenn clsoe , regis philbin and breckin meyer -rrb- brings back memories of cheesy old godzilla flciks ."
1,"if s&m seems like a strange route to true love , maybe it is , but it 's to this film 's -lrb- and its makers ' -rrb- credit that we believe that that 's exactly what these two people need to find each other -- and themselves ."
1,"if s&m seems liek a stGrange route to true love , maybe it is , but it 's to this film 's -lrb- and its makers ' -rb- cedit that we believe that that 's exactly what these two people need to find each other -- and themselves ."
1,"if s&m seems like a straneg route to true love , maybe it is , but it 's to this ffilm 's -lrb- and its makres ' -rrb- credit that we believe that that 's exactly what these two people need to fnd each other -- and themselves ."
1,"if s&m seems like a strange route to tEue love , mayeb it is , but it 's to this filx 's -lrb- and its makers ' -rb- credit that we believe that that 's exactly what these two people need to find each other -- and themselves ."
