class,text
1,"one of recent memory 's most thoughtful films about art , ethics , and the cost of moral compromise ."
1,pretty good little movie .
0,"broomfield 's style of journalism is hardly journalism at all , and even those with an avid interest in the subject will grow impatient ."
0,blue crush is as predictable as the tides .
1,a poignant lyricism runs through balzac and the little chinese seamstress that transforms this story about love and culture into a cinematic poem .
1,cinematic poetry showcases the city 's old-world charm before machines change nearly everything .
1,"corny , schmaltzy and predictable , but still manages to be kind of heartwarming , nonetheless ."
1,i encourage young and old alike to go see this unique and entertaining twist on the classic whale 's tale -- you wo n't be sorry !
1,-lrb- grant -rrb- goes beyond his usual fluttering and stammering and captures the soul of a man in pain who gradually comes to recognize it and deal with it .
0,i have to admit i walked out of runteldat .
1,"high drama , disney-style - a wing and a prayer and a hunky has-been pursuing his castle in the sky ."
1,"sly , sophisticated and surprising ."
0,hollywood ending just is n't very funny .
1,despite its flaws ... belinsky is still able to create an engaging story that keeps you guessing at almost every turn .
0,"the most memorable moment was when green threw medical equipment at a window ; not because it was particularly funny , but because i had a serious urge to grab the old lady at the end of my aisle 's walker and toss it at the screen in frustration ."
0,"take away the controversy , and it 's not much more watchable than a mexican soap opera ."
1,"first-time writer-director serry shows a remarkable gift for storytelling with this moving , effective little film ."
1,a flick about our infantilized culture that is n't entirely infantile .
1,george lucas returns as a visionary with a tale full of nuance and character dimension .
1,"other than the slightly flawed -lrb- and fairly unbelievable -rrb- finale , everything else is top shelf ."
1,"my big fat greek wedding is not only the best date movie of the year , it 's also a -- dare i say it twice -- delightfully charming -- and totally american , i might add -- slice of comedic bliss ."
0,disappointing in comparison to other recent war movies ... or any other john woo flick for that matter .
0,daughter from danang reveals that efforts toward closure only open new wounds .
0,barney throws away the goodwill the first half of his movie generates by orchestrating a finale that is impenetrable and dull .
0,"franco is an excellent choice for the walled-off but combustible hustler , but he does not give the transcendent performance sonny needs to overcome gaps in character development and story logic ."
1,a well-executed spy-thriller .
1,a well-executed spy-thriller .
0,mr. soderbergh 's direction and visual style struck me as unusually and unimpressively fussy and pretentious .
0,"just a string of stale gags , with no good inside dope , and no particular bite ."
0,"this mild-mannered farce , directed by one of its writers , john c. walsh , is corny in a way that bespeaks an expiration date passed a long time ago ."
0,is n't it a bit early in his career for director barry sonnenfeld to do a homage to himself ?
0,"should n't have been allowed to use the word `` new '' in its title , because there 's not an original character , siuation or joke in the entire movie ."
0,"... an incredibly heavy-handed , manipulative dud that feels all too familiar ."
