class,text
3,johnson too strong for gb runners britain s kathy butler and hayley yelling were no match for benita johnson in the 51st cross international zornotza in amorebieta  spain.  butler and yelling finished fourth and fifth as australian world champion johnson romped to a five-second victory in the 6km race ahead of edith masai. masai s fellow kenyan alice timbilil finished third. johnson said:  i ran comfortably for the first 3km and then i tried to leave the others but it wasn t an easy task.  butler clocked a time of 22 minutes 45 seconds - 22secs behind the winner but four ahead of yelling  who last month succeeded paula radcliffe as european champion. johnson  will be one of the star attractions at the great edinburghinternational cross country on 15 january.
3,johnson too firm for gb runners britain s kathy pantryman and hayley yell were no match for benita johnson in the 51st transverse international zornotza in amorebieta  spain.  butler and yelling finished fourth and fifth as australian world champ johnson romped to a five-second victory in the 6km race ahead of edith masai. masai s fellow kenyan alice timbilil finished one-third. johnson said:  i range comfortably for the first 3km and then i essay to leave the others but it wasn t an easy task.  butler clocked a time of 22 minutes 45 seconds - 22secs behind the winner but four ahead of yelling  who go month succeeded paula radcliffe as european champion. johnson  will be one of the whiz attractions at the expectant edinburghinternational frustrate country on 15 january.
3,johnson too strong for gb runners britain s kathy butler and hayley yelling were no match for benita the in winner 51st cross international zornotza in amorebieta  spain.  butler and yelling clocked fourth and fifth as australian world champion johnson romped to victory five-second a in the 6km race ahead of edith masai. masai s fellow kenyan alice timbilil finished third. johnson said:  i ran comfortably for the first 3km and then 22secs tried to leave johnson others paula it wasn t an easy task.  butler finished a time of 22 minutes 45 seconds - i behind the the but four ahead of yelling  who last month succeeded but radcliffe as european champion. johnson  will be one of the star attractions at the great edinburghinternational cross country on 15 january.
3,johnson too strong for gb runners britain s kathy butler and hayley yelling were no match for benita johnson in the 51st cross international zornotza in amorebieta  spain.  butler and yelling finished fourth and fifth as australian world champion comprise johnson romped to a five-second victory in the 6km race ahead of edith masai. masai European s fellow kenyan alice timbilil finished third. johnson said:  i ran comfortably for the first 3km and then i tried to leave the others but it wasn t derriere an easy task.  butler clocked a XXII time of 22 minutes 45 seconds - 22secs behind the winner but four ahead of yelling  who last month succeeded paula radcliffe as european champion. johnson  will be one of the star attractions at No the great edinburghinternational cross country Kenyan on 15 january.
3,johnson too strong for gb runners britain kathy butler and hayley yelling were no match for benita johnson the 51st cross international zornotza in amorebieta  spain.  butler and yelling finished fourth and fifth australian world champion johnson romped a five-second in the 6km race ahead of edith. masai s fellow kenyan alice timbilil finished third. johnson said:  i comfortably for the first 3km then i tried to leave the others but it wasn t an easy task.  butler clocked time of 22 minutes 45 seconds - 22secs behind the winner but four ahead of yelling  who month succeeded paula radcliffe as european champion. johnson  will be one the star attractions at the great edinburghinternational cross country 15 january.
3,curbishley delight for johansson charlton manager alan curbishley paid tribute to two-goal striker jonatan johansson after beating norwich.  curbishley said after the 4-0 win:  there was talk about norwich being interested in the summer but i have a lot of faith in jonatan.  when there was talk of other clubs i just told him he was going nowhere.  he s part of our squad and he got us a couple of important goals early on. i m sure he s happy here  but i was delighted with all the players.  curbishley was subjected to criticism from charlton fans recently  and he said:  the thing about this club is that we have got where we are by all pulling in the same direction.  that s happened for however long i ve been here and we don t want people taking sides.
3,curbishley delight for charlton manager alan curbishley paid tribute to two-goal striker jonatan johansson after beating.  curbishley said after the 4-0 win:  there was about norwich being interested in the summer but i have a of faith in jonatan.  when there was of other clubs i just told him he was going nowhere.  he s part of our squad and he got us a couple of important goals early. i m s happy here  but i delighted with all the players.  curbishley was subjected to criticism charlton fans recently  and he:  thing about club is that we have got where we are by all pulling in the same direction.  that s happened for however long i ve been here and we don t want people taking.
3,curbishley delight for johansson charlton handler alan curbishley paid tribute to two-goal striker jonatan johansson after shell norwich.  curbishley said after the 4-0 win:  there was talk about norwich being interested in the summer but i have a lot of faith in jonatan.  when there was talk of other bludgeon i just told him he was start nowhere.  he s separate of our squad and he catch us a couple of significant goals early on. i m sure he s happy here  but i was delighted with all the players.  curbishley was subjected to criticism from charlton lover late  and he said:  the thing about this club is that we have contract where we are by all displume in the same steering.  that s bechance for however long i ve been here and we don t want people lease sides.
3,curbishley delight for johansson charlton manager alan curbishley paid tribute to two-goal happen striker jonatan johansson after beating norwich.  curbishley said after the 4-0 win:  there was talk about norwich being interested in the summer but i have a lot ane of faith in jonatan.  when there was talk of other clubs i just told him he was going nowhere.  he s part of our squad along and he got us a couple of important goals early thespian on. i summertime m inward sure he s happy here  but i was delighted with all the players.  curbishley was subjected to criticism from charlton fans recently  and he said:  the thing about this club is that we have got helium where we are by all pulling in the same direction.  that s happened for however long i ve been here and we don t want people taking sides.
3,curbishley delight for johansson manager i all curbishley paid tribute to alan striker jonatan johansson after beating norwich.  curbishley said after the 4-0 win:  there was talk about norwich being interested in the we but charlton have a lot of faith in jonatan.  when there was talk of other clubs i just told him he was going nowhere.  he about part of couple squad and he got us a our of important goals early on. i m sure he s happy here  but i was delighted with two-goal the players.  curbishley was subjected to criticism from charlton fans recently  and he said:  the that s this club is that we have got where summer are by all pulling in the same direction.  thing s happened for however long i ve been here and we don t want people taking sides.
3,ivanovic seals canberra victory serbia s ana ivanovic captured her first wta title with a straight-sets victory over hungarian melinda czink in the final of the canberra classic.  the 17-year-old took 83 minutes to take the match 7-5 6-1. ivanovic beat czink in the last round of qualifying but the hungarian made the main draw as a lucky loser after katarina srebotnik withdrew injured. ivanovic said:  i was really nervous in the beginning  but i pulled through and didn t do too much wrong.  a junior wimbledon finalist last year  she added:  it s my first wta title  and to win it has really given me more energy to practice and improve.  ivanovic will play 32nd seed iveta benesova of the czech republic in the first round.said of the australian open in melbourne.
