class,text
3," HOUSTON (Reuters) - Halliburton Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=HAL.N target=/stocks/quickinfo/fullquote""&gt;HAL.N&lt;/A&gt; , the world's  No. 2 oil field services company, on Tuesday fell to a  quarterly loss as \$230 million in charges to fund its asbestos  settlement outweighed gains in its energy business."
3," HOUSTON (Reuters) - Halliburton Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=HAL.N target=/stocks/quickinfo/fullquote""&gt;HAL.N&lt;/A&gt; , the world's  No. , 2 oil field services company, on Tuesday fell to ; a  quarterly loss as \$230 million in charges to fund its asbestos  settlement outweighed gains in its energy business."
3," HOUSTON (Reuters) - Halliburton Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=HAL.N target=/stocks/quickinfo/fullquote""&gt;HAL.N&lt;/A&gt; , the world's  No. 2 oil field services company, on Tuesday fell to a  quarterly loss as \$230 , million in charges to fund its asbestos  settlement outweighed gains in . its energy business."
2,Tim Henman is already looking forward to the Masters event in Houston and believes he has a good chance of finishing the tennis season on a high.
2,"Tim Henman is already looking ! forward to the Masters event in : Houston and believes he has , a good chance of finishing the tennis season on a high."
2,"Tim Henman is already looking forward to the Masters event , in Houston and believes , he has a good chance of finishing the tennis season on a high."
1,"Russian President Vladimir Putin and China #39;s prime minister, Wen Jiabao, have met in Moscow for talks on trade and the fight against terrorism."
1,"Russian President Vladimir Putin and China #39;s prime ! minister, Wen Jiabao, have met in Moscow for talks on trade and the fight against terrorism."
1,"Russian President Vladimir ? Putin and China #39;s prime minister, ! Wen . Jiabao, have met in Moscow for talks on trade and the fight against terrorism."
2,"At least no one can accuse Medfield of backing down. Trailing, 35-28, with less than two minutes to play yesterday on Tri-Valley League rival Dover-Sherborn's home turf, the Warriors pulled within 1 on tailback Brian Lee's third touchdown of the day, a 5-yard pass from Kevin Lynch."
2,"At least no one ? can ? accuse Medfield of backing down. Trailing, 35-28, with less than two minutes to play yesterday on Tri-Valley League rival Dover-Sherborn's home turf, the Warriors pulled within 1 on tailback . Brian Lee's third ? touchdown of the day, a 5-yard pass from Kevin Lynch."
2,"At least no one can accuse Medfield of backing down. Trailing, 35-28, with ! less than two minutes to . play ! yesterday on Tri-Valley League rival Dover-Sherborn's home turf, the Warriors pulled within : 1 on tailback Brian Lee's third touchdown of the ? day, a 5-yard pass from Kevin Lynch."
3,Shares in Telstra rose slightly following the news chief executive Ziggy Switkowski would step down - but the focus remains on who will step up to take the job.
3,Shares in Telstra . rose slightly following the news chief executive Ziggy Switkowski would step down ? - but the focus remains on who will step . up to take the job.
3,Shares in Telstra rose slightly following the news chief executive Ziggy Switkowski would step down ; - but the focus remains on who will step up to take the job.
3,"Viacom Inc., the media conglomerate that owns CBS and MTV, posted a third-quarter loss of \$487.6 million Thursday as its earnings were hit by a \$1."
3,"Viacom Inc., the media conglomerate that owns CBS and MTV, posted : a third-quarter loss of \$487.6 million Thursday as its earnings were hit by a \$1."
3,"Viacom Inc., the media conglomerate that owns CBS and MTV, posted a third-quarter loss , of \$487.6 million Thursday as its earnings were hit by a \$1."
2,"The last man picked for the Ryder Cup team, then first at Firestone from start to finish. No wonder Stewart Cink says his confidence is at an all-time high."
2,"The last man picked for the Ryder Cup : team, : then first at Firestone from start to finish. No wonder Stewart Cink says his confidence is at an all-time ; high."
2,"The last man picked for the Ryder Cup team, then first at ! Firestone from start to finish. No wonder Stewart Cink says his : confidence is at an all-time high."
3,A corporate dealmaker and former Tory Party treasurer is reportedly planning a 5bn takeover bid for struggling supermarket chain Sainsbury #39;s.
3,A corporate dealmaker and former Tory Party : treasurer is reportedly planning a 5bn takeover bid for struggling supermarket chain . Sainsbury #39;s.
3,A corporate dealmaker ! and former Tory Party treasurer is reportedly planning a 5bn takeover bid for struggling supermarket chain Sainsbury #39;s.
4,"An unpatched security vulnerability in popular older versions of Microsoft Word poses a severe threat to users, security reporting firm Secunia warned yesterday.\"
4,"An ! unpatched ; security vulnerability in . popular older versions of Microsoft Word poses a severe threat to users, security reporting firm Secunia warned yesterday.\"
4,"An unpatched security ! vulnerability in popular older versions of Microsoft Word poses : a severe threat to ? users, security reporting firm Secunia warned yesterday.\"
4,A genetic test that can be used to determine the origin of poached ivory could help combat the illegal trade in elephant tusks and their products.
4,A genetic . test that can be used to determine the origin of poached ivory could . help combat the illegal trade in elephant tusks and their products.
4,". A genetic test that can be used to determine the origin of poached ivory , could help combat the illegal trade in elephant tusks and their products."
4,&lt;em&gt;Alien&lt;/em&gt; star turns space tourist
4,"&lt;em&gt;Alien&lt;/em&gt; star turns space , tourist"
4,&lt;em&gt;Alien&lt;/em&gt; . star turns space tourist
1,"The government of Russian president Vladimir Putin has seized on the events around the armed takeover of a school in Beslan, a town in the southern republic of Ossetia, to broaden its antiterrorism "
1,"The government of Russian president Vladimir Putin has seized on the events around the armed takeover of a school in Beslan, a town in the southern republic of Ossetia, to broaden its antiterrorism ! "
1,"The government of Russian president Vladimir Putin ! has seized on the events around the armed takeover of a school in Beslan, a town in the southern republic of Ossetia, to broaden its antiterrorism , "
1,Officials in Haiti say two soldiers with the UN peacekeeping force in the Caribbean country have been shot and wounded in separate incidents.
1,Officials in . Haiti say two soldiers with the UN ? peacekeeping force in the : Caribbean country have been shot and wounded in separate incidents.
1,"Officials , in Haiti say two soldiers with the UN peacekeeping force in the Caribbean country have been shot and wounded in separate incidents."
2,AP - A poll of American Indians found that an overwhelming majority of them are not bothered by the name of the Washington Redskins.
2,"AP - A poll of American Indians found that an ; overwhelming majority , of them are not bothered : by the name of the Washington Redskins."
2,"AP - A poll of American Indians found that an overwhelming majority of them are not bothered , by the name of the Washington Redskins."
2,"The Ravens get three points from their offense but still win, thanks to the Redskins #39; problems on offense and special teams. LANDOVER MD."
2,"The Ravens get three points : from their offense but still win, thanks to the Redskins #39; problems on offense and special teams. LANDOVER MD."
2,"The Ravens : get three points from their offense but still win, thanks to the Redskins #39; problems on offense ! and special teams. LANDOVER MD."
4,"CARACAS, VENEZUELA - More than 100 curators and scientists will gather at a Venezuelan university Thursday to explore how biotechnology can help preserve art and artifacts in tropical climates."
4,"; CARACAS, VENEZUELA - More than 100 curators and scientists will gather at a Venezuelan university Thursday to explore how biotechnology can help preserve art and artifacts in tropical , climates."
4,"CARACAS, VENEZUELA - More than 100 curators and scientists will gather at a Venezuelan university Thursday to explore how : biotechnology can help preserve art and ! artifacts in tropical climates."
4,AP - International Business Machines Corp. said Monday it will provide voice and data services to British financial-services company Lloyds TSB Group PLC for seven years in a deal worth  #36;971.6 million.
4,"AP - International Business Machines Corp. said : Monday it will provide , voice and data services to British financial-services company Lloyds TSB Group PLC for seven years in a deal worth  #36;971.6 million."
4,"AP - International Business Machines Corp. . said Monday it will provide voice and data ! services to British , financial-services company Lloyds TSB ! Group PLC for seven years in a deal worth  #36;971.6 million."
1,"AP - The U.S. declaration that government-backed militiamen have committed genocide in Darfur is a ""big mistake"" that could hinder peace talks and undermine the role of African mediators in the conflict, Sudan's top officials said Friday."
1,"AP - The U.S. declaration that government-backed militiamen have ; committed genocide in Darfur ? is a ""big mistake"" that could hinder peace talks and undermine the role of African mediators in the conflict, Sudan's top officials said Friday."
1,"AP - The U.S. declaration that government-backed militiamen have committed genocide in ? Darfur is a ""big mistake"" that could hinder peace talks : and undermine the role of African mediators in the conflict, Sudan's top : officials said Friday."
4,"December 01, 2004 - In a sly, swift update Tuesday evening, Valve released Half-Life 2: Deathmatch, the multiplayer component of Half-Life 2 which everyone had so gleefully hoped would appear."
4,"December 01, 2004 - In a sly, swift update Tuesday evening, Valve released Half-Life ; 2: Deathmatch, the multiplayer component of Half-Life 2 which everyone had so gleefully hoped would appear."
4,"December , 01, 2004 - In a sly, swift update Tuesday evening, Valve released Half-Life 2: Deathmatch, the multiplayer : component of Half-Life 2 which everyone had so gleefully hoped ; would appear."
1,"PARIS -- French doctors say Yasser Arafat is still alive, though his condition  quot;has become more complex. quot;. Earlier, Luxembourg #39;s prime minister told reporters as he arrived at a summit in Brussels that Arafat had died."
1,"PARIS -- French doctors say Yasser Arafat is still alive, though his condition  quot;has become more complex. quot;. Earlier, Luxembourg #39;s prime minister told reporters as he arrived at a summit in Brussels that Arafat had , died."
1,"PARIS -- French doctors say . Yasser Arafat is still alive, though his condition  quot;has become ? more complex. quot;. Earlier, ? Luxembourg #39;s prime minister told reporters as he arrived at ? a summit in Brussels that Arafat had died."
