class,text
1,it has lexmark technology
1,it has lexmark engineering
1,it has lexmark technology
1,"Small, stylish, vibrant color display, AWESOME RECEPTION, external display, ""voice"" keypad sound (makes it unique)"
1,"Scans, Copies, Faxes AND Prints! It's an HP!! Sleek"
1,"Scans, Copies, Faxes AND Prints! It's an HP!! flowing"
1,"Great Prints, Great Color"
0,"Features, user friendliness"
0,"Features, exploiter friendliness"
1,"expectant Prints, Great Color"
0,Battery life
1,"Clear, crisp and realistic color printing"
0,"Battery life, no image editing software"
0,"Battery biography, no image editing software"
1,"Clear, frizzly and realistic color printing"
0,Battery aliveness
0,no battery indicator.
0,no barrage indicator.
0,"High purchase price, high cost per page for ink, heavy, and bulky."
0,"High purchase price, heights cost per page for ink, heavy, and bulky."
1,"Incredible value, black text print quality."
1,"Incredible prise, black text print quality."
0,Prohibitively expensive.
0,Prohibitively expensive.
0,prohibitively expensive.
1,"It supports GPRS, GSM, TDMA, and analog. It has voice dialing and built in vibration."
1,"It abide GPRS, GSM, TDMA, and analog. It has voice dialing and built in vibration."
1,"Excellent call quality, bluetooth, clamshell form factor, sexy face plate."
1,"Excellent call quality, bluetooth, clamshell form factor, sexy typeface plate."
1,"12 ppm, 600x 600 resolution, AFFORDABLE!"
1,"12 ppm, 600x 600 resolution, low-cost!"
0,no print preview built into the driver/print quality greatly deteriorates over time
0,no print preview build into the driver/print quality greatly deteriorates over time
1,"Superb image quality, no mangenta/blue/red in your pics!Hi sharpness, 8M card to get started."
1,"Superb image quality, no mangenta/blue/red in your pics!Hi edge, 8M card to get started."
1,"Quality of build, compact, ease of use, big 2&amp;quot; LCD display"
1,"Quality of build, compact, ease of use, bounteous 2&amp;quot; LCD display"
0,screen goes blank and no support from manufacture
0,screen X blank and no support from manufacture
0,horrible color issues left my pictures looking unrealistic &amp; cartoon-like
0,horrible color issues left my characterization looking unrealistic &amp; cartoon-like
1,"small size!, convenient and easy usability, reasonable solid performance"
1,"small size!, convenient and easy usability, reasonable satisfying performance"
1,Good picture quality
1,Good depict quality
0,"No spot focus, slow ISO 100 sensitivity, feels kind of cheap but isn't."
0,"No spot focus, slack ISO 100 sensitivity, feels kind of cheap but isn't."
1,Everything
1,Everything
0,"Small internal memory, included software not anything great"
1,"all in one, pcfax is great."
1,"all in I, pcfax is great."
1,alot
1,alot
1,"Good form factor, decent reception, easy to use"
0,"Bad red-eye, high battery drain, no lens cap holder.  8MB card is small."
0,"Bad red-eye, gamey battery drain, no lens cap holder.  8MB card is small."
0,The phone lacks ergonomics and you end up hunting for the controls.
0,"Crappy camera, terrible colors and poor speaker volume, does not support MP3s"
0,"Crappy camera, dreaded colors and poor speaker volume, does not support MP3s"
0,A drop-in charger would be nice.
0,A drop-in charger would be courteous.
0,The phone lacks ergonomics and you end up hunting for the check.
0,Print quality is not as good as a more expensive printer
0,Print caliber is not as good as a more expensive printer
0,Batteries take about 8 hours to charge.
1,"Why  I wanted to buy another NOKIA, is It's one of the better cell phones"
1,"Why  I wanted to buy another NOKIA, is It's ane of the better cell phones"
0,bed
0,bang
0,Batteries exact about 8 hours to charge.
0,"Battery Time, Heat After Long Use, Reception, Screen Picks up Grime"
0,"Battery Time, Heat After Long Use, Reception, Screen Picks up grease"
0,Weak vibrating option
0,Weak resonate option
0,Very pricey
0,Very high-priced
1,"For the price, it is a great printer"
1,"For the price, it is a capital printer"
1,"PRICE!, print quality, holds two ink cartridges"
1,"PRICE!, print quality, appreciation two ink cartridges"
1,Brilliant Blue Backlighting; Easy to Use; Color Screen; Great Ringtones
1,Brilliant Blue Backlighting; Easy to Use; Color screenland; Great Ringtones
0,pay long distance for tech support
0,pay foresightful distance for tech support
0,"buttons too small for my small fingers, not intuitive, difficult navigation, confusing menu nesting"
0,"buttons too belittled for my small fingers, not intuitive, difficult navigation, confusing menu nesting"
0,Battery life isn't great and the memory card is not large enough
0,Battery biography isn't great and the memory card is not large enough
0,"display went bad, but they replaced within days"
0,"display extend bad, but they replaced within days"
0,Learning curve
0,Learning arc
1,"A good overall phone.  Excellent reception, loud ringtones, beautiful inner display."
1,"A good overall ring.  Excellent reception, loud ringtones, beautiful inner display."
0,Battery life
0,Battery life-time
0,Displays not readable in sunlight.
0,Displays not decipherable in sunlight.
0,Short battery life
0,Minor nozzle clogging issue in some situations
0,Minor hooter clogging issue in some situations
0,abruptly battery life
0,"Bulky, low-resolution, expensive"
0,"Bulky, low-resolution, expensive"
1,"Functional (Vibrate & high mode, etc.)"
1,"Functional (Vibrate & high fashion, etc.)"
0,"bulky, low-resolution, expensive"
0,Baterry life is momentary
0,Baterry life is momentaneous
0,Speed is a bit leisurely.
0,Speed is a piece leisurely.
1,"Excellent build quality, durable, great resolution and clarity, Nikon lenses are among the best"
1,"Excellent build caliber, durable, great resolution and clarity, Nikon lenses are among the best"
0,"Poor image quality,no flash"
0,"Poor image quality,no cheap"
1,"Small Size, BIG Capabilities"
1,"Easy to maneuver, very lightweight"
1,"Easy to channelize, very lightweight"
1,"Small Size, great Capabilities"
1,"Overall a nice, easy to use printer"
1,"Overall a nice, easy to apply printer"
1,"small, light, long battery, direct-connect"
1,"pocket-size, light, long battery, direct-connect"
1,"whitish blue backlight color, animated menus, clear sound, cheep price, pretty light, etc."
1,"whitish blue backlight color, animated menus, clear sound, cheep price, pretty light-headed, etc."
1,"Easy to use, good quality images, nice features, good for most people"
1,"Easy to use, good quality images, courteous features, good for most people"
1,very slim. nice design. big screen
0,"no optical zoom, sometimes get circles"
0,"no optical surge, sometimes get circles"
0,None!
0,None!
0,none!
0,could use more memory
0,could employ more memory
1,very slenderize. nice design. big screen
0,"SLOW SHUTTER, blurry pictures, no ability to capture moving shots."
0,"SLOW SHUTTER, blurry film, no ability to capture moving shots."
0,"Battery life, Slow Message writing, No MMS or GPRS"
0,"Battery life, behind Message writing, No MMS or GPRS"
0,"spendy, but worth it"
0,"spendy, but Worth it"
0,"spendy, but worth it"
0,Ink consumption is little too much.
0,Ink consumption is minuscule too much.
0,It whines.
0,It creak.
1,"Thin, sexy, bright display, all the bells and whistles"
1,"Thin, sexy, bright display, all the bells and whistle"
1,"Changeable case, Ring tones, Good screen"
1,"Changeable case, gang tones, Good screen"
1,Inexpensive and Reliable
1,Inexpensive and dependable
1,Great Camera for $900-$1200 range
1,Great Camera for $900-$1200 image
0,"Battery life, form factor."
0,"Battery life, anatomy factor."
1,"Easy Menu system, standard vibrator ring, customizable face plates"
1,"Easy Menu system, standard vibrator gang, customizable face plates"
1,Excellent photo quality and lots of great features!
1,Excellent exposure quality and lots of great features!
0,"Scarce, hard to get."
0,"Scarce, hard to arrest."
1,Priced right for a beginner.
1,Priced mighty for a beginner.
