class,text
0,"well , this movie proves you wrong on both counts ."
0,"well , this cinematic proves you wrong on both counts ."
0,"though impostor deviously adopts the guise of a modern motion picture , it too is a bomb ."
0,"though impostor deviously adopts the guise of a modern motion photographs , it too is a bomb ."
0,"no new plot conceptions or environmental changes , just different bodies for sharp objects to rip through ."
0,"no new plot conceptions or environmental alterations , just different bodies for sharp objects to rip through ."
1,wise and deadpan humorous .
1,judicious and deadpan humorous .
0,"an exit sign , that is ."
0,"an departing sign , that is ."
1,"it looks closely , insightfully at fragile , complex relationships ."
1,"it looks closely , insightfully at breakable , complex relationships ."
0,"it 's so tedious that it makes you forgive every fake , dishonest , entertaining and , ultimately , more perceptive moment in bridget jones 's diary ."
0,"it 's so monotonous that it makes you forgive every fake , dishonest , amusing and , ultimately , more perceptive moment in bridget jones 's diary ."
0,the package in which this fascinating -- and timely -- content comes wrapped is disappointingly generic .
0,the bundled in which this fascinating -- and timely -- content comes wrapped is disappointingly generic .
1,"too damn weird to pass up , and for the blacklight crowd , way cheaper -lrb- and better -rrb- than pink floyd tickets ."
1,"too damn bizarro to pass up , and for the blacklight crowd , way cheaper -lrb- and better -rrb- than pinks floyd tickets ."
1,a dazzling thing to behold -- as long as you 're wearing the somewhat cumbersome 3d goggles the theater provides .
1,a astonishing thing to behold -- as long as you 're wearing the somewhat cumbersome 3d goggles the theater provides .
1,"except it 's much , much better ."
1,"except it 's much , much optimum ."
1,you 'll know a star when you see one .
1,you 'll know a star when you seeing one .
1,"if you 're as happy listening to movies as you are watching them , and the slow parade of human frailty fascinates you , then you 're at the right film ."
1,"if you 're as gratified listening to movies as you are watching them , and the deceleration parade of human frailty fascinates you , then you 're at the right film ."
0,"it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks ."
0,"it 's not original , and , jacked of the element of surprise , it does n't have any huge smiling in its story of irresponsible cops who love to play pranks ."
0,"... an incredibly heavy-handed , manipulative dud that feels all too familiar ."
0,"... an appallingly heavy-handed , manipulative dud that feels all too familiar ."
0,i 'm not sure which will take longer to heal : the welt on johnny knoxville 's stomach from a riot-control projectile or my own tortured psyche .
0,i 'm not persuaded which will take anymore to heal : the welt on johnny knoxville 's stomach from a riot-control projectile or my own tortured psyche .
1,the charms of the lead performances allow us to forget most of the film 's problems .
1,the charms of the lead performances allow us to forget most of the cinema 's problems .
0,"wes craven 's presence is felt ; not the craven of ' a nightmare on elm street ' or ` the hills have eyes , ' but the sad schlock merchant of ` deadly friend . '"
0,"wes craven 's presence is felt ; not the craven of ' a nightmare on elm rue ' or ` the hills have eyes , ' but the sorrowful schlock merchants of ` deadly friend . '"
1,there 's a lot of tooth in roger dodger .
1,there 's a batch of tooth in roger dodger .
0,"priggish , lethargically paced parable of renewal ."
0,"priggish , lethargically paced dish of renewal ."
0,lacks depth .
0,lack depth .
0,"the most memorable moment was when green threw medical equipment at a window ; not because it was particularly funny , but because i had a serious urge to grab the old lady at the end of my aisle 's walker and toss it at the screen in frustration ."
0,"the most eventful moment was when green threw medicine equipment at a window ; not because it was particularly funny , but because i had a serious urge to grab the old lady at the end of my gangway 's walker and lance it at the screen in frustration ."
1,"by not averting his eyes , solondz forces us to consider the unthinkable , the unacceptable , the unmentionable ."
1,"by not averting his eyes , solondz forces us to consider the unthinkable , the inadmissible , the unmentionable ."
0,becomes the last thing you would expect from a film with this title or indeed from any plympton film : boring .
0,becomes the latter thing you would expect from a cinematic with this title or indeed from any plympton film : boring .
