class,text
1,"Size and Weight&#13;&#10;Features, and NO ANTENNA!"
1,"Size and Weight&#12;&#10;Features, and NO ANTENNA!"
0,Baterry life is momentary
0,Baterry life is momentary
0,Outside case can damage too easily!
1,Cheap
1,Cheap
1,"good for all types of files and formats, easy to use"
1,"Small Size, BIG Capabilities"
1,"Small Size, BIG Capabilities"
1,large LCD display &#13;&#10;Crystal Clear Reception all over the United States. &#13;&#10;
0,none
0,none
1,Sleek design
0,"Poor image quality,no flash"
0,"Poor image quality,no flash"
1,"durablity, print quality"
0,Goes through batteries very fast
0,Goes through batteries very fast
1,Ease of use; full featured; excellent scanner and speed(see review)
1,"Easy to use, good quality images, nice features, good for most people"
1,"Easy to use, good quality images, nice features, good for most people"
1,Very light and good reception
1,Very light and good reception
1,"Functional (Vibrate & high mode, etc.)"
1,"Functional (Vibrate & high mode, etc.)"
0,None that I have found
1,"High resolution, right size, good preview, powerful zoom"
1,"High resolution, right size, good preview, powerful zoom"
1,Great size and great display.
1,"User-friendly, simple, nice-looking body"
1,"User-friendly, simple, nice-looking body"
0,"Unecessary programs added at installation, a bit noisy."
0,none
0,none
0,"Autofocus Time, Lens Cap"
1,Long battery life.  Compact size.  Nice color screen.
1,Long battery life.  Compact size.  Nice color screen.
1,"Very Compact, Flip Design protects face& keys. Price is right."
1,Everything
1,Everything
0,guide is online-only (bleh)
0,"bad battery life, bad reception, expensive, outdated technology"
0,"bad battery life, bad reception, expensive, outdated technology"
0,No matte paper from Canon. Had a little trouble feeding wedding envelopes.
1,"keyboard, keyboard, keyboard, voice commands, and a nice battery life compared to similar featured phones"
1,"keyboard, keyboard, keyboard, voice commands, and a nice battery life compared to similar featured phones"
1,Excellent photograph reproduction. Crisp Text. (when it works)
1," Relatively Low Cost, quality pictures, easy to use."
1," Relatively Low Cost, quality pictures, easy to use."
1,"This phone is small, a unique color, and has a nice color screen."
1,"This phone is small, a unique color, and has a nice color screen."
1,"picture quality, boot time, reliable, included rechargeable battery"
1,"Keyboard, IM, GPS, camera, perfect for texters!"
1,"Keyboard, IM, GPS, camera, perfect for texters!"
0,"Not flashy, if you're into that sort of thing.  Just a good, reliable phone."
0,"Not flashy, if you are into that sort of thing.  Just a good, reliable phone."
