class,text
3,Delta Air Lines Inc. said Monday that it has achieved \$50 million of an estimated \$135 million in additional liquidity that the company will need to meet financing commitments in early 2006 
3,Delta Air Lines Inc. said Monday that it has achieved \$50 million of an estimated \$135 million in additional liquidity that the corporations will requisite to meet financed commitments in early 2006 
3,Delta Air Lines Inc. said Monday that it has performed \$50 millionth of an estimated \$135 million in additional liquidity that the company will need to meet financing obligation in early 2006 
3,Delta Air Lines Inc. told Monday that it has obtained \$50 million of an estimated \$135 million in additional liquidity that the company will need to meet financed commitments in early 2006 
3,Delta Air Lines Serv. indicated Thursday that it has achieved \$50 million of an estimated \$135 million in additional liquidity that the company will need to meet financing commitments in early 2006 
3,"Ousted PeopleSoft (PSFT) CEO Craig Conway acknowledged in court Wednesday that he countered rival Oracle #39;s (ORCL) hostile takeover bid with a crusade to vilify the company and its CEO, Larry Ellison."
3,"Ousted PeopleSoft (PSFT) CEO Craig Conway acknowledged in court Wednesday that he countered rival Oracle #39;s (ORCL) enmity takeover solicitation with a crusade to vilify the corporate and its CEO, Larry Ellison."
3,"Ousted PeopleSoft (PSFT) CEO Craig Conway admitted in court Wednesday that he countered competitors Oracle #39;s (ORCL) unfriendly takeover bid with a crusade to vilify the company and its CEO, Larry Ellison."
3,"Ousted PeopleSoft (PSFT) CEO Craig Conway recognising in court Wednesday that he countered rival Oracle #39;s (ORCL) unfriendly takeover tendered with a crusade to vilify the company and its CEO, Larry Ellison."
3,"Ousted PeopleSoft (PSFT) CEO Craig Conway recognition in court Wednesday that he countered challengers Oracle #39;s (ORCL) hostile takeover bid with a crusade to vilify the societies and its CEO, Larry Ellison."
2,"Just a week ago, following an astonishingly poor effort in their season-opening loss to the Clippers, the plan seemed clear: Hope for the top pick in the lottery."
2,"Just a week ago, following an astonishingly poor effort in their season-opening loss to the Clippers, the plan seemed unmistakable: Hope for the top choice in the lottery."
2,"Just a week ago, following an astonishingly poor effort in their season-opening loss to the Mowers, the plan seemed lucid: Hope for the top pick in the lottery."
2,"Just a week ago, following an wonderfully poor effort in their season-opening loss to the Clippers, the plan seemed clear: Hope for the supreme pick in the lottery."
2,"Righteous a week ago, following an astonishingly poor effort in their season-opening loss to the Clippers, the plan seemed clear: Hope for the top pick in the bingo."
2,"Columbia, SC (Sports Network) - The University of South Carolina has scheduled a news conference for 1 pm (et) Tuesday when it is expected to announce that Steve Spurrier will take over as the school #39;s new head football coach."
2,"Columbia, SC (Athletics Network) - The Universities of Southward Carolina has scheduled a news conference for 1 pm (et) Wednesday when it is expected to announce that Steve Spurrier will take over as the school #39;s new head football coach."
2,"Columbia, SC (Sports Grids) - The Campuses of Southerly Carolina has anticipated a news conference for 1 pm (et) Tuesday when it is expected to announce that Steve Spurrier will take over as the school #39;s new head football coach."
2,"Columbia, SC (Sports Network) - The Campus of South Carolina has anticipated a news conference for 1 pm (et) Tuesday when it is expected to advertises that Steve Spurrier will take over as the tuition #39;s new head football coach."
2,"Columbia, SC (Sports Network) - The University of South Carolina has envisaged a news conference for 1 pm (et) Yesterday when it is awaited to announce that Steven Spurrier will take over as the school #39;s new head football coach."
2,"San Diego -- The sports cliche about taking them one game at a time does not apply in a final-week drive for the playoffs. That, the players say, is looking too far ahead."
2,"San Diego -- The athletics cliche about taking them one game at a time does not apply in a final-week drive for the preliminaries. That, the players told, is looking too far ahead."
2,"San Diego -- The sports cliche about adopting them one game at a time does not implement in a final-week drive for the playoffs. That, the players say, is searching too far ahead."
2,"San Diego -- The sports cliche about taking them one game at a period does not apply in a final-week drive for the playoffs. That, the protagonists says, is looking too far ahead."
2,"San Diego -- The sports cliche about taking them one gaming at a time does not implementing in a final-week drive for the playoffs. That, the players say, is search too far ahead."
4,"Earlier this year, Intel delayed its chip for large screen televisions. Now the Santa Clara, Calif.-based company is killing it. Intel has stopped work on its liquid crystal on silicon semiconductor, stating "
4,"Earlier this year, Intel defer its chip for wide screen televisions. Now the Santa Clara, Calif.-based company is kill it. Intel has stopped work on its liquid crystal on silicon semiconductor, stating "
4,"Earlier this year, Intel delayed its chip for tremendous screen tvs. Now the Santa Clara, Calif.-based company is murder it. Intel has stopped work on its liquid crystal on silicon semiconductor, stating "
4,"Formerly this year, Intel delayed its chip for considerable screen televisions. Now the Santa Clara, Calif.-based company is killing it. Intel has stopped cooperated on its liquid crystal on silicon semiconductor, stating "
4,"Sooner this year, Intel delayed its chip for gargantuan screen televisions. Now the Santa Clara, Calif.-based companies is killing it. Intel has stopped work on its liquid crystal on silicon semiconductor, stating "
2,"No one knows where Jason Giambi goes from here, now that he has come clean about the dirty business of steroids and performance-enhancing drugs."
2,"No one knows where Jason Giambi goes from here, now that he has come clean about the dirty enterprise of steroids and performance-enhancing narcotic."
2,"No one knows where Jason Giambi goes from here, now that he has come clean about the dirty firms of steroids and performance-enhancing pharmaceutical."
2,"No one knows where Jason Giambi goes from here, now that he has come clean about the grubby enterprises of steroids and performance-enhancing drugs."
2,"No one knows where Jason Giambi goes from here, now that he has coming clean about the dirty corporations of steroids and performance-enhancing drugs."
1,Russian President Vladimir Putin is to attend an EU summit despite diplomatic sniping over the  Ukraine crisis.
1,Russian Chairperson Vladimir Putin is to attend an EU summit despite diplomatic sniping over the  Ukraine crisis.
1,Russian President Vladimir Putin is to attend an EU summit despite diplomacy sniping over the  Ukraine crisis.
1,Russian President Vladimir Putin is to attending an EU summit despite diplomatic sniping over the  Ukraine crisis.
1,Russians President Vladimir Putin is to attend an EU summit despite diplomatic sniping over the  Ukraine crisis.
3,"Qualcomm Inc. may change the way it recognizes royalties from its licensees, which would reduce fourth-quarter pre-tax income by \$298 million, the company said on Friday."
3,"Qualcomm Inc. may change the way it acknowledges royalties from its licensees, which would reduce fourth-quarter pre-tax income by \$298 million, the company avowed on Friday."
3,"Qualcomm Inc. may change the way it recognized royalties from its licensees, which would reduce fourth-quarter pre-tax revenue by \$298 million, the company said on Friday."
3,"Qualcomm Inc. may change the way it recognizes royalties from its licensees, which would decline fourth-quarter pre-tax income by \$298 million, the company said on Thursday."
3,"Qualcomm Inc. may shifting the way it recognizes royalties from its licensees, which would mitigating fourth-quarter pre-tax income by \$298 million, the company said on Friday."
2,"AP - Their right guard went down early in training camp, and their star inside linebacker followed shortly after that. The veteran quarterback joined the injury list two games into the season, and their Pro Bowl nose tackle, top cornerback and best running back followed."
2,"AP - Leur right guard went down early in training camp, and their star inside linebacker followed shortly after that. The veteran quarterback joined the injury list two gaming into the season, and their Pro Bowl nose solve, topped cornerback and best running back followed."
2,"AP - Their right guard went down early in training camp, and their star interior linebacker followed shortly after that. The veteran quarterback join the injury list two games into the season, and their Pro Bowl nose tackle, top cornerback and finest execution back followed."
2,"AP - Their right guard went down precocious in training camp, and their star within linebacker followed shortly after that. The veteran quarterback joined the injury list two games into the season, and their Pro Bowl nose addressing, top cornerback and bestest running back followed."
2,"AP - Their right guardsmen went down soon in training camp, and their star inside linebacker followed shortly after that. The veteran quarterback joined the wounding list two gaming into the season, and their Pro Bowl nose tackle, top cornerback and best running back followed."
3,"Delta Air Lines Inc. (DAL.N: Quote, Profile, Research) said on Monday it will need an additional \$135 million in liquidity in early 2006 to meet the requirements of certain financing agreements."
3,"Delta Air Lines Inc. (DAL.N: Quote, Profile, Research) said on Monday it will necessary an additional \$135 million in liquidity in soon 2006 to meet the requirements of certain fundraising agreements."
3,"Delta Air Lines Inc. (DAL.N: Quote, Profile, Research) told on Monday it will need an additional \$135 million in liquidity in early 2006 to satisfy the requirements of certain financing contract."
3,"Delta Airforce Lines Inc. (DAL.N: Quote, Profile, Research) said on Monday it will necessary an additional \$135 million in liquidity in early 2006 to meet the requirements of certain financing treaties."
3,"Delta Airforce Lines Inc. (DAL.N: Quote, Profile, Research) said on Yesterday it will need an additional \$135 million in liquidity in early 2006 to meet the requirements of certain financed agreements."
1,"World News: Baghdad, Nov 30 : Four people were killed and 20 injured in an attack on a US military convoy in Iraq Tuesday, reports Xinhua."
1,"World News: Baghdad, Nov 30 : Four people were assassination and 20 injured in an attack on a US military convoy in Bagdad Tuesday, reports Xinhua."
1,"World News: Baghdad, Nov 30 : Four people were killed and 20 injured in an attack on a US military convoy in Bagdad Sunday, reports Xinhua."
1,"World News: Baghdad, Nov 30 : Four people were murdering and 20 injured in an attack on a US military convoy in Bagdad Tuesday, reports Xinhua."
1,"World News: Baghdad, Nov 30 : Four people were murdering and 20 injured in an attack on a US solider convoy in Iraq Tuesday, reports Xinhua."
2,"Redskins assistant head coach Joe Bugel returns to  turn his new group of ""Dirt Bags"" into a mirror image of his ""Hogs"" of the 1980s."
2,"Buccaneers assistant head coach Joe Bugel returned to  turn his new group of ""Dirt Bags"" into a mirror image of his ""Hogs"" of the 1980s."
2,"Redskins assistant head coach Evel Bugel returns to  turn his new group of ""Dirt Bags"" into a mirror imaging of his ""Hogs"" of the 1980s."
2,"Redskins assistant jefe coach Joe Bugel returns to  turn his new groupings of ""Dirt Bags"" into a mirror image of his ""Hogs"" of the 1980s."
2,"Redskins assistant leader coach Joe Bugel returns to  turning his new group of ""Dirt Bags"" into a mirror image of his ""Hogs"" of the 1980s."
4,The scientists behind Dolly the sheep apply for a license to clone human embryos. They want to take stem cells from the embryos to study Lou Gehrig's disease.
4,The scientists behind Darlene the sheep apply for a license to clone human embryos. They want to take stem cells from the embryos to studies Lou Gehrig's disease.
