class,text
2,"What do the letters CE stand for on so many products , particularly electrical , purchased now ?"
2,"What do letters CE stand for on so many products , particularly electrical , purchased now ?"
2,"What do the CE stand for on so many products , particularly electrical , purchased now ?"
4,What city 's theatrical district has been dubbed The Roaring Forties ?
4,What 's theatrical district has been dubbed The Roaring Forties ?
4,What city ' theatrical district has been dubbed The Roaring Forties ?
1,What food did Marco Polo introduce into Italy from the court of Kubla Khan ?
1,What food did Marco Polo introduce into Italy from the court of Kubla ?
1,What food did Marco Polo introduce into Italy from the of Kubla Khan ?
3,Who does the advertizing for Frito-Lay ?
3,Who does advertizing for Frito-Lay ?
3,Who does the advertizing for ?
3,What little boy and dog live in a shoe ?
3,What little and dog live in a shoe ?
3,What little boy and dog in a shoe ?
1,Name the vessel used by the Atari Force in the DC comics .
1,Name the vessel by the Atari Force in the DC comics .
1,Name the vessel used by the Atari Force in the comics .
5,When was the first Wall Street Journal published ?
5,When the first Wall Street Journal published ?
5,When was the Wall Street Journal published ?
4,Where do you find information about the Queensland National Competition Policy
4,Where do find information about the Queensland National Competition Policy
4,Where do you find information about the Queensland National Policy
5,How long does the average domesticated ferret live ?
5,How does the average domesticated ferret live ?
5,How long does the average domesticated live ?
4,What 's the name of the temple that is located near the capital city of Laos ?
4,What 's name of the temple that is located near the capital city of Laos ?
4,What 's the name of the temple is located near the capital city of Laos ?
3,Who is the prime minister of Australia ?
3,Who is prime minister of Australia ?
3,Who is the prime minister Australia ?
1,What money was used here ?
1,What money used here ?
1,What money was used ?
4,Where is Tornado Alley ?
4,Where Tornado Alley ?
4,Where is Alley ?
2,What is LMDS ?
2,What LMDS ?
2,What is ?
2,What is LMDS ?
2,is LMDS ?
3,What kind of organization is ` Last Chance for Animals ' ?
3,What kind of organization is Last Chance for Animals ' ?
3,What kind of organization is ` Last Chance for ' ?
3,"What cigarette company urged us , `` Come to where the flavor is ? ''"
3,"What cigarette company urged , `` Come to where the flavor is ? ''"
3,"What cigarette company urged us , `` Come to where the flavor ? ''"
5,How many e-commerce companies are started every day ?
5,How many e-commerce are started every day ?
5,How many e-commerce companies are started day ?
3,Who won World War II ?
3,Who World War II ?
3,Who won World II ?
3,"Whose special bear 's creator was born on January 18 , 1779 ?"
3,"Whose bear 's creator was born on January 18 , 1779 ?"
3,"Whose special bear 's creator was born January 18 , 1779 ?"
0,What made the short-lived Star Hawks strip so unique ?
0,What made the Star Hawks strip so unique ?
0,What made the short-lived Star Hawks strip unique ?
3,Who played the original Charlie 's Angels ?
3,Who played the Charlie 's Angels ?
3,Who played the original Charlie ' Angels ?
1,What are Halloween 's colors ?
1,What Halloween 's colors ?
1,What are 's colors ?
5,When does the Bible say the seasons started ?
5,When does Bible say the seasons started ?
5,When does the Bible say the started ?
0,What is time ?
0,What is ?
0,What is time ?
0,What time ?
0,is time ?
1,What is the name of the song that Dracula plays on the organ ?
1,What is the name of the song that Dracula plays on organ ?
1,What is the name of the song that Dracula plays on the ?
5,How many continents are there ?
5,How continents are there ?
5,How many continents are ?
5,How many points is a bullseye worth in darts ?
5,How many points is a bullseye worth darts ?
5,How many points is a worth in darts ?
4,McCarren Airport is located in what city ?
4,Airport is located in what city ?
4,McCarren Airport is in what city ?
4,What is the best online games site ?
4,What is best online games site ?
4,What is the online games site ?
2,What does A&W of root beer fame stand for ?
2,What does A&W of beer fame stand for ?
2,What does A&W of root fame stand for ?
5,How many languages are there in the world ?
5,How languages are there in the world ?
5,How many languages are there in the ?
0,How did people respond to the idea of the first millenium ?
0,How did people respond to the idea of first millenium ?
0,How did people to the idea of the first millenium ?
4,Where 's the Petrified Forest ?
4,'s the Petrified Forest ?
4,Where 's Petrified Forest ?
4,What country has the port of Haifa ?
4,What country has the of Haifa ?
4,What country has the port of ?
3,What doctor is synonymous with footwear and foot care ?
3,What doctor is synonymous footwear and foot care ?
3,What doctor is synonymous with footwear and care ?
4,What city is the Kentucky Horse Park near ?
4,What city is Kentucky Horse Park near ?
4,What city is the Kentucky Park near ?
1,What terror of the sea did Johnny Horton sing about ?
1,What terror of sea did Johnny Horton sing about ?
1,What terror of the did Johnny Horton sing about ?
4,What state full of milk and honey was the destination in The Grapes of Wrath ?
4,What state full milk and honey was the destination in The Grapes of Wrath ?
4,What state full of milk and honey the destination in The Grapes of Wrath ?
4,What state has the longest Great Lakes shoreline ?
4,What state has longest Great Lakes shoreline ?
4,What state has the longest Great Lakes ?
