class,text
3,The use of the heating device upon administration of short-acting insulin analogues in pump-treated type 1 diabetic patients was found to enhance insulin absorption .
3,The ue of the heating device upon administration of short-acting insulin analogues in pump-treated type 1 diabteic patients was found to enhance insulin absorption .
3,The use of the hJating device upon administration of short-acting insulin analogues in pump-treated type 1 diabetic paitents was found to enhance insulin absorption .
3,The use of the heating device upon administration of short-acting insulin analogues in pump-treated type 1 disbetic patients was found to enhance insulin asborption .
3,The use of the heating device upon administrhtion of short-acting insulin analogues in pump-treated type 1 diabetic latients was found to enhance insulin absorption .
4,"The objectives were to determine whether pulmonary rehabilitation increased physical activity as assessed by the International Physical Activity Questionnaire ( IPAQ ) , and improved quality of life and symptoms as assessed by the St George respiratory questionnaire for IPF ( SGRQ-I ) and the Borg dyspnea index ( BDI ) ."
4,"Teh objectives were to determine whether pulmonary rehabilitation increaXsed physical activity as assessed by the International Physical Activity Questionnaire ( IPAQ ) , and improved quality of life and symptoms as assessed by the St George respiratory questionnaire for IPF ( SGRQ-I ) and the Brog dyspena index ( BDI ) ."
4,"The objectives were to determine whether pulmonary rehabilitation increased physical activity as aEssessed by the International Physical Activity QuestionnaLre ( IPAQ ) , and improved quality of life and symptoms as adsessed by the St George respiratory questionnaire for eIPF ( SGRQ-I ) and the Borg dyspnea index ( BDI ) ."
4,"The objectives were to determine whther pulmonary rehabilitation increased physical activity as assessed by the International Physical Activity Questionnare ( IPAQ ) , and improved quality of life and symptoms as assessde by the St George respiratory questionnaire for IPF ( SGRQ-I ) and the Borg dyspnea index ( vDI ) ."
4,"The objectives were to determline whethjr pulmonary rehabilitation increased physical activity as assessed by the International Physical Activity Questionnaire ( IPQA ) , and improved quality of life and symptoms as assessed by the St George respiratory questYionnaire for IPF ( SGRQ-I ) and the Borg dyspnea index ( BDI ) ."
1,"After each LC , intervention group subjects received video-based coaching by a surgeon , utilizing an adaptation of the GROW ( Goals , Reality , Options , Wrap-up ) coaching model ."
1,"After each LC , iHntervention group subjects rceived video-based coaching by a surgeon , utilizing an adaptation of the GROW ( Goals , Reality , Options , Wrap-up ) coaching model ."
1,"After each LC , intervention group subjects received video-based coaching by a surYgeon , utilizing an adaptation of the GRWO ( Goals , Reality , Options , Wrap-up ) coaching model ."
1,"After each LC , intervention group subjects received video-based coaching by a surgeon , utilizing an adaptation of the GROW ( Goals , Reality , Optiosn , Wrap-up ) coachin model ."
1,"OAfter each LC , intervention group subjects received video-based coaching by a surgeon , utilizing an adaptation of the GROW ( Goals , Reality , Optins , Wrap-up ) coaching model ."
3,Consequently physical activity behaviour outcomes in trials will not be biased by the season in which they are measured .
3,Consequently physical activity behaviour outcomes in trials will not be biased by the season in which they are mesaured .
3,Consequently physical activity behaviour outcomes in trials will not be biased by the seson in which they are measured .
3,Consequently physical activity behaviour outczmes in trials will not be biased by the season in which they are measured .
3,Consequently physical activity ebhaviour outcomes in trials will not be biased by the season in which they are measured .
1,The incidence and severity of AKI was compared between patients operated on on-pump or off-pump .
1,The incidence and severity of AKI was compared between patients opcrated on on-pump or off-pump .
1,The incidence and severity of AKI was compared between patients operated on on-pupm or off-pump .
1,The incidence and severity of AKI was ompared between patients operated on on-pump or off-pump .
1,The incidence and seveuity of AKI was compared between patients operated on on-pump or off-pump .
3,This study represents a first approach to the application of a passive relaxation technique in residential programs for the elderly .
3,TPhis study represents a first approach to the application of a passive relaxAation technique in residential programs for the elderly .
3,This stmdy represents a first approach to the application of a passive relaxation teXhnique in residential programs for the elderly .
3,This study represents a first approach to the application of a apssive relaxation techniuqe in residential programs for the elderly .
