class,text
0,To determine the optimal duration of energy corrective treatment of ischemic stroke ( II ) with cytoflavin or ascorbic acid .
0,To determine the optimal duration of ischaemic stroke ( II ) energy correction with cytoflavin or ascorbic acid.
2,Only dogs with GER in Group S had significantly lower pH at the end compared to the beginning of anesthesia ( p = 0.004 ) .
2,Only dogs in the S group with an EGR had a significantly lower pH at the end than at the beginning of anesthesia (p = 0.004).
4,Post-concussion syndrome is associated with significant disability in the child and his/her family and yet there are no evidence-based medical treatments available .
4,"Post-commotion syndrome is associated with a significant disability in the child and his or her family, yet there is no evidence-based medical treatment."
0,Frequent refresher training and in situ simulation are promising interventions .
0,Frequent refresher training and in situ simulation are promising interventions.
3,Early diagnosis and treatment did not prevent ASD as an outcome of IS .
3,Early diagnosis and treatment did not prevent ASD as a result of AR.
4,Comparing individuals with SIS to those without shoulder pathology may provide information on the effects of TSM specifically in those with SIS .
4,Comparison of people with SIS with those with no shoulder disease may provide information on the effects of STD specifically in people with SIS.
1,The Long program consists of 3 weeks with full rehabilitation days .
1,The Long program consists of 3 weeks with full days of rehabilitation.
2,The accumulated expelled volumes for an hour were in favor of the ASCD group .
2,The evicted volumes accumulated for one hour were in favour of the ASCD group.
1,"The secondary efficacy endpoint included the improvement rate at maximum frown at week 16 and at rest at weeks 4 and 16 by live assessment , and the improvement rate at maximum frown and at rest based on photographic assessment at week 4 ."
1,"The secondary efficacy criterion included the rate of improvement at the maximum sling at week 16 and at rest at weeks 4 and 16 by live evaluation, and the rate of improvement at the maximum sling and at rest based on the photographic assessment at week 4."
3,"The results suggest that there is an increased risk of postdischarge NM-PO among injured patients with at-risk drinking , particularly among those with a recent history of drug use or NM-PO ."
3,"The results suggest that there is an increased risk of post-discharge MN-PO in injured patients with alcohol use at risk, particularly those with a recent history of drug or MN-PO use."
4,"Protein is indispensable in the human diet , and its intake appears tightly regulated ."
4,"Proteins is essential in the human diet, and its intake seems to be closely regulated."
0,To explore perceptions of spinal manipulative therapy and exercise among adults aged 65 years and older with chronic neck pain .
0,Explore perceptions of spine therapy and exercise in adults aged 65 years and older with chronic neck pain.
2,"Post hoc analyses indicated that there was a significant fall in ERI for patients with the highest baseline ESA resistance dialysed with the VE ( 9.28 [ 7.70-12 .5 ] versus 7.70 [ 5.34-12 .7 ] IU/week/kg / g/dL Hb , P = 0.01 ) but not the control membranes ( 9.45 [ 7.62-12 .3 ] versus 8.14 [ 4.44-15 .6 ] IU/week/kg / g/dL Hb , P = 0.41 ) ; this was not attributable to changes in CRP levels ."
2,"Subsequent analyses revealed a significant decrease in ERI in patients with the highest resistance to ESA with EV ( 9.28 [ 7.70-12.5 ] versus 7.70 [ 5.34-12.7 ] IU/week/kg / g/dL Hb, P = 0.01 ) but not in control membranes ( 9.45 [ 7.62-12.3 ] versus 8.14 [ 4.44-15.6 ] IU/week/kg / g/dL Hb, P = 0.41); this was not due to changes in CRP levels."
1,Analyses were done by intention to treat .
1,The analyses were made out of intent to treat.
1,Five sham acupoints are used in the control group .
1,Five acupoints are used in the control group.
4,ClinicalTrials.gov : NCT01654341 .
4,ClinicalTrials.gov: NCT01654341.
0,To compare anatomical and patient-reported outcomes at 12 months postoperatively for women who had anterior compartment pelvic organ prolapse ( POP ) surgery using a repair augmented with porcine small intestine submucosa mesh ( Mesh Group ) compared with those who had a native tissue repair ( No Mesh Group ) .
0,Compare the anatomical results and results reported by the patient at 12 months after surgery in women who have undergone pelvic organ prolapsus ( POP) surgery in the anterior compartment using an increased repair of porcine small intestine ( Mesh Group ) submucose mesh compared to those who have undergone repair of native tissues ( No Mesh Group ).
2,Mean age was 347.6 .
2,The average age was 347.6 years.
1,"In a split-mouth design , teeth were assigned to experimental ( with GO ) and control ( without GO ) groups ."
1,"In a split-mouth design, the teeth were assigned to experimental groups (with GO ) and controls (without GO )."
3,"Preoperative targeted therapy of advanced BRAF-mutant melanoma is feasible , well tolerated , induces brisk tumor responses , and facilitates correlative science ."
3,"Targeted preoperative treatment of advanced melanoma of Mutant BRAF is feasible, well tolerated, induces rapid tumour responses, and facilitates correlative science."
2,There were relevant differences between patients and healthy control subjects in postural sway and DTI diffusion-tensor imaging parameters ( P < .05 ) .
2,There were relevant differences between patients and healthy control subjects in ICT diffusion-tensive imaging parameters and postural right-of-way ( P < 0.05 ).
0,To evaluate the effects and costs of three doses of behavioral weight-loss treatment delivered via Cooperative Extension Offices in rural communities .
0,Evaluate the effects and costs of three doses of behavioural weight loss treatment provided by cooperative extension offices in rural communities.
3,"This study provides evidence for the improved efficacy of high-dose melphalan plus salvage ASCT when compared with cyclophosphamide in patients with relapsed multiple myeloma eligible for intensive therapy , which might help to guide clinical decisions regarding the management of such patients ."
3,"This study provides evidence of improved efficacy of high-dose melphalan plus recovery AUCT compared to cyclophosphamide in patients with relapsed multiple myeloma who may benefit from intensive treatment, which could help guide clinical decisions regarding the management of these patients."
0,"Recurrent signs and symptoms are common despite treatment with a gluten-free diet ( GFD ) , yet no approved or proven nondietary treatment is available ."
0,"Recurrent signs and symptoms are common despite treatment with gluten-free diet (GFD), but no approved or proven non-food treatment is available."
1,Hyperhidrosis Disease Severity Scale was assessed before and after treatment up to 20 weeks .
1,Hyperhidrosis The scale of severity of the disease was evaluated before and after treatment up to 20 weeks.
0,"Opioid pharmacotherapy is now the leading treatment for chronic pain , a problem that affects nearly one third of the U.S. population ."
0,"Opioid pharmacotherapy is now the main treatment for chronic pain, a problem that affects nearly a third of the American population."
