class,text
1,"keith tells his wife karen , ( dana delaney ) about the jewellery and that is the last straw . "
1,"Keith tells his wife Karen, (Dana Delaney) about jewelry and it's the last straw."
1,"Keith tells his wife Karen, (Dana Delaney) about jewelry and it's the last straw."
1,"Keith tells his wife Karen, (Dana Delaney) about jewelry and it's the last straw."
1,"Keith tells his wife Karen, (Dana Delaney) about jewelry and it's the last straw."
1,"in a future where emotion and desire have been wiped away by an unshakable new narcotic , society exists simply to provide a constant source of the drug . "
1,"in a future where emotion and desire have been wiped out by a new, unshakeable narcotic, society exists simply to provide a constant source of drugs."
1,"in a future where emotion and desire have been wiped out by a new, unshakeable narcotic, society exists simply to provide a constant source of drugs."
1,"in a future where emotion and desire have been wiped out by a new, unshakeable narcotic, society exists simply to provide a constant source of drugs."
1,"in a future where emotion and desire have been wiped out by a new, unshakeable narcotic, society exists simply to provide a constant source of drugs."
0,"a heady , biting , be-bop ride through nighttime manhattan , a loquacious videologue of the modern male and the lengths to which he'll go to weave a protective cocoon around his own ego . "
0,"a heady, biting, be-bop ride through the nocturnal manhattan, a videologist loquace of the modern male and the lengths to which he will weave a protective cocoon around his own ego."
0,"a heady, biting, be-bop ride through the nocturnal manhattan, a videologist loquace of the modern male and the lengths to which he will weave a protective cocoon around his own ego."
0,"a heady, biting, be-bop ride through the nocturnal manhattan, a videologist loquace of the modern male and the lengths to which he will weave a protective cocoon around his own ego."
0,"a heady, biting, be-bop ride through the nocturnal manhattan, a videologist loquace of the modern male and the lengths to which he will weave a protective cocoon around his own ego."
1,"two brothers inherit an old , broken down carousel on an abandoned boardwalk in new jersey . "
1,"Two brothers inherit an old carousel, broken on an abandoned walk in a new jersey."
1,"Two brothers inherit an old carousel, broken on an abandoned walk in a new jersey."
1,"Two brothers inherit an old carousel, broken on an abandoned walk in a new jersey."
1,"Two brothers inherit an old carousel, broken on an abandoned walk in a new jersey."
1,"when the general he's sent to kill delays his return to the country , john passes the time with manuela , a beautiful dancer who becomes his teacher and guide into argentina's sensual world of the tango . "
1,"When the general he is sent to kill delays his return to the country, John spends time with Manuela, a beautiful dancer who becomes his teacher and guide in the sensual world of the Argentina of tango."
1,"When the general he is sent to kill delays his return to the country, John spends time with Manuela, a beautiful dancer who becomes his teacher and guide in the sensual world of the Argentina of tango."
1,"When the general he is sent to kill delays his return to the country, John spends time with Manuela, a beautiful dancer who becomes his teacher and guide in the sensual world of the Argentina of tango."
1,"When the general he is sent to kill delays his return to the country, John spends time with Manuela, a beautiful dancer who becomes his teacher and guide in the sensual world of the Argentina of tango."
1,"when a cia agent is killed during a nuclear arms purchase , his partner oakes ( anthony hopkins ) , recruits his twin brother , jake hayes ( chris rock ) . "
1,"When an agent of the Cia is killed during a nuclear weapons purchase, his oak partner ( hopkins anthony ) recruits his twin brother, jake hays (chris rock )."
1,"When an agent of the Cia is killed during a nuclear weapons purchase, his oak partner ( hopkins anthony ) recruits his twin brother, jake hays (chris rock )."
