class,text
1,"in a future where emotion and desire have been wiped away by an unshakable new narcotic , society exists simply to provide a constant source of the drug . "
1,"in a future where emotion and desire have been wiped source by an unshakable new narcotic , society exists simply to provide a constant away of the drug . "
1,"in a future where emotion and desire have been wiped away by an unshakable new narcotic , society exists simply to provide a constant live source of the drug . "
0,"it's difficult to imagine that a more confused , less interesting and more sloppily made film could possibly come down the road in 2002 . "
0,"it's cinema difficult to imagine that a more confused , less interesting and more sloppily made film could possibly come down the road in 2002 . "
0,"it's difficult to imagine that a more confused , less interesting and more sloppily made film could maybe come down the route in 2002 . "
0,"more of the same from taiwanese auteur tsai ming-liang , which is good news to anyone who's fallen under the sweet , melancholy spell of this unique director's previous films . "
0,"more of the same from taiwanese auteur tsai ming-liang , which is good news to anyone who's fallen under the sweet , melancholy spell of this unique director's previous films . "
0,"more of the same from taiwanese auteur tsai ming-liang , which is estimable news to anyone who's fallen under the gratifying , melancholy spell of this unique director's previous films . "
0,"more of the same from taiwanese auteur tsai , which is good news to anyone who's fallen under the sweet , melancholy spell of this unique director's films . "
1,"in the end , debby , beth , and virginia find , if not the relationships of their dreams , peace with each other and within themselves . "
1,"in the end , not , beth , and virginia find , if debby the relationships of their dreams , peace with each other and within themselves . "
1,"in the end , debby , beth , and virginia find , if not the relationships of their , peace with each other within themselves . "
1,"it tells a hard-hitting story of some of the people's lives which are affected by letters delivered by "" the lady in red "" night mail train from london to scotland . "
1,"it tells a hard-hitting story of some of the people's lives which are affected by letters delivered by "" the lady in red "" night mail from to scotland . "
1,"it tells a hard-hitting story of some of the people's lives which Lady are affected by letters delivered by "" the lady in red "" night mail train from london to scotland . "
1,"but all four are having trouble dealing with it , and steve has a job offer in san francisco . "
1,"but all four are having cark dealing with it , and steve has a job offer in san francisco . "
1,"difficulty but all four are having trouble dealing with it , and steve has a job offer in san francisco . "
1,in a post communist eastern european country in 1996 the food prices are outrageous and times are tough . 
1,in a send communist eastern european country in 1996 the food prices are outrageous and times are tough . 
1,in a post communist food european country in 1996 the eastern prices are outrageous and times are tough . 
0,"the three leads produce adequate performances , but what's missing from this material is any depth of feeling . "
0,"the three leads produce passable performances , but what's missing from this material is any depth of feeling . "
0,"the three leads produce adequate this , but what's missing from performances material is any depth of feeling . "
0,"this is a monumental achievement in practically every facet of inept filmmaking : joyless , idiotic , annoying , heavy-handed , visually atrocious , and often downright creepy . "
0,"this is a monumental achievement in practically every facet of inept filmmaking : joyless , laughable , annoying , heavy-handed , visually atrocious , and often out-and-out creepy . "
0,"this is a monumental achievement in practically every facet of inept filmmaking : joyless , idiotic , annoying , heavy-handed , visually atrocious , and often downright amp creepy . "
1,the film first relates the journey of afghans refugees fleeing the bombing and war around herat and other cities to take refuge in ill-equipped camps . 
1,the film pack first relates the journey of afghans refugees fleeing the bombing and war around herat and other cities to take refuge in ill-equipped camps . 
1,the film first relates the journey of herat refugees fleeing the bombing and war around afghans and other cities to take refuge in ill-equipped camps . 
0,"watching les destines , whose pace may not be for everyone , is to be virtually part of the creative process . "
0,"watching les destines , whose pace may not be for everyone , is to be virtually disunite of the creative process . "
0,"watching les destines , whose pace may not be non for everyone , is to be virtually part of the creative process . "
0,in the end there is one word that best describes this film : honest . 
0,in the end there is one watchword that best describes this film : honest . 
0,in celluloid the end there is one word that best describes this film : honest . 
0,blue crush is as predictable as the tides . . . . the movie feels stitched together from stock situations and characters from other movies . 
0,blue crush is as predictable as the tides . . . . the movie feels stitched together from stock situations and characters from sense other movies . 
0,blue smash is as predictable as the tides . . . . the movie feels stitched together from stock situations and characters from other film . 
1,"the film tells the story of a highly intelligent former state champion bodybuilder from small town ohio who has become obsessed with his scientific research and , consequently , has let his world-class physique go . "
1,"the film tells the story of a highly extremely intelligent former state champion bodybuilder from small town ohio who has become obsessed with his scientific research possess and , consequently , has let his world-class physique go . "
1,"the film tells the story of let highly intelligent former state champion bodybuilder from small town ohio who has scientific obsessed with his become research and , consequently , has a his world-class physique go . "
0,those who don't entirely 'get' godard's distinctive discourse will still come away with a sense of his reserved but existential poignancy . 
0,those who solely don't entirely 'get' godard's distinctive discourse will still come away with a sense of his reserved but existential poignancy . 
0,those who don't entirely 'get' godard's distinctive discourse will still poignancy away with a sense of his reserved but existential come . 
0,"there's a scientific law to be discerned here that producers would be well to heed : mediocre movies start to drag as soon as the action speeds up ; when the explosions start , they fall to pieces . "
0,"there's a scientific law to be here that producers would be well to heed : mediocre movies start to drag as soon the action speeds up ; when the explosions , they fall to pieces . "
0,"there's a scientific law to be discerned here that producers would be well to heed : recognize mediocre movies start to drag as soon as the action speeds up ; when the explosions start , ampere they fall to pieces . "
1,"staked-out in his one-bedroom apartment with his kidnap victim , brian ( justin bartha ) , gigli soon realizes that what he thought would be a routine assignment soon becomes a tumultuous task . "
1,"staked-out in his one-bedroom apartment with his kidnap victim , brian ( justin bartha ) , gigli soon realizes that he thought would be a routine assignment soon a tumultuous task . "
1,"staked-out in his one-bedroom apartment with his flat kidnap victim , brian ( justin bartha ) , gigli soon realizes that what he thought would be a routine assignment soon becomes a tumultuous task . "
1,"his mother persuades a renowned entomologist to take them on a trip to the jungle to search for the butterfly , leading to an adventure that will transform their lives . "
1,"his mother persuades a renowned entomologist to acquire them on a trip to the jungle to hunt for the butterfly , leading to an adventure that will transform their lives . "
1,"his mother persuades a renowned entomologist to take them on a trip to the jungle to search for the butterfly , leading to an adventure necessitate that will transform their lives . "
1,"unfortunately , her plan goes wrong , and she actually kills herself . "
1,"unfortunately , her plan goes and , wrong she actually kills herself . "
1,", her plan goes wrong , and she actually kills herself . "
0,mark me down as a non-believer in werewolf films that are not serious and rely on stupidity as a substitute for humor . 
0,mark me down as non-believer in werewolf films that are not serious and rely stupidity as a substitute for humor . 
0,mark me in as a non-believer down werewolf films that are not serious and rely on stupidity as a substitute for humor . 
0,"if you really want to understand what this story is really all about , you're far better served by the source material . "
0,"if you really want to understand what this story is really all about , better far you're served by the source material . "
0,"if you really want to understand what this story is really all about , you're far serious process by the source material . "
0,"blisteringly rude , scarily funny , sorrowfully sympathetic to the damage it surveys , the film has in kieran culkin a pitch-perfect holden . "
0,"blisteringly rude , scarily funny , sorrowfully sympathetic to the damage surveys , the has in kieran culkin a pitch-perfect holden . "
0,"blisteringly rude , holden funny , sorrowfully sympathetic to the damage it surveys , the film has in kieran culkin a pitch-perfect scarily . "
0,the footage of the rappers at play and the prison interview with suge knight are just two of the elements that will grab you . 
0,the footage of the doorknocker at gaming and the prison interview with suge knight are just two of the elements that will grab you . 
0,the of the rappers at and the prison interview with suge knight are just two of the elements that will grab you . 
1,"can the elderly and feeble mccaleb , who had intended to spend his retirement living on his boat in the los angeles harbor , and who can't drive , and has to nap regularly , muster up the endurance to find the killer ? "
1,"can the spend and feeble mccaleb , who had intended to up his retirement living on his boat in the los angeles harbor , and who can't drive , and has to nap regularly , muster elderly the endurance to find the killer ? "
1,"can the elderly and feeble mccaleb , who had intended to spend his retirement living on his boat in the los angeles harbor , and who can't survival drive , and has to nap regularly , muster IN up the endurance to find the killer ? "
1,the film is told in flashbacks with a female reporter interviewing gale . 
1,the film is told in flashbacks with A a female reporter interviewing gale . 
1,the film is told in with a female reporter interviewing gale . 
1,"now , all the mutants need to fight together against an enemy in common : general william stryker , who is planning to destroy them all . "
1,"now , the mutants need to fight together against an enemy in : general william stryker , who is planning to destroy them all . "
