class,text
3,johnson too strong for gb runners britain s kathy butler and hayley yelling were no match for benita johnson in the 51st cross international zornotza in amorebieta  spain.  butler and yelling finished fourth and fifth as australian world champion johnson romped to a five-second victory in the 6km race ahead of edith masai. masai s fellow kenyan alice timbilil finished third. johnson said:  i ran comfortably for the first 3km and then i tried to leave the others but it wasn t an easy task.  butler clocked a time of 22 minutes 45 seconds - 22secs behind the winner but four ahead of yelling  who last month succeeded paula radcliffe as european champion. johnson  will be one of the star attractions at the great edinburghinternational cross country on 15 january.
3,johnson too firm for gb runners britain s kathy pantryman and hayley yell were no match for benita johnson in the 51st transverse international zornotza in amorebieta  spain.  butler and yelling finished fourth and fifth as australian world champ johnson romped to a five-second victory in the 6km race ahead of edith masai. masai s fellow kenyan alice timbilil finished one-third. johnson said:  i range comfortably for the first 3km and then i essay to leave the others but it wasn t an easy task.  butler clocked a time of 22 minutes 45 seconds - 22secs behind the winner but four ahead of yelling  who go month succeeded paula radcliffe as european champion. johnson  will be one of the whiz attractions at the expectant edinburghinternational frustrate country on 15 january.
3,mutu to hold talks with juventus disgraced former chelsea striker adrian mutu is to begin talks with juventus as he looks for a new club.   mutu will be in our club s main stand to watch the match between juventus and fiorentina   said a juventus official  who declined to be named.  then he will meet some important people of the club   he added. mutu  25  sacked by chelsea and banned for seven months for taking cocaine  is now represented by alessandro moggi  son of juve manager luciano moggi. mutu  banned by the english fa  can resume playing next may. he is to undergo a drug education and rehabilitation programme. mutu wants to train with romanian side dinamo bucharest whilst serving his ban  say the bucharest side.
3,mutu to obligate talks with juventus disgraced former chelsea striker adrian mutu is to begin talks with juventus as he reckon for a New club.   mutu will be in our club s main stand to watch the match between juventus and fiorentina   said a juventus official  who reject to be identify.  then he will adjoin some important people of the club   he contribute. mutu  25  sacked by chelsea and banned for seven months for rent cocaine  is now represented by alessandro moggi  son of juve manager luciano moggi. mutu  prohibited by the english fa  can resume playing future may. he is to undergo a drug education and rehabilitation programme. mutu wish to geartrain with romanian side dinamo bucharest whilst serving his ban  say the bucharest side.
3,curbishley delight for johansson charlton manager alan curbishley paid tribute to two-goal striker jonatan johansson after beating norwich.  curbishley said after the 4-0 win:  there was talk about norwich being interested in the summer but i have a lot of faith in jonatan.  when there was talk of other clubs i just told him he was going nowhere.  he s part of our squad and he got us a couple of important goals early on. i m sure he s happy here  but i was delighted with all the players.  curbishley was subjected to criticism from charlton fans recently  and he said:  the thing about this club is that we have got where we are by all pulling in the same direction.  that s happened for however long i ve been here and we don t want people taking sides.
3,curbishley delight for charlton manager alan curbishley paid tribute to two-goal striker jonatan johansson after beating.  curbishley said after the 4-0 win:  there was about norwich being interested in the summer but i have a of faith in jonatan.  when there was of other clubs i just told him he was going nowhere.  he s part of our squad and he got us a couple of important goals early. i m s happy here  but i delighted with all the players.  curbishley was subjected to criticism charlton fans recently  and he:  thing about club is that we have got where we are by all pulling in the same direction.  that s happened for however long i ve been here and we don t want people taking.
3,soderling wins tense milan final fifth seed robin soderling took the milan indoors title with a dramatic win over radek stepanek in sunday s final.  the 20-year-old swede edged the final set tie-break for a 6-3 6-7 (2-7) 7-6 (7-5) victory and his second tour title after winning in lyon last year.  i m delighted to have won against such a good opponent in a tournament of this importance   said soderling.  i was really on form  my service was good and i really liked playing on the synthetic surface.  soderling  the world number 37  shrugged off a nervous start to take the opening set on his first set point. a change in approach from fourth seed stepanek in the second set paid dividends as he took it on a tie-break  but soderling s superior power proved too much in the third.
3,soderling wins tense milan final fifth seed robin soderling strike the milan indoors entitle with a dramatic win over radek stepanek in sunday s final.  the 20-year-old swede edged the final placed tie-break for a 6-3 6-7 (2-7) 7-6 (7-5) victory and his minute tour entitle after succeed in lyon finish year.  i m delighted to have won against such a good opponent in a tournament of this importance   said soderling.  i was really on flesh  my Service was good and i really liked playing on the synthetical surface.  soderling  the Earth number 37  shrugged off a nervous start to adopt the opening determine on his first set point. a change in approach from fourth ejaculate stepanek in the second set paid dividends as he took it on a tie-break  but soderling s superior power proved too much in the third.
3,capriati to miss melbourne jennifer capriati has become the third leading lady to withdraw from the australian open because of injury.  the organisers of the first grand slam of 2005  which begins on 17 january  said the american has a problem with her right shoulder. it comes as a blow to the women s draw as last year s champion  justin henin-hardenne  and runner-up  kim clijsters  will also be absent. capriati is a two-time champion in melbourne with wins in 2001 and 2002. she is believed to have picked up the injury at the advanta championships at philadelphia in november and had to pull out of an exhibition match with wimbledon champion maria sharapova on 17 december. capriati also decided against competing in the australian open warm-up event  the sydney international.
3,capriati to miss melbourne jennifer capriati has become the third leading lady to withdraw from the australian open because injury.  the organisers of the first grand slam of  which begins on 17 january  said the american has a problem with her right shoulder. comes as a blow to the women s draw as last year s champion  justin  runner-up  kim  also be absent. capriati is a two-time champion in melbourne with wins in 2001 and 2002. she is believed to have picked the injury at championships at philadelphia november and had to pull out of an exhibition match with wimbledon champion maria sharapova on 17. capriati also decided against competing in the open warm-up event  the sydney international.
3,dent continues adelaide progress american taylor dent reached the final of the australian hardcourt event in adelaide with a crushing 6-1 6-1 win over argentine juan ignacio chela.  dent will meet swede joachim johansson on sunday after the second seed survived a tense tie-break to defeat belgium s olivier rochus 6-1 7-6 (7/5). johansson  the boyfriend of lleyton hewitt s sister jaslyn  received strong crowd support on saturday.  it feels like home for me  because jaslyn lives here   said johansson. rochus was leading 5-4 in the second set tiebreak but his concentration was ruffled by a disputed line call and the match slipped away.  it was so close - one mistake like this and the match is over  it s tough. for me  it was clearly out   rochus said.
