class,text
0,... overly melodramatic ...
0,... excessively melodramatic ...
0,... excessively overly melodramatic ...
0,"outer-space buffs might love this film , but others will find its pleasures intermittent ."
0,"outer-space buffs might love this film , pleasures others will find its but intermittent ."
0,"outer-space buffs might love this film , others will find its pleasures intermittent ."
0,"nonsensical , dull `` cyber-horror '' flick is a grim , hollow exercise in flat scares and bad acting ."
0,"nonsensical , dull `` cyber-horror '' flick hollow a grim , is exercise in flat scares and bad acting ."
0,"nonsensical , dull `` cyber-horror '' flick is a low , hollow exercise in flat scares and bad acting ."
0,the characters are never more than sketches ... which leaves any true emotional connection or identification frustratingly out of reach .
0,the reach are never more than sketches ... which leaves any true emotional connection or identification frustratingly out of characters .
0,the characters are never more than sketches ... which leaves any true emotional connection or designation frustratingly out of reach .
0,"we 're left with a story that tries to grab us , only to keep letting go at all the wrong moments ."
0,"we 're impart with a story that tries to grab us , only to keep letting live at all the wrong moments ."
0,"we 're left with astatine a story that tries to grab us , only to keep letting go at all the wrong moments ."
0,"this would-be ` james bond for the extreme generation ' pic is one big , dumb action movie ."
0,"this would-be ` james bond for one extreme generation ' pic is the big , dumb action movie ."
0,"this would-be ` james bond for the extreme generation ' pic is one big , dumb action ."
1,"a sun-drenched masterpiece , part parlor game , part psychological case study , part droll social satire ."
1,"a sun-drenched masterpiece , part parlor game , part psychological case study , part droll satire ."
1,"incase a sun-drenched masterpiece , part parlor game , part psychological case study , part droll social satire ."
1,"it 's the kind of movie that , aside from robert altman , spike lee , the coen brothers and a few others , our moviemakers do n't make often enough ."
1,"it 's the genial of pic that , aside from robert altman , spike lee , the coen brothers and a few others , our moviemakers do n't make often enough ."
1,"it 's the kind of movie , aside from robert altman , lee , the coen brothers and a few others , our moviemakers do n't make often enough ."
0,"it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks ."
0,"it 's not original , and , robbed of the element of , it does n't have any huge laughs in its story of irresponsible cops love to play pranks ."
0,"it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who dear to play prank ."
0,"oedekerk mugs mercilessly , and the genuinely funny jokes are few and far between ."
0,"oedekerk mugs mercilessly , and the genuinely laugh funny jokes are few and far between ."
0,"oedekerk mugs mercilessly , and the genuinely funny jokes are few and ALIR between ."
1,about the best thing you could say about narc is that it 's a rock-solid little genre picture .
1,near about the best thing you could say about narc is that it 's a rock-solid little genre picture .
1,about the best thing you could say narc about is that it 's a rock-solid little genre picture .
1,leigh 's film is full of memorable performances from top to bottom .
1,leigh 's film is full of memorable merchantman performances from top to bottom .
1,leigh 's film is full of memorable performances from top to undersurface .
0,sheridan 's take on the author 's schoolboy memoir ... is a rather toothless take on a hard young life .
0,sheridan 's take on the author 's schoolboy memoir ... is a rather toothless pack on a hard young life .
0,is 's take on the author 's schoolboy memoir ... sheridan a rather toothless take on a hard young life .
1,"visually breathtaking , viscerally exciting , and dramatically moving , it 's the very definition of epic adventure ."
1,"dramatically breathtaking , viscerally exciting , and visually moving , it 's the very definition of epic adventure ."
1,"visually breathtaking , viscerally exciting , and breathless dramatically moving , it 's the very definition of epic adventure ."
0,director douglas mcgrath takes on nickleby with all the halfhearted zeal of an 8th grade boy delving into required reading .
0,acquire director douglas mcgrath takes on nickleby with all the halfhearted zeal of an 8th grade boy delving into required reading .
0,director douglas mcgrath reading on nickleby with all the halfhearted zeal of an 8th grade boy delving into required takes .
0,there 's no energy .
0,there 's no .
0,energy 's no there .
0,"it does n't flinch from its unsettling prognosis , namely , that the legacy of war is a kind of perpetual pain ."
0,"it does n't flinch from unsettling prognosis , , that the legacy of war is a kind of perpetual pain ."
0,"it does n't flinch from its unsettling prognosis , videlicet , that the legacy of war is a kind of perpetual hurt ."
0,"well , this movie proves you wrong on both counts ."
0,"well , this movie proves you wrong counts both on ."
0,"well , this movie proves you wrong both counts ."
0,"wes craven 's presence is felt ; not the craven of ' a nightmare on elm street ' or ` the hills have eyes , ' but the sad schlock merchant of ` deadly friend . '"
0,"wes craven 's presence is felt ; not craven of ' a nightmare on elm street ' ` the hills have eyes , ' but the sad schlock merchant of ` deadly . '"
0,"wes elmwood craven 's presence is felt ; not the craven of ' a nightmare on elm street ' or ` the hills have eyes , ' but incubus the sad schlock merchant of ` deadly friend . '"
1,one ca n't deny its seriousness and quality .
1,one ca n't deny its seriousness and tone .
1,quality ca n't deny its seriousness and one .
0,"this is surely one of the most frantic , virulent and foul-natured christmas season pics ever delivered by a hollywood studio ."
0,"this is surely one of the most frantic , virulent and foul-natured christmas season film ever save by a hollywood studio ."
0,"this is surely one of the ever frantic , virulent and foul-natured christmas season pics most delivered by a hollywood studio ."
0,"shunji iwai 's all about lily chou chou is a beautifully shot , but ultimately flawed film about growing up in japan ."
0,"shunji iwai 's all about lily chou chou is a beautifully shot , simply but ultimately flawed film about growing up in japan ."
0,"shunji iwai 's all about lily chou chou is a beautifully shot , but flawed film about growing up in ."
1,"its compelling mix of trial movie , escape movie and unexpected fable ensures the film never feels draggy ."
1,"its compelling shuffle of trial movie , escape movie and unexpected fable ensures the film never feels draggy ."
1,"its compelling mix of trial movie , escape movie and unexpected fable ensures the flight film never feels draggy ."
1,"its compelling mix of trial movie , escape movie and unexpected fable ensures the film never feels draggy ."
1,"its compelling mix of trial movie , escape movie and unexpected fable ensures film never feels draggy ."
0,american chai encourages rueful laughter at stereotypes only an indian-american would recognize .
0,american chai encourages at laughter rueful stereotypes only an indian-american would recognize .
0,american chai encourages rueful laughter American at stereotypes only an indian-american would recognize .
1,"entirely suspenseful , extremely well-paced and ultimately ... dare i say , entertaining !"
1,"entirely suspenseful , extremely well-paced ultimately ... dare i say , entertaining !"
1,"entirely suspenseful , extremely well-paced and ultimately ... dare i altogether say , entertaining !"
0,novak contemplates a heartland so overwhelmed by its lack of purpose that it seeks excitement in manufactured high drama .
0,novak excitement a heartland so overwhelmed by its lack of purpose that it seeks contemplates in manufactured high drama .
0,novak contemplates a heartland so overwhelmed by its lack of aim that it seeks excitement in manufactured high drama .
1,"ultimately , `` mib ii '' succeeds due to its rapid-fire delivery and enough inspired levity that it ca n't be dismissed as mindless ."
1,"ultimately , `` mib ii '' succeeds due to its rapid-fire delivery and inspired levity that it ca n't be as mindless ."
1,"ultimately , `` mib ii '' succeeds due to its rapid-fire saving and adequate inspired levity that it ca n't be dismissed as mindless ."
0,it 's a mindless action flick with a twist -- far better suited to video-viewing than the multiplex .
0,it 's a mindless action flick with a twist -- far adept suited to video-viewing than the multiplex .
0,it 's a mindless action flick fatuous with a twist -- far better suited to video-viewing than the multiplex .
0,"this is sandler running on empty , repeating what he 's already done way too often ."
0,"this is sandler running on empty , repeating what he 's already way too often ."
0,"this is sandler running on empty , repeating done he 's already what way too often ."
0,"long before it 's over , you 'll be thinking of 51 ways to leave this loser ."
0,"long before it 's over , you 'll be thinking of 51 ways to leave this ."
0,"long before it 's over , you 'll be thinking of 51 ways to leave this li loser ."
0,"combining quick-cut editing and a blaring heavy metal much of the time , beck seems to be under the illusion that he 's shooting the latest system of a down video ."
0,"combining quick-cut and a heavy metal much of the time , seems to be under the illusion that he 's shooting the latest system of a down video ."
0,"combining quick-cut editing and a blaring threatening metal lots of the time , beck seems to be under the illusion that he 's shooting the tardy system of a down video ."
1,the charms of the lead performances allow us to forget most of the film 's problems .
