class,text
0,Flip top easily broken; ringer stops working occasionally; horrible warranty program
0,None.
0,"Speaker needs to be louder, monophonic ringtones"
1,Accessories
1,Easy to use
1,"For the price, it is a great printer"
1,I love the easy access and not hard to get things.
0,"Just prints b&amp;w, toners are costly"
0,Price of Ink Cartridges
0,Print quality is not as good as a more expensive printer
0,"Bulky, low-resolution, expensive"
0,Sliding door opens too often in pocket
1,Excellent high resolution photos with 35mm camera functions
1,overall beauty
1,overall beauty
1,overall beauty
1,overall beauty
1,overall beauty
0,"spendy, but worth it"
1,"User-friendly, simple, nice-looking body"
1,"Good sound, reception, and battery life, great screen, broadband, speakerphone large phone book, transflash"
1,"This phone is small, a unique color, and has a nice color screen."
0,Very pricey
0,none
0,none
0,none
1,"Flexability, HP reliability"
0,none
0,none
1,"A speedy printer, basic and economical. "
0,"Flash, Pictures, Software, Drivers"
0,Minor nozzle clogging issue in some situations
0,patience required on high quality photo printing
0,patience required on high quality photo printing
0,patience required on high quality photo printing
0,patience required on high quality photo printing
0,patience required on high quality photo printing
1,very slim. nice design. big screen
0,cant think of any
0,cant think of any
0,cant think of any
0,cant think of any
0,cant think of any
0,The phone lacks ergonomics and you end up hunting for the controls.
0,"Slow, even on normal print jobs."
1,"Size and Weight&#13;&#10;Features, and NO ANTENNA!"
1,"Stores many pictures, no need to change film after 24 exposures!"
1,"Ease of operation, no downloading required."
0,"loud ringer, weird menu setups"
1,"Unique design, loudspeaker, video recorder, digital camera, voice dialing, IR port, MMC memory slot."
0,Learning curve
1,"Flexibilities, compactness, night photo, macro, super macro mode, many settings, my mode, historgram, accessories., "
0,"Plastic tripod connector, questionable battery life"
1,Free with T-mobile
1,"Pretty, lightweight, cheap"
0,"Can't change the faceplates, battery-life could be longer..."
1,"Changeable case, Ring tones, Good screen"
1,Easy to use
0,Displays not readable in sunlight.
1,"Good form factor, decent reception, easy to use"
1,"VERY fast, good sized, easy setup, USB or parralel port friendly"
0,None!
0,None
0,none
0,none
0,Goes through batteries very fast
0,none
0,none
1,High quality
1,"Good price, easy to use, storage on floppy disks"
1,"Why  I wanted to buy another NOKIA, is It's one of the better cell phones"
0,"no optical zoom, sometimes get circles"
0,expensive
0,expensive
0,expensive
0,expensive
0,expensive
1,Need i say more
1,Please give comment
1,"Excellent build quality, durable, great resolution and clarity, Nikon lenses are among the best"
0,"No ""Take Me Out To The Ballgame."""
1,"price, ease of use , compact size"
0,"The atomic flash, memory"
1,Simple and solid.  No whiz-bang junk to break or malfunction.
0,Doesn't have anything special other than just a camera phone.
0,Must learn all the options! Many! Get extra battery! 
0,"Digital zoom, 8MB memory stick, enter button, usb/video out cover."
1,Price
1,price
1,price
1,price
1,price
1,"inexpensive, high quality, small, quiet"
1,Great Camera for $900-$1200 range
1,Very light and good reception
1,"Stylish, sturdy, and an improvement over its predecessor."
1,Cheap
1,"Great photos, many features"
0,"Features, user friendliness"
1,"Separate ink cart. Quick. Easy install. Prints good photos, great graphics."
0,"buttons too small for my small fingers, not intuitive, difficult navigation, confusing menu nesting"
1,Priced right for a beginner.
0,can't think of any
0,Weak vibrating option
1,Low Price
0,Support and parts are difficult.
1,"MP3 player, camera, good antenna, video camera, lots of memory space."
1,it has lexmark technology
1,it has lexmark technology
1,it has lexmark technology
1,it has lexmark technology
1,it has lexmark technology
0,"Battery Time, Heat After Long Use, Reception, Screen Picks up Grime"
1,Absolutely no redeeming qualities about this camera.
0,pay long distance for tech support
0,pay long distance for tech support
0,pay long distance for tech support
0,pay long distance for tech support
0,pay long distance for tech support
0,Big. Takes up alot of space on my desk though.
0,"Tricky to fold and latch, cost"
0,"Scarce, hard to get."
1,"Inexpensive, setup is easy, works properly in Windows 98, easy to use"
1,Excellent photo quality and lots of great features!
1,"Quiet printing at an affordable price, by a name you can trust."
1,"Sleek, thin, USB connectivity, nice screen, good speakerphone"
1,Good reception. MP3 and Bluetooth capable.
0,none
0,none
0,none
0,none
0,none
1,"One piece design,contoured shape,performance,menus are intuitive,rugged."
0,"SLOW SHUTTER, blurry pictures, no ability to capture moving shots."
0,"digital zoom gets pretty bad picture, but thats on all digital zoom"
1,"Small, stylish, vibrant color display, AWESOME RECEPTION, external display, ""voice"" keypad sound (makes it unique)"
1,"Smart design, reliable battery life, and clear calls."
0,Difficult to adjust to low light settings.
0,"No spot focus, slow ISO 100 sensitivity, feels kind of cheap but isn't."
1,"small size, digital viewfinder, memory stick, great picture quality"
1,"Scans, Copies, Faxes AND Prints! It's an HP!! Sleek"
1,Lots of features and great flexibility
0,"No Digita OS, ships with little memory, no time-lapse timer."
0,A little Slow. Uses ink up fast
1,"Good sound, reception, and battery life, great screen, broadband, speakerphone large phone book, transflash"
0,bad price
0,bad price
0,bad price
0,bad price
0,bad price
1,"Size, ease of use, ability to link to PC for backup and faxing."
1,"Ease of use, standard recording medium, macro and telephoto lens, video."
0,"Poor image quality,no flash"
1,"Style and substance, compact size, loaded with features."
0,"High purchase price, high cost per page for ink, heavy, and bulky."
1,"Quality of build, compact, ease of use, big 2&amp;quot; LCD display"
1,"A good overall phone.  Excellent reception, loud ringtones, beautiful inner display."
0,"display went bad, but they replaced within days"
1,"Incredible value, black text print quality."
0,"Battery life, no image editing software"
1,"Good Quad band world phone. Bluetooth, Camera, great connectivity. Must have for a Geek/Gadget Freak."
0,"Sound quality just a hair fuzzy, in my opinion"
1,"Excellent call quality, bluetooth, clamshell form factor, sexy face plate."
0,Short battery life
1,A Reliable printer; Inexpensive
0,The stubby antenna.
1,"large seats, lightweight, easy to push/steer"
0,no battery indicator.
1,"High resolution, right size, good preview, powerful zoom"
0,Prohibitively expensive.
0,No zoom
0,no zoom
0,no zoom
0,no zoom
0,no zoom
0,"Crappy camera, terrible colors and poor speaker volume, does not support MP3s"
1,"Inexpensive, fun software, 3.0 has a flash!"
0,Battery life
1,"Kodak name, Price, easey to use"
0,Batteries take about 8 hours to charge.
1,"easy to use, low price, decent quality"
0,Baterry life is momentary
0,haven't found one!!
1,"reclines fully, adjustable wheels and handle direction"
1,"Sleek body, huge LCD screen, okay battery life"
0,"price (will soon be obsolete), optical viewfinder, durability and quality"
1,"Aesthetics, Speakerphone, Battery Life"
1,"Easy to use, takes good pictures"
1,"Clear, crisp and realistic color printing"
0,"vibrating ringer is somewhat ""weak"""
0,"Software package, alkaline battery life."
0,none
0,none
0,none
0,none
0,none
0,screen goes blank and no support from manufacture
0,screen goes blank and no support from manufacture
0,screen goes blank and no support from manufacture
0,screen goes blank and no support from manufacture
0,screen goes blank and no support from manufacture
0,mechanisms stick after awhile
0,mechanisms stick after awhile
0,mechanisms stick after awhile
0,mechanisms stick after awhile
0,mechanisms stick after awhile
1,extremely compact; Web-enabled; can set rings; voice activated; durable; standard jacks
1,"looks, size"
1,"Relatively inexpensive, holds a lot of pictures"
0,expensive
0,expensive
0,expensive
0,expensive
0,expensive
0,Usually it doesn't
0,no sound with mpeg movie mode
0,no sound with mpeg movie mode
0,no sound with mpeg movie mode
0,no sound with mpeg movie mode
0,no sound with mpeg movie mode
1,"Large Screen, Reception, Software"
1,"Great photographic output, very good price."
0,"video is not really that great, but oh well."
0,occasional fuzzy spots
0,occasional fuzzy spots
0,occasional fuzzy spots
0,occasional fuzzy spots
0,occasional fuzzy spots
0,Ink consumption is little too much.
1,"When it is working, it is spectacular."
1,"Very well designed, floppy disk compatibility, ease of use, zoom, macro."
0,"Antenna Close to Head, Some Problems with Call Quality"
0,Print quality is not as good as a more expensive printer
1,A lot of features for a small price tag.
0,"bad battery life, bad reception, expensive, outdated technology"
0,Phone seems kinda funky sometimes? Terrible battery!
1,"Great Prints, Great Color"
0,flimsy antenna
0,flimsy antenna
0,flimsy antenna
0,flimsy antenna
0,flimsy antenna
1,"Fits in jeans coin pocket, conversation starter everywhere"
1,"all in one, pcfax is great."
1,"Quality print outs with perfect color, fast, and easy to use."
0,"Everything, breaks often!"
0,slow computer = slow uploading of images 
0,"Not flashy, if you're into that sort of thing.  Just a good, reliable phone."
1,"Easy to use, Easy to Learn, Quality Photos"
0,"Battery life, form factor."
1,"small size!, convenient and easy usability, reasonable solid performance"
1,"Thin, sexy, bright display, all the bells and whistles"
1,"Bang for the Buck, Mega-pixel, LCD for under $300"
1,"Easy to use, good quality images, nice features, good for most people"
0,Manual focus is slightly awkward; chromatic aberrations in bright sunlight
0,A bit slow when processing
0,could use more memory
0,could use more memory
0,could use more memory
0,could use more memory
0,could use more memory
0,"Picture quality poor, video runs less than 25fps, no preview screen, only 4MB memory."
0,No Windows XP support; No GPRS upgrade; No USB connection; No vibrate function
1,"Good reception, assignable ringtones, easy to read screen and navigation, good bat life"
0,can only scan and photocopy pics and sheets of paper
0,can only scan and photocopy pics and sheets of paper
0,can only scan and photocopy pics and sheets of paper
0,can only scan and photocopy pics and sheets of paper
0,can only scan and photocopy pics and sheets of paper
1,the communication works
1,the communication works
1,the communication works
1,the communication works
1,the communication works
0,"Battery life, Slow Message writing, No MMS or GPRS"
0,"size, color printing not up to photo standards"
1,"It supports GPRS, GSM, TDMA, and analog. It has voice dialing and built in vibration."
0,Speed is a bit leisurely.
1,Inexpensive and Reliable
0,"Doesn't save settings in auto mode, eats alkalines, camera strap anchor in bad location."
1,"PRICE!, print quality, holds two ink cartridges"
0,"Small internal memory, included software not anything great"
1,"Zoom, Picture Quality, Ability to Create MPEG's, Email JPG Function"
0,Battery life
1,"Small Size, BIG Capabilities"
1,"Overall a nice, easy to use printer"
1,"Keyboard, IM, GPS, camera, perfect for texters!"
1,Long battery life.  Compact size.  Nice color screen.
0,Battery Problems; Hard to Find
1,Print job and Ink level monitor
1,"Easy to use, good photos"
0,"Lens Cap, Expensive Battery"
1,Excellent  photos and features for the price
1,"Easy Menu system, standard vibrator ring, customizable face plates"
1,"small, light, long battery, direct-connect"
1,Cheap
1,"Unique design, loudspeaker, video recorder, digital camera, voice dialing, IR port, MMC memory slot."
1,Everything
1,cost.
0,No extras
0,no zoom
0,no zoom
0,no zoom
0,no zoom
0,no zoom
0,Gets some stray work groups from time to time.
0,no print preview built into the driver/print quality greatly deteriorates over time
0,A drop-in charger would be nice.
0,"Bad red-eye, high battery drain, no lens cap holder.  8MB card is small."
1,Excellent quality
0,bed
0,bed
0,bed
0,bed
0,bed
1,High quality for the money.
0,"Hard to find accessories, could have shipped with better battery."
1,Brilliant Blue Backlighting; Easy to Use; Color Screen; Great Ringtones
0,price
0,price
0,price
0,price
0,price
1,"Functional (Vibrate & high mode, etc.)"
0,Battery life isn't great and the memory card is not large enough
1,Price
1,price
1,price
1,price
1,price
1,"Astounding Photo-quality prints, fast, quiet, sleek, economic (ink), versatile"
1," Relatively Low Cost, quality pictures, easy to use."
0,None yet...
1,"Great picture quality, auto-flash, red-eye control, nice LCD"
1,"Superb image quality, no mangenta/blue/red in your pics!Hi sharpness, 8M card to get started."
0,none
0,none
0,none
0,none
0,none
1,"Photo Quality, SmartMedia Compatable, ease of use, battery life"
1,takes great photos
1,takes great photos
1,takes great photos
1,takes great photos
1,takes great photos
0,"the screen get dirty easy, but that is about it."
0,"Some neutered features, small navigation issues, and poor external display planning."
0,"unsupported, MP3 software"
0,two-handed release to fold
1,Good picture quality
0,horrible color issues left my pictures looking unrealistic &amp; cartoon-like
1,"keyboard, keyboard, keyboard, voice commands, and a nice battery life compared to similar featured phones"
1,Tough and Rugged.
1,"Color screen, light weight, polyphonic ring, downloadable software, good signal retention"
1,Nice idea
1,Battery life; voice clarity; volume
1,"Compact, light, easy to use"
0,battery use
0,battery use
0,battery use
0,battery use
0,battery use
1,Simple &amp;amp; easy to use!
1,"Compact, loaded with features, displays are easy to customize"
1,"whitish blue backlight color, animated menus, clear sound, cheep price, pretty light, etc."
0,It whines.
0,"Un-ergonomic, fragile, battery weak"
1,"Great pictures, corrects red eye problem in Coolpix2500, compact and stores loads of pictures"
1,"12 ppm, 600x 600 resolution, AFFORDABLE!"
0,shakes violently and fails frequently
0,shakes violently and fails frequently
0,shakes violently and fails frequently
0,shakes violently and fails frequently
0,shakes violently and fails frequently
0,"Can't use it as a modem or transfer ringtones or wallpaper, weak external screen"
0,"Loud, Slow To Start Up"
1,alot
1,alot
1,alot
1,alot
1,alot
1,"Easy to maneuver, very lightweight"
