class,text
4,"The objectives were to determine whether pulmonary rehabilitation increased physical activity as assessed by the International Physical Activity Questionnaire ( IPAQ ) , and improved quality of life and symptoms as assessed by the St George respiratory questionnaire for IPF ( SGRQ-I ) and the Borg dyspnea index ( BDI ) ."
4,"The objectives were to determine pulmonary rehabilitation increased physical activity as assessed by the International Physical Activity ( IPAQ ) , and improved quality of life and symptoms assessed by the St George respiratory questionnaire for IPF ( SGRQ-I ) and the Borg index ( BDI ) ."
4,"The objectives were to determine whether pulmonary rehabilitation increased as assessed by the International Physical Activity Questionnaire ( IPAQ ) , improved quality of life and symptoms as assessed by the St George respiratory questionnaire for IPF ( SGRQ-I ) and the dyspnea index ( BDI ) ."
4,These individual barriers might be addressed though patient navigation interventions .
4,These barriers might be addressed though patient navigation interventions .
4,These individual barriers might addressed though patient navigation interventions .
4,These individual barriers might be addressed though navigation interventions .
4,These individual barriers might be addressed though patient interventions .
4,"Dietary patterns that are considered healthy ( eg , the Dietary Approaches to Stop Hypertension diet and Mediterranean diet ) may more successful in reducing cardiovascular disease risks compared to dietary considered unhealthy ( eg , energy-dense such as the typical American diet ) ."
4,"The objectives were to determine whether pulmonary rehabilitation physical activity as assessed by the International Physical Activity Questionnaire ( IPAQ ) , and improved quality of life and symptoms as assessed by the St George respiratory for ( ) and the Borg dyspnea index ( BDI ) ."
4,"The objectives were to whether pulmonary rehabilitation physical activity as assessed by the International Physical Activity Questionnaire ( IPAQ ) , and improved quality of life and symptoms as by St George respiratory questionnaire for IPF ( SGRQ-I ) and the Borg dyspnea index ( BDI ) ."
4,There are currently no agreed strategies for vitamin D replenishment after hip fracture surgery .
4,There are currently no agreed strategies for vitamin D replenishment after fracture surgery .
4,There are currently no agreed strategies for vitamin D replenishment hip fracture surgery .
4,There are no agreed strategies for vitamin D replenishment after hip fracture surgery .
4,There currently no agreed strategies for vitamin D replenishment after hip fracture surgery .
0,To investigate effects of intra-abdominal pressure pregnancy on the development spinal blockade and incidence of hypotension during cesarean section .
3,In another study a new concept allowing a rapid pathology review before randomization of patients has now been successfully tested and it may well have potential to form the basis for modern networking consultation pathology .
3,In another a new concept allowing a rapid pathology review before randomization of patients has now been successfully tested it may well have potential form the basis for modern networking consultation pathology .
2,"The frequencies of recurrent pleural effusions requiring reintervention were 5.88 % ( 3/51 ) , 4.35 % ( 2/46 ) and 5.26 % ( 3/57 ) , respectively , which had no significant differences between three groups ( P = 1.000 ) ."
2,"The frequencies of recurrent pleural effusions requiring reintervention were 5.88 % ( 3/51 ) , 4.35 % ( 2/46 ) and 5.26 % ( 3/ ) , , which no significant differences between three groups ( P = 1.000 ) ."
2,"The frequencies of recurrent pleural effusions requiring reintervention were 5.88 % (/51 ) , 4.35 % ( 2/46 ) and 5.26 % ( 3/57 ) , respectively , which had differences between three groups ( P = 1.000 ) ."
2,"The frequencies of recurrent pleural effusions requiring reintervention were 5.88 % (/51 ) , 4.35 % ( 2/46 ) and 5.26 % ( 3/57 ) , respectively , which had significant differences between three ( P = 1.000 ) ."
2,"The of recurrent pleural effusions requiring reintervention were 5.88 % ( 3/51 ) , 4.35 % (/46 ) and 5. % ( 3/57 ) , respectively , which had no significant differences between three groups ( P = 1.000 ) ."
3,In another study a new allowing a rapid before randomization of patients has now been successfully tested and it may well have potential to form the basis for modern networking consultation pathology .
3,In another study a new concept allowing a rapid pathology review before randomization of patients has now been successfully and it may well have potential to form the basis for modern consultation .
3,another study a new concept a rapid pathology review before of patients has now been successfully tested and it may well have potential to form the basis for modern networking consultation pathology .
0,The aim of the study was to assess the effects of three different testosterone formulations on body weight and composition and metabolic and bone parameters .
3,Cerebral oxygenation is significantly improved during BCP surgery when ventilation is adjusted to maintain E ' ( CO ) at 40-42 mm Hg compared with 30-32 mm Hg .
3,Cerebral oxygenation is significantly improved BCP surgery ventilation is adjusted to maintain E ' ( CO ) at 40-42 mm Hg compared with 30-32 mm Hg .
3,Cerebral oxygenation is significantly improved during BCP surgery when ventilation is adjusted maintain E ' ( CO ) at 40-42 mm Hg compared with 30-32 Hg .
3,Cerebral oxygenation is significantly improved during BCP surgery when ventilation is adjusted to maintain E ' ( CO ) at 40-42 mm Hg 30-32 mm Hg .
