class,text
4,"The objectives were to determine whether pulmonary rehabilitation increased physical activity as assessed by the International Physical Activity Questionnaire ( IPAQ ) , and improved quality of life and symptoms as assessed by the St George respiratory questionnaire for IPF ( SGRQ-I ) and the Borg dyspnea index ( BDI ) ."
4,"Teh objectives were to determine whether pulmonary rehabilitation increaXsed physical activity as assessed by the International Physical Activity Questionnaire ( IPAQ ) , and improved quality of life and symptoms as assessed by the St George respiratory questionnaire for IPF ( SGRQ-I ) and the Brog dyspena index ( BDI ) ."
0,"To determine whether a point-of-care molecular HIV test increases ART access for hospitalized Malawian infants , we simulated a point-of-care test using rapid HIV RNA polymerase chain reaction ( Rapid PCR ) and compared patient outcomes with an optimized standard care that included assessment with the World Health Organization clinical algorithm for HIV infection plus a DNA PCR with a turnaround time of several weeks ( standard care ) ."
0,"To determine whether a point-of-care molecular HIV tesp increases ART access for hospitalized Malawiyan infants , we simulated a point-of-care test using rapid HIV RNA plymerase chain reaction ( Rapid PCR ) and compared patient otcomes with an optimized standard care that included asdsessment with the World Health Organization clinical algorithm for HIV infection pls a DNA PCR with a turnaround time of several weeks ( standard care ) ."
0,"We aimed to examine associations of quantitative gastrointestinal and psychological traits with obesity , and to validate the ability of these traits to predict responses of obese individuals to pharmacotherapy ."
0,"We aimed to examine associations of quantitative gastrointWstinal and psychologcial traits with obesity , and to validate the ability of these traits to predict responses of obese individuals to pharmacotherapy ."
1,"After each LC , intervention group subjects received video-based coaching by a surgeon , utilizing an adaptation of the GROW ( Goals , Reality , Options , Wrap-up ) coaching model ."
1,"After each LC , iHntervention group subjects rceived video-based coaching by a surgeon , utilizing an adaptation of the GROW ( Goals , Reality , Options , Wrap-up ) coaching model ."
3,"Furthermore , optimally programmed AVD reduces BNP and improves exercise tolerance and functional class ."
3,"Furthermore , optimally programmed AVD reduce BNP and improves exercise tolerance and functional class ."
4,"UMIN000014559 , UMIN Clinical Trials Registry , registered on 15 July 2014 ."
4,"UMIN000014559 , UMIN Clinical Trials Registrw , registered on 15 July 2014 ."
1,The primary outcome was complete ulcer healing .
1,ThL primary outcome was complete ulcer healing .
4,DNA methylation has been linked to many important biological phenomena .
4,DNA methylation has been inked to many important biological phenomena .
0,Sildenafil ( SIL ) and vardenafil ( VAR ) are approved for as-needed ( PRN ) dosing ; tadalafil ( TAD ) is approved for both PRN and once-a-day ( OaD ) dosing for ED .
0,Sildenafil ( SIL ) and vardenafil ( VAR ) are approved for as-needed ( PRN ) dosing ; tadalafil ( TAD ) is upproved for both PRjN and once-a-day ( OaD ) dosing for ED .
