class,text
1,The thought of not having to buy refills and just using regular bags is awesome!
1,The thought of not having to buy refills and just using regular bags is awesome!
0,my only significant complaint is sound quality . 
1,"you can create playlists , drag & drop songs and playlists to your player , and rip directly from cd to your player . "
1,"you can create playlists , drag & drop songs and playlists to your player , and rip directly from cd to your player . "
1, Really easy to use.
1, Really easy to use.
1,"you can do other different things with it such as choose what kind of "" now playing "" interface , you can see the interface as modern or classical . "
1,"you can do other different things with it such as choose what kind of "" now playing "" interface , you can see the interface as modern or classical . "
0,"I thought given all the ""10"" reviews about this camera that I would buy it in spite of being a bit pricey. "
0,"Unfortunately, Linksys does not write the best documentation.  "
1, its definately an outstanding laptop .
1, its definately an outstanding laptop .
0,"Unfortunately, Linksys does not write the best documentation.  "
0,"Also, when I dial an ""800"" number like an airline, it will not allow me to use number keys to navigatee the prerecorded menu."
1,the phones are awesome . 
1,the phones are awesome . 
0,"also , the carrying case that came with mine covers up the display , so even though the side controls are reachable , i have to open it up to see the display . "
0,"also , the carrying case that came with mine covers up the display , so even though the side controls are reachable , i have to open it up to see the display . "
0," The router has obviously problems with static IP addresses , firewalls and numerous other programs ."
0," The router has obviously problems with static IP addresses , firewalls and numerous other programs ."
1,The Zen offered a great alternative. 
1,The Zen offered a great alternative. 
0," Unfortunately , I just could not get it to work ."
0," Unfortunately , I just could not get it to work ."
1,"the nokia 6610 is a relatively new phone , and what a great phone it is . "
1,"For a sleeker, smaller and more ""average"" MP3 player the Nitrus is great but the iPod blows it out of the water - the interface is great and the design is wonderful."
1,"For a sleeker, smaller and more ""average"" MP3 player the Nitrus is great but the iPod blows it out of the water - the interface is great and the design is wonderful."
0," However, the battery life isn't as good as I would like. "
0," However, the battery life isn't as good as I would like. "
1," If I were to rate these speakers on my listening needs , I would give a 2.5 stars , but I 'm giving 4 because I think they do the job that most people want them for ."
0,"well , within 45 days the video output quit working ( both rca & optic ) . "
0,"their network coverage is very sporadic , and the network always seems overloaded , resulting in very unpleasant calling experience . "
0,"their network coverage is very sporadic , and the network always seems overloaded , resulting in very unpleasant calling experience . "
0,"After 10 years, I now downloaded McCaffee's product after calling their support....they answered quickly, and for free, and were very helpful."
0,Video recording is limited at just 9 seconds.
0,Video recording is limited at just 9 seconds.
0,"however , my hard drive did fail , and i have not dropped it once . "
0,"however , my hard drive did fail , and i have not dropped it once . "
1,"the software runs smooth , it 's nice to look at , it 's very organized , easy to follow and makes things very simple . "
1,"the software runs smooth , it 's nice to look at , it 's very organized , easy to follow and makes things very simple . "
0,"It barely holds anything and mine just puts a bunch of thread fuzzies all over the player, because the bag is cheap and seems to be coming apart.  "
0,"It barely holds anything and mine just puts a bunch of thread fuzzies all over the player, because the bag is cheap and seems to be coming apart.  "
0,"2 . the scroll button is n't the best , as it sometimes can be hard to select . "
0,"2 . the scroll button is n't the best , as it sometimes can be hard to select . "
1,"Whichever it may be, I'm happy I've made this purchase.  "
0, The customer support is very rude .
0, The customer support is very rude .
1, The speaker arived in excellent condition .
1, The speaker arived in excellent condition .
1,NIS 2003 worked like a charm last year.
1,"it has a handsfree loudspeaker, conference and transfer!"
1,"it has a handsfree loudspeaker, conference and transfer!"
1,i highly recommend this camera to anybody looking for a compact camera that can take good quality pictures. 
1,i highly recommend this camera to anybody looking for a compact camera that can take good quality pictures. 
1,What makes it so great is the versatility and the number of features it has.
1,What makes it so great is the versatility and the number of features it has.
0,"well , within 45 days the video output quit working ( both rca & optic ) . "
0," I tried to use these with my laptop -LRB- Dell Inspiron 1720 -RRB- but could n't get rid of the buzzing noise others have mentioned , no matter how far I moved them from the computer or where I plugged them in ."
0," There isn't much features on the iPod at all, except games."
