class,text
3,"Went here for fathers day with my girlfriends parents because they gave a free entree for dad. He choose the fish and chips which looked amazing, I had fish tacos, my girlfirend had the steak and her mom got a salad. Everyhting was good. The service was great and the beers were decent. It was everything I could expect from a chain and thensome. I might even go back."
3,"He chose the fish and the chips that looked amazing, I had fish tacos, my daughter got the steak and his mother got a salad. Everything was good. The service was great and the beers were decent. That was all I could expect from a chain and power. I could even go back."
3,"He chose the fish and the chips that looked amazing, I had fish tacos, my daughter got the steak and his mother got a salad. Everything was good. The service was great and the beers were decent. That was all I could expect from a chain and power. I could even go back."
5,I been to many stadiums and this is one of my favorites. I attended a game against the Atlanta Braves and it was a great experience. Food prices are typical for any MLB stadium but get the combo meals and it seems cheaper. The bigger the beer the cheaper it seems. There really isnt a bad seat inside the entire place. Get there early enough and you can go down tot he bleachers during batting practice to catch a homerun hit. The staff is very friendly and talkative. If I lived in Arizona I would get season tickets. The merchandise pricing is pretty cheap too compared to most stadiums. $23 for a hat compared to $41 at Dodgers Stadium.
5,I attended a game against the Atlanta Braves and it was a great experience. Food prices are typical for any MLB stadium but get the combo meals and it seems cheaper. The more expensive beer it seems. There really is not a bad place inside the whole place. Go ahead early enough and you can get down whitewashers during the beat training to catch a homerun success. The staff is very friendly and chatty. If I lived in Arizona I would get seasonal tickets. The price of the goods is quite cheap too compared to most stadiums. $23 for a hat compared to $41 at the Dodgers Stadium.
5,I attended a game against the Atlanta Braves and it was a great experience. Food prices are typical for any MLB stadium but get the combo meals and it seems cheaper. The more expensive beer it seems. There really is not a bad place inside the whole place. Go ahead early enough and you can get down whitewashers during the beat training to catch a homerun success. The staff is very friendly and chatty. If I lived in Arizona I would get seasonal tickets. The price of the goods is quite cheap too compared to most stadiums. $23 for a hat compared to $41 at the Dodgers Stadium.
3,"I always said that my last meal on earth would consist of the AZ88 Chicken Sandwich and a dirty martini.  That was until I went there again the other night after a couple year hiatus.  The magic, was gone.  I was so disappointed and sad that it wasnt as memorable as I previously remember.  I will go back and try something else because I didnt have a bad experience and never have. I recently sat at the bar and had 2 different bartenders.  Both were great and entertaining.  And, it doesnt help that they poured a strong and delicious drink.  Get a martini!!"
3,"I always said that my last meal on earth would consist of chicken sandwich AZ88 and a dirty martini. It was until I returned the other night after a two-year break. Magic, had gone away. I was so disappointed and sad that it wasn't as memorable as I remember before. I'm going back to try something else because I didn't have a bad experience and never had."
3,"I always said that my last meal on earth would consist of chicken sandwich AZ88 and a dirty martini. It was until I returned the other night after a two-year break. Magic, had gone away. I was so disappointed and sad that it wasn't as memorable as I remember before. I'm going back to try something else because I didn't have a bad experience and never had."
2,I believe this place is over-hyped.  the menu is overpriced.  the portions are small.  the meat is low quality.  slow service.  sterile decor.
2,I think this place is over-adjusted. the menu is too expensive. the portions are small. the meat is of poor quality. slow service. sterile decor.
2,I think this place is over-adjusted. the menu is too expensive. the portions are small. the meat is of poor quality. slow service. sterile decor.
4,"Cibo is positively adorable.  I love the atmosphere.  I love the little house, and the yard.  I love the excessively busy yet amazingly friendly servers.  I love the iced tea.  I love the bread.  I love the Antipasto plate.  I love making ad-hoc bruchetta out of said bread and Antipasto.  I love the margherita pizza. Just on a Thursday afternoon alone, I dont think Id ever come with a large group of people.  It just doesnt seem like a wise life decision. Really? Its love overall.  Love, love, love, love.  When I can, Im dragging my family here."
4,"Cibo is really adorable. I love the atmosphere. I love the little house, and the courtyard. I love the overly busy but incredibly friendly waiters. I love iced tea. I love bread. I love Antipasto's plate. I like to make an ad-hoc bruchetta from said bread and Antipasto. I love margherita's pizza. Just a Thursday afternoon alone, I don't think I'll ever come with a large group of people. It doesn't seem like a wise decision of life. Really? Its global love. Love, love, love. When I can, I hang my family here."
4,"Cibo is really adorable. I love the atmosphere. I love the little house, and the courtyard. I love the overly busy but incredibly friendly waiters. I love iced tea. I love bread. I love Antipasto's plate. I like to make an ad-hoc bruchetta from said bread and Antipasto. I love margherita's pizza. Just a Thursday afternoon alone, I don't think I'll ever come with a large group of people. It doesn't seem like a wise decision of life. Really? Its global love. Love, love, love. When I can, I hang my family here."
5,"Ah what a beauty and wonder Camelback mountain is. However I do warn beginners to use the easier trail on the East side near Invergorden which runs north south and turns into 64th st. It is a bit of a walk from the parking through the neighborhood but the hike is less treacherous and much easier and takes you up a gradual slope to the top. Be very careful its easy to loose the trail on that side too.  Of course all the Phoenicians like to go to Echo Canyon at Mcdonald and 44th street bend. Parking can be bad at peak times on weekends--I definetely recommend late afternoon hiking, less exhaustion from heat, less crowds and a glorious sunset at the top.  Happy Hiking my Dear Phoenicians."
5,"Ah what is a beauty and a wonder Camelback mountain is. However, I warn beginners to use the easier trail on the east side near Invergorden which runs to the north south and turns in 64th m. It is a bit a walk of the parking through the neighborhood but the hike is less treacherous and much easier and takes you on a progressive slope upwards. Be very careful its easy to lose the trail on this side too. Of course all Phoenicians like to go to Echo Canyon in McDonald and 44th turn street. Parking can be bad at peak times on weekends---I clearly recommend the end of the afternoon hiking, less exhaustion of heat, less crowds and a glorious sunset at the top."
5,"Ah what is a beauty and a wonder Camelback mountain is. However, I warn beginners to use the easier trail on the east side near Invergorden which runs to the north south and turns in 64th m. It is a bit a walk of the parking through the neighborhood but the hike is less treacherous and much easier and takes you on a progressive slope upwards. Be very careful its easy to lose the trail on this side too. Of course all Phoenicians like to go to Echo Canyon in McDonald and 44th turn street. Parking can be bad at peak times on weekends---I clearly recommend the end of the afternoon hiking, less exhaustion of heat, less crowds and a glorious sunset at the top."
4,"This place has been around forever. I started coming here when I was 5 or 6, especially when my grandpa came to town from Cincinnati. He loved it.  The whole ""wild west"" theme prevails, and it is fun to think about cowboys and times gone by. I liked the sasparilla when I was a kid, I dont think Ive ever had it anywhere else.  Last time I was in Phoenix we went again, and while the quality of the food has maybe slid a bit since I was 5 ( um, Im kinda a LOT older now), it is still cool. I like the good mood of all the visitors, its a place that inspires laughter and happy shared experience.  If you do wear a tie, wear one you dont care about, ok. Trust me on this."
4,"I started coming here when I was 5 or 6 years old, especially when my grandfather came to the city of Cincinnati. He loved it. The whole theme ""wild west"" takes it away, and it's fun to think about cowboys and past times. I liked sasparilla when I was a kid, I don't think I ever had it anywhere else. The last time I was in Phoenix, we went back, and while the quality of food may have slipped a little since I was 5 years old (um, Im a little older LOT now), it's still cool. I love the good mood of all visitors, it's a place that inspires laughter and happy shared experience."
4,"I started coming here when I was 5 or 6 years old, especially when my grandfather came to the city of Cincinnati. He loved it. The whole theme ""wild west"" takes it away, and it's fun to think about cowboys and past times. I liked sasparilla when I was a kid, I don't think I ever had it anywhere else. The last time I was in Phoenix, we went back, and while the quality of food may have slipped a little since I was 5 years old (um, Im a little older LOT now), it's still cool. I love the good mood of all visitors, it's a place that inspires laughter and happy shared experience."
1,"First off, the restaurant is dim and dark.. I thought the decor was a little off because they were going for a tropical Vietnam theme with banana trees in there and a waterfall fountain. The waiter there did not have a smile and didnt seem freindly, it looked like this was the last place he wanted to be at. The service sucked ass. I mean come on, there was only two tables including mines and 3.9/4 of the time, he didnt check up on us or refilled our water and we had to walk up to ask for our bill.. like seriously...? Are you that lazy. Bun Bo Hue was skimpy on the meat and had little veggies on the side. Pho had a rancid smell. Noodles in my sisters bun thit nuong were hard and watery (seemed like they were super old) Overall, I wouldnt recommend to ANYBODY."
1,"First of all, the restaurant is dark and dark.. I thought the decor was a little off because they were going for a Vietnam tropical theme with banana trees in it and a waterfall fountain. The waiter there didn't have a smile and didn't seem brakedly, it seemed that it was the last place where he wanted to be. The service sucked his ass. I mean come, there were only two tables including mines and 3.9/4 of the time, he didn't check on us or filled our water and we had to walk up to ask our bill... as seriously...? Are you this lazy. Bun Bo Hue was foamed on meat and had few vegetables on the side. Pho had a rancid smell."
1,"First of all, the restaurant is dark and dark.. I thought the decor was a little off because they were going for a Vietnam tropical theme with banana trees in it and a waterfall fountain. The waiter there didn't have a smile and didn't seem brakedly, it seemed that it was the last place where he wanted to be. The service sucked his ass. I mean come, there were only two tables including mines and 3.9/4 of the time, he didn't check on us or filled our water and we had to walk up to ask our bill... as seriously...? Are you this lazy. Bun Bo Hue was foamed on meat and had few vegetables on the side. Pho had a rancid smell."
3,"Service here sucks.  Our ""waitress"" took forever to get our food, and then didnt bring utensils, plates or napkins.  I had to keep going up to the bar to get a drink.  Several times I waited too long.  One time I went up there and there was no one working there.  I should have just put on an apron and walked behind the bar myself and made my own drink.  Still, they have an awesome set up outside for enjoying the warm Phoenix nights.  I dont understand why the band has to play inside.  I guess people who live nearby complained about the noise.  Then dont live next to a f*cking bar!!! Idiots."
3,"The service here sucks. Our ""waiting"" took an eternity to get our food, and then did not bring utensils, plates or towels. I had to keep going up to the bar to have a drink. Several times I waited too long. Once I went up there and there was no one working there. I should have just put an apron and walk behind the bar myself and make my own drink. Yet they have a great device outside to enjoy the warm nights of Phoenix. I don't understand why the band has to play inside. I guess the people who live nearby complained about the noise."
3,"The service here sucks. Our ""waiting"" took an eternity to get our food, and then did not bring utensils, plates or towels. I had to keep going up to the bar to have a drink. Several times I waited too long. Once I went up there and there was no one working there. I should have just put an apron and walk behind the bar myself and make my own drink. Yet they have a great device outside to enjoy the warm nights of Phoenix. I don't understand why the band has to play inside. I guess the people who live nearby complained about the noise."
1,"When I was growing up we called this the canal. In other parts of town it is still called the canal. In some places people actually fish from it. I think they die right after they eat their catch, which is why you dont see them very often. Over the years you periodically hear about dead bodies being found in the canal as well.  Google it. What is so annoying about this is that Scottsdale, is trying to make it seem like this isnt the same heinous canal thats always been there. When I heard about the development around the Scottsdale Waterfront, I couldnt figure out what they were talking about. What water? Then I started cracking up when I found out it was the canal. Come on Scottsdale, you can put a dress and lipstick on a pig, but it is still a pig. You are not fooling anyone."
1,"I think they die right after they eat their catch, which is why you don't see them very often. Over the years, you hear regularly about corpses found in the canal as well. Google it. What's so embarrassing about it that Scottsdale, try to make it look like this channel is the same as the one that's always been there. When I heard about the development around Scottsdale's seafront, I couldn't understand what they were talking about. What water? Then I started cracking when I found out it was the canal. Come on Scottsdale, you can put a dress and lipstick on a pig, but it's still a pig. You don't fool anyone."
1,"I think they die right after they eat their catch, which is why you don't see them very often. Over the years, you hear regularly about corpses found in the canal as well. Google it. What's so embarrassing about it that Scottsdale, try to make it look like this channel is the same as the one that's always been there. When I heard about the development around Scottsdale's seafront, I couldn't understand what they were talking about. What water? Then I started cracking when I found out it was the canal. Come on Scottsdale, you can put a dress and lipstick on a pig, but it's still a pig. You don't fool anyone."
3,"I give this place 3 stars because of how friendly the lady that worked there was and how amazing their prices were. It was pretty unorganized though and I am sure that it is due to people moving books to where they shouldnt be and there just being too many books to keep organized. It is not a bad book store at all, just be prepared to have to dig and dig for what you are looking for. Worth it though for the prices :)"
3,"I give this place 3 stars because of the friendship of the lady who worked there and how amazing their prices were. It was pretty unorganized however and I'm sure it's due to people who move books to where they shouldn't be and there's just too many books to keep organized. It's not a bad book store at all, just being ready to dig and dig for what you're looking for."
3,"I give this place 3 stars because of the friendship of the lady who worked there and how amazing their prices were. It was pretty unorganized however and I'm sure it's due to people who move books to where they shouldn't be and there's just too many books to keep organized. It's not a bad book store at all, just being ready to dig and dig for what you're looking for."
5,"This is my favorite spot, waterfalls everywhere, beautiful flowers, fun slide, and great food!"
5,"It's my favorite place, waterfalls everywhere, beautiful flowers, fun slide, and good food!"
5,"It's my favorite place, waterfalls everywhere, beautiful flowers, fun slide, and good food!"
3,"I came out here Halloween to party, since everything place on Mill had a line we just picked this one place to party for the night. Drinks are cheap, I was shocked at how low the bill was at the end of the night after buying rounds of drinks until our party got their buzz on, but maybe its just me used to Hollywood prices. T_T Out in LA you get used to paying for parking, cover and then exorbitant prices for drinks.   I love their signature cherry vodka drink, its tasty! Its kinda like a Shirley Temple?! Service at the bar was quick for the amount of people there. Plenty of room for dancing which is always a plus."
3,"I came here Halloween to party, since the whole place on Mill had a line that we just picked this place to party for the night. Drinks are cheap, I was shocked by the drop in the bill was at the end of the night after buying drinks rounds until our party got their buzz on, but maybe it's just me used to the Hollywood prices. T_T Out in LA you're used to paying for parking, covering and then exorbitant prices for drinks. I love their signature cherry vodka, its tasty! His kind like a Shirley Temple?! Bar service was fast for the amount of people there."
3,"I came here Halloween to party, since the whole place on Mill had a line that we just picked this place to party for the night. Drinks are cheap, I was shocked by the drop in the bill was at the end of the night after buying drinks rounds until our party got their buzz on, but maybe it's just me used to the Hollywood prices. T_T Out in LA you're used to paying for parking, covering and then exorbitant prices for drinks. I love their signature cherry vodka, its tasty! His kind like a Shirley Temple?! Bar service was fast for the amount of people there."
1,D-scust-ing.
1,It's D-Scust-ing.
1,It's D-Scust-ing.
3,Its the kinda place where youre certain the employees dont spit in your food. Best Taco Bell Ive been to.
3,That's the kind of place you're sure employees don't spit in your food.
3,That's the kind of place you're sure employees don't spit in your food.
1,This was absolutely horrible. I got the supreme pizza with the mystery meats.  I threw it in the trash. I will wait until I get to my destination to eat. Horrible!!!
1,It was absolutely horrible. I had the ultimate pizza with the mysterious meats. I threw it in the trash. I'll wait until I get to my destination to eat. Horrible!!!
1,It was absolutely horrible. I had the ultimate pizza with the mysterious meats. I threw it in the trash. I'll wait until I get to my destination to eat. Horrible!!!
5,"All I can say is ""yum!"""
5,"All I can say is ""yum!"""
5,"All I can say is ""yum!"""
5,"All I can say is ""yum!"""
5,"All I can say is ""yum!"""
2,"Whats up with the premium gas in this state being only 91 grade?  Wheres the 93?  Anyhoo, this is a very busy gas station at the corner of 16th and Highland. When the pumps are full of cars, its hard to maneuver in and around the parking lot. The store looks a bit short on supplies, but then again I just went inside to pay.  I may give it another try, well see.  But Ill look elsewhere first."
2,"What happens with the premium gas in this condition being only 91 grade? Where is the 93? Anyhoo, it is a very busy gas station at the corner of the 16th and Highland. When the pumps are full of cars, its difficult to maneuver in and around the parking lot. The store seems a little short on the supplies, but then I just went inside to pay. I can give it another try, well see. But it will look elsewhere first."
2,"What happens with the premium gas in this condition being only 91 grade? Where is the 93? Anyhoo, it is a very busy gas station at the corner of the 16th and Highland. When the pumps are full of cars, its difficult to maneuver in and around the parking lot. The store seems a little short on the supplies, but then I just went inside to pay. I can give it another try, well see. But it will look elsewhere first."
2,"People used to rave about this place - I never got it...and I find it interesting that several other folks said the SAME thing in their reviews.  The parking lot would be full if you didnt get here before 7 PM, the service was always terrible and the crowd was overwhelmingly hipster morons.  Yeah, sure - thats better than the popped collar frat boy meat heads on Mill Ave but not who I want to spend my time with. This place is for folks with too much to prove. Im pretty sure I only went once - maybe twice...I wont be back."
