class,text
3,A federal court jury on Tuesday ordered a Medtronic subsidiary to pay about \$110 million in a dispute between the company and a doctor who invented some of its spinal fusion technologies.
3,the supreme court jury on tuesday ordered a medtronic subsidiary to pay about \ $ 110 million in a dispute between the company and a doctor who invented some of its spinal fusion technologies .
3,unlimited federal court jury on tuesday ordered a medtronic subsidiary to pay about \ $ 110 million in a dispute between the company and a doctor who invented some of its spinal fusion technologies .
3,Boeing Co.'s former chief financial officer pleaded guilty Monday to illegally hiring a top Air Force official who has admitted she gave the company preferential treatment on a \$23 billion tanker contract.
3,boeing co . ' s former chief financial officer pleaded guilty monday to illegally hiring a top air force official who has admitted she gave the company preferential treatment on a \ $ 23 billion tanker contract .
3,boeing co . ' s former chief financial officer pleaded guilty monday to illegally hiring a top air force official who has admitted she gave the company preferential treatment on a \ $ 23 billion tanker contract .
1," LUXEMBOURG (Reuters) - EU foreign ministers agreed to lift  an arms embargo on Libya on Monday, despite fears for Bulgarian  and Palestinian medical workers sentenced to death there, but  imposed a visa ban on senior officials from Myanmar."
1,") ( reuters ) - eu foreign ministers agreed to lift an armsjabargo on libya on monday , despite fears for bulgarian and palestinian medical workers sentenced to death there , but imposed a visa ban on senior officials from myanmar ."
1,"the ( reuters ) - eu foreign ministers agreed to lift an arms banbargo on libya on monday , despite fears for bulgarian and palestinian medical workers sentenced to death there , but imposed a visa ban on senior officials from myanmar ."
2,"Seattle, WA -- The Fresno State defense forced five turnovers, three of them being returned for touchdowns, as the Bulldogs defeated the Washington Huskies by a score of 35-16 in the season opener for both schools at Husky Stadium."
2,"seattle , wa - - the fresno state defense forced five turnovers , three of them being returned for touchdowns , as the bulldogs defeated the washington huskies by a score of 35 - 16 in the season opener for both schools at husky stadium ."
2,"seattle , wa - - the fresno state defense forced five turnovers , three of them being returned for touchdowns , as the bulldogs defeated the washington huskies by a score of 35 - 16 in the season opener for both schools at husky stadium ."
3,"Qualcomm Inc. may change the way it recognizes royalties from its licensees, which would reduce fourth-quarter pre-tax income by \$298 million, the company said on Friday."
3,"qualcomm inc . may change the way it recognizes royalties from its licensees , which would reduce fourth - quarter pre - tax income by \ $ 298 million , the company said on friday ."
3,"qualcomm inc . may change the way it recognizes royalties from its licensees , which would reduce fourth - quarter pre - tax income by \ $ 298 million , the company said on friday ."
3," NEW YORK (Reuters) - The U.S. winter will be longer and  slightly colder than the last, private forecasters say,  spelling a spike in heating oil and natural gas demand even as  high oil prices drive up the cost of heating."
3,"new york ( reuters ) - the u . s . winter will be longer and slightly colder than the last , private forecasters say , spelling a spike in heating oil and natural gas demand even as high oil prices drive up the cost of heating ."
3,"new york ( reuters ) - the u . s . winter will be longer and slightly colder than the last , private forecasters say , spelling a spike in heating oil and natural gas demand even as high oil prices drive up the cost of heating ."
1,kiev - - the bitter political crisis that has gripped ukraine for more than two weeks eased dramatically yesterday as parliament unopposed approved a compromise package of laws strengthening safeguards against electoral fraud while weakening presidential powers .
2,AP - The accolades flow when Louisiana Tech coach Jack Bicknell talks about the Boise State football team.
3,"WALL STREET analysts last night said a second experimental pain killer under development by Merck, the American drugs maker, could be delayed until 2007, after regulators asked for more information on the medicines safety."
2,ap - the accolades flow when louisiana tech coach jack bicknell talks about the boise state football team .
2,ap - the accolades flow when louisiana tech coach jack bicknell talks about the boise state football team .
3,"wall street analysts last night said a second experimental pain killer under development by merck , the us drugs maker , could be delayed until 2007 , after regulators asked for more information on the medicines safety ."
3,"wall street analysts last night said a second experimental pain killer under development by merck , the american drugs maker , could be delayed until 2007 , after regulators asked for more information on the medicines safety ."
1,kiev - - the bitter political crisis that has gripped ukraine for more than two weeks eased dramatically yesterday as parliament majority approved a compromise package of laws strengthening safeguards against electoral fraud while weakening presidential powers .
1,At least five people have serious injuries after a high-speed train derailment in south-east Queensland. A Tilt Train commuter service with 157 passengers and seven staff on board came off the tracks north of Bundaberg just after midnight.
1,at least five people have serious injuries after a high - speed train derailment in south - east queensland . a tilt train commuter service with 157 passengers and seven staff on board came off the tracks north of bundaberg just after midnight .
1,at least five people have serious injuries after a high - speed train derailment in south - east queensland . a tilt train commuter service with 157 passengers and seven staff on board came off the tracks north of bundaberg just after midnight .
1," BAGHDAD (Reuters) - Insurgents threatened to kill two  Americans and a Briton unless the United States freed Iraqi  women prisoners, Al Jazeera said Saturday, and a suicide car  bomb killed 23 people outside Iraqi National Guard offices."
1,"baghdad ( reuters ) - insurgents threatened to kill two americans and a briton unless the united states freed iraqi women prisoners , al jazeera said saturday , and a suicide car bomb killed 23 people outside iraqi national guard offices ."
1,"baghdad ( reuters ) - insurgents threatened to kill two americans and a briton unless the united states freed iraqi women prisoners , al jazeera said saturday , and a suicide car bomb killed several people outside iraqi national guard offices ."
1,"AP - Iraq's top Shiite cleric, Grand Ayatollah Ali al-Sistani, made a dramatic return to Najaf on Thursday and swiftly won agreement from a rebel cleric and the government to end three weeks of fighting between his militia and U.S.-Iraqi forces."
