class,text
0,"Otherwise, get a smaller single speed router, which will be much easier to use freehand and is all you need for smaller diameter bits."
0,"Otherwise, get a router at a single smaller speed, which will be much easier to use by free hand and is all you need for smaller bits of diameter."
1,"there is a clock , and date , which can get helpful . "
1,"There's a clock, and the date, which can be useful."
0,These people takes lest effort to process rebate forms.
0,These individuals make the least effort to process the refund forms.
0,player has a problem with dual-layer dvd 's such as alias season 1 and season 2 . 
0,player has a problem with double layer dvd's as alias season 1 and season 2.
1,"Their website had a download that helped remove those, although I had to manually remove a good number of files from the ""Programs"" directory."
1,"Their website had a download that helped delete them, although I had to manually delete a lot of files from the ""Programs"" directory."
1,"the 6610 excels as a cell phone , thank god . "
1,"6610 excels like a cell phone, thank God."
1, When I saw a lot of plastic where there was metal I was concerned that the sound would not be as good .
1,"When I saw a lot of plastic where there was metal, I was afraid the sound wasn't that good."
1,"It uses the extendable MMC memory, it is perfect for storing videos, pictures and mp3s."
1,"It uses extensible MMC memory, it is perfect for storing videos, images and mp3."
1, In addition the price point is spectacular .
1,"In addition, the price is spectacular."
0,"It had issues right off the bat, with freezing up, staying in 'SHUTTING DOWN' mode, and just not functioning very well in general. "
0,"He had problems directly out of the bat, with the gel, staying in mode 'SHUTTING DOWN', and just not working very well in general."
0,unit took forever since the begiining to recognize and play discs . 
0,unit has taken an eternity since the request to recognize and play records.
0,The digital zoom is crap.
0,Digital zoom is shit.
0,"Also, when I dial an ""800"" number like an airline, it will not allow me to use number keys to navigatee the prerecorded menu."
0,"Also, when I dial a number ""800"" as an airline, it will not allow me to use the number keys to navigate the pre-recorded menu."
1,"The installation, set-up, and operating interfaces are well organized and intuitive and the email spam component works well."
1,"The installation, configuration and operating interfaces are well organized and intuitive and the spam component by email works well."
0,2- It is bulky and the small buttons on the sides are sloppy to use .
0,2- It is bulky and the small buttons on the sides are scrambled to use.
1,"i have n't messed with the firmware at all , the player worked perfect for me right out of the box . "
1,"I didn't mess with firmware at all, the player worked perfect for me right away out of the box."
1,"Whichever it may be, I'm happy I've made this purchase.  "
1,"Anyway, I'm glad I made this purchase."
0,Even the instruction booklet is out of order.
0,Even the instruction booklet is out of service.
1,silverish color really adds a special touch . 
1,Silver color really adds a special touch.
0,Dont rely on T-Mobile rebates.
0,Don't count on T-Mobile discounts.
0,i called apex 's support number numerous times but it just kept ringing . 
0,"I called the apex support number many times, but it just kept ringing."
1,The accesories that come with the player are great. 
1,The accessories that come with the player are great.
0,The plunge action isn't smooth unless you make it so.
0,The diving action is not smooth unless you do so.
0,"The iPod mini is smaller and sexier, albeit limited in supported formats and the Rio Karma is a far better value.  "
0,"The iPod mini is smaller and sexier, although limited in supported formats and the Rio Karma is a much better value."
0,Norton online support does not even acknowledge this problem nor does the computer company that preloaded it on our new computer.
0,Norton online support doesn't even recognize this problem or the computer company that preloaded it on our new computer.
1,Other than that it meets or surpasses all of my needs and surely won't disappoint any already established Nokia phone fans.
1,"Apart from that, it meets or surpasses all my needs and will surely not disappoint any Nokia phone fans already established."
1, I have been dealing with wireless routers and access points for a long time -LRB- most recently with Cisco\/Linksys -RRB- and this was the easiest most efficient setup I 've ever experienced .
1,I've been dealing with wireless routers and access points for a long time -LRB- more recently with Cisco\/Linksys -RRB- and it was the most efficient configuration I've ever known.
1,1- Small.
1,1- Little.
0,"First, it failed whenever connecting to get updates."
0,"First, it failed every time it connects to get updates."
1,The Look & Feel: I have the black one and the contrasting neon blue on the buttons add a very nice ambience. 
1,Look & Feel: I have the black and the neon blue contrasted on the buttons add a very nice atmosphere.
1,it 's great to switch to spot metering and actually see it working on the lcd screen . 
1,It's great to go to point measurement and see it work on the lcd screen.
1,The FM tuner is just a little spare icing on the cake.  
1,The FM tuner is just a little spare cherry on the cake.
0,"After 10 years, I now downloaded McCaffee's product after calling their support....they answered quickly, and for free, and were very helpful."
0,"After 10 years, I have now downloaded McCaffee's product after calling their support... they responded quickly, free of charge, and were very helpful."
0,"yeah i agree the earbuds are pretty crap , replace them . "
0,"Yes, I agree that the headphones are shit, replace them."
0,"First of all, I've never been big on earbuds - they're just not that comfortable."
0,"First of all, I've never been big on the headphones - they're not comfortable."
0,my only significant complaint is sound quality . 
0,My only important complaint is healthy quality.
1,"UNLIKE other reviewers, I like the tool because it is easy to operate outside of the router table."
1,I like the tool because it is easy to operate outside the router's table.
0,the sound is not loud enough when i play back the video clips on the camera. 
0,The sound isn't strong enough when I replay the video clips on the camera.
0,will never purchase apex again . 
0,will never buy apex again.
0,it also has unproven battery life . 
0,it also has an unproven battery life.
0," However , since I am in an office , I normally keep them at a pretty low volume , and at low volumes , they sound a little weak ."
