class,text
1,The thought of not having to buy refills and just using regular bags is awesome!
1,The thought of not having to buy refills and just using regular bags is awesome!
1,"It really is the perfect travel  camera, plus it offers the convenience of digital photography."
1,"It really is the perfect travel  camera, plus it offers the convenience of digital photography."
1,"Whichever it may be, I'm happy Ellena made this purchase.  "
0,my only significant complaint is sound quality . 
1,"it has a beautiful design , lots of features , very easy to use , very configurable and customizable , and the battery duration is amazing ! "
1,"it has a beautiful design , lots of features , very easy to use , very configurable and customizable , and the battery duration is amazing ! "
1,"you can create playlists , drag & drop songs and playlists to your player , and rip directly from cd to your player . "
1, Really easy to use.
1, Really easy to use.
0,will never purchase apex again . 
0,will never purchase apex again . 
1,"you can create playlists , drag & drop songs and playlists to your player , and rip directly from cd to your player . "
1,"i will never use all the "" whistles and bells "" this machine is capable of . "
1,"i will never use all the "" whistles and bells "" this machine is capable of . "
0,my only significant complaint is sound quality . 
1,"you can do other different things with it such as choose what kind of "" now playing "" interface , you can see the interface as modern or classical . "
1,"you can do other different things with it such as choose what kind of "" now playing "" interface , you can see the interface as modern or classical . "
0, LOOKS AND DURABILITY: I realize many people are fond of the minimalist white interface.  
0, LOOKS AND DURABILITY: I realize many people are fond of the minimalist white interface.  
0,"Unfortunately, Linksys does not write the best documentation.  "
1, its definately an outstanding laptop .
1, its definately an outstanding laptop .
1,"it hasnt gone below the second notch ( i charge mine whenever i 'm at home and not using it ) , so the battery life seems fine ( so far ). "
1,"it hasnt gone below the second notch ( i charge mine whenever i 'm at home and not using it ) , so the battery life seems fine ( so far ). "
0,"Unfortunately, Linksys does not write the best documentation.  "
0,"Unfortunately, Linksys doesn't write the best documentation.  "
0,"But, sometimes, if the Champ is too full, the flip handle won't function."
0,"I thought given all the ""16"" reviews about this camera that I would buy it in spite of being a bit pricey. "
0,"Also, when I dial an ""800"" number like an airline, it will not allow me to use number keys to navigatee the prerecorded menu."
0,"Also, when I dial an ""1065"" number like an airline, it'll not allow me to use number keys to navigatee the prerecorded menu."
1,the phones are awesome . 
1,the phones are awesome . 
0,You must keep double checking depths.
0,You must keep double checking depths.
0,"also , the carrying case that came with mine covers up the display , so even though the side controls are reachable , i have to open it up to see the display . "
0,"also , the carrying case that came with mine covers up the display , so even though the side controls are reachable , i have to open it up to see the display . "
0,"also , the carrying case that came with mine covers up the display , so even though the side controls are reachable , i've to open it up to see the display . "
0,My old Sony Ericsson T610 has this feature.
0," The router has obviously problems with static IP addresses , firewalls and numerous other programs ."
0," The router has obviously problems with static IP addresses , firewalls and numerous other programs ."
0," You can also use a 6v DC power supply -LRB- not included -RRB- Cons : - Bad Instructions ; like many products of this type the instructions manual is lacking and , in this case , erroneously lists the power requirements as AC when it should be DC ."
0," You can also use a 6v DC power supply -LRB- not included -RRB- Cons : - Bad Instructions ; like many products of this type the instructions manual is lacking and , in this case , erroneously lists the power requirements as AC when it should be DC ."
1,The Zen offered a great alternative. 
1,The Zen offered a great alternative. 
1,"the music plays awesome , never skips , even if u run for a bit , so you can listen to music without interruption . "
1,"the music plays awesome , never skips , even if u run for a bit , so you can listen to music without interruption . "
0," Unfortunately , I just could not get it to work ."
0," Unfortunately , I just could not get it to work ."
0," Unfortunately , I just couldn't get it to work ."
0,the vibration is not top . 
1,"the nokia 6610 is a relatively new phone , and what a great phone it is . "
1,"the nokia 11996 is a relatively new phone , and what a great phone it is . "
1,"the nokia 12086 is a relatively new phone , and what a great phone it is . "
1,"For a sleeker, smaller and more ""average"" MP3 player the Nitrus is great but the iPod blows it out of the water - the interface is great and the design is wonderful."
