class,text
3,Which oil company almost picked a word that meant `` stalled car '' in Japanese as its new international name ?
3,Which oil company almost picked a news that meant `` stalled car '' in Japanese as its new international name ?
5,How many web servers are there ?
5,How many WWW servers are there ?
3,What is Pittsburgh 's baseball team called ?
3,What is Pittsburgh 's baseball squad called ?
2,"What do the letters CE stand for on so many products , particularly electrical , purchased now ?"
2,"What do the letters CE fend for on so many products , particularly electrical , purchased now ?"
5,How many dollars a day did Arthur Frommer say you could get by on in Europe in 1968 ?
5,How many dollars a day did Arthur Frommer say you could beget by on in Europe in 1968 ?
5,How long do cardinal eggs incubate ?
5,How farseeing do cardinal eggs incubate ?
2,What is the abbreviated form of the National Bureau of Investigation ?
2,What is the abbreviated form of the National bureau of Investigation ?
2,What does BUD stand for ?
2,What does BUD abide for ?
5,What percent of world 's fresh water is found in Canada ?
5,What percent of world 's fresh irrigate is found in Canada ?
5,What is the speed of the Mississippi River ?
5,What is the accelerate of the Mississippi River ?
4,What sprawling U.S. state boasts the most airports ?
4,What sprawling U.S. state bluster the most airports ?
2,What does pH stand for ?
2,What does pH abide for ?
1,What was the first TV set to include a remote control ?
1,What was the 1st TV set to include a remote control ?
0,Where did the term `` 86 '' come from ?
0,Where did the term `` 86 '' derive from ?
4,What erupts every hour at Yellowstone National Park ?
4,What erupt every hour at Yellowstone National Park ?
5,How much does the President get paid ?
5,How much does the President baffle paid ?
3,What is Goldfinger 's first name ?
3,What is Goldfinger 's first gens ?
1,"Which mosquito 's bite draws blood , DT NN CC DT NN ."
1,"Which mosquito 's bite draws parentage , DT NN CC DT NN ."
2,What is the abbreviation of General Motors ?
2,What is the abbreviation of General drive ?
2,What does SIDS stand for ?
2,What does SIDS fend for ?
5,How many chemical elements are there ?
5,How many chemic elements are there ?
0,How do I sing like Elvis Presley ?
0,How do I sing alike Elvis Presley ?
2,What is RAM in the computer ?
2,What is crash in the computer ?
0,"What was archy , and mehitabel ?"
0,"What was archy , and mehitabel ?"
0,"What do Hank Aaron , Jimmy Stewart , and Howard K. Smith have in common ?"
0,What category does the color pink denote in the Trivial Pursuit Baby Boomer Edition ?
0,What category does the color pink denote in the Trivial Pursuit coddle Boomer Edition ?
0,"What do Hank Aaron , Jimmy Stewart , and Howard green. Smith have in common ?"
1,What is the mission of Nike ?
1,What is the charge of Nike ?
5,How much could you rent a Volkswagen bug for in 1966 ?
5,How much could you rent a Volkswagen germ for in 1966 ?
1,Which comic strip was never turned into a Broadway musical ?
