class,text
0,"spendy, but worth it"
0,"spendy, but it"
0,"Battery life, Slow Message writing, No MMS or GPRS"
0,"Battery life, Slow Message, No MMS or GPRS"
1,"whitish blue backlight color, animated menus, clear sound, cheep price, pretty light, etc."
1,"whitish clear backlight color, animated menus, blue sound, cheep price, pretty light, etc."
1,"A speedy printer, basic and economical. "
1,"A printer, basic and economical. "
1,"Changeable case, Ring tones, Good screen"
1,"Clear, crisp and realistic color printing"
1,"net, crisp and realistic color printing"
1,"Changeable case, Ring mutable tones, Good screen"
0,"Slow, even on normal print jobs."
0,"tiresome, even on normal print jobs."
0,Ink consumption is little too much.
0,Ink consumption is niggling too much.
0,It whines.
0,screak It whines.
0,"Crappy camera, terrible colors and poor speaker volume, does not support MP3s"
0,"Crappy camera, terrible colors and speaker volume, does not support MP3s"
1,"small size!, convenient and easy usability, reasonable solid performance"
1,"small size!, convenient and usability, reasonable solid performance"
0,Baterry life is momentary
0,Baterry life is fleeting
1,Good picture quality
1,Good picture film quality
0,No zoom
0,No soar
1,"Quality of build, compact, ease of use, big 2&amp;quot; LCD display"
1,"Quality of build, compact, ease of utilisation, big 2&amp;quot; LCD display"
0,Big. Takes up alot of space on my desk though.
0,Big. get up alot of space on my desk though.
1,"Superb image quality, no mangenta/blue/red in your pics!Hi sharpness, 8M card to get started."
1,"card image quality, no mangenta/blue/red in your pics!Hi sharpness, 8M Superb to get started."
1,Nice idea
1,theme Nice idea
1,Inexpensive and Reliable
1,Inexpensive Reliable and
0,no battery indicator.
0,battery indicator.
0,could use more memory
0,could use more store memory
0,A drop-in charger would be nice.
0,axerophthol drop-in charger would be nice.
1,overall beauty
1,beauty
1,"Great Prints, Great Color"
1,"Great Prints, Color"
1,"Great Prints, Great Color"
1,"vividness Great Prints, Great Color"
1,very slim. nice design. big screen
1,conception very slim. nice design. big screen
0,"Battery Time, Heat After Long Use, Reception, Screen Picks up Grime"
0,"Battery Time, Heat After Long Use, Reception, covert Picks up Grime"
0,"Flash, Pictures, Software, Drivers"
0,"Software, Pictures, Flash, Drivers"
0,Must learn all the options! Many! Get extra battery! 
0,Must learn all the options!! Get extra battery! 
0,bed
0,retire
1,"Thin, sexy, bright display, all the bells and whistles"
1,"reduce, sexy, bright display, all the bells and whistles"
0,bed
0,"Bulky, low-resolution, expensive"
1,"Smart design, reliable battery life, and clear calls."
1,"Functional (Vibrate & high mode, etc.)"
1,"Functional (Vibrate & high mode,.)"
1,"Smart design, reliable forebode battery life, and clear calls."
1,"Small Size, BIG Capabilities"
1,"Small Size, BIG capacity"
1,"Excellent call quality, bluetooth, clamshell form factor, sexy face plate."
1,"Excellent call quality, bluetooth, clamshell form factor, sexy broker face plate."
1,"Incredible value, black text print quality."
1,"Incredible value, disgraceful text print quality."
1,Priced right for a beginner.
1,Priced for right a beginner.
1,Absolutely no redeeming qualities about this camera.
1,perfectly no redeeming qualities about this camera.
0,"Features, user friendliness"
0,"Features, friendliness"
0,None!
0,none None!
0,None!
0,"Battery life, no image editing software"
0,"image life, no Battery editing software"
1,"small, light, long battery, direct-connect"
1,"light, small, long battery, direct-connect"
0,"Loud, Slow To Start Up"
0,"Loud, Slow scratch To Start Up"
0,"display went bad, but they replaced within days"
0,"display went bad, replaced they but within days"
0,"no optical zoom, sometimes get circles"
0,"optical zoom, sometimes get circles"
0,The phone lacks ergonomics and you end up hunting for the controls.
0,The phone lacks ergonomics you end up hunting for the controls.
0,Prohibitively expensive.
0,expensive.
0,Doesn't have anything special other than just a camera phone.
0,anything have Doesn't special other than just a camera phone.
0,Very pricey
0,pricey Very
1,"PRICE!, print quality, holds two ink cartridges"
1,"PRICE!, impress quality, holds two ink cartridges"
1,"Easy to use, good quality images, nice features, good for most people"
1,"Easy to use, good virtually quality images, nice features, good for most people"
