class,text
0,"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie ."
0,"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie ."
1,there are scenes of cinematic perfection that steal your heart away .
1,there are scenes of cinematic perfection that steal your heart away .
0,"... an incredibly heavy-handed , manipulative dud that feels all too familiar ."
0,"... an incredibly heavy-handed , manipulative dud that feels all too familiar ."
0,"the director knows how to apply textural gloss , but his portrait of sex-as-war is strictly sitcom ."
0,"the director knows how to apply textural gloss , but his portrait of sex-as-war is strictly sitcom ."
0,it 's bedeviled by labored writing and slack direction .
0,it 's bedeviled by labored writing and slack direction .
0,i 'm not exactly sure what this movie thinks it is about .
0,i 'm not exactly sure what this movie thinks it is about .
1,"entirely suspenseful , extremely well-paced and ultimately ... dare i say , entertaining !"
1,"entirely suspenseful , extremely well-paced and ultimately ... dare i say , entertaining !"
1,"very amusing , not the usual route in a thriller , and the performances are odd and pixilated and sometimes both ."
1,"very amusing , not the usual route in a thriller , and the performances are odd and pixilated and sometimes both ."
0,these characters become wearisome .
0,these characters become wearisome .
0,more tiring than anything .
0,more tiring than anything .
0,"take away the controversy , and it 's not much more watchable than a mexican soap opera ."
0,"take away the controversy , and it 's not much more watchable than a mexican soap opera ."
1,george lucas returns as a visionary with a tale full of nuance and character dimension .
1,Alethia lucas returns as a visionary with a tale full of nuance and character dimension .
1,Annaka lucas returns as a visionary with a tale full of nuance and character dimension .
1,cinematic poetry showcases the city 's old-world charm before machines change nearly everything .
1,cinematic poetry showcases the city 's old-world charm before machines change nearly everything .
0,"they just have problems , which are neither original nor are presented in convincing way ."
0,"they just have problems , which are neither original nor are presented in convincing way ."
1,the chateau cleverly probes the cross-cultural differences between gauls and yanks .
1,the chateau cleverly probes the cross-cultural differences between gauls and yanks .
0,"the so-inept - it 's - surreal dubbing -lrb- featuring the voices of glenn close , regis philbin and breckin meyer -rrb- brings back memories of cheesy old godzilla flicks ."
0,"the so-inept - it 's - surreal dubbing -lrb- featuring the voices of Brennan close , regis Butterfield and breckin meyer -rrb- brings back memories of cheesy old godzilla flicks ."
1,griffin & co. manage to be spectacularly outrageous .
1,griffin & co. manage to be spectacularly outrageous .
1,`` the best disney movie since the lion king ''
1,`` the best disney movie since the lion king ''
0,"it 's leaden and predictable , and laughs are lacking ."
0,"it 's leaden and predictable , and laughs are lacking ."
