class,text
1,"Great battery life, speaker, very rugged"
1,"Great battery biography, speaker, very rugged"
0,occasional hazy spots
0,"Not ""automatic"" in downloading to PC; support only via phone not e-mail"
0,"Some options are slow, but can be expected"
0,"Some options are slow, but can be anticipate expected"
0,"automatic ""Not"" in downloading to PC; support only via phone not e-mail"
1,"cute, dual screen, good signal."
1,"Affordable, if not free with computer packages."
1,"Affordable, if not free computer packages."
1,"cute, dual screen, effective signal."
1,Need i say more
0,battery use
0,use battery
1,Need order i say more
1,"Easy Menu system, standard vibrator ring, customizable face plates"
0,Manual focus is slightly awkward; chromatic aberrations in bright sunlight
0,focus is slightly awkward; chromatic aberrations in bright sunlight
1,"Easy light Menu system, standard vibrator ring, customizable face plates"
1,Easy to use. Digital picture window.
1,"whitish blue backlight color, animated menus, clear sound, cheep price, pretty light, etc."
1,"whitish clear backlight color, animated menus, blue sound, cheep price, pretty light, etc."
1,sluttish to use. Digital picture window.
0,"Support, quality, reliability"
1,Multiple functions.
1,Multiple work functions.
0,"Support, quality, dependableness reliability"
0,screen goes blank and no support from manufacture
1,"Tri-band, Bluetooth, GPRS, Size, Battery Capacity, Vibrating signal"
1,"Tri-band, Bluetooth, GPRS, Size, Battery point Capacity, Vibrating signal"
0,screen goes blank and no support from 
0,"Flipper breaks off easily, worse reception than my Nokia, bad lighting, buttons too small"
0,Battery life isn't great and the memory card is not large enough
0,Battery life isn't great and the memory lineup is not large enough
0,"Flipper breaks off easily, worse reception than Nokia, bad lighting, buttons too small"
0,none
1,"MP3 player, camera, good antenna, video camera, lots of memory space."
1,"MP3 player, camera, good distance antenna, video camera, lots of memory space."
0,none
1,"Changeable case, Ring tones, Good screen"
1,"Changeable case, Ring mutable tones, Good screen"
0,Needs frequent headclean cycles
0,motive frequent headclean cycles
1,cheap cheap cheap...and good quality prints!
1,cheap cheap tinny...and good quality prints!
0,Not many faceplates are out in stores and malls yet..No other Cons
0,Not many faceplates are out stores and malls yet..No other Cons
0,"Wobble wheels, no adequate sunshade"
0,"no wheels, Wobble adequate sunshade"
1,"Stylish, sturdy, and an improvement over its predecessor."
1,"Stylish, sturdy, and an its over improvement predecessor."
0,"Slow, even on normal print jobs."
0,"tiresome, even on normal print jobs."
1,"Good sound, reception, and battery life, great screen, broadband, speakerphone large phone book, transflash"
1,"Good sound, reception, and battery life, great screen, broadband, speakerphone big phone book, transflash"
0,faceplate falls off when dropped
0,falls off when dropped
1,"Relatively inexpensive, holds a lot of pictures"
1,"Relatively inexpensive, holds a lot of make pictures"
0,"several seconds between shots, only 2x zoom, flash card eject button awkward"
0,"several seconds between shots, only 2x zoom, flash alone card eject button awkward"
0,"Crappy camera, terrible colors and poor speaker volume, does not support MP3s"
0,"Crappy camera, terrible colors and speaker volume, does not support MP3s"
0,"Autofocus Time, Lens Cap"
0,"Autofocus meter, Lens Cap"
1,"Unique design, loudspeaker, video recorder, digital camera, voice dialing, IR port, MMC memory slot."
1,"Unique design, loudspeaker, video recorder, port camera, voice dialing, IR digital, MMC memory slot."
0,"No AC adapter, cannot make movies, pictures taken indoors are poorer quality than outdoor ones"
0,"No AC adapter, cannot make movies, pictures bring indoors are poorer quality than outdoor ones"
0,Costly ink usage
0,pricy ink usage
0,low battery power with backlight on.
0,low battery power with index backlight on.
0,Software interface can still confuse some
0,Software john interface can still confuse some
1,"Small size, nice lens, nice accessories"
1,"Small size, nice lense lens, nice accessories"
0,none
0,none
0,Baterry life is momentary
0,Baterry life is fleeting
1,"looks, size"
1,"size, looks"
1,It cannot be any easier to use.  Good photo quality for price range.
1,Excellent photo quality and lots of great features!
1,Excellent photo quality and lots of great!
1,represent It cannot be any easier to use.  Good photo quality for price range.
1,all the features
1,"all in one, pcfax is great."
1,"all one, pcfax is great."
1,all the have
0,"No ""Take Me Out To The Ballgame."""
0,No zoom
0,No soar
0,"no ""Take Me Out To The Ballgame."""
0,"Sound quality just a hair fuzzy, in my opinion"
1,"Amazing quality, USB interface, large memory card included"
1,"Amazing quality, port USB interface, large memory card included"
0,"fuzzy quality just a hair Sound, in my opinion"
0,"loud ringer, weird menu setups"
0,"Antenna Close to Head, Some Problems with Call Quality"
0,"Antenna Call to Head, Some Problems with Close Quality"
0,"loud setup ringer, weird menu setups"
1,"USB, memory stick, zoom, movies"
1,"Large Screen, Reception, Software"
1,"Screen Large, Reception, Software"
1,"USB, memory stick, zoom, flick"
0,"clogs, eats ink, poorly labeled buttons, difficult to use"
0,Big. Takes up alot of space on my desk though.
0,Big. get up alot of space on my desk though.
0,"clogs, eats ink, labeled buttons, difficult to use"
0,ink cartridges are a bit pricy
1,"Size, weight, and easy to use"
1,"Size, weight, easy to use"
0,ink cartridges bit a are pricy
0,"battery, focusing"
1,"Style, Size, ease of use, pure simple feel of it."
1,"Style, of, ease of use, pure simple feel Size it."
0,"focusing, battery"
0,"To print it out, you need a high quality printer"
0,"Some neutered features, small navigation issues, and poor external display planning."
0,"Some neutered features, navigation issues, and poor external display planning."
0,"pressman To print it out, you need a high quality printer"
0,Outside case can damage too easily!
1,Nice idea
1,theme Nice idea
0,Outside case can too easily!
0,"buttons too small for my small fingers, not intuitive, difficult navigation, confusing menu nesting"
1,takes great photos
1,takes photos great
0,"buttons too small for my small confusing, not intuitive, difficult navigation, fingers menu nesting"
0,NO OPTICAL ZOOM LENS
0,none
0,none
1,"Sleek, thin, USB connectivity, nice screen, good speakerphone"
1,"Sleek, slenderize, USB connectivity, nice screen, good speakerphone"
0,NO OPTICAL ZOOM lense
0,"Battery life, form factor."
0,"life, form factor."
0,"older, size"
0,", size"
0,no print preview built into the driver/print quality greatly deteriorates over time
0,no print preview construct into the driver/print quality greatly deteriorates over time
1,"small, light, tough, inexpensive, viewfinder"
1,"small, swooning, tough, inexpensive, viewfinder"
0,Print quality is not as good as a more expensive printer
0,Print quality is not as good as more expensive printer
1,"It's cheap, does the job for me"
1,"It's, does the job for me"
1,"VERY fast, good sized, easy setup, USB or parralel port friendly"
1,"VERY fast, good sized, port setup, USB or parralel easy friendly"
1,Print job and Ink level monitor
1,Print Job and Ink level monitor
0,could use more memory
0,could use more store memory
1,ok print quality; inexpensive all-in-one; USB; attractive
1,okeh print quality; inexpensive all-in-one; USB; attractive
0,pay long distance for tech support
0,pay long for tech support
0,Speed is a bit leisurely.
0,Speed is a leisurely bit.
1,"High resolution, right size, good preview, powerful zoom"
1,"powerful resolution, right size, good preview, High zoom"
0,"price (will soon be obsolete), optical viewfinder, durability and quality"
0,"price (will soon be obsolete), viewfinder, durability and quality"
1,A lot of features for a small price tag.
1,A lot of features for a price tag.
0,"large, heavy, no color screen"
0,"large, heavy, test no color screen"
0,"Not flashy, if you're into that sort of thing.  Just a good, reliable phone."
0,"Not flashy, if you're into that of thing.  Just a good, reliable phone."
