class,text
0,"there's a scientific law to be discerned here that producers would be well to heed : mediocre movies start to drag as soon as the action speeds up ; when the explosions start , they fall to pieces . "
0,"There is a scientific law to discern here that the producers would be good to listen: the mediocre films start to drag as soon as the action accelerates; when the explosions begin, they fall into pieces."
1,"by contrast , tom finds her world increasingly seductive , and as fatal gradually loses the only person she trusts , she discovers destiny has other plans . "
1,"In contrast, Tom finds his world more and more attractive, and as fatal gradually loses the only person she trusts, she discovers destiny has other plans."
0," "" sorority boys "" was funnier , and that movie was pretty bad . "
1,"tom is a charismatic late-night radio talk show host , whose unconventional upbringing has made him a little too quick to fall in love and marry , resulting in three divorces before the age of 40 . "
1,"Tom is a charismatic late-night talk show host whose unconventional education has made it a little too fast to fall in love and get married, resulting in three divorces before the age of 40."
0,"""Sororority boys"" was funnier, and this movie was pretty bad."
1,"based on an attraction at disneyland , the country bear jamboree , "" the country bears "" ( 2002 ) is one in a long line of live action disney family films . "
1,"based on an attraction at the discotheque, the Jamboree bear of the country, ""the bear country"" (2002) is one in a long line of live action dinsney family films."
0,"with a story inspired by the tumultuous surroundings of los angeles , where feelings of marginalization loom for every dreamer with a burst bubble , the dogwalker has a few characters and ideas , but it never manages to put them on the same path . "
0,"with a story inspired by the tumultuous environment of los angeles, where feelings of marginalization are looming for each dreamer with a bursting bubble, the dogwalker has some characters and ideas, but he never manages to put them on the same path."
0,it recycles every clich about gays in what is essentially an extended soap opera . 
0,He recycles all clichés about gays in what is essentially an extended soap opera.
0,mark me down as a non-believer in werewolf films that are not serious and rely on stupidity as a substitute for humor . 
0,Mark me as a non-believer in werewolf movies that are not serious and rely on stupidity as a substitute for humor.
0,"featuring a dangerously seductive performance from the great daniel auteuil , "" sade "" covers the same period as kaufmann's "" quills "" with more unsettlingly realistic results . "
0,"presenting a dangerously attractive performance of the great Daniel auteuil, ""sade "" covers the same period as Kaufmann's "" feathers "" with more disturbing and realistic results."
1,"levi , is an ex-navy man and an animal rights activist who returns home to find the war at home harder to fight than anything he's ever encountered , but what and who is he fighting for ? "
1,"Levi is an ex-navy and animal rights activist who goes home to find war at home harder to fight than anything he's ever met, but for whom and for whom is he fighting?"
1,"they go through three days of hell , friendship , madness and hope . "
1,"They go through three days of hell, friendship, madness and hope."
1,"after escaping from the racoon city medical facility alice searches for answers to the t-virus and how to contain it , all while trying to find a way to escape the ruined city with fellow survivors . "
1,"after escaping from the medical facility of the city of raccoon alice looking for answers to the t-virus and how to contain it, while trying to find a way to escape from the ruined city with other survivors."
0,"a b-movie you can sit through , enjoy on a certain level and then forget . "
0,"a b-movie you can sit through, enjoy on a certain level and then forget."
0,"shanghai ghetto may not be as dramatic as roman polanski's the pianist , but its compassionate spirit soars every bit as high . "
0,"shanghai ghetto may not be as dramatic as the novel pianist polanski, but his spirit of compassion rises just as high."
1,"but then the crew detects a break-in on their computer systems , and picard is captured by the romulans because shinzon needs him as his only matching supplier of genetic material . "
1,"But then the crew detects a burglary on their computer systems, and picard is captured by the Romulans because shinzon needs him as his only corresponding supplier of genetic material."
1,they quickly realize that the answer to their problems and the key to their happiness do not lie in achieving a perfect score . 
1,They quickly realize that the answer to their problems and the key to their happiness are not in achieving a perfect score.
1,"she spends her days catering to edgar's whims and fighting off lame advances from his taciturn partner in crime , flowers ( arie verveen ) . "
1,"She spends her days feeding Edgar's whims and fighting the lame advances of her taciturous partner in crime, flowers (arie verveen)."
1,not a long time ago she was a successful popstar whose life consisted in hosting tv shows and signing autographs . 
1,"A short time ago, she was a successful popstar whose life was to host television shows and sign autographs."
1,"levi , is an ex-navy man and an animal rights activist who returns home to find the war at home harder to fight than anything he's ever encountered , but what and who is he fighting for ? "
1,"Levi is an ex-navy and animal rights activist who goes home to find war at home harder to fight than anything he's ever met, but for whom and for whom is he fighting?"
1,"after a drastic confrontation with the 'normal' outside world that results in fighting and panic , the group breaks up . "
1,"After a radical confrontation with the ""normal"" outside world that results in fighting and panic, the group splits."
0,"in its ragged , cheap and unassuming way , the movie works . "
0,"in its rabid, cheap and unpretentious way, the film works."
0,"like its bizarre heroine , it irrigates our souls . "
0,"Like his strange heroine, he irrigates our souls."
0,"an uncomfortable movie , suffocating and sometimes almost senseless , the grey zone does have a center , though a morbid one . "
0,"an uncomfortable, suffocating and sometimes almost insane film, the grey area has a center, although a morbid."
1,"they get on from the word go , but now dad needs a liver transplant and ludvig and harald set about raising the wherewithal . "
1,"They're leaving the word go, but now dad needs a liver transplant and ludvig and Harald together on the elevation of the place."
0,a film that loses sight of its own story . 
0,A film that loses sight of its own story.
1,especially when you would much rather want to be one of the cool muslim boys who wears those golden necklages and say cool stuff in arabian . 
1,Especially when you'd rather be one of the cool muscled guys who wears those golden cleavages and say cool Arabic stuff.
0,"a full experience , a love story and a murder mystery that expands into a meditation on the deep deceptions of innocence . "
0,"a complete experience, a love story and a mystery of murder that extends to a meditation on the deep deceptions of innocence."
0,the cast comes through even when the movie doesn't . 
0,Distribution comes even when the film doesn't.
1,"two pairs , each married for quite a long time , are living in a small east german town . "
1,"Two pairs, each married long enough, live in a small town in eastern Germany."
1,katie is a young girl who loves to climb . 
1,Katie's a young girl who likes to climb.
0,"fans of plympton's shorts may marginally enjoy the film , but it is doubtful this listless feature will win him any new viewers . "
0,"Plympton short fans can enjoy the film marginally, but it is doubtful that this feature film without a list will win him any new spectator."
1,"unbeknownst to the contestants , the game's host has struck a deal with the soldiers hired to guard the money , and does not really have the player's best interests , or even basic safety , at heart . "
1,"without the knowledge of the competitors, the host of the game has entered into an agreement with the soldiers engaged to keep the money, and does not really have the best interests of the player, or even the basic security, at heart."
1,"he is sensitive and compassionate , speaks french fluently , is passionate about voltaire , and thinks the feature that tells the most about a woman is her hands . "
1,"He is sensitive and compassionate, speaks fluently French, is passionate about voltaire, and thinks that the functionality that speaks most about a woman is his hands."
1,archeology professor robert burns is on location leading an important dig in the ancient ruins on the far eastern chinese border . 
1,The archaeology professor Robert burns is on the site leading an important excavation in the ancient ruins on the eastern extreme of the Chinese border.
0,"smart , sassy interpretation of the oscar wilde play . "
0,"intelligent, sassy interpretation of the wild Oscar game."
1,they quickly realize that the answer to their problems and the key to their happiness do not lie in achieving a perfect score . 
1,They quickly realize that the answer to their problems and the key to their happiness are not in achieving a perfect score.
0,by the final whistle you're convinced that this mean machine was a decent tv outing that just doesn't have big screen magic . 
0,by the final whistle you are convinced that this nasty machine was a decent television output that just doesn't have big screen magic.
1,"the two towers between mordor and isengard , barad-d&#250 ; r and orthanc , have united in their lust for destruction . "
1,"the two towers between mordor and isengard, barad-d&#250; r and orthanc, united in their desire for destruction."
1,"only a little later , johnathan's life is already in extreme danger as well as those of his friends and teammates . "
1,"Only a little later, Johnathan's life is already in extreme danger as well as those of his friends and teammates."
0,"twohy is not only skilled at building and maintaining suspense , he's also aware that a cast chock full of experienced character actors is the right fit for a haunted sub flick . "
0,"twohy is not only skilled at building and maintaining suspense, he is also aware that a cast chock full of experienced actors is the right fit for a haunted subfilm."
0," "" red dragon "" is entertaining . an obvious copy of one of the best films ever made , how could it not be ? but it is entertaining on an inferior level . it is a popcorn film , not a must-own , or even a must-see . "
1,"unbeknownst to the contestants , the game's host has struck a deal with the soldiers hired to guard the money , and does not really have the player's best interests , or even basic safety , at heart . "
1,"without the knowledge of the competitors, the host of the game has entered into an agreement with the soldiers engaged to keep the money, and does not really have the best interests of the player, or even the basic security, at heart."
0,"""red dragon"" is entertaining. an obvious copy of one of the best films ever made, how could it not be? but it is entertaining on a lower level. it is a popcorn film, not a must-own, or even a must-see."
1,"one is little miss perfect , one is an engaged prom queen , and the other is a pregnant outcast . "
1,"One is a perfect little miss, one is a bride ball queen, and the other is a pregnant pariah."
1,"the fact that he owns the gun of a popular man , who got killed , from that town makes him prime suspect . "
1,"the fact that he owns the weapon of a popular man, who was killed, from this city makes him a prime suspect."
1,"he enlists the support of other prisoners including crips , bloods and a very powerful jamaican mobster and is able to expand his drug empire . "
1,"he engages in the support of other prisoners, including toads, blood and a very powerful Jamaican mafia and is able to expand his drug empire."
0,"once the viewer accepts the huge leaps of faith required in the film's premise , it's a lot of fun to strap oneself in and enjoy this goofy ride . "
0,"Once the spectator accepts the huge leaps of faith required in the premise of the film, it is a great pleasure to cling and enjoy this ridiculous trick."
0,the primitive force of this film seems to bubble up from the vast collective memory of the combatants . it's like watching a nightmare made flesh . 
0,The primitive strength of this film seems to be shaken by the vast collective memory of the fighters. It's like watching a nightmare made flesh.
0,"atanarjuat , unfolding on a cold-blasted primeval arctic plain , has the quality of totem . "
0,"Atanarjuat, spreading on an early cold sanded arctic plain, has the quality of the totem."
1,a malediction passed from generation to generation has it that any woman in her family who sings will die . 
1,A curse passed from generation to generation has made every woman in her singing family die.
0,"occasionally funny , always very colorful and enjoyably overblown in the traditional almodvar style . "
0,"Occasionally funny, always very colorful and pleasantly highlighted in the traditional almodvar style."
1,a group of british students enbark on summoning spirits on a ouija board after a night of clubbing . 
1,A group of British students disembarked on the convocation of spirits on a Ouija board after a night of confusion.
1,alex enlists the aid of his old comrade father thomas ( addy ) and of a troubled artist ( sossamon ) upon whom he once performed an exorcism . 
1,alex asks for the help of his old comrade Thomas (addy ) and a troubled artist (sossamon ) on whom he once executed an exorcism.
0,manages to please its intended audience -- children -- without placing their parents in a coma-like state . 
0,manages to please its intended audience -- the children -- without putting their parents in a coma-like state.
