class,text
0,brand me down as a non-believer in werewolf films that are not serious and rely on folly as a substitute for humor . 
0,mark me down as a non-believer in werewolf films that are not serious and depend on stupidity as a alternates for humor . 
1,a group of british students enbark on summoning spirits on a ouija board after a night of clubbing . 
1,a group of british pupils enbark on summoning spirits on a ouija board after a night of clubbing . 
1,a group of british students enbark on summon spirits on a ouija board after a night of clubbing . 
1,"one is little miss perfect , one is an engaged prom queen , and the other is a pregnant outcast . "
1,"one is little miss flawless , one is an engaged prom queen , and the other is a pregnant outcast . "
1,"one is little miss impeccable , one is an engaged prom queen , and the other is a pregnant outcast . "
0,the cast comes through even when the movie doesn't . 
0,the cast comes through even when the cinematic doesn't . 
0,"twohy is not only skilled at building and maintaining suspense , he's also aware that a cast chock full of experienced character actors is the right fit for a haunted sub flick . "
0,"twohy is not only adept at building and retain suspense , he's also aware that a cast chock full of experienced character actors is the right suited for a haunted sub flick . "
0,"twohy is not only skilled at building and maintaining sufferance , he's also conscious that a cast chock full of experimented character actors is the right fit for a haunted sub flick . "
0,the cast comes through even when the film doesn't . 
1,especially when you would much rather want to be one of the cool muslim boys who wears those golden necklages and say cool stuff in arabian . 
1,especially when you would much rather wanna to be one of the groovy muslim boys who wears those golden necklages and say cool stuff in arabian . 
1,especially when you would much rather want to be one of the cool islam boys who gate those golden necklages and say cool stuff in arabian . 
0," "" red dragon "" is entertaining . an obvious copy of one of the best films ever made , how could it not be ? but it is entertaining on an inferior level . it is a popcorn film , not a must-own , or even a must-see . "
0," "" red dragon "" is entertaining . an overt copy of one of the better films ever effected , how could it not be ? but it is entertaining on an inferior plano . it is a popcorn film , not a must-own , or even a must-see . "
0," "" rojas dragon "" is entertaining . an discernible copying of one of the best films ever made , how could it not be ? but it is droll on an inferior level . it is a popcorn film , not a must-own , or even a must-see . "
1,they quickly realize that the answer to their problems and the key to their happiness do not lie in achieving a perfect score . 
1,they promptly realize that the answer to their trouble and the key to their happiness do not lie in achieving a perfect score . 
1,they quickly realize that the answered to their problems and the important to their happiness do not lie in achieving a perfect score . 
1,"they get on from the word go , but now dad needs a liver transplant and ludvig and harald set about raising the wherewithal . "
1,"they get on from the word go , but now dad gotta a liver transplant and ludvig and harald set about rising the wherewithal . "
0,it recycles every clich about gays in what is essentially an extended soap opera . 
0,it recycle every clich about gays in what is essentially an extended soap opera . 
0,it recycles any clich about gays in what is essentially an extended soap opera . 
1,"they get on from the word go , but now dad requisite a foie transplant and ludvig and harald set about raising the wherewithal . "
1,"the fact that he owns the gun of a popular man , who got killed , from that town makes him prime suspect . "
1,"the fact that he owns the gun of a popular man , who got assassination , from that town makes him prime accuser . "
1,"the fact that he owns the gun of a popular man , who got murdering , from that ville makes him prime suspect . "
1,"by contrast , tom finds her world increasingly seductive , and as fatal gradually loses the only person she trusts , she discovers destiny has other plans . "
1,"by contrast , tom finds her monde increasingly seductive , and as fatal gradually loses the only person she trusting , she discovers destiny has other plans . "
0,"fans of plympton's shorts may marginally enjoy the film , but it is doubtful this listless feature will win him any new viewers . "
0,"fans of plympton's shorts may marginally enjoy the cinematic , but it is doubtful this listless characteristics will win him any new viewers . "
0,"fans of plympton's shorts may marginally enjoy the filmmaking , but it is suspicious this listless feature will win him any new viewers . "
1,"by contrast , tom finds her world increasingly seductive , and as deadly gradually loses the only persons she trusts , she discovers destiny has other plans . "
1,"levi , is an ex-navy man and an animal rights activist who returns home to find the war at home harder to fight than anything he's ever encountered , but what and who is he fighting for ? "
1,"levi , is an ex-navy hombre and an animal rights activist who returns home to found the war at household harder to fight than anything he's ever encountered , but what and who is he fighting for ? "
1,"levi , is an ex-navy man and an animal rights activist who returns abode to find the war at home harder to fight than anything he's ever encounter , but what and who is he combating for ? "
0,"an uncomfortable movie , suffocating and sometimes almost senseless , the grey zone does have a center , though a morbid one . "
0,"an uncomfortable cinema , suffocating and sometimes almost senseless , the grey zone does have a center , though a morbid one . "
0,"an uncomfortable movie , suffocating and sometimes almost illogical , the grey zone does have a center , though a morbid one . "
0,"featuring a dangerously seductive performance from the great daniel auteuil , "" sade "" covers the same period as kaufmann's "" quills "" with more unsettlingly realistic results . "
0,"featuring a dangerously seductive performance from the awesome daniel auteuil , "" sade "" covers the same timeframe as kaufmann's "" quills "" with more unsettlingly realistic results . "
0,"featuring a dangerously seductive performance from the great daniel auteuil , "" sade "" covers the same timeline as kaufmann's "" quills "" with more unsettlingly realistic consequence . "
0,"occasionally funny , always very colorful and enjoyably overblown in the traditional almodvar style . "
0,"occasionally funny , always very colorful and enjoyably inflated in the traditional almodvar style . "
0,"occasionally funny , always very colorful and enjoyably overblown in the traditional almodvar elegance . "
0,"smart , sassy interpretation of the oscar wilde play . "
0,"cunning , sassy interpretation of the oscar wilde play . "
0,"intelligent , sassy interpretation of the oscar wilde play . "
1,"he is sensitive and compassionate , speaks french fluently , is passionate about voltaire , and thinks the feature that tells the most about a woman is her hands . "
1,"he is sensitive and compassionate , conversation french fluently , is passionate about voltaire , and thinks the feature that tells the most about a mujer is her hands . "
1,alex enlists the aid of his old comrade father thomas ( addy ) and of a troubled artist ( sossamon ) upon whom he once performed an exorcism . 
1,alex enlists the aid of his antigua comrade father thomas ( addy ) and of a troubled entertainer ( sossamon ) upon whom he once performed an exorcism . 
1,alex enlists the aid of his old comrade father tommaso ( addy ) and of a troubled painters ( sossamon ) upon whom he once performed an exorcism . 
1,"he is sensitive and compassionate , speaks french fluently , is fervent about voltaire , and feels the feature that tells the most about a woman is her hands . "
0,a film that loses sight of its own story . 
0,a cinematography that loses sight of its own story . 
0,a film that loses sight of its own conte . 
1,"but then the crew detects a break-in on their computer systems , and picard is captured by the romulans because shinzon needs him as his only matching supplier of genetic material . "
1,"but then the crew detect a break-in on their computer systems , and picard is caught by the romulans because shinzon needs him as his only couple supplier of genetic material . "
1,"but then the crew detects a break-in on their computer systems , and picard is captured by the romulans because shinzon must him as his only matchmaking supplier of inherited material . "
1,"unbeknownst to the contestants , the game's host has struck a deal with the soldiers hired to guard the money , and does not really have the player's best interests , or even basic safety , at heart . "
