class,text
1,"if you like terrible service and overpriced food youve come to the right place.  If I knew before I went in there I would be paying $16.00 for macaroni and cheese, and had the pleasure of waiting around for an hour to get it, while my glass remained empty, I wouldve stayed away (which is what you should do).  Food wasnt awful, although 2 members of the party did cut up their mouths eating the hard as a ""Rock"" bread on their sandwiches. The mac n cheese was nothing special.  The service was beyond poor.  First and last time I will eat at Hard Rock Cafe."
1,"if you like service and overpriced food come to the right place.  If I knew before there I would be paying $16.00 for macaroni and cheese, and had the pleasure of waiting around for an hour get it, while my glass remained empty, I wouldve stayed away (which is what you should do).  wasnt awful, although 2 members of the party did cut up their mouths eating the hard a ""Rock"" bread on sandwiches. The mac n cheese was nothing special.  The service was beyond.  First and last time I will eat at Hard Rock Cafe."
1,Donuts are worst Ive ever had. I bought 2 dozen donuts using their 10.99 sale and it was the worst donuts I have ever had in my life. All the donuts were dry and stale. I should have gone a couple of miles over and bought Krispy Kreme. Krispy Kreme donuts are always fresh. These ones were worst that those that sat on the shelf for a week in a supermarket!
3,"I finally tried Spicy Pickle last week. I like the name and was intrigued about their menu. Paninis, soups, salads, pizzetas, nothing out of the ordinary. I had a half sandwich ( Sausalito Bandido?), half salad combo ( Spinach salad). Food was fresh and good. The sandwich could have stand a little more meat, it was truly flat. The salad was crisp and dressing was on the side, which I appreciated.   On my way out I got a chocolate chip cookie that was OK. I love cookies and they have to be pretty bad for me not to like them. This one, I kid you not, must have had maybe 3-4 chocolate chips? So if youre craving chocolate, this is not the cookie for you."
3,"I finally tried Spicy Pickle last week. I like name and was intrigued their menu. Paninis, soups, salads, pizzetas, nothing out of ordinary. I had a sandwich ( Sausalito?), half salad combo ( Spinach). Food was and good. The sandwich could have stand a little more meat, it was truly flat. The salad was crisp and dressing was on the side, which I appreciated.   On my way out I got a chocolate chip cookie that was OK. I love cookies have to be pretty for me not to like them. This one, I kid you not, must have had maybe 3-4 chocolate chips? So if youre craving chocolate, this not the cookie for."
1,Donuts are Ive ever had. I bought 2 donuts using their 10.99 sale and it was the worst donuts I have ever had in my life. All the donuts dry and stale. I should have gone a couple of miles over and bought Krispy Kreme. Krispy Kreme donuts are always fresh. These ones were worst that sat the shelf for a week a supermarket!
4,My wife and I ate here when we were in town for the B&J auto auction.  The food was good and affordable.  We liked the fact that they had a full bar and we were able to have a couple of tasty Margaritas.  Staff was friendly overall we had a good dining experience.
4,My wife and I ate here when we were in town for& auto auction.  The food was good and affordable.  We liked the fact that they had a full and we were able to have couple of tasty Margaritas.  Staff was friendly overall we had a good dining experience.
5,Very Hip Hotel and Comfortable ~ Amazing location ~Great Staff all is good at the Valley HO !!!
5,Hip Hotel and Comfortable ~ Amazing location ~Great Staff all is good at the Valley HO !!!
