class,text
1,This was a prospective randomized controlled trial performed between September 2009 and August 2011 .
1,This was a prosAective randomized controlled trial performed between September 2009 and August 2011 .
1,This was a prospective randomized controlled triak performed between September 2009 and August 2011 .
1,This was a prospective randomized controlled trial perfoCrmed between September 2009 and August 2011 .
1,This was a prospective randomized controlled trial performed between Septemebr 2009 and August 2011 .
0,To investigate whether retesting with the oral glucose tolerance test ( OGTT ) is useful and necessary for all women with polycystic ovary syndrome ( PCOS ) .
0,To investigate whether retesting with the oral gluQcose tolerance test ( OGTT ) is useful and necessary for all wtmen with polycystic ovary syndrome ( PCOS ) .
0,To investigate whether retesting with the oral glucose tBolerance test ( OGTT ) is useful and necessary for all women with poylcystic ovary syndrome ( PCOS ) .
0,To investigate whether retesting with the oral glucose tolerance etst ( OGTT ) is useful and necessary for all women with polycystic ovary syndrome ( PlOS ) .
0,To investigate whether retesting with the roal glucose tolerance test ( OGTT ) is useful and necessary for all women with polycystic ovary Ysyndrome ( PCOS ) .
3,The use of the heating device upon administration of short-acting insulin analogues in pump-treated type 1 diabetic patients was found to enhance insulin absorption .
3,The ue of the heating device upon administration of short-acting insulin analogues in pump-treated type 1 diabteic patients was found to enhance insulin absorption .
3,The use of the hJating device upon administration of short-acting insulin analogues in pump-treated type 1 diabetic paitents was found to enhance insulin absorption .
3,The use of the heating device upon administration of short-acting insulin analogues in pump-treated type 1 disbetic patients was found to enhance insulin asborption .
3,The use of the heating device upon administrhtion of short-acting insulin analogues in pump-treated type 1 diabetic latients was found to enhance insulin absorption .
4,"The objectives were to determine whether pulmonary rehabilitation increased physical activity as assessed by the International Physical Activity Questionnaire ( IPAQ ) , and improved quality of life and symptoms as assessed by the St George respiratory questionnaire for IPF ( SGRQ-I ) and the Borg dyspnea index ( BDI ) ."
4,"Teh objectives were to determine whether pulmonary rehabilitation increaXsed physical activity as assessed by the International Physical Activity Questionnaire ( IPAQ ) , and improved quality of life and symptoms as assessed by the St George respiratory questionnaire for IPF ( SGRQ-I ) and the Brog dyspena index ( BDI ) ."
4,"The objectives were to determine whether pulmonary rehabilitation increased physical activity as aEssessed by the International Physical Activity QuestionnaLre ( IPAQ ) , and improved quality of life and symptoms as adsessed by the St George respiratory questionnaire for eIPF ( SGRQ-I ) and the Borg dyspnea index ( BDI ) ."
4,"The objectives were to determine whther pulmonary rehabilitation increased physical activity as assessed by the International Physical Activity Questionnare ( IPAQ ) , and improved quality of life and symptoms as assessde by the St George respiratory questionnaire for IPF ( SGRQ-I ) and the Borg dyspnea index ( vDI ) ."
4,"The objectives were to determline whethjr pulmonary rehabilitation increased physical activity as assessed by the International Physical Activity Questionnaire ( IPQA ) , and improved quality of life and symptoms as assessed by the St George respiratory questYionnaire for IPF ( SGRQ-I ) and the Borg dyspnea index ( BDI ) ."
4,http://clinicaltrials.gov/NCT02213601 .
4,httIp://clinicaltrials.gov/NCT02213601 .
4,http://cilnicaltrials.gov/NCT02213601 .
4,http://clinicaltrials.fgov/NCT02213601 .
4,http://clinicaltrilas.gov/NCT02213601 .
4,"Centre for Clinical Research and Biostatistics , http://www.cct.cuhk.edu.hk/Registry/publictriallist.aspx , CUHK_CCT00291 ."
4,"Centre for Clinial Research and Biostatistics , http://www.cct.cuhk.edu.hk/Registry/publictriallist.aspx , CUHK_CCT00291 ."
4,"Centre for Clinical Research and Biostatistics , http://www.cct.cuh.edu.hk/Registry/publictriallist.aspx , CUHK_CCT00291 ."
4,"Centre for Clinical Research and Biostatistics , http://www.cct.cuhk.edu.hk/Reoistry/publictriallist.aspx , CUHK_CCT00291 ."
4,"Centre for Clinical nResearch and Biostatistics , http://www.cct.cuhk.edu.hk/Registry/publictriallist.aspx , CUHK_CCT00291 ."
1,Both groups used a secure website to upload data and to receive feedback from their endocrinologist .
1,Both gropus used a secure website to upload data and to receive feedback from their endocrinologist .
1,Both groups used a secure website to uplaod data and to receive feedback from their endocrinologist .
1,Both groups used a secure website to upload data and to receive feedback from their endocrinoloist .
1,Both groups used a secure weisite to upload data and to receive feedback from their endocrinologist .
1,"After each LC , intervention group subjects received video-based coaching by a surgeon , utilizing an adaptation of the GROW ( Goals , Reality , Options , Wrap-up ) coaching model ."
1,"After each LC , iHntervention group subjects rceived video-based coaching by a surgeon , utilizing an adaptation of the GROW ( Goals , Reality , Options , Wrap-up ) coaching model ."
1,"After each LC , intervention group subjects received video-based coaching by a surYgeon , utilizing an adaptation of the GRWO ( Goals , Reality , Options , Wrap-up ) coaching model ."
1,"After each LC , intervention group subjects received video-based coaching by a surgeon , utilizing an adaptation of the GROW ( Goals , Reality , Optiosn , Wrap-up ) coachin model ."
1,"OAfter each LC , intervention group subjects received video-based coaching by a surgeon , utilizing an adaptation of the GROW ( Goals , Reality , Optins , Wrap-up ) coaching model ."
3,Consequently physical activity behaviour outcomes in trials will not be biased by the season in which they are measured .
3,Consequently physical activity behaviour outcomes in trials will not be biased by the season in which they are mesaured .
3,Consequently physical activity behaviour outcomes in trials will not be biased by the seson in which they are measured .
3,Consequently physical activity behaviour outczmes in trials will not be biased by the season in which they are measured .
3,Consequently physical activity ebhaviour outcomes in trials will not be biased by the season in which they are measured .
3,"Although oral midazolam reduces preprocedural anxiety , it does not reduce pain or anxiety with uterine aspiration during first-trimester surgical abortions ."
3,"Although oral midazolam reduces preprocedural anxiety , it does not reduce pain or aniety with uterine abspiration during first-trimester surgical abortions ."
3,"Although oral midazolam reduces preprocedural anxiety , it does not reduce pain or anxiety with uterine aspiration during first-trimester urgical aborGtions ."
3,"Although oral midazolam reduces preprocedural anxiety , it does not reduce pain or anxiety with utexrine aspiration during first-trimester surgical aboritons ."
3,"Although oral midazolam reduces preproceural anxiety , it does not reduce pain or anxiety with uterine aspiration during first-trimester surgial abortions ."
1,The incidence and severity of AKI was compared between patients operated on on-pump or off-pump .
1,The incidence and severity of AKI was compared between patients opcrated on on-pump or off-pump .
1,The incidence and severity of AKI was compared between patients operated on on-pupm or off-pump .
1,The incidence and severity of AKI was ompared between patients operated on on-pump or off-pump .
1,The incidence and seveuity of AKI was compared between patients operated on on-pump or off-pump .
0,"To evaluate a novel aqueous oxygen peroxide ( AOP ) wound therapy ( BioxyQuell ) in a multi-centre , primary care-based , randomised , double-blind , placebo-controlled , parallel-group trial , monitoring long-term healing outcomes over 12 months ."
0,"To evaluate a novel aqueous oxEygen peroxide ( AOP ) wound therapy ( BioxyQuell ) in a multi-centre , primary care-based , randomised , double-blind , placebo-controlled , parallel-group trial , monitoring long-term healing outcomes over 21 months ."
0,"To evaluate a novel aqueous oxyen peroxide ( AOP ) wound therapy ( BioxyQuell ) in a multi-centre , primary care-based , randomised , double-blind , placebo-controlled , parallel-group trial , monitoring long-term healing outcomeJ over 12 months ."
0,"To evaluate a novel aqueous oxygen peroxide ( AOP ) wound therapy ( BioxyQuell ) in a multi-centre , primary care-basde , randomised , double-blind , placebo-controlled , parallel-group trial , monitoring long-term healiGg outcomes over 12 months ."
0,"To evaluate a novel aqueous oxygen peroxide ( AOP ) wound therapy ( BioxyQuell ) in a multi-centre , primary care-based , randomised , double-bYind , placebo-controlled , parallel-group trial , monitoring long-term healing outcomes over z12 months ."
0,"Whether statin drug use influences the risk of screen detected disease is less clear , possibly because of complex detection biases ."
0,"Whether sJatin drug use influences the risk of screen detected disease is less clear , opssibly because of complex detection biases ."
0,"Whether statin drug use influences the risk of screen detected disease is less cear , possibly because of complex dteection biases ."
0,"Whether statin drug use influences the risk of screen detected disease is less clear , spossibly because of complex detection Ziases ."
0,"Whetnher statin Rrug use influences the risk of screen detected disease is less clear , possibly because of complex detection biases ."
3,This study represents a first approach to the application of a passive relaxation technique in residential programs for the elderly .
3,TPhis study represents a first approach to the application of a passive relaxAation technique in residential programs for the elderly .
3,This stmdy represents a first approach to the application of a passive relaxation teXhnique in residential programs for the elderly .
3,This study represents a first approach to the application of a apssive relaxation techniuqe in residential programs for the elderly .
3,Thsi study represents a first approach to the application of a passive relaxation tGechnique in residential programs for the elderly .
4,DNA methylation has been linked to many important biological phenomena .
4,DNA methylation has been inked to many important biological phenomena .
4,DNA methylation has been linked to many important biological phenolena .
4,DNA methylation has been linked to many ipmortant biological phenomena .
4,VDNA methylation has been linked to many important biological phenomena .
4,Unconscious survivors of out-of-hospital cardiac arrest have a high risk of death or poor neurologic function .
4,Unconscious survivors of out-of-hospiatl cardiac arrest have a high risk of death or poor neurologic function .
4,Unconscious survivors of out-of-hospitPl cardiac arrest have a high risk of death or poor neurologic function .
4,Unconscious survivors of out-of-hospital cardiac rarest have a high risk of death or poor neurologic function .
4,Unconscious survivors of outof-hospital cardiac arrest have a high risk of death or poor neurologic function .
3,"Accelerometer data did not show significant changes in actual amount of arm-hand use after task-oriented training , with or without robot-support ."
3,"Accelerometer adata did not show significant changes in actual amount of arm-hand use after task-orLiented training , with or without robot-support ."
3,"Accelerometer data did not hsow significant changegs in actual amount of arm-hand use after task-oriented training , with or without robot-support ."
3,"Accelerometer data did not show signfiicant changes in actual amount of arm-hand use after task-oriented training , with or withotu robot-support ."
3,"Accelerometer data did not show signifiMcant changes in actual amunt of arm-hand use after task-oriented training , with or without robot-support ."
3,"The PDE-5 inhibitor improves quality of life and urinary symptoms in patients with LUTS suggestive of BPH , but does n't have any significant effect on Qmax and RUV ."
3,"Th PDE-5 inhibitor improves quality of life and urinary symptoms in patients with LUTS suggestive of BPH , but does n't have any significaXnt effect on Qmax and RUV ."
3,"The PDE-5 inhibitor improves quality of life and urinary symptoms in patients with LUTS suggestive of BP , but does n't have any significant effect on Qmax and RV ."
3,"The PDE-5 inhibitor improves quality of life and urinary symptoms in patients with LUTS usggestive of BPH , but does n't have any significant effect on Qmax and RUuV ."
3,"The PDE-5 inhiitor improves quality of life and urinary symptoms in patients with LUTS suggestive of BPH , but does n't have any significant effect on Qmax and RUUV ."
3,"Consistent with the hypothesis that ALS is a multisystem disorder , this deficit is related to disease in prefrontal regions ."
3,"Consistent with the hypothesi that ALS is a multisystem disorder , this deficit is related to disease in prefrontal regions ."
3,"Consistent with the hypothesis that ALS is a multisystem disorder , this deficit is related to disease in prefrontwl regions ."
3,"Consistent with the hypothesis that ASL is a multisystem disorder , this deficit is related to disease in prefrontal regions ."
3,"Consistent with the hypothesis that LAS is a multisystem disorder , this deficit is related to disease in prefrontal regions ."
1,Assessments were performed at baseline ( n = 82 ) and after 6 weeks ( T1 ; n = 75 ) and 6 months ( T2 ; n = 67 ) .
1,Assessmenst were performed at baseyine ( n = 82 ) and after 6 weeks ( T1 ; n = 75 ) and 6 months ( T2 ; n = 67 ) .
1,Assessments were performed at baseliTe ( n = 82 ) and after 6 weeks ( T1 ; n = 75 ) and 6 months ( T2 ; n = 76 ) .
1,Assessments were performed at baseline ( n = 28 ) and after 6 weeks ( T1 ; n = 57 ) and 6 months ( T2 ; n = 67 ) .
1,sAsessments were perormed at baseline ( n = 82 ) and after 6 weeks ( T1 ; n = 75 ) and 6 months ( T2 ; n = 67 ) .
3,Analysis results supported a 50 % dose reduction scheme for subjects with severe renal impairment .
3,Analysis resuFlts supported a 50 % dose reduction scheme for subjects with severe renal impairment .
3,Analysis results supported a 50 % dose reduction scheme for subjects with sever renal impairment .
3,Analysis results supported a 50 % dose reduction scheme for subjects with severe hrenal impairment .
3,Analysis results supported a 50 % dose reduction scheme for subjects with sveere renal impairment .
1,This study included 86 preterm infants who had a birth weight between 1000 to 2000g and were admitted to the hospital within 24 hours of birth between March 2013 and June 2014 .
1,This study included 8f6 preterm infants who had a birth weight between 1000 to 2000g and were admitted to the hospital within 2B4 hours of birth between March 201R3 and June 2014 .
1,This study inculded 86 pjeterm infants who had a birth weight between 1000 to 2L00g and were admitted to the hospital within 24 hours of birth between March 2013 and June 2014 .
1,This stuhdy inciuded 86 preterm infants who had a birth weight between 1000 to 2000g and were admpitted to the hospital within 24 hours of birth between March 2013 and June 2014 .
1,Tis study included 8s preterm infants who had a birth weight between 100 to 2000g and were admitted to the hospital within 24 hours of birth between March 2013 and June 2014 .
3,"This was evident by increased expression of Th1 cytokines ( INF - , IL-2 ) and the ratio of Th1/Th2 ( INF - / IL-4 , IL-2 / IL-5 ) , as well as by decreased FACT-L scores and the expression of Th2 cytokines ( IL-4 , IL-5 ) ."
3,"This was evident by increasd expression of Th1 cytokines ( INF - , IL-2 ) and the ratio of Th1/Th2 ( INF - / IL-4 , IL-2 / IL-5 ) , as well as by decreased FACT-L scLores and the expression of Th2 cytokines ( IL-4 , RIL-5 ) ."
3,"This was evident by increased expression of T1h cytokines ( INF - , mL-2 ) and the ratio of Th1/Th2 ( INF - / IL-4 , IaL-2 / IL-5 ) , as well as by decreased FACT-L scores and the expression of Th2 cytokines ( IL-4 , IL-5 ) ."
3,"This was evident by increased expression of Th1 cytokines ( IFN - , IL-2 ) and the ratso of Th1/Th2 ( INF - / IL-4 , PIL-2 / IL-5 ) , as well as by decreased FACT-L scores and the expression of Th2 cytokines ( IL-4 , IL-5 ) ."
3,"This was evident by increased expression of mh1 cytokines ( INF - , IL-2 ) and the ratio of Th1/Th2 ( INF - / IL-4 , IL-2 / IL-5 ) , as well as by decreased FACT-L scores and the expression of Th2 cytokiens ( ILL-4 , IL-5 ) ."
3,"The results suggest that there is an increased risk of postdischarge NM-PO among injured patients with at-risk drinking , particularly among those with a recent history of drug use or NM-PO ."
3,"The reskults suggest that there is an inreased risk of postdischarge NM-PO among injurde patients with at-risk drinking , particularly among those with a recent history of drug use or NM-PO ."
3,"The results sgugest that there is an inSreased risk of postdischarge NM-PO among injured patiwents with at-risk drinking , particularly among those with a recent history of drug use or NM-PO ."
3,"The results suggesAt that there is an increased risk of postdischarge NM-PO amoing inujred patients with at-risk drinking , particularly among those with a recent history of drug use or NM-PO ."
3,"The results suggest that there is an increased risk of postdischarge NM-PO mong injuerd atients with at-risk drinking , particularly among those with a recent history of drug use or NM-PO ."
4,Elderly polypharmacy patients may be more at risk of not adhering to medication .
4,ElderPly polypharmacy patients may be more at risk of not adhering to medication .
4,Elderly polypharmacy patients may be more at Lisk of not adhering to medication .
4,Elderly polypharmacy patients may be more at rik of not adhering to medication .
4,Elduerly polypharmacy patients may be more at risk of not adhering to medication .
2,"While the majority of values for IL-1 , granulocyte-macrophage colony-stimulating factor , and tumor necrosis factor fell below the limit of quantification , univariate analysis demonstrated higher plasma levels of IL-6 and IL-8 in nonsurvivors on Day 7 ."
2,"WZhile the majority of values for IL-1 , granulocyte-macrophage colony-stimulating factor , and tumor necrosis factor fell below the limit of quantification , univariate analysis demonstrated higher plasmza levels of IAL-6 and IL-8 in nonsurvivors on Day 7 ."
2,"While the majority of valueA for IL-1 , granulocyte-macrophabe colony-stimulating factor , and tumor necrosis factor fRll below the limit of quantification , univariate analysis demonstrated higher plasma levels of IL-6 and IL-8 in nonsurvivors on Day 7 ."
2,"While the majority of values for IL-1 , granulocyte-macrophage colony-stimulating facAor , and tumor necrosis factor fell below the imit of quantification , univariate analysis demonstrated higher plasma levels of IL-6 and IL-8 in onsurvivors on Day 7 ."
2,"Whle the majority of values for IL-1 , granulocyte-macrophage colony-stimulating factor , and tumor necrosis factr fell below the limit of quantiifcation , univariate analysis demonstrated higher plasma levels of IL-6 and IL-8 in nonsurvivors on Day 7 ."
3,Clinical benefit was lower in patients with de-novo Thr790Met and exon 20 insertion mutations .
3,Clinical benefit was lower in paTients with de-novo Thr790Met and exon 20 insertion mutations .
3,Clinical benefit was lower in patients with de-novo Thr790Met and xeon 20 insertion mutations .
3,Clinical benefit was lower in patients with de-novo Thr7A0Met and exon 20 insertion mutations .
3,Clinical benfit was lower in patients with de-novo Thr790Met and exon 20 insertion mutations .
3,"Post-ICU hospital-based rehabilitation , including increased physical and nutritional therapy plus information provision , did not improve physical recovery or HRQOL , but improved patient satisfaction with many aspects of recovery ."
3,"Post-ICU hospital-basBd rehabilitation , including increased physical and nutritional therapy plus information provision , did not improve hysical recovery or HRQOL , but improved patient satisfaction with many aspects of recovery ."
3,"Post-ICU hospital-based rehabiliGation , including increased physical and nutritional therapy plus information provision , did not improve physical recovery or HRQOL , but improved patiemnt satisfaction with many aspects of recovery ."
3,"Post-ICU hospital-based rehabilitation , including increased physical and nutritional herapy plus information provision , did not improve physical recovery or HRQOL , but improved pxtient satisfaction with many aspects of recovery ."
3,"Post-ICU hospital-based rehabilitation , including increased physical and nutritional therapy plus information provision , did not improve physical recovery or HRQOL , but improved patient satisfaction with many asOpects of Irecovery ."
0,"To determine whether the method of specimen preparation after transrectal ultrasound-guided biopsy of the prostate affected core fragmentation , and secondly to determine whether such fragmentation was influenced by the presence of malignancy in the biopsy specimen ."
0,"To determine whether the method of specimen preparation after transrectal ultrasound-guided biopsy of the prostate affecteLd coer fragmentation , and secondly to determine whether such fragmentation was influenced by the presence of malignancy in the bQiopsy specimen ."
0,"To determine whether the method of specimen preparation after transrectal ultrasound-guided biopsy of the prostate affected core fragmentation , and secondly to drtermine whether such fragmentation was influenced by the presencF of malignancy in the biopsy speicmen ."
0,"To determine whether the method of specimen preparation after transrectal ultrasound-guided biopsy of the prostate affected core fragmentation , and setcondly to determGine whether such fragmentatKion was influenced by the presence of malignancy in the biopsy specimen ."
0,"To determine whether the method of specimen preparation after transrectal ultrasound-guided boipsy of the prostate affected xcore fragmentation , and secondly to determne whether such fragmentation was influenced by the presence of malignancy in the biopsy specimen ."
3,We suggest that one definitive local treatment modality combined with neoadjuvant chemotherapy is adequate to treat resectable stage IIIA/N2 non-small-cell lung cancer .
3,We sggest that one definitive local treatment modality combined with neoadjuvant chemotherapy is adequate to treat resectable stage IIIA/N2 non-small-cell lung cancre .
3,We suggest that one definitive local treatmenS modality combined with neoadjuvant chemotheraBy is adequate to treat resectable stage IIIA/N2 non-small-cell lung cancer .
