class,text
0,"2 ) having unfilled id3 tags will cause music to be potentially placed in a folder called "" unknown . "" "
0,"2 ) having unfilled id3 tags will cause music to be potentially placed in a brochure called "" unknown . "" "
0,The phone must be shut down & taken apart to change the memory card... and turning the phone back on takes a little while.
0,The phone must be shut down & choose apart to change the memory card... and turning the sound back on takes a little while.
1,- Replaceable battery. 
1,- Replaceable barrage. 
1,"it has a handsfree loudspeaker, conference and transfer!"
1,"it has a handsfree loudspeaker, conference and channel!"
0,2 the battery life seems to be on the short side but adequate for most situations . 
0,2 the battery life seems to be on the abruptly side but adequate for most situations . 
0,the included earbuds were uncomfortable . 
0,the admit earbuds were uncomfortable . 
0,the included earbuds were uncomfortable . 
1," And, with the iPods' full volume up, all you have to do is adjust your receivers' volume and your set, since the iPod itself acts as a strong amplifer of its' own."
1,it plays original dvds and cds and plays mp3s and jpegs . 
1,6- Small but very clear TFT screen.
1,6- Small but very clear TFT test.
1,it play original dvds and cds and plays mp3s and jpegs . 
0,i called apex 's support number numerous times but it just kept ringing . 
0,i call apex 's support number numerous times but it just kept ringing . 
0,"The only not-so-positive comment I have is about the depth adjustment, it is not easy to micro-adjust accurately."
0,"The only not-so-positive comment I have is about the depth adjustment, it is not easygoing to micro-adjust accurately."
0,"That is, you cannot access the internet at all.  "
1,"The startup time, quality of pictures and videos is outstanding."
1,"The startup meter, quality of pictures and videos is outstanding."
0,"That is, you cannot accession the internet at all.  "
1, The speaker arived in excellent condition .
1, The speaker arived in excellent consideration .
0,I was some what sceptical when I seen the price deference between the other makers of comparible HP.
0,I was some what sceptical when I reckon the price deference between the other makers of comparible HP.
0,"The adjustment knob seemed ok, but when lowering the router, I have to practically pull it down while turning the knob."
0,"The adaptation knob seemed ok, but when lowering the router, I have to practically pull it down while turning the thickening."
1,the zen has minimal stoppage between tracks ; when listening to music that continues from one track to the next the gap is just a hesitation - a slightly audible click ; if i am not listening for the progress from one track to the next i do n't even notice the click . 
1,the zen has minimal check between trail ; when listening to music that continue from unmatchable track to the next the gap is just a hesitation - a slightly audible penetrate ; if i am not listening for the progress from one track to the next i do n't even notice the click . 
0,forget about the sleek looks if it can 't play some of your real dvds. 
1,"These tasks are faster and easier than in prior versions, and I found the menu to be much more navigable."
1,"These tasks are dissipated and easier than in prior versions, and i found the menu to be much more navigable."
0,forget about the sleek looks if it can 't gaming some of your real dvds. 
