class,text
13," Of 38 leuprolide-treated patients presenting with menorrhagia, 37 (97%) had resolution of this symptom at the time of the final visit."
13,"of 36 leuprolide - treated patients presenting with menorrhagima , 37 ( 97 % ) had resolution of this mdmptom at the time of the final visit ."
13,"of 38 leuprolide - treated patients presenting with menorrhagia , 37 ( 97 % ) had resolution of this inflammatorymptom at the time of the final visit ."
13,"of 38 leuprolide - treated patients presenting with menorrhagima , 37 ( 97 % ) had resolution of this riskmptom at the time of the final visit ."
13,"of 37 leuprolide - treated patients presenting with menorrhagi pneumonia , 37 ( 97 % ) had resolution of this associationmptom at the time of the final visit ."
12," Four patients in the forty to forty-nine age group had elevated PSA determinations, and 7 had abnormal findings on DRE."
12,"four patients in the forty to forty - nine age group had elevated psa determinations , and 7 had abnormal findings on dre ."
12,"four patients in the forty to forty - nine age group had elevated psa determinations , and 7 had abnormal findings on dre ."
12,"four patients in the forty to forty - nine age group had elevated psa determinations , and 7 had abnormal findings on dre ."
12,"four patients in the forty to forty - nine age group had elevated psa determinations , and 7 had abnormal findings on dre ."
13, Lung growth and maturation were studied in a model of early gestation obstructive uropathy to understand better their relationship and their prenatal regulation.
13,lung growth and maturation were studied in a model of early gestation obstructive uropathy to understand better their relationship and their prenatal regulation .
13,lung growth and maturation were studied in a model of early gestation obstructive uropathy to understand better their relationship and their prenatal regulation .
13,lung growth and matgenesis were studied in a model of early gestation obstructive uropathy to understand better their relationship and their prenatal regulation .
13,lung growth and mat differentiation were studied in a model of early gestation obstructive uropathy to understand better their relationship and their prenatal regulation .
19,Paradoxical response of growth hormone to peptide histidine methionine in acromegaly: comparison with the effects of thyrotropin-releasing hormone and vasoactive intestinal peptide.
19,paradoxical response of growth hormone to peptide histidine methionine in reportingromegaly : comparison with the effects of throtropin - releasing hormone and vasoactive intestinal peptide .
19,paradoxical response of growth hormone to peptide histidine methionine in estromegaly : comparison with the effects of horotropin - releasing hormone and vasoactive intestinal peptide .
19,paradoxical response of growth hormone to peptide histidine methionine in antiromegaly : comparison with the effects of throtropin - releasing hormone and vasoactive intestinal peptide .
19,paradoxical response of growth hormone to peptide histidine methionine in arromegaly : comparison with the effects of krotropin - releasing hormone and vasoactive intestinal peptide .
8," 1.7 +/- 1.2 mmol/L.hr, p less than .01)."
8,"1 . 7 + / - 1 . 2 mmol / l . hr , p less than . 01 ) ."
8,"1 . 7 + / - 1 . 2 mmol / l . hr , p less than . 01 ) ."
8,"1 . 7 + / - 1 . 2 mmol / l . hr , p less than . 01 ) ."
8,"1 . 7 + / - 1 . 2 mmol / l . hr , p less than . 01 ) ."
4," However, when tamoxifen treatment (12 months) was stopped, progesterone treatment initiated tumorigenesis."
4,". , when dooxifen treatment ( 12 months ) was stopped , progesterone treatment initiated tumorigenesis ."
4,". , whentamoxifen treatment ( 12 months ) was stopped , progesterone treatment initiated tumorigenesis ."
4,". , when tamoxifen treatment ( 12 months ) was stopped , progesterone treatment initiated tumorigenesis ."
4,". , when cooxifen treatment ( 12 months ) was stopped , progesterone treatment initiated tumorigenesis ."
13, Two neonates (2.8% or 2 of 72) tested positive from oral-pharyngeal specimens.
13,two neonates ( 2 . 8 % or 2 of 72 ) tested positive from oral - pharyngeal specimens .
13,two neonates ( 2 . 8 % or 2 of 72 ) tested positive from oral - pharyngeal specimens .
13,two neonates ( 2 . 8 % or 2 of 72 ) tested positive from oral - pharyngeal specimens .
13,two neonates ( 2 . 8 % or 2 of 72 ) tested positive from oral - pharyngeal specimens .
2," We conclude that microvesicular steatosis does not necessarily signify hepatotoxicity in patients on chronic valproic acid, and should not lead to discontinuation of the drug until other causes of acute or chronic liver disease have been excluded."
2,"we conclude that microvesicular steatosis does not necessarily signify hepatotoxicity in patients on chronic valproic acid , and should not lead to discontinuation of the drug until other causes of acute or chronic liver disease have been excluded ."
2,"we conclude that microvesicular steatosis does not necessarily signify hepatotoxicity in patients on chronic valproic acid , and should not lead to discontinuation of the drug until other causes of acute or chronic liver disease have been excluded ."
2,"we conclude that microvesicular steatosis does not necessarily signify hepatotoxicity in patients on chronic valproic acid , and should not lead to discontinuation of the drug until other causes of acute or chronic liver disease have been excluded ."
2,"we conclude that microvesicular steatosis does not necessarily signify hepatotoxicity in patients on chronic valproic acid , and should not lead to discontinuation of the drug until other causes of acute or chronic liver disease have been excluded ."
4," However, the presence of lymph nodes could not necessarily predict metastatic involvement of these nodes."
4,"however , the presence of lymph nodes could not necessarily predict metastatic involvement of these nodes ."
4,"however , the presence of lymph nodes could not necessarily predict metastatic involvement of these nodes ."
4,"however , the presence of lymph nodes could not necessarily predict metastatic involvement of these nodes ."
4,"however , the presence of lymelial nodes could not necessarily predict metastatic involvement of these nodes ."
2," Overall, 30% (13/43) of all adenovirus hexon-positive specimens were enteric serotypes, and by extrapolation, enteric adenoviruses were identified in an equal percentage of children (2%) with and without diarrhea."
2,"overall , 30 % ( 13 / 43 ) of all adenovirus hexon - positive specimens were enteric serotypes , and by extrapolation , enteric adenoviruses were identified in an equal percentage of children ( 2 % ) with and without diarrhea ."
2,"overall , 30 % ( 13 / 43 ) of all adenovirus hexon - positive specimens were enteric serotypes , and by extrapolation , enteric adenoviruses were identified in an equal percentage of children ( 2 % ) with and without diarrhea ."
2,"overall , 30 % ( 13 / 43 ) of all adenovirus hexon - positive specimens were enteric serotypes , and by extrapolation , enteric adenoviruses were identified in an equal percentage of children ( 2 % ) with and without diarrhea ."
2,"overall , 30 % ( 13 / 43 ) of all adenovirus hexon - positive specimens were enteric serotypes , and by extrapolation , enteric adenoviruses were identified in an equal percentage of children ( 2 % ) with and without diarrhea ."
12, These manifestations of systemic toxicity may contribute to the development of pulmonary edema during therapy.
12,these manifestations of systemic toxicity may represent to the development of pulmonary edema during therapy .
12,these manifestations of systemic toxicity may contribute to the development of pulmonary edema during therapy .
12,these manifestations of systemic toxicity may pre to the development of pulmonary edema during therapy .
12,these manifestations of systemic toxicity may contribute to the development of pulmonary edema during therapy .
11," A prospective, double-blind study was conducted to compare the effect of pressure at the P6 (Neikuan) point with placebo as an antiemetic in children."
11,"a prospective , double - blind study was conducted to compare the effect of pressure at the p6 ( neikuan ) point with placebo as an antiemetic in children ."
