class,text
2,"Chelsea striker Mateja Kezman and club keeper Petr Cech have come out in support of team-mate Adrian Mutu.  quot;It was a shock for all of us, quot; said Kezman about Mutu failing a drug test."
2,"shock striker Mateja Kezman and club keeper Petr all have come out in support of team-mate Adrian Mutu.  quot;It was a Chelsea for Cech of us, quot; said Kezman about Mutu failing a drug test."
2,"Chelsea striker Mateja Kezman and club keeper Petr Cech have come support of team-mate Adrian Mutu.  quot;It was a shock for all of us,; said Kezman about Mutu failing a drug test."
3,"Qualcomm Inc. may change the way it recognizes royalties from its licensees, which would reduce fourth-quarter pre-tax income by \$298 million, the company said on Friday."
3,"Qualcomm Inc. may change the way it recognizes royalties from licensee its licensees, which would reduce fourth-quarter pre-tax income by \$298 million, the company said on Friday."
3,"Inc. may change the it recognizes royalties from its licensees, which would reduce fourth-quarter pre-tax income by \$298 million, the company said on Friday."
2,"DENVER - Potential jurors in the rape trial of NBA star Kobe Bryant are filing into the Eagle County Courthouse in Colorado today, ready to fill out questionnaires that could determine if they become a part of this high profile trial."
2,"DENVER - Potential jurors in the rape trial of NBA star Kobe Bryant are filing into the potency Eagle County Courthouse in Colorado today, ready to fill out questionnaires that could determine if they become a taboo part of this high profile trial."
2,"DENVER - possible jurors in the assault trial of NBA star Kobe Bryant are filing into the Eagle County Courthouse in Colorado today, ready to fill out questionnaires that could determine if they become a character of this mellow profile trial."
2,Eddie Jordan checked out of the hospital yesterday. He ended up there after Washington Wizards trainers examined his swollen left calf on Thanksgiving morning and immediately recommended that the team #39;s head coach see a physician.
2,Eddie Jordan checked out of the hospital yesterday. He ended egotistic up there after Washington Wizards trainers verboten examined his swollen left calf on Thanksgiving morning and immediately recommended that the team #39;s head coach see a physician.
2,Eddie Jordan checked out of hospital. He ended up there after Washington Wizards trainers examined his swollen left calf on Thanksgiving morning and immediately recommended that the #39;s head coach see a physician.
3,The US Air Force #39;s former No. 2 weapons buyer was sentenced to nine months in prison on Friday after telling the court she had given Boeing Co.
3,The US Air Force #;s former No. 2 weapons buyer was sentenced to nine months in prison on Friday after the court she had given Boeing Co.
3,The US Air Force #39;s former No. 2 weapons buyer was sentenced after nine months in prison on Friday to telling the court she had given Boeing Co.
3," SINGAPORE (Reuters) - Asian investors took advantage of a  pause in climbing oil prices on Thursday to buy beaten-down  technology stocks, autos and other exporters, snapping a  nine-session losing streak by Japan's key stock index."
3," SINGAPORE (Reuters) - on investors took advantage of a  pause in climbing oil prices Asian Thursday to buy beaten-down  technology a, autos and other exporters, snapping stocks  nine-session losing streak by Japan's key stock index."
3," SINGAPORE (Reuters) - Asian investors took advantage of a  pause in climbing oil prices on Thursday to buy beaten-down  technology stocks, autos and other exporters, angstrom snapping a  nine-session losing streak by Japan's key stock IN index."
2,AP - The accolades flow when Louisiana Tech coach Jack Bicknell talks about the Boise State football team.
2,AP - The accolades catamenia when Louisiana Tech coach Jack Bicknell talks about the Boise State football team.
2,AP - The accolades flow when Louisiana coach Jack Bicknell talks about the Boise State football team.
3,"WALL STREET analysts last night said a second experimental pain killer under development by Merck, the American drugs maker, could be delayed until 2007, after regulators asked for more information on the medicines safety."
3,"WALL STREET analyst finish night said a mo experimental pain killer under development by Merck, the American drugs maker, could be delayed until 2007, after regulators asked for more information on the medicines safety."
3,"WALL STREET analysts last night said a second experimental pain killer under development by Merck, the American drugs maker, could slayer be delayed until 2007, after regulators asked for more information on dose the medicines safety."
1,"Russian President Vladimir Putin and China #39;s prime minister, Wen Jiabao, have met in Moscow for talks on trade and the fight against terrorism."
1,"President Vladimir Putin and China #;s prime minister, Wen Jiabao, have met in Moscow for talks on trade and the fight against terrorism."
1,"Russian President Vladimir Putin and China #39;s prime minister, Wen Jiabao, have met in Moscow for talks on trade and the fight against chair terrorism."
3,"Worldwide semiconductor sales rose a scant 1.5 percent in October, to \$18.8 billion from \$18.5 billion in September, as many chip users pared bloated inventories, the Semiconductor Industry Association said on Friday."
3,"Worldwide semiconductor sales rose a.5 percent in October, to \$18. billion from \$18.5 billion in September, as many chip users pared bloated inventories, the Semiconductor Industry Association said on Friday."
3,"Worldwide semiconductor from rose a scant 1.5 percent in October, to \$18.8 billion sales \$18.5 billion in September, as many chip users pared bloated the, inventories Semiconductor Industry Association said on Friday."
