class,text
0,"forget the misleading title , what 's with the unexplained baboon cameo ?"
0,"forget misleading title , what 's with the unexplained baboon cameo ?"
0,"forget the misleading title , what ' with the unexplained baboon cameo ?"
0,"forget the misleading title , what 's with the unexplained cameo ?"
0,"forget the title , what 's with the unexplained baboon cameo ?"
0,"replacing john carpenter 's stylish tracking shots is degraded , handheld blair witch video-cam footage ."
0,"replacing john carpenter 's stylish tracking shots is , handheld blair witch video-cam footage ."
0,"replacing john carpenter 's stylish tracking shots is degraded , blair witch video-cam footage ."
0,"replacing john carpenter 's stylish tracking shots is degraded , handheld blair video-cam footage ."
0,"replacing john carpenter 's stylish tracking shots is degraded , handheld witch video-cam footage ."
1,the chateau cleverly probes the cross-cultural differences between gauls and yanks .
1,the chateau cleverly probes cross-cultural differences between gauls and yanks .
1,the chateau cleverly probes the cross-cultural between gauls and yanks .
1,the chateau cleverly probes the differences between gauls and yanks .
1,the chateau cleverly the cross-cultural differences between gauls and yanks .
0,shot like a postcard and overacted with all the boozy self-indulgence that brings out the worst in otherwise talented actors ...
0,like a postcard and overacted with all the self-indulgence that brings out the worst in otherwise talented actors ...
0,shot like a postcard and overacted with all the boozy self-indulgence that out the worst in otherwise talented ...
0,shot like a postcard and overacted with the boozy self-indulgence that brings out the worst in otherwise actors ...
0,shot like a postcard overacted with all the self-indulgence that brings out the worst in otherwise talented actors ...
0,a feeble tootsie knockoff .
0,a feeble knockoff .
0,a feeble tootsie .
0,a tootsie knockoff .
0,feeble tootsie knockoff .
1,"over the years , hollywood has crafted a solid formula for successful animated movies , and ice age only improves on it , with terrific computer graphics , inventive action sequences and a droll sense of humor ."
1,"over the years , hollywood crafted a formula for successful animated movies , and ice age only improves on it , with terrific computer graphics , inventive action sequences and a droll sense of ."
1,"over the years , hollywood crafted a solid formula for successful animated movies , and ice age improves on it , with terrific computer graphics , inventive sequences and a droll sense of humor ."
1,"over the years , hollywood has crafted a solid for successful animated movies , and age improves on it , with terrific computer graphics , inventive action sequences and a droll sense of humor ."
1,"over the years , hollywood has crafted a solid formula for successful movies , and ice age only improves on it , with computer graphics , inventive action sequences and a sense of humor ."
0,the master of disguise is awful .
0,the master disguise is awful .
0,the master of disguise awful .
0,the master of is awful .
0,the of disguise is awful .
1,a zinger-filled crowd-pleaser that open-minded elvis fans -lrb- but by no means all -rrb- will have fun with .
1,a zinger-filled crowd-pleaser that elvis fans -lrb- but by no means all -rrb- will have fun with .
1,a zinger-filled crowd-pleaser that open-minded elvis fans -lrb- by no means all -rrb- will have fun with .
1,a zinger-filled that open-minded elvis fans -lrb- but by no means all -rrb- will have fun with .
1,zinger-filled crowd-pleaser that open-minded elvis fans -lrb- but by no means all -rrb- will have fun with .
1,"like vardalos and corbett , who play their roles with vibrant charm , the film , directed by joel zwick , is heartfelt and hilarious in ways you ca n't fake ."
1,"like vardalos and , who play their roles with vibrant charm , the film , directed by joel zwick , is heartfelt and in ways you ca n't fake ."
1,"like vardalos and corbett , who play their roles with vibrant charm , the film , directed by , is heartfelt and hilarious in ways you ca n't fake ."
1,"like vardalos and corbett , who play their roles with vibrant charm , the film , directed by joel zwick , is and hilarious in ways you n't fake ."
1,"like vardalos and corbett , who their roles with vibrant charm , the film , directed by joel zwick , is heartfelt and in ways you ca n't fake ."
0,"i just saw this movie ... well , it 's probably not accurate to call it a movie ."
0,"i just saw this movie ... well , 's probably not accurate to call it a movie ."
0,"i just saw this movie ... well , it 's probably not accurate to call it a ."
0,"i just saw this movie ... well , it 's probably not accurate to call it movie ."
0,"i saw this movie ... well , it 's probably not accurate to call it a movie ."
0,"for a film about explosions and death and spies , `` ballistic : ecks vs. sever '' seems as safe as a children 's film ."
0,"a film about explosions and death and spies , `` ballistic : ecks vs. sever '' seems as safe a children 's film ."
0,"for a film about explosions and death and spies , `` ballistic : ecks vs. sever '' seems as as a 's film ."
0,"for a film about explosions and death spies , `` ballistic : ecks vs. sever '' seems as safe as children 's film ."
0,"for film about explosions and and spies , `` ballistic : ecks vs. sever '' seems as safe as a children 's film ."
1,they can and will turn on a dime from oddly humorous to tediously sentimental .
1,they and will turn on a dime from oddly humorous to tediously sentimental .
1,they can and will turn on a dime from oddly to tediously sentimental .
1,they can and will turn on a from oddly humorous to tediously sentimental .
1,they can and will turn on dime from oddly humorous to tediously sentimental .
0,"offers big , fat , dumb laughs that may make you hate yourself for giving in ."
0,"offers , fat , dumb laughs that may make you hate yourself for giving in ."
0,"offers big , fat , dumb laughs may make you hate yourself for giving in ."
0,"offers big , fat , dumb laughs that may make you hate yourself for in ."
0,"offers big , fat , dumb laughs that may make you yourself for giving in ."
1,it 's a day at the beach -- with air conditioning and popcorn .
1,it ' a day at the beach -- with air conditioning and popcorn .
1,it 's a day at the beach -- with air and popcorn .
1,it 's a day at the beach -- with conditioning and popcorn .
1,it 's day at the beach -- with air conditioning and popcorn .
1,kinnear ... gives his best screen performance with an oddly winning portrayal of one of life 's ultimate losers .
1,kinnear ... gives his best performance with an oddly winning portrayal of one of life 's ultimate losers .
1,kinnear ... gives his best screen performance with an oddly winning of one of life 's ultimate losers .
1,kinnear ... gives his best screen performance with an oddly winning portrayal of of life 's ultimate losers .
1,kinnear ... gives his best screen performance with an oddly winning portrayal of one of life ' ultimate losers .
1,"if the film fails to fulfill its own ambitious goals , it nonetheless sustains interest during the long build-up of expository material ."
1,"if the film fails fulfill its ambitious goals , it nonetheless sustains interest during the long build-up of expository material ."
1,"if the film fails fulfill own ambitious goals , it nonetheless sustains interest during the long build-up of expository material ."
1,"if the film fails to fulfill its own ambitious goals , it sustains interest the long build-up of expository material ."
1,"if the film fails to fulfill its own goals , it nonetheless sustains interest during the long build-up of expository ."
1,a subtle and well-crafted -lrb- for the most part -rrb- chiller .
1,a subtle and well-crafted -lrb- for the part -rrb- chiller .
1,a subtle and well-crafted -lrb- the most part -rrb- chiller .
1,a subtle well-crafted -lrb- for the most part -rrb- chiller .
1,subtle and well-crafted -lrb- for the most part -rrb- chiller .
0,"too stagey , talky -- and long -- for its own good ."
0,"too , talky -- and long -- for its own good ."
0,"too stagey , talky -- and -- for its own good ."
0,"too stagey , talky -- and long -- for its good ."
0,"too stagey , talky -- and long -- for own good ."
1,"very amusing , not the usual route in a thriller , and the performances are odd and pixilated and sometimes both ."
1,"very amusing , not the usual route in a , and the performances are odd and pixilated and sometimes both ."
1,"very amusing , not the usual route in a thriller , and the are odd and pixilated and sometimes both ."
1,"very amusing , not the usual route in a thriller , and the performances are odd and pixilated and sometimes ."
1,"very amusing , not the usual route in thriller , and the performances are odd and pixilated and sometimes both ."
1,it 's better than the phantom menace .
1,it ' better than the phantom menace .
1,it 's better than phantom menace .
1,it 's better than the phantom .
1,it 's than the phantom menace .
1,"a gem of a romantic crime comedy that turns out to be clever , amusing and unpredictable ."
1,"a gem a romantic crime comedy that turns out to be clever , amusing and unpredictable ."
1,"a gem of a romantic crime comedy that out to be clever , amusing and unpredictable ."
1,"a gem of a romantic crime comedy that turns out to be clever , and unpredictable ."
1,"a gem of a romantic crime comedy that turns out to clever , amusing and unpredictable ."
1,"this rush to profits has created a predictably efficient piece of business notable largely for its overwhelming creepiness , for an eagerness to create images you wish you had n't seen , which , in this day and age , is of course the point ."
1,"this rush profits has a predictably efficient piece of business notable largely its overwhelming creepiness , for an eagerness to create you wish you had n't seen , which , in this day and age , is of course the point ."
1,"this rush to profits has created a predictably efficient piece of business largely for its overwhelming creepiness , for an eagerness to create images wish you had n't seen , , in this and age , is of course the point ."
1,"this rush to profits has created a predictably efficient piece of notable largely for overwhelming creepiness , an eagerness to create images you wish you had n't , which , in this day and age , is of course the point ."
1,"this rush to profits has created predictably efficient piece of business notable for its creepiness , for an eagerness to create images you wish you had n't seen , which , in this day and age , of course the point ."
0,"this mild-mannered farce , directed by one of its writers , john c. walsh , is corny in a way that bespeaks an expiration date passed a long time ago ."
0,"mild-mannered farce , directed by one of its writers , john c. walsh , is corny in way that bespeaks an expiration date passed a long time ago ."
0,"this mild-mannered farce , directed by one of its , john c. walsh , is corny in a way that bespeaks an expiration date passed a long time ."
0,"this mild-mannered farce , directed by one of its writers , john c. walsh , is corny in a way that bespeaks expiration passed a long time ago ."
0,"this mild-mannered farce , directed by one of writers , john c. walsh , is corny in way that bespeaks an expiration date passed a long time ago ."
0,"by the time you reach the finale , you 're likely wondering why you 've been watching all this strutting and posturing ."
0,"by the time you reach the , you 're likely wondering why you 've been watching all this and posturing ."
0,"by the time you reach the finale , you 're likely why you 've been all this strutting and posturing ."
0,"by the time you reach the finale , you 're likely why you 've been watching all this strutting posturing ."
0,"by the time you reach the finale , you 're likely wondering why you ' been watching this strutting and posturing ."
0,"wendigo wants to be a monster movie for the art-house crowd , but it falls into the trap of pretention almost every time ."
0,"wendigo wants be a monster for the art-house crowd , but it falls into the trap of pretention almost every time ."
0,"wendigo wants to a monster movie for the art-house crowd , but falls into the trap of pretention almost every time ."
