class,text
0,Video recording is limited at just 9 seconds.
1, The satellite speakers actually are really reach in the bass tones .
1,four megapixels is great . 
1,this is the perfect camera for a photo hobbiest who wants to have easy point and shoot ability as well . 
0,"well , within 45 days the video output quit working ( both rca & optic ) . "
0,"But, sometimes, if the Champ is too full, the flip handle won't function."
1,"Very good ""every day"" camera. Fits nicely in the pocket of my jeans and takes quality photos."
1, Excellent monitor .
1,+looks snazzy +smaller than a pack of smokes - easily transported +ac charger included as well as a hardshell that comes with a clip and a stand adapter +USB cable !
0,what the hell is wrong with this thing . 
1,"  Apple has definately fulfilled its reputation in making quality equipment, and surprisingly wasn't as expensive as its reputation normally holds.  "
0,This is not an enterprise piece of hardware that you will find in an office or corporate environment. 
1,"you can create playlists , drag & drop songs and playlists to your player , and rip directly from cd to your player . "
1,"  Apple has definately fulfilled its reputation in making quality equipment, and surprisingly wasn't as expensive as its reputation normally holds.  "
0,"After 10 years, I now downloaded McCaffee's product after calling their support....they answered quickly, and for free, and were very helpful."
0, The customer support is very rude .
1, The rechargeable battery is a great feature .
0,"I thought given all the ""10"" reviews about this camera that I would buy it in spite of being a bit pricey. "
1,"it has a handsfree loudspeaker, conference and transfer!"
0,"The program brings more problems than a virus, albeit not as major problems, just not what you expect for 70 bucks."
0,what the hell is wrong with this thing . 
1,"Not only is it much more cost effective (you can use regular trash bags rather than Refills at $5 a pop), it is easier to use and clean, and has a larger capacity."
1,- Replaceable battery. 
0,"the setup process for the nomad is infuriating , and the interface with the player is sub-par . "
0,seems it is always difficult to press to make a selection . 
1,"Whichever it may be, I'm happy I've made this purchase.  "
1,"for instance , i made several back-ups of my dvd movies using dvd-r ( w ) and + r ( w ) and it plays the dvds . "
0,"It barely holds anything and mine just puts a bunch of thread fuzzies all over the player, because the bag is cheap and seems to be coming apart.  "
1,"you can do other different things with it such as choose what kind of "" now playing "" interface , you can see the interface as modern or classical . "
1,"the software runs smooth , it 's nice to look at , it 's very organized , easy to follow and makes things very simple . "
1,the phones are awesome . 
0,"I have read the installation instructions for both NIS 2004 and NAV 2004 prior to installation, but still ended up with the same result...junk software."
1,The accesories that come with the player are great. 
1,"On the contrary, I'm quite pleased with my upgrade."
1,This is a MUST HAVE product for all new moms!
1,the g3 looks like a work of art ! 
1," It was easy to install all of the components and directions were easy to understand , even for an old guy like me ."
0,i did not managed to make creative nomad explorer to work . 
0," However , since I am in an office , I normally keep them at a pretty low volume , and at low volumes , they sound a little weak ."
0,this is ridiculous . 
1,"From the Internet, woodworking books, local stores and personal opinions the Hitachi M12V 3-1/4 HP router time and time again came up to be the router of choice or best for its price."
0, - Ported sub woofer not appropriate for this set up .
1,"the nokia 6610 is a relatively new phone , and what a great phone it is . "
0,will never purchase apex again . 
1,I think it's great.
1," If I were to rate these speakers on my listening needs , I would give a 2.5 stars , but I 'm giving 4 because I think they do the job that most people want them for ."
0,"2 . the scroll button is n't the best , as it sometimes can be hard to select . "
0,"also , the carrying case that came with mine covers up the display , so even though the side controls are reachable , i have to open it up to see the display . "
1,"the ringtones included are awesome , and did i mention they were polyphonic ? "
0," There isn't much features on the iPod at all, except games."
0," I tried to use these with my laptop -LRB- Dell Inspiron 1720 -RRB- but could n't get rid of the buzzing noise others have mentioned , no matter how far I moved them from the computer or where I plugged them in ."
1, Selected it because it looked easy to install .
0," However, the battery life isn't as good as I would like. "
0," Second gripe : In the 6 or so months since we purchased our batch of 30-40 of these monitors , 2 have already been returned for repair or replacement ."
0,my biggest complaint is the battery life or lack there of . 
1, The speaker arived in excellent condition .
1,"1 month , no problems , great phone i 'm very pleased with my 6610 phone . "
0, This model router has now failed me twice in the short span of time mentioned .
0,"software - music match jukebox is n't the greatest , the search funtion is n't fast even when accessing it with the hotkey shortcut . "
0, Technical support rude and unhelpful .
0,"their network coverage is very sporadic , and the network always seems overloaded , resulting in very unpleasant calling experience . "
0,i called apex 's support number numerous times but it just kept ringing . 
0,"2 ) having unfilled id3 tags will cause music to be potentially placed in a folder called "" unknown . "" "
0," Unfortunately , I just could not get it to work ."
1,"it is just a tad small to hold to your ear with your shoulder , but that is solved with the very comfortable handsfree ear-piece which is included . "
0," However , since I am in an office , I normally keep them at a pretty low volume , and at low volumes , they sound a little weak ."
1,The Zen offered a great alternative. 
1,"For a sleeker, smaller and more ""average"" MP3 player the Nitrus is great but the iPod blows it out of the water - the interface is great and the design is wonderful."
1,The arm band is fantastic and it doesn't budge even at the gym.  
0," The router has obviously problems with static IP addresses , firewalls and numerous other programs ."
0,"The only not-so-positive comment I have is about the depth adjustment, it is not easy to micro-adjust accurately."
1,the zen has minimal stoppage between tracks ; when listening to music that continues from one track to the next the gap is just a hesitation - a slightly audible click ; if i am not listening for the progress from one track to the next i do n't even notice the click . 
0,Now it will start smelling if you leave it with diapers in it for an extended period but all of them will!
1,What makes it so great is the versatility and the number of features it has.
1," These issues aside, the iPod is kind of like the cell phone in that once you have one, you can't be without one."
1,i highly recommend this camera to anybody looking for a compact camera that can take good quality pictures. 
0,"Also, when I dial an ""800"" number like an airline, it will not allow me to use number keys to navigatee the prerecorded menu."
1,It makes the Nomad I purchase feel and look like junk.  
1,it 's great to switch to spot metering and actually see it working on the lcd screen . 
1,"These tasks are faster and easier than in prior versions, and I found the menu to be much more navigable."
1,the zen has minimal stoppage between tracks ; when listening to music that continues from one track to the next the gap is just a hesitation - a slightly audible click ; if i am not listening for the progress from one track to the next i do n't even notice the click . 
0,will never purchase apex again . 
0,the included earbuds were uncomfortable . 
0,"little to no networking experience, just in case the automatic CD method has issues.  "
0,"Again, every review written about the Tech Line is true...after waiting close to 45 minutes I finally spoke to a rep."
1, Then I would say that this LCD monitor have many feature in one piece .
0," What I do n't like is that at lower volume music listening , tonal qualities are very poor ."
0,"First of all, I've never been big on earbuds - they're just not that comfortable."
1,NIS 2003 worked like a charm last year.
1, Really easy to use.
1,"But I was ready to upgrade and when I discovered that Canon  was going to come out with an even smaller digital camera with a higher  resolution, I had to have the S100."
0, This model router has now failed me twice in the short span of time mentioned .
1,"with canon , you get pictures that appear to be photos , not still camcorder shots . "
0,"well , within 45 days the video output quit working ( both rca & optic ) . "
1,"the software was great , as long as you have an adminstrative user account ( windows xp ) . "
1, its definately an outstanding laptop .
1,"i dont know what other people are saying , but the software is awesome . "
1,The thought of not having to buy refills and just using regular bags is awesome!
